Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GODREJPROP.EQ-NSE,2019-01-01,650.0,676.6,646.75,660.8,287556.0
GODREJPROP.EQ-NSE,2019-01-02,656.7,674.0,656.7,669.8,895486.0
GODREJPROP.EQ-NSE,2019-01-03,670.0,687.0,666.15,677.1,226424.0
GODREJPROP.EQ-NSE,2019-01-04,681.25,691.0,670.65,679.3,383611.0
GODREJPROP.EQ-NSE,2019-01-07,686.0,717.5,680.0,714.0,828488.0
GODREJPROP.EQ-NSE,2019-01-08,718.0,738.9,718.0,731.6,622928.0
GODREJPROP.EQ-NSE,2019-01-09,738.8,745.0,716.0,745.0,340193.0
GODREJPROP.EQ-NSE,2019-01-10,745.95,745.95,726.8,739.0,181049.0
GODREJPROP.EQ-NSE,2019-01-11,740.9,740.9,726.65,729.0,92459.0
GODREJPROP.EQ-NSE,2019-01-14,732.0,750.0,722.45,733.5,211989.0
GODREJPROP.EQ-NSE,2019-01-15,738.0,740.0,720.5,728.5,161961.0
GODREJPROP.EQ-NSE,2019-01-16,730.0,743.8,722.85,733.55,129006.0
GODREJPROP.EQ-NSE,2019-01-17,730.1,777.0,725.3,776.95,340734.0
GODREJPROP.EQ-NSE,2019-01-18,775.0,782.25,730.05,738.0,513604.0
GODREJPROP.EQ-NSE,2019-01-21,738.1,750.35,733.0,740.9,98864.0
GODREJPROP.EQ-NSE,2019-01-22,734.0,747.0,729.05,734.0,218313.0
GODREJPROP.EQ-NSE,2019-01-23,737.0,742.55,708.25,710.2,88033.0
GODREJPROP.EQ-NSE,2019-01-24,718.1,748.0,715.75,743.0,211382.0
GODREJPROP.EQ-NSE,2019-01-25,742.0,755.0,732.25,746.0,175342.0
GODREJPROP.EQ-NSE,2019-01-28,747.0,763.55,725.0,742.4,564933.0
GODREJPROP.EQ-NSE,2019-01-29,742.65,759.55,742.2,755.95,133028.0
GODREJPROP.EQ-NSE,2019-01-30,753.65,753.65,743.0,744.95,101644.0
GODREJPROP.EQ-NSE,2019-01-31,746.9,754.7,740.0,741.0,486002.0
GODREJPROP.EQ-NSE,2019-02-01,743.0,782.0,740.0,749.1,287057.0
GODREJPROP.EQ-NSE,2019-02-04,745.0,768.0,743.0,764.9,182068.0
GODREJPROP.EQ-NSE,2019-02-05,768.0,772.0,722.0,731.0,108670.0
GODREJPROP.EQ-NSE,2019-02-06,738.0,750.0,737.7,749.0,88973.0
GODREJPROP.EQ-NSE,2019-02-07,749.0,759.45,745.25,752.0,62659.0
