Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GRANULES-I280PE,2021-02-26,3.0,3.0,3.0,3.0,4650.0,3100.0
GRANULES-I285PE,2021-02-26,3.05,3.05,3.05,3.05,12400.0,1550.0
GRANULES-I290PE,2021-02-26,3.05,4.5,3.05,4.5,17050.0,9300.0
GRANULES-I300CE,2021-02-26,30.4,30.4,30.4,30.4,1550.0,0.0
GRANULES-I300PE,2021-02-26,3.05,7.0,3.05,6.9,26350.0,17050.0
GRANULES-I310PE,2021-02-26,8.9,8.9,8.9,8.9,1550.0,0.0
GRANULES-I320PE,2021-02-26,13.0,13.0,13.0,13.0,1550.0,0.0
GRANULES-I330CE,2021-02-26,16.0,16.0,14.0,14.0,6200.0,1550.0
GRANULES-I340CE,2021-02-26,12.0,12.0,10.5,10.5,3100.0,1550.0
GRANULES-I360CE,2021-02-26,3.05,3.05,3.05,3.05,1550.0,0.0
GRANULES-I370CE,2021-02-26,3.0,7.0,3.0,4.2,52700.0,26350.0
GRANULES-I380CE,2021-02-26,3.0,5.25,3.0,4.0,31000.0,23250.0
GRANULES-I390CE,2021-02-26,3.05,3.3,2.65,2.65,15500.0,12400.0
GRANULES-I290PE,2021-03-01,3.0,3.25,3.0,3.25,4650.0,12400.0
GRANULES-I300PE,2021-03-01,5.0,5.2,2.9,2.9,48050.0,44950.0
GRANULES-I310PE,2021-03-01,8.9,8.9,5.45,5.45,6200.0,6200.0
GRANULES-I320PE,2021-03-01,8.15,8.15,8.15,8.15,1550.0,1550.0
GRANULES-I330CE,2021-03-01,14.5,27.0,14.5,26.55,77500.0,29450.0
GRANULES-I330PE,2021-03-01,14.6,14.8,10.45,10.45,4650.0,3100.0
GRANULES-I335CE,2021-03-01,17.0,22.0,16.25,22.0,7750.0,4650.0
GRANULES-I340CE,2021-03-01,11.9,22.5,11.9,22.0,224750.0,66650.0
GRANULES-I345CE,2021-03-01,20.05,20.05,20.05,20.05,1550.0,0.0
