Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GSFC.EQ-NSE,2019-01-01,116.65,117.5,114.75,116.15,2181963.0
GSFC.EQ-NSE,2019-01-02,115.4,117.4,111.25,111.55,2196251.0
GSFC.EQ-NSE,2019-01-03,112.0,113.0,110.2,110.6,1306648.0
GSFC.EQ-NSE,2019-01-04,111.0,113.1,110.05,112.4,1304411.0
GSFC.EQ-NSE,2019-01-07,113.4,114.5,111.8,112.7,915335.0
GSFC.EQ-NSE,2019-01-08,112.1,113.8,112.1,112.5,498770.0
GSFC.EQ-NSE,2019-01-09,113.75,114.6,111.75,112.05,1474319.0
GSFC.EQ-NSE,2019-01-10,112.3,114.4,112.2,112.55,1423019.0
GSFC.EQ-NSE,2019-01-11,112.65,113.05,110.75,111.5,977297.0
GSFC.EQ-NSE,2019-01-14,111.1,111.6,109.6,110.0,471800.0
GSFC.EQ-NSE,2019-01-15,111.2,113.65,111.2,112.6,1891904.0
GSFC.EQ-NSE,2019-01-16,112.5,112.9,111.25,111.65,539655.0
GSFC.EQ-NSE,2019-01-17,111.75,112.2,110.65,110.9,413686.0
GSFC.EQ-NSE,2019-01-18,111.7,111.75,107.2,107.85,1054661.0
GSFC.EQ-NSE,2019-01-21,108.1,109.7,107.5,108.2,923724.0
GSFC.EQ-NSE,2019-01-22,107.5,108.6,106.5,108.2,775262.0
GSFC.EQ-NSE,2019-01-23,107.85,109.45,105.3,105.65,1198782.0
GSFC.EQ-NSE,2019-01-24,106.2,106.4,104.2,105.6,893215.0
GSFC.EQ-NSE,2019-01-25,106.0,106.0,96.1,97.0,6337436.0
GSFC.EQ-NSE,2019-01-28,97.6,97.6,91.7,94.3,1785120.0
GSFC.EQ-NSE,2019-01-29,94.3,95.9,93.15,95.5,1158376.0
GSFC.EQ-NSE,2019-01-30,94.9,95.8,94.2,94.7,819829.0
GSFC.EQ-NSE,2019-01-31,95.05,97.75,94.65,97.2,1322763.0
GSFC.EQ-NSE,2019-02-01,98.0,99.45,93.35,95.8,2557610.0
GSFC.EQ-NSE,2019-02-04,95.5,95.75,92.55,92.7,599517.0
GSFC.EQ-NSE,2019-02-05,91.7,95.3,91.35,93.35,1163283.0
GSFC.EQ-NSE,2019-02-06,93.15,94.0,91.95,93.65,651531.0
GSFC.EQ-NSE,2019-02-07,93.75,96.3,93.1,94.9,904934.0
GSFC.EQ-NSE,2019-02-08,94.45,95.4,89.75,90.75,1248772.0
GSFC.EQ-NSE,2019-02-11,90.7,91.95,89.4,90.25,1111241.0
GSFC.EQ-NSE,2019-02-12,89.8,90.1,88.55,89.2,695441.0
GSFC.EQ-NSE,2019-02-13,90.0,91.35,89.5,90.05,692198.0
GSFC.EQ-NSE,2019-02-14,89.5,91.75,88.5,91.0,973681.0
GSFC.EQ-NSE,2019-02-15,90.6,90.95,87.55,87.6,702755.0
GSFC.EQ-NSE,2019-02-18,87.3,88.65,85.8,86.05,1150760.0
GSFC.EQ-NSE,2019-02-19,86.15,88.6,86.1,87.5,805132.0
GSFC.EQ-NSE,2019-02-20,87.5,90.5,87.1,90.15,1118999.0
GSFC.EQ-NSE,2019-02-21,90.3,91.55,90.0,90.7,1420119.0
GSFC.EQ-NSE,2019-02-22,91.05,93.5,90.95,93.5,893277.0
GSFC.EQ-NSE,2019-02-25,93.5,93.65,91.1,92.2,1363221.0
GSFC.EQ-NSE,2019-02-26,91.7,92.0,88.5,90.6,1319977.0
GSFC.EQ-NSE,2019-02-27,91.4,94.0,90.05,90.75,1199356.0
GSFC.EQ-NSE,2019-02-28,91.1,91.9,90.2,90.8,616535.0
GSFC.EQ-NSE,2019-03-01,91.05,95.0,91.05,94.25,1177154.0
GSFC.EQ-NSE,2019-03-05,94.95,98.2,94.25,97.8,1218784.0
GSFC.EQ-NSE,2019-03-06,98.5,101.2,98.35,98.7,1238156.0
GSFC.EQ-NSE,2019-03-07,98.7,99.75,97.25,98.5,818727.0
GSFC.EQ-NSE,2019-03-08,98.2,99.0,96.9,98.7,816126.0
GSFC.EQ-NSE,2019-03-11,99.0,103.0,98.9,101.95,1013986.0
GSFC.EQ-NSE,2019-03-12,102.9,105.4,102.55,104.55,1456600.0
GSFC.EQ-NSE,2019-03-13,105.0,105.5,103.0,103.5,556339.0
GSFC.EQ-NSE,2019-03-14,103.0,104.15,101.2,101.9,545350.0
GSFC.EQ-NSE,2019-03-15,102.35,103.95,102.15,102.95,609703.0
GSFC.EQ-NSE,2019-03-18,103.05,104.45,101.3,102.35,710922.0
GSFC.EQ-NSE,2019-03-19,101.95,106.5,101.7,105.85,1690704.0
GSFC.EQ-NSE,2019-03-20,106.9,107.0,104.15,105.0,2455423.0
GSFC.EQ-NSE,2019-03-22,104.65,106.25,101.9,102.0,910017.0
GSFC.EQ-NSE,2019-03-25,101.8,101.8,99.0,99.1,728587.0
GSFC.EQ-NSE,2019-03-26,100.3,101.6,99.85,100.5,803522.0
GSFC.EQ-NSE,2019-03-27,100.7,102.0,98.95,99.65,889866.0
GSFC.EQ-NSE,2019-03-28,101.0,103.75,100.7,102.3,2136862.0
GSFC.EQ-NSE,2019-03-29,102.9,104.85,102.4,104.15,772495.0
GSFC.EQ-NSE,2019-04-01,104.9,108.0,104.5,106.3,1409573.0
GSFC.EQ-NSE,2019-04-02,106.0,106.7,103.75,104.75,582717.0
GSFC.EQ-NSE,2019-04-03,105.75,108.7,101.7,102.25,3557113.0
GSFC.EQ-NSE,2019-04-04,102.3,103.75,101.0,102.8,1077154.0
GSFC.EQ-NSE,2019-04-05,103.3,105.25,103.0,104.55,704779.0
GSFC.EQ-NSE,2019-04-08,105.0,105.9,101.2,104.0,1244480.0
GSFC.EQ-NSE,2019-04-09,103.5,104.45,101.2,104.25,980916.0
GSFC.EQ-NSE,2019-04-10,103.85,106.45,103.2,104.75,1694650.0
GSFC.EQ-NSE,2019-04-11,105.35,107.0,105.15,106.4,2054530.0
GSFC.EQ-NSE,2019-04-12,106.3,106.7,103.5,104.75,1012619.0
GSFC.EQ-NSE,2019-04-15,105.55,108.0,105.3,107.7,1678241.0
GSFC.EQ-NSE,2019-04-16,107.9,108.0,106.55,107.15,986965.0
GSFC.EQ-NSE,2019-04-18,107.15,107.3,103.5,104.05,816776.0
GSFC.EQ-NSE,2019-04-22,103.15,103.7,101.1,102.15,823387.0
GSFC.EQ-NSE,2019-04-23,103.9,104.7,99.6,99.95,1966072.0
GSFC.EQ-NSE,2019-04-24,100.5,101.5,99.8,101.1,885167.0
GSFC.EQ-NSE,2019-04-25,101.35,103.25,100.7,102.75,880485.0
GSFC.EQ-NSE,2019-04-26,102.0,102.8,101.0,101.15,499554.0
