Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GSFC-I85PE,2019-01-01,0.3,0.3,0.3,0.3,47000.0,126900.0
GSFC-I105PE,2019-01-01,0.85,0.85,0.8,0.8,14100.0,51700.0
GSFC-I107.5PE,2019-01-01,1.4,1.4,1.4,1.4,4700.0,0.0
GSFC-I110PE,2019-01-01,1.7,2.0,1.6,1.6,37600.0,108100.0
GSFC-I112.5CE,2019-01-01,7.0,7.0,7.0,7.0,4700.0,37600.0
GSFC-I112.5PE,2019-01-01,2.7,2.7,2.7,2.7,4700.0,14100.0
GSFC-I115CE,2019-01-01,5.55,6.25,5.0,5.45,117500.0,235000.0
GSFC-I115PE,2019-01-01,3.6,4.2,3.5,3.5,51700.0,79900.0
GSFC-I117.5CE,2019-01-01,4.25,5.0,3.8,4.2,37600.0,42300.0
GSFC-I120CE,2019-01-01,3.55,3.9,2.75,3.35,455900.0,343100.0
GSFC-I120PE,2019-01-01,6.7,6.7,6.4,6.7,18800.0,37600.0
GSFC-I122.5CE,2019-01-01,2.4,2.4,2.0,2.25,32900.0,28200.0
GSFC-I125CE,2019-01-01,1.85,2.1,1.7,1.8,75200.0,79900.0
GSFC-I130CE,2019-01-01,1.1,1.15,0.75,0.75,23500.0,37600.0
GSFC-I137.5PE,2019-01-01,21.0,21.6,21.0,21.6,14100.0,42300.0
GSFC-I100PE,2019-01-02,0.7,0.85,0.5,0.85,56400.0,89300.0
GSFC-I102.5PE,2019-01-02,1.2,1.2,1.2,1.2,4700.0,0.0
GSFC-I105PE,2019-01-02,1.0,1.8,1.0,1.8,42300.0,51700.0
GSFC-I110CE,2019-01-02,8.45,8.45,8.45,8.45,4700.0,14100.0
GSFC-I110PE,2019-01-02,2.3,3.5,1.6,3.5,61100.0,103400.0
GSFC-I112.5CE,2019-01-02,4.1,4.5,4.1,4.5,47000.0,37600.0
GSFC-I112.5PE,2019-01-02,3.95,4.7,3.95,4.7,9400.0,18800.0
GSFC-I115CE,2019-01-02,5.5,6.1,3.05,3.05,267900.0,216200.0
GSFC-I115PE,2019-01-02,3.5,6.15,3.35,6.15,89300.0,61100.0
GSFC-I117.5CE,2019-01-02,4.35,4.35,2.75,2.75,14100.0,42300.0
GSFC-I120CE,2019-01-02,3.2,3.75,1.7,1.8,723800.0,432400.0
GSFC-I120PE,2019-01-02,6.05,9.85,6.05,9.0,23500.0,42300.0
GSFC-I122.5CE,2019-01-02,2.0,2.0,1.15,1.15,14100.0,32900.0
GSFC-I125CE,2019-01-02,2.0,2.1,0.75,0.95,220900.0,178600.0
GSFC-I125PE,2019-01-02,9.7,10.5,9.7,10.5,14100.0,9400.0
GSFC-I130CE,2019-01-02,0.75,0.75,0.55,0.55,18800.0,47000.0
GSFC-I140CE,2019-01-02,0.45,0.45,0.3,0.3,28200.0,23500.0
GSFC-I100PE,2019-01-03,0.95,0.95,0.85,0.9,32900.0,103400.0
GSFC-I105PE,2019-01-03,1.9,1.9,1.4,1.7,37600.0,61100.0
GSFC-I110PE,2019-01-03,3.65,4.15,3.4,4.15,14100.0,94000.0
GSFC-I112.5CE,2019-01-03,3.75,4.4,3.75,4.0,18800.0,70500.0
GSFC-I112.5PE,2019-01-03,5.2,5.2,5.2,5.2,4700.0,23500.0
GSFC-I115CE,2019-01-03,2.8,3.7,2.8,2.95,126900.0,225600.0
GSFC-I115PE,2019-01-03,6.55,6.55,5.25,5.25,14100.0,65800.0
GSFC-I117.5CE,2019-01-03,2.5,2.7,2.5,2.5,14100.0,61100.0
GSFC-I120CE,2019-01-03,1.7,2.0,1.5,1.6,267900.0,427700.0
GSFC-I120PE,2019-01-03,10.25,10.25,9.0,9.0,32900.0,47000.0
GSFC-I125CE,2019-01-03,0.95,1.0,0.8,0.8,32900.0,183300.0
GSFC-I85PE,2019-01-04,0.05,0.05,0.05,0.05,47000.0,126900.0
GSFC-I100PE,2019-01-04,0.9,1.05,0.7,0.7,18800.0,108100.0
GSFC-I105PE,2019-01-04,1.75,1.95,1.5,1.7,37600.0,79900.0
GSFC-I110CE,2019-01-04,5.45,5.45,5.35,5.35,9400.0,14100.0
GSFC-I110PE,2019-01-04,3.9,3.9,3.7,3.7,61100.0,122200.0
GSFC-I115CE,2019-01-04,2.65,3.85,2.65,3.65,112800.0,216200.0
GSFC-I115PE,2019-01-04,5.85,5.85,5.35,5.35,14100.0,70500.0
GSFC-I117.5CE,2019-01-04,2.5,2.5,2.5,2.5,4700.0,61100.0
GSFC-I120CE,2019-01-04,1.8,2.2,1.5,2.1,239700.0,408900.0
GSFC-I120PE,2019-01-04,9.75,9.75,8.8,8.85,23500.0,42300.0
GSFC-I125CE,2019-01-04,0.9,1.05,0.9,1.05,28200.0,178600.0
GSFC-I130CE,2019-01-04,0.6,0.6,0.55,0.6,14100.0,47000.0
GSFC-I85PE,2019-01-07,0.05,0.05,0.05,0.05,4700.0,79900.0
GSFC-I110CE,2019-01-07,7.25,7.25,6.0,6.0,14100.0,14100.0
GSFC-I110PE,2019-01-07,2.5,3.0,2.35,3.0,23500.0,122200.0
GSFC-I112.5CE,2019-01-07,5.0,5.5,5.0,5.5,9400.0,70500.0
GSFC-I112.5PE,2019-01-07,3.1,3.1,3.1,3.1,4700.0,18800.0
GSFC-I115CE,2019-01-07,3.65,4.4,3.4,3.85,75200.0,230300.0
GSFC-I115PE,2019-01-07,4.65,4.65,4.65,4.65,4700.0,70500.0
GSFC-I117.5CE,2019-01-07,3.35,5.0,2.9,3.0,65800.0,79900.0
GSFC-I120CE,2019-01-07,2.15,2.65,1.8,2.1,554600.0,455900.0
GSFC-I125CE,2019-01-07,1.2,1.4,0.85,0.85,65800.0,192700.0
GSFC-I125PE,2019-01-07,12.1,12.1,12.1,12.1,4700.0,18800.0
GSFC-I130CE,2019-01-07,0.75,0.75,0.75,0.75,4700.0,51700.0
GSFC-I112.5CE,2019-01-08,5.1,5.1,5.1,5.1,4700.0,70500.0
