Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GSPL-I280PE,2021-10-29,4.9,5.0,4.9,5.0,3400.0,1700.0
GSPL-I300PE,2021-10-29,11.95,11.95,11.95,11.95,1700.0,0.0
GSPL-I310CE,2021-10-29,9.75,13.0,9.75,13.0,5100.0,3400.0
GSPL-I315CE,2021-10-29,6.25,6.25,6.25,6.25,1700.0,0.0
GSPL-I320CE,2021-10-29,6.15,8.0,6.15,6.55,20400.0,15300.0
GSPL-I340CE,2021-10-29,4.95,4.95,4.95,4.95,1700.0,0.0
GSPL-I260PE,2021-11-01,0.55,0.55,0.55,0.55,1700.0,0.0
GSPL-I300CE,2021-11-01,26.95,26.95,26.9,26.9,5100.0,0.0
GSPL-I300PE,2021-11-01,8.0,9.0,6.5,7.05,17000.0,6800.0
GSPL-I310CE,2021-11-01,16.7,23.8,15.0,23.8,124100.0,56100.0
GSPL-I315CE,2021-11-01,15.0,19.5,15.0,19.5,3400.0,1700.0
GSPL-I320CE,2021-11-01,7.55,17.9,7.55,17.4,1023400.0,115600.0
GSPL-I325CE,2021-11-01,15.75,16.0,15.75,16.0,8500.0,5100.0
GSPL-I335CE,2021-11-01,10.9,10.9,10.7,10.7,8500.0,1700.0
GSPL-I340CE,2021-11-01,2.5,8.05,2.5,8.05,35700.0,23800.0
GSPL-I345CE,2021-11-01,7.65,7.75,7.65,7.75,10200.0,1700.0
GSPL-I350CE,2021-11-01,5.0,8.1,4.5,7.0,52700.0,32300.0
GSPL-I280PE,2021-11-02,2.5,2.5,2.5,2.5,3400.0,3400.0
GSPL-I300PE,2021-11-02,5.85,5.85,5.65,5.65,3400.0,8500.0
GSPL-I310PE,2021-11-02,7.6,9.35,7.6,9.35,5100.0,3400.0
GSPL-I320CE,2021-11-02,17.45,17.45,13.6,13.8,102000.0,105400.0
GSPL-I325CE,2021-11-02,8.15,11.5,8.15,11.5,3400.0,6800.0
GSPL-I340CE,2021-11-02,8.3,9.8,7.5,7.55,52700.0,23800.0
GSPL-I350CE,2021-11-02,6.5,7.4,5.05,5.05,37400.0,37400.0
GSPL-I280PE,2021-11-03,1.35,1.35,1.35,1.35,5100.0,6800.0
GSPL-I300PE,2021-11-03,5.1,5.5,4.0,4.85,34000.0,17000.0
GSPL-I310CE,2021-11-03,20.0,26.0,20.0,26.0,5100.0,54400.0
GSPL-I310PE,2021-11-03,7.85,7.85,7.15,7.15,5100.0,5100.0
GSPL-I315CE,2021-11-03,19.0,20.0,19.0,20.0,3400.0,3400.0
GSPL-I320CE,2021-11-03,14.25,20.4,13.8,17.45,967300.0,86700.0
GSPL-I325CE,2021-11-03,14.5,18.0,14.45,15.95,30600.0,11900.0
GSPL-I330CE,2021-11-03,14.0,17.0,12.7,14.0,268600.0,98600.0
GSPL-I335CE,2021-11-03,11.9,11.9,11.65,11.65,3400.0,10200.0
GSPL-I340CE,2021-11-03,9.55,11.9,9.05,10.3,73100.0,28900.0
GSPL-I350CE,2021-11-03,5.6,9.3,5.6,7.9,79900.0,52700.0
GSPL-I390CE,2021-11-03,3.35,3.35,3.35,3.35,3400.0,1700.0
GSPL-I300PE,2021-11-08,4.55,5.5,3.2,3.2,32300.0,37400.0
GSPL-I310CE,2021-11-08,19.55,21.5,19.55,21.5,5100.0,54400.0
GSPL-I310PE,2021-11-08,6.85,8.6,5.0,5.0,13600.0,10200.0
GSPL-I315CE,2021-11-08,16.8,16.8,14.35,14.35,6800.0,10200.0
GSPL-I320CE,2021-11-08,12.55,16.3,10.8,14.0,69700.0,95200.0
GSPL-I320PE,2021-11-08,13.5,13.5,13.5,13.5,1700.0,1700.0
GSPL-I325CE,2021-11-08,13.2,13.2,13.2,13.2,1700.0,11900.0
GSPL-I330CE,2021-11-08,8.55,10.85,3.35,10.25,68000.0,88400.0
GSPL-I340CE,2021-11-08,5.4,5.4,5.15,5.15,11900.0,35700.0
GSPL-I345CE,2021-11-08,2.2,6.35,2.2,6.35,5100.0,10200.0
GSPL-I350CE,2021-11-08,3.9,5.9,3.2,5.15,59500.0,61200.0
GSPL-I300PE,2021-11-09,4.0,4.0,4.0,4.0,1700.0,37400.0
GSPL-I310CE,2021-11-09,14.75,19.5,14.75,17.15,6800.0,54400.0
GSPL-I310PE,2021-11-09,6.55,6.55,6.2,6.2,5100.0,10200.0
GSPL-I320CE,2021-11-09,13.05,14.05,10.45,11.0,37400.0,91800.0
GSPL-I320PE,2021-11-09,10.95,10.95,10.5,10.5,3400.0,1700.0
GSPL-I325CE,2021-11-09,12.95,13.0,10.35,10.35,8500.0,15300.0
GSPL-I330CE,2021-11-09,10.15,10.15,7.0,7.0,27200.0,86700.0
GSPL-I340CE,2021-11-09,5.05,5.3,5.05,5.1,10200.0,35700.0
GSPL-I345CE,2021-11-09,4.45,4.45,4.45,4.45,1700.0,13600.0
GSPL-I350CE,2021-11-09,3.5,3.5,2.6,2.6,23800.0,69700.0
GSPL-I300CE,2021-11-10,26.9,26.9,26.9,26.9,1700.0,5100.0
GSPL-I300PE,2021-11-10,8.8,8.8,3.25,3.35,6800.0,40800.0
GSPL-I310CE,2021-11-10,15.0,15.0,12.9,15.0,11900.0,52700.0
GSPL-I310PE,2021-11-10,10.0,10.0,5.75,6.65,30600.0,30600.0
GSPL-I315CE,2021-11-10,10.05,12.1,10.05,10.75,10200.0,13600.0
GSPL-I320CE,2021-11-10,9.45,9.5,7.7,9.45,37400.0,95200.0
GSPL-I325CE,2021-11-10,8.1,8.1,8.1,8.1,1700.0,13600.0
GSPL-I330CE,2021-11-10,4.95,6.4,4.7,5.6,90100.0,88400.0
GSPL-I340CE,2021-11-10,3.05,4.0,2.5,2.5,8500.0,34000.0
GSPL-I350CE,2021-11-10,1.05,2.4,1.05,2.3,15300.0,71400.0
GSPL-I300PE,2021-11-11,3.3,3.3,2.75,2.75,8500.0,30600.0
GSPL-I310CE,2021-11-11,14.95,14.95,10.75,11.0,5100.0,52700.0
GSPL-I310PE,2021-11-11,6.6,6.6,4.25,5.3,11900.0,28900.0
GSPL-I315CE,2021-11-11,11.35,11.55,9.9,9.9,6800.0,17000.0
GSPL-I320CE,2021-11-11,8.8,9.2,7.25,7.35,27200.0,91800.0
GSPL-I330CE,2021-11-11,5.8,5.8,3.8,4.0,18700.0,103700.0
GSPL-I350CE,2021-11-11,2.35,2.35,1.4,1.4,15300.0,78200.0
GSPL-I300PE,2021-11-12,2.8,4.05,2.6,2.6,8500.0,32300.0
GSPL-I310CE,2021-11-12,10.2,11.55,10.2,11.55,5100.0,51000.0
GSPL-I310PE,2021-11-12,4.1,6.6,4.1,6.6,5100.0,30600.0
GSPL-I315CE,2021-11-12,7.8,8.15,7.8,8.15,3400.0,18700.0
GSPL-I320CE,2021-11-12,7.0,9.0,4.7,6.0,49300.0,81600.0
GSPL-I325CE,2021-11-12,7.8,7.8,4.45,4.45,8500.0,18700.0
GSPL-I330CE,2021-11-12,4.0,4.9,3.05,3.2,25500.0,100300.0
GSPL-I335CE,2021-11-12,2.05,2.95,2.05,2.95,3400.0,10200.0
GSPL-I340CE,2021-11-12,2.0,2.5,2.0,2.1,10200.0,34000.0
GSPL-I350CE,2021-11-12,1.3,1.65,0.7,1.2,17000.0,74800.0
GSPL-I300CE,2021-11-15,21.5,21.5,21.5,21.5,1700.0,6800.0
GSPL-I300PE,2021-11-15,2.95,2.95,1.7,1.75,6800.0,28900.0
GSPL-I310CE,2021-11-15,9.25,11.0,9.25,11.0,6800.0,51000.0
GSPL-I310PE,2021-11-15,3.8,4.55,3.75,3.95,18700.0,22100.0
GSPL-I315CE,2021-11-15,8.95,8.95,7.25,8.0,8500.0,17000.0
GSPL-I320CE,2021-11-15,6.15,6.55,5.05,5.5,32300.0,66300.0
GSPL-I325CE,2021-11-15,4.45,4.45,3.45,3.5,15300.0,13600.0
