Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GTL.EQ-NSE,2019-01-01,5.6,5.8,5.6,5.8,15500.0
GTL.EQ-NSE,2019-01-02,5.8,5.8,5.65,5.65,7543.0
GTL.EQ-NSE,2019-01-03,5.65,5.7,5.45,5.65,45393.0
GTL.EQ-NSE,2019-01-04,5.4,5.7,5.4,5.65,27635.0
GTL.EQ-NSE,2019-01-07,5.6,5.75,5.55,5.65,19439.0
GTL.EQ-NSE,2019-01-08,5.6,5.75,5.55,5.7,29000.0
GTL.EQ-NSE,2019-01-09,5.8,6.45,5.5,6.25,393449.0
GTL.EQ-NSE,2019-01-10,6.45,7.5,6.3,7.5,1533239.0
GTL.EQ-NSE,2019-01-11,7.8,8.6,7.75,8.15,2060982.0
GTL.EQ-NSE,2019-01-14,7.5,8.0,7.35,7.95,531497.0
GTL.EQ-NSE,2019-01-15,7.9,8.3,7.35,7.7,461705.0
GTL.EQ-NSE,2019-01-16,7.7,7.9,7.35,7.45,310575.0
GTL.EQ-NSE,2019-01-17,7.1,7.65,7.1,7.1,70481.0
GTL.EQ-NSE,2019-01-18,6.8,7.3,6.75,7.1,123152.0
GTL.EQ-NSE,2019-01-21,7.0,7.0,6.65,7.0,108911.0
GTL.EQ-NSE,2019-01-22,6.8,6.9,6.6,6.65,44887.0
GTL.EQ-NSE,2019-01-23,6.6,6.6,6.3,6.3,64245.0
GTL.EQ-NSE,2019-01-24,6.15,6.3,6.0,6.0,42675.0
GTL.EQ-NSE,2019-01-25,6.0,6.3,5.7,5.7,69285.0
GTL.EQ-NSE,2019-01-28,5.7,5.85,5.45,5.6,43217.0
GTL.EQ-NSE,2019-01-29,5.25,5.55,5.25,5.5,24051.0
GTL.EQ-NSE,2019-01-30,5.3,5.55,5.3,5.5,21824.0
GTL.EQ-NSE,2019-01-31,5.7,5.7,5.3,5.7,25418.0
GTL.EQ-NSE,2019-02-01,5.5,5.9,5.5,5.7,23360.0
GTL.EQ-NSE,2019-02-04,5.7,5.75,5.3,5.3,50486.0
GTL.EQ-NSE,2019-02-05,5.45,5.45,5.05,5.05,47970.0
GTL.EQ-NSE,2019-02-06,5.0,5.05,4.8,4.8,63070.0
