Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GUJGASLTD.EQ-NSE,2019-01-01,135.0,135.0,133.20999999999998,134.01,6397.0
GUJGASLTD.EQ-NSE,2019-01-02,133.81,134.39,133.41,134.0,19227.0
GUJGASLTD.EQ-NSE,2019-01-03,134.11,134.55,133.2,133.78,7432.0
GUJGASLTD.EQ-NSE,2019-01-04,133.0,133.76,131.6,132.0,9525.0
GUJGASLTD.EQ-NSE,2019-01-07,132.41,134.2,130.88,131.77,9460.0
GUJGASLTD.EQ-NSE,2019-01-08,133.57,133.57,130.69,131.0,7601.0
GUJGASLTD.EQ-NSE,2019-01-09,131.25,132.78,131.25,132.11,31088.0
GUJGASLTD.EQ-NSE,2019-01-10,132.41,134.4,131.6,133.8,36601.0
GUJGASLTD.EQ-NSE,2019-01-11,134.4,134.5,133.05,133.99,14942.0
GUJGASLTD.EQ-NSE,2019-01-14,134.8,134.8,133.04000000000002,133.99,23238.0
GUJGASLTD.EQ-NSE,2019-01-15,135.5,158.0,135.4,143.8,2991558.0
GUJGASLTD.EQ-NSE,2019-01-16,146.7,149.2,142.0,142.9,518068.0
GUJGASLTD.EQ-NSE,2019-01-17,143.0,143.15,138.6,141.0,311701.0
GUJGASLTD.EQ-NSE,2019-01-18,140.9,140.9,136.05,136.5,128973.0
GUJGASLTD.EQ-NSE,2019-01-21,135.45,136.35,133.0,133.0,119144.0
GUJGASLTD.EQ-NSE,2019-01-22,131.6,133.0,129.8,130.0,336239.0
GUJGASLTD.EQ-NSE,2019-01-23,131.2,131.95,130.0,130.3,66409.0
GUJGASLTD.EQ-NSE,2019-01-24,131.5,131.5,126.0,126.0,94570.0
GUJGASLTD.EQ-NSE,2019-01-25,125.75,132.0,122.75,124.55,243066.0
GUJGASLTD.EQ-NSE,2019-01-28,127.8,127.95,125.1,127.0,122131.0
GUJGASLTD.EQ-NSE,2019-01-29,125.0,129.4,123.2,127.65,80599.0
GUJGASLTD.EQ-NSE,2019-01-30,127.65,129.7,125.2,129.0,119030.0
GUJGASLTD.EQ-NSE,2019-01-31,129.75,129.75,126.0,127.5,57213.0
GUJGASLTD.EQ-NSE,2019-02-01,127.25,129.4,126.7,127.0,95856.0
GUJGASLTD.EQ-NSE,2019-02-04,126.1,130.35,120.0,130.35,198940.0
GUJGASLTD.EQ-NSE,2019-02-05,128.85,130.0,126.1,126.6,72843.0
GUJGASLTD.EQ-NSE,2019-02-06,127.15,128.3,125.0,126.5,479896.0
GUJGASLTD.EQ-NSE,2019-02-07,126.8,128.4,125.55,127.55,201741.0
GUJGASLTD.EQ-NSE,2019-02-08,130.0,133.0,120.25,124.15,1973809.0
GUJGASLTD.EQ-NSE,2019-02-11,125.0,127.95,122.4,124.2,848715.0
GUJGASLTD.EQ-NSE,2019-02-12,123.75,125.7,123.0,123.3,875236.0
GUJGASLTD.EQ-NSE,2019-02-13,124.25,125.5,121.2,123.25,159271.0
GUJGASLTD.EQ-NSE,2019-02-14,123.25,124.7,121.0,121.8,87438.0
GUJGASLTD.EQ-NSE,2019-02-15,121.25,122.15,118.8,119.0,162858.0
GUJGASLTD.EQ-NSE,2019-02-18,120.6,120.9,115.0,117.5,282439.0
GUJGASLTD.EQ-NSE,2019-02-19,115.45,118.1,115.45,117.85,80292.0
GUJGASLTD.EQ-NSE,2019-02-20,118.0,119.65,117.4,118.4,81767.0
GUJGASLTD.EQ-NSE,2019-02-21,119.75,120.0,117.0,117.85,125126.0
GUJGASLTD.EQ-NSE,2019-02-22,118.4,118.8,116.1,117.9,727868.0
GUJGASLTD.EQ-NSE,2019-02-25,118.0,121.8,118.0,120.6,160698.0
GUJGASLTD.EQ-NSE,2019-02-26,119.0,119.95,116.15,116.5,1063798.0
GUJGASLTD.EQ-NSE,2019-02-27,118.5,121.0,115.5,118.0,851617.0
GUJGASLTD.EQ-NSE,2019-02-28,119.4,119.9,118.35,118.8,484034.0
GUJGASLTD.EQ-NSE,2019-03-01,120.9,122.4,120.0,120.95,570403.0
GUJGASLTD.EQ-NSE,2019-03-05,122.4,123.4,121.2,122.3,281405.0
GUJGASLTD.EQ-NSE,2019-03-06,123.85,124.5,122.2,123.5,1198536.0
GUJGASLTD.EQ-NSE,2019-03-07,126.0,132.0,126.0,127.6,5242698.0
