Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GVKPIL.EQ-NSE,2022-08-12,6.0,6.0,5.7,5.7,1381093.0
GVKPIL.EQ-NSE,2022-08-16,5.45,5.45,5.45,5.45,330701.0
GVKPIL.EQ-NSE,2022-08-17,5.2,5.2,5.2,5.2,181464.0
GVKPIL.EQ-NSE,2022-08-18,4.95,4.95,4.95,4.95,154487.0
GVKPIL.EQ-NSE,2022-08-19,4.75,4.75,4.75,4.75,146996.0
GVKPIL.EQ-NSE,2022-08-22,4.55,4.55,4.55,4.55,154141.0
GVKPIL.EQ-NSE,2022-08-23,4.35,4.35,4.35,4.35,165312.0
GVKPIL.EQ-NSE,2022-08-24,4.15,4.3,4.15,4.15,17582223.0
GVKPIL.EQ-NSE,2022-08-25,4.0,4.05,3.95,3.95,9867287.0
GVKPIL.EQ-NSE,2022-08-26,3.8,3.8,3.8,3.8,581862.0
GVKPIL.EQ-NSE,2022-08-29,3.45,3.85,3.45,3.5,27290977.0
GVKPIL.EQ-NSE,2022-08-30,3.6,3.75,3.55,3.75,5089233.0
GVKPIL.EQ-NSE,2022-09-01,3.95,4.1,3.95,4.1,4356835.0
GVKPIL.EQ-NSE,2022-09-02,4.5,4.5,4.5,4.5,1177352.0
GVKPIL.EQ-NSE,2022-09-05,4.7,4.7,4.5,4.7,26836786.0
GVKPIL.EQ-NSE,2022-09-06,4.75,4.8,4.5,4.5,16785698.0
GVKPIL.EQ-NSE,2022-09-07,4.3,4.6,4.3,4.3,20579143.0
GVKPIL.EQ-NSE,2022-09-08,4.4,4.5,4.3,4.4,6663883.0
GVKPIL.EQ-NSE,2022-09-09,4.5,4.5,4.15,4.15,6194528.0
GVKPIL.EQ-NSE,2022-09-12,4.05,4.2,3.95,4.0,5395044.0
GVKPIL.EQ-NSE,2022-09-13,4.05,4.1,3.8,4.05,2771729.0
GVKPIL.EQ-NSE,2022-09-14,4.0,4.1,3.85,4.05,2039305.0
GVKPIL.EQ-NSE,2022-09-15,4.0,4.0,3.85,3.9,1473588.0
