Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HAVELLS.EQ-NSE,2019-01-01,694.2,697.5,686.5,696.55,412149.0
HAVELLS.EQ-NSE,2019-01-02,690.25,703.0,690.0,691.7,1227637.0
HAVELLS.EQ-NSE,2019-01-03,694.0,697.45,677.8,680.3,914201.0
HAVELLS.EQ-NSE,2019-01-04,684.0,688.9,672.95,683.0,1256562.0
HAVELLS.EQ-NSE,2019-01-07,685.0,695.75,683.1,694.0,656001.0
HAVELLS.EQ-NSE,2019-01-08,690.5,696.9,667.05,669.0,1685222.0
HAVELLS.EQ-NSE,2019-01-09,673.9,684.35,672.4,683.0,875949.0
HAVELLS.EQ-NSE,2019-01-10,682.5,690.55,676.0,687.1,982267.0
HAVELLS.EQ-NSE,2019-01-11,687.0,690.8,681.15,689.55,525851.0
HAVELLS.EQ-NSE,2019-01-14,687.75,690.55,683.45,689.0,515076.0
HAVELLS.EQ-NSE,2019-01-15,691.35,693.5,678.35,682.1,1042724.0
HAVELLS.EQ-NSE,2019-01-16,683.65,689.0,680.15,682.75,675512.0
HAVELLS.EQ-NSE,2019-01-17,684.5,685.75,674.2,675.8,968075.0
HAVELLS.EQ-NSE,2019-01-18,679.85,686.0,671.45,679.2,1298743.0
HAVELLS.EQ-NSE,2019-01-21,678.45,685.55,673.0,676.0,810067.0
HAVELLS.EQ-NSE,2019-01-22,679.1,721.0,670.6,713.9,5954627.0
HAVELLS.EQ-NSE,2019-01-23,717.55,721.05,691.0,692.4,2651874.0
HAVELLS.EQ-NSE,2019-01-24,696.1,707.5,695.6,702.0,1168444.0
HAVELLS.EQ-NSE,2019-01-25,702.45,724.6,701.15,711.9,1993075.0
HAVELLS.EQ-NSE,2019-01-28,711.4,713.05,686.35,697.35,1424241.0
HAVELLS.EQ-NSE,2019-01-29,697.95,704.2,688.55,702.0,961970.0
HAVELLS.EQ-NSE,2019-01-30,705.0,708.15,696.0,704.0,860951.0
HAVELLS.EQ-NSE,2019-01-31,705.9,716.25,692.1,714.0,1698707.0
HAVELLS.EQ-NSE,2019-02-01,715.0,739.9,711.0,738.9,1935677.0
HAVELLS.EQ-NSE,2019-02-04,740.95,746.0,726.1,734.5,2222832.0
HAVELLS.EQ-NSE,2019-02-05,735.55,739.8,725.0,733.8,890468.0
HAVELLS.EQ-NSE,2019-02-06,735.0,744.7,726.05,737.0,1637241.0
HAVELLS.EQ-NSE,2019-02-07,747.0,754.25,735.1,748.1,1591856.0
HAVELLS.EQ-NSE,2019-02-08,748.25,753.25,740.6,741.65,1322276.0
HAVELLS.EQ-NSE,2019-02-11,736.6,743.25,718.1,727.0,967493.0
HAVELLS.EQ-NSE,2019-02-12,729.0,733.45,705.5,708.3,1246534.0
HAVELLS.EQ-NSE,2019-02-13,708.1,710.4,698.3,703.25,1011266.0
HAVELLS.EQ-NSE,2019-02-14,703.45,704.8,689.25,693.5,903625.0
HAVELLS.EQ-NSE,2019-02-15,695.85,697.95,675.25,687.0,1121487.0
HAVELLS.EQ-NSE,2019-02-18,689.65,689.65,665.45,685.35,1634489.0
HAVELLS.EQ-NSE,2019-02-19,686.1,695.6,672.4,674.35,1186656.0
HAVELLS.EQ-NSE,2019-02-20,678.95,699.0,674.0,698.5,1041691.0
HAVELLS.EQ-NSE,2019-02-21,700.3,702.95,691.1,697.4,980864.0
HAVELLS.EQ-NSE,2019-02-22,696.05,705.8,692.55,692.55,1008950.0
HAVELLS.EQ-NSE,2019-02-25,698.0,705.0,690.0,702.4,698480.0
HAVELLS.EQ-NSE,2019-02-26,695.0,703.9,689.35,697.0,984295.0
HAVELLS.EQ-NSE,2019-02-27,698.65,712.45,690.05,693.25,1294184.0
HAVELLS.EQ-NSE,2019-02-28,696.0,718.5,695.55,718.45,2098804.0
HAVELLS.EQ-NSE,2019-03-01,718.05,727.0,705.1,707.0,1367798.0
HAVELLS.EQ-NSE,2019-03-05,709.0,723.9,705.1,719.5,1214143.0
HAVELLS.EQ-NSE,2019-03-06,722.75,730.95,711.7,712.1,1220539.0
HAVELLS.EQ-NSE,2019-03-07,719.0,728.0,711.15,718.25,1069889.0
HAVELLS.EQ-NSE,2019-03-08,719.2,729.5,717.65,727.4,1192308.0
HAVELLS.EQ-NSE,2019-03-11,729.45,746.0,728.5,741.45,2082561.0
HAVELLS.EQ-NSE,2019-03-12,748.5,769.9,746.6,764.95,2539382.0
HAVELLS.EQ-NSE,2019-03-13,768.0,776.75,758.6,767.0,2011316.0
HAVELLS.EQ-NSE,2019-03-14,766.5,772.0,745.1,746.2,1973762.0
HAVELLS.EQ-NSE,2019-03-15,749.95,754.0,742.0,746.0,1680114.0
HAVELLS.EQ-NSE,2019-03-18,746.15,756.0,741.0,750.5,880047.0
HAVELLS.EQ-NSE,2019-03-19,752.2,768.3,742.15,764.05,976898.0
HAVELLS.EQ-NSE,2019-03-20,768.0,768.0,754.0,757.1,806666.0
HAVELLS.EQ-NSE,2019-03-22,754.35,767.9,754.35,757.35,802097.0
HAVELLS.EQ-NSE,2019-03-25,750.35,752.65,736.5,738.2,942390.0
HAVELLS.EQ-NSE,2019-03-26,741.5,761.25,741.1,760.55,960019.0
HAVELLS.EQ-NSE,2019-03-27,763.8,764.4,745.3,748.6,683553.0
HAVELLS.EQ-NSE,2019-03-28,750.75,765.0,747.6,764.6,1179420.0
HAVELLS.EQ-NSE,2019-03-29,765.0,780.0,764.55,773.0,1445348.0
HAVELLS.EQ-NSE,2019-04-01,777.5,783.0,767.55,776.0,1048439.0
HAVELLS.EQ-NSE,2019-04-02,777.35,779.55,761.2,763.5,829360.0
HAVELLS.EQ-NSE,2019-04-03,766.0,780.0,764.0,770.5,1147624.0
HAVELLS.EQ-NSE,2019-04-04,769.0,769.5,756.4,765.35,726173.0
HAVELLS.EQ-NSE,2019-04-05,765.0,772.4,755.1,758.35,1166065.0
HAVELLS.EQ-NSE,2019-04-08,758.6,766.05,755.75,761.1,782377.0
HAVELLS.EQ-NSE,2019-04-09,764.1,764.75,752.0,760.7,915393.0
HAVELLS.EQ-NSE,2019-04-10,757.85,764.95,752.9,759.5,896638.0
HAVELLS.EQ-NSE,2019-04-11,756.7,759.9,750.95,753.55,557563.0
HAVELLS.EQ-NSE,2019-04-12,747.4,750.9,738.5,743.0,1716354.0
HAVELLS.EQ-NSE,2019-04-15,745.05,754.45,742.05,753.5,782751.0
HAVELLS.EQ-NSE,2019-04-16,757.0,760.25,751.35,757.8,1086570.0
HAVELLS.EQ-NSE,2019-04-18,757.45,767.6,755.0,756.05,1339305.0
HAVELLS.EQ-NSE,2019-04-22,757.4,764.0,754.0,762.7,784123.0
HAVELLS.EQ-NSE,2019-04-23,763.0,766.0,755.0,762.0,646902.0
HAVELLS.EQ-NSE,2019-04-24,762.25,776.0,759.0,775.0,1635196.0
HAVELLS.EQ-NSE,2019-04-25,776.1,780.5,770.5,773.4,1080721.0
HAVELLS.EQ-NSE,2019-04-26,776.4,777.55,760.2,764.1,332708.0
HAVELLS.EQ-NSE,2019-04-30,764.9,778.25,760.45,774.25,824344.0
HAVELLS.EQ-NSE,2019-05-02,778.8,778.85,765.0,770.0,1284238.0
HAVELLS.EQ-NSE,2019-05-03,769.9,774.35,765.55,771.0,811999.0
HAVELLS.EQ-NSE,2019-05-06,757.95,767.85,745.0,748.85,925195.0
HAVELLS.EQ-NSE,2019-05-07,752.55,754.7,735.1,742.0,1052344.0
HAVELLS.EQ-NSE,2019-05-08,739.1,739.9,724.8,734.0,1050551.0
HAVELLS.EQ-NSE,2019-05-09,728.7,745.7,724.65,741.1,766310.0
HAVELLS.EQ-NSE,2019-05-10,736.2,742.55,725.25,734.1,1191044.0
HAVELLS.EQ-NSE,2019-05-13,732.9,739.0,728.5,731.3,500991.0
HAVELLS.EQ-NSE,2019-05-14,735.6,735.6,717.1,723.5,1343699.0
HAVELLS.EQ-NSE,2019-05-15,724.95,728.9,717.65,723.0,1160353.0
HAVELLS.EQ-NSE,2019-05-16,724.15,727.65,713.5,723.9,1332552.0
HAVELLS.EQ-NSE,2019-05-17,724.8,739.0,723.0,735.0,2154472.0
HAVELLS.EQ-NSE,2019-05-20,747.0,758.9,737.75,758.5,1911302.0
HAVELLS.EQ-NSE,2019-05-21,758.05,766.75,754.0,758.2,1325047.0
HAVELLS.EQ-NSE,2019-05-22,759.6,765.5,748.1,755.1,1313541.0
HAVELLS.EQ-NSE,2019-05-23,768.95,768.95,738.15,750.05,2408138.0
HAVELLS.EQ-NSE,2019-05-24,752.85,754.9,739.1,745.0,1287867.0
HAVELLS.EQ-NSE,2019-05-27,742.0,743.7,731.1,733.0,1362728.0
HAVELLS.EQ-NSE,2019-05-28,732.0,735.45,720.0,723.25,2309108.0
HAVELLS.EQ-NSE,2019-05-29,723.0,737.85,713.85,734.3,5533442.0
HAVELLS.EQ-NSE,2019-05-30,732.05,733.0,709.2,723.25,3942972.0
HAVELLS.EQ-NSE,2019-05-31,722.75,752.0,722.25,750.0,2683934.0
HAVELLS.EQ-NSE,2019-06-03,748.1,772.0,743.45,769.95,1978820.0
HAVELLS.EQ-NSE,2019-06-04,764.8,786.4,762.35,777.0,1963595.0
HAVELLS.EQ-NSE,2019-06-06,777.5,787.75,768.5,781.8,1693291.0
HAVELLS.EQ-NSE,2019-06-07,778.35,793.65,773.0,789.0,1544568.0
HAVELLS.EQ-NSE,2019-06-10,790.25,797.4,787.7,792.0,1187298.0
HAVELLS.EQ-NSE,2019-06-11,791.8,796.8,786.1,793.0,898728.0
HAVELLS.EQ-NSE,2019-06-12,789.0,789.0,775.55,781.5,1320306.0
HAVELLS.EQ-NSE,2019-06-13,779.9,786.75,777.2,783.5,761715.0
HAVELLS.EQ-NSE,2019-06-14,782.95,784.2,774.9,778.25,833430.0
HAVELLS.EQ-NSE,2019-06-17,776.95,776.95,768.3,771.95,708758.0
HAVELLS.EQ-NSE,2019-06-18,767.9,777.15,763.05,776.2,766284.0
HAVELLS.EQ-NSE,2019-06-19,777.55,788.0,777.0,783.55,868230.0
HAVELLS.EQ-NSE,2019-06-20,783.5,788.0,776.0,784.15,772762.0
HAVELLS.EQ-NSE,2019-06-21,785.25,790.8,775.55,786.95,1056016.0
HAVELLS.EQ-NSE,2019-06-24,784.0,791.35,781.0,782.1,768043.0
HAVELLS.EQ-NSE,2019-06-25,781.65,786.25,766.75,783.4,845090.0
HAVELLS.EQ-NSE,2019-06-26,782.8,795.9,778.6,788.45,894293.0
HAVELLS.EQ-NSE,2019-06-27,792.0,797.0,784.05,796.9,1277301.0
HAVELLS.EQ-NSE,2019-06-28,795.0,806.85,782.65,783.85,2055506.0
HAVELLS.EQ-NSE,2019-07-01,790.3,797.5,783.4,786.55,1281960.0
HAVELLS.EQ-NSE,2019-07-02,787.05,796.0,781.35,793.4,646436.0
HAVELLS.EQ-NSE,2019-07-03,791.1,794.9,785.15,790.0,642695.0
HAVELLS.EQ-NSE,2019-07-04,793.85,793.85,781.7,784.5,922353.0
HAVELLS.EQ-NSE,2019-07-05,787.8,787.8,762.75,764.75,1829108.0
HAVELLS.EQ-NSE,2019-07-08,755.0,761.95,742.15,750.0,2173518.0
