Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HCC.EQ-NSE,2019-01-01,13.6,14.3,13.2,13.5,46004174.0
HCC.EQ-NSE,2019-01-02,13.45,14.0,13.2,13.45,21304351.0
HCC.EQ-NSE,2019-01-03,13.7,13.95,13.35,13.5,9387714.0
HCC.EQ-NSE,2019-01-04,13.8,13.85,13.3,13.3,8285442.0
HCC.EQ-NSE,2019-01-07,13.65,13.8,13.3,13.45,5788048.0
HCC.EQ-NSE,2019-01-08,13.5,13.5,12.8,13.0,6223613.0
HCC.EQ-NSE,2019-01-09,12.95,13.0,12.4,12.55,6653098.0
HCC.EQ-NSE,2019-01-10,12.55,13.8,12.4,13.35,17732087.0
HCC.EQ-NSE,2019-01-11,13.55,13.55,12.8,12.85,7497988.0
HCC.EQ-NSE,2019-01-14,12.8,13.4,12.6,12.95,8306866.0
HCC.EQ-NSE,2019-01-15,13.05,13.25,12.9,12.95,4412672.0
HCC.EQ-NSE,2019-01-16,13.05,13.4,13.0,13.15,7746596.0
HCC.EQ-NSE,2019-01-17,13.25,13.25,13.05,13.05,3041973.0
HCC.EQ-NSE,2019-01-18,13.15,14.15,13.0,13.45,12988333.0
HCC.EQ-NSE,2019-01-21,13.5,14.0,13.05,13.1,7055553.0
HCC.EQ-NSE,2019-01-22,13.05,13.5,12.95,13.5,6532978.0
HCC.EQ-NSE,2019-01-23,13.45,13.6,13.25,13.35,3528458.0
HCC.EQ-NSE,2019-01-24,13.35,13.45,13.1,13.3,2600114.0
HCC.EQ-NSE,2019-01-25,13.35,13.45,12.95,13.0,4621270.0
HCC.EQ-NSE,2019-01-28,12.95,13.05,12.55,12.55,4402832.0
HCC.EQ-NSE,2019-01-29,12.55,13.05,12.5,12.75,3007605.0
HCC.EQ-NSE,2019-01-30,12.85,13.0,12.4,12.55,2780391.0
HCC.EQ-NSE,2019-01-31,12.6,12.6,12.15,12.4,3034550.0
HCC.EQ-NSE,2019-02-01,12.5,12.75,12.05,12.25,3394672.0
HCC.EQ-NSE,2019-02-04,12.3,12.3,11.55,11.55,3781400.0
HCC.EQ-NSE,2019-02-05,11.6,12.4,10.8,12.2,6269371.0
