Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HCLTECH-I440PE,2019-01-01,2.0,2.5,2.0,2.025,32200.0,42000.0
HCLTECH-I450PE,2019-01-01,3.925,3.925,3.925,3.925,2800.0,44800.0
HCLTECH-I460PE,2019-01-01,6.025,6.15,5.925,6.15,5600.0,110600.0
HCLTECH-I465PE,2019-01-01,7.55,7.55,7.55,7.55,1400.0,18200.0
HCLTECH-I470PE,2019-01-01,9.8,9.8,8.675,8.675,9800.0,103600.0
HCLTECH-I475CE,2019-01-01,16.175,17.025,16.175,17.025,4200.0,19600.0
HCLTECH-I475PE,2019-01-01,12.0,12.0,11.05,11.05,14000.0,42000.0
HCLTECH-I480CE,2019-01-01,14.05,15.6,13.975,14.825,32200.0,98000.0
HCLTECH-I480PE,2019-01-01,14.525,14.875,12.875,12.875,19600.0,63000.0
HCLTECH-I485CE,2019-01-01,11.75,12.875,11.75,12.875,26600.0,51800.0
HCLTECH-I485PE,2019-01-01,15.925,15.925,15.925,15.925,1400.0,2800.0
HCLTECH-I490CE,2019-01-01,10.275,10.825,9.6,10.825,70000.0,88200.0
HCLTECH-I495CE,2019-01-01,8.25,8.85,8.25,8.85,8400.0,50400.0
HCLTECH-I500CE,2019-01-01,7.35,7.45,6.425,7.3,47600.0,266000.0
HCLTECH-I525CE,2019-01-01,2.7,2.7,2.6,2.6,2800.0,7000.0
HCLTECH-I550CE,2019-01-01,0.9,1.0,0.9,1.0,26600.0,67200.0
HCLTECH-I445PE,2019-01-02,3.0,3.0,3.0,3.0,1400.0,2800.0
HCLTECH-I450CE,2019-01-02,30.0,30.0,30.0,30.0,1400.0,4200.0
HCLTECH-I450PE,2019-01-02,4.8,5.0,4.7,5.0,39200.0,56000.0
HCLTECH-I455PE,2019-01-02,6.25,6.25,6.25,6.25,1400.0,21000.0
HCLTECH-I460PE,2019-01-02,5.725,8.625,5.725,7.35,120400.0,173600.0
HCLTECH-I465PE,2019-01-02,7.7,10.275,7.7,9.15,9800.0,21000.0
HCLTECH-I470CE,2019-01-02,20.25,20.25,15.5,16.3,15400.0,26600.0
HCLTECH-I470PE,2019-01-02,9.125,12.8,8.55,11.7,92400.0,124600.0
HCLTECH-I475CE,2019-01-02,16.8,18.0,13.375,14.95,91000.0,49000.0
HCLTECH-I475PE,2019-01-02,11.175,15.45,10.7,13.4,71400.0,54600.0
HCLTECH-I480CE,2019-01-02,15.0,15.5,10.625,12.5,219800.0,165200.0
HCLTECH-I480PE,2019-01-02,12.9,17.9,12.75,16.225,58800.0,72800.0
HCLTECH-I485CE,2019-01-02,12.525,12.85,8.925,10.5,138600.0,74200.0
HCLTECH-I485PE,2019-01-02,16.025,19.9,15.525,19.9,26600.0,4200.0
HCLTECH-I490CE,2019-01-02,10.35,10.825,7.25,8.7,351400.0,151200.0
HCLTECH-I490PE,2019-01-02,23.95,23.95,23.95,23.95,1400.0,1400.0
HCLTECH-I495CE,2019-01-02,8.375,8.825,6.325,6.7,39200.0,67200.0
HCLTECH-I500CE,2019-01-02,7.1,7.25,4.9,5.975,242200.0,329000.0
HCLTECH-I500PE,2019-01-02,27.5,32.5,27.5,28.925,8400.0,21000.0
HCLTECH-I510CE,2019-01-02,4.825,4.825,3.925,3.925,9800.0,21000.0
HCLTECH-I525CE,2019-01-02,2.5,2.55,2.0,2.075,23800.0,23800.0
HCLTECH-I535CE,2019-01-02,1.725,1.725,1.725,1.725,1400.0,1400.0
HCLTECH-I550CE,2019-01-02,1.0,1.0,0.75,0.75,23800.0,78400.0
HCLTECH-I390PE,2019-01-03,0.5,0.5,0.5,0.5,1400.0,0.0
HCLTECH-I430PE,2019-01-03,2.475,2.475,2.475,2.475,1400.0,23800.0
HCLTECH-I440CE,2019-01-03,37.875,37.875,37.875,37.875,1400.0,1400.0
HCLTECH-I440PE,2019-01-03,3.025,3.2,3.025,3.025,100800.0,96600.0
HCLTECH-I445PE,2019-01-03,3.375,3.425,3.3,3.425,19600.0,9800.0
HCLTECH-I450PE,2019-01-03,4.5,4.5,4.5,4.5,4200.0,74200.0
HCLTECH-I460PE,2019-01-03,6.75,8.275,6.75,8.125,16800.0,176400.0
HCLTECH-I465PE,2019-01-03,8.225,10.1,8.15,10.0,16800.0,25200.0
HCLTECH-I470CE,2019-01-03,18.05,20.35,16.05,17.075,60200.0,33600.0
HCLTECH-I470PE,2019-01-03,10.5,12.575,9.5,11.4,134400.0,184800.0
HCLTECH-I475CE,2019-01-03,15.0,17.725,14.0,14.5,134400.0,50400.0
HCLTECH-I475PE,2019-01-03,12.35,14.875,11.775,13.975,37800.0,60200.0
HCLTECH-I480CE,2019-01-03,12.0,15.3,11.45,12.5,432600.0,231000.0
HCLTECH-I480PE,2019-01-03,15.15,17.25,13.975,16.425,65800.0,93800.0
HCLTECH-I485CE,2019-01-03,10.8,13.0,9.65,11.9,274400.0,113400.0
HCLTECH-I485PE,2019-01-03,18.2,20.525,16.475,19.475,30800.0,4200.0
HCLTECH-I490CE,2019-01-03,8.675,10.875,7.9,8.925,317800.0,172200.0
HCLTECH-I495CE,2019-01-03,7.9,8.75,6.475,7.025,61600.0,72800.0
HCLTECH-I500CE,2019-01-03,6.0,7.425,5.425,6.0,397600.0,278600.0
HCLTECH-I500PE,2019-01-03,27.5,30.0,27.5,30.0,2800.0,18200.0
HCLTECH-I505CE,2019-01-03,5.375,5.375,5.025,5.025,4200.0,1400.0
HCLTECH-I510CE,2019-01-03,4.325,5.725,3.375,3.875,54600.0,44800.0
HCLTECH-I520CE,2019-01-03,2.5,2.5,2.5,2.5,1400.0,2800.0
HCLTECH-I525CE,2019-01-03,2.25,2.25,1.5,1.5,2800.0,23800.0
HCLTECH-I390PE,2019-01-04,0.75,1.0,0.75,1.0,2800.0,1400.0
HCLTECH-I425PE,2019-01-04,2.375,2.8,2.375,2.5,39200.0,23800.0
HCLTECH-I430PE,2019-01-04,3.5,4.25,2.9,3.05,47600.0,42000.0
HCLTECH-I440PE,2019-01-04,5.0,6.625,4.4,5.0,14000.0,103600.0
HCLTECH-I445PE,2019-01-04,4.5,4.5,4.5,4.5,1400.0,15400.0
HCLTECH-I450CE,2019-01-04,23.1,25.8,23.1,25.8,4200.0,5600.0
HCLTECH-I450PE,2019-01-04,5.625,9.775,5.55,7.375,410200.0,179200.0
HCLTECH-I455PE,2019-01-04,7.45,11.5,7.45,9.375,85400.0,26600.0
HCLTECH-I460PE,2019-01-04,9.0,13.75,8.75,11.075,411600.0,225400.0
HCLTECH-I465CE,2019-01-04,16.925,18.525,15.75,16.5,25200.0,30800.0
HCLTECH-I465PE,2019-01-04,11.15,16.45,11.1,13.475,168000.0,56000.0
HCLTECH-I470CE,2019-01-04,15.75,15.75,12.625,15.0,222600.0,64400.0
HCLTECH-I470PE,2019-01-04,12.7,19.05,12.7,16.45,184800.0,183400.0
HCLTECH-I475CE,2019-01-04,14.5,14.5,10.725,12.15,152600.0,82600.0
HCLTECH-I475PE,2019-01-04,16.175,21.775,16.175,18.675,57400.0,36400.0
HCLTECH-I480CE,2019-01-04,11.95,11.95,9.0,10.4,306600.0,273000.0
HCLTECH-I480PE,2019-01-04,17.55,23.9,17.55,22.5,60200.0,60200.0
HCLTECH-I485CE,2019-01-04,10.9,10.9,7.4,8.25,173600.0,112000.0
HCLTECH-I485PE,2019-01-04,22.0,28.225,21.95,25.575,106400.0,14000.0
HCLTECH-I490CE,2019-01-04,8.425,8.425,6.25,7.05,359800.0,207200.0
HCLTECH-I495CE,2019-01-04,6.25,6.7,5.4,6.1,44800.0,103600.0
HCLTECH-I500CE,2019-01-04,6.0,6.0,4.2,5.0,284200.0,296800.0
HCLTECH-I500PE,2019-01-04,32.5,40.0,32.5,36.5,7000.0,23800.0
HCLTECH-I510CE,2019-01-04,3.3,3.3,3.3,3.3,2800.0,44800.0
HCLTECH-I520CE,2019-01-04,2.4,2.4,2.25,2.25,2800.0,2800.0
HCLTECH-I525CE,2019-01-04,1.5,1.5,1.5,1.5,1400.0,25200.0
HCLTECH-I550CE,2019-01-04,0.75,0.75,0.75,0.75,1400.0,78400.0
HCLTECH-I400PE,2019-01-07,0.675,0.675,0.675,0.675,2800.0,1400.0
HCLTECH-I425PE,2019-01-07,1.825,1.825,1.75,1.75,5600.0,25200.0
HCLTECH-I440PE,2019-01-07,3.5,4.05,3.5,4.05,9800.0,106400.0
