Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HDFCAMC-I2600PE,2021-01-01,10.0,10.0,10.0,10.0,400.0,200.0
HDFCAMC-I2800PE,2021-01-01,30.0,32.0,26.5,28.0,2600.0,2000.0
HDFCAMC-I2860PE,2021-01-01,60.0,60.0,42.0,44.0,8600.0,7200.0
HDFCAMC-I2900PE,2021-01-01,68.8,75.0,52.0,55.0,15200.0,7000.0
HDFCAMC-I2920CE,2021-01-01,153.0,160.0,119.65,160.0,1800.0,600.0
HDFCAMC-I2920PE,2021-01-01,77.7,81.65,61.1,69.3,3400.0,1600.0
HDFCAMC-I2940CE,2021-01-01,140.0,154.1,109.15,144.9,2200.0,1200.0
HDFCAMC-I2940PE,2021-01-01,80.45,85.2,70.8,70.8,1200.0,600.0
HDFCAMC-I2960CE,2021-01-01,125.0,150.0,109.05,129.4,10200.0,3000.0
HDFCAMC-I2960PE,2021-01-01,89.85,97.25,75.65,80.0,11600.0,8600.0
HDFCAMC-I2980CE,2021-01-01,92.1,138.75,92.1,126.05,9200.0,3600.0
HDFCAMC-I2980PE,2021-01-01,178.95,178.95,79.5,79.5,600.0,200.0
HDFCAMC-I3000CE,2021-01-01,118.0,128.0,70.0,116.5,251600.0,54000.0
HDFCAMC-I3000PE,2021-01-01,118.15,118.6,94.0,102.0,9600.0,3800.0
HDFCAMC-I3020CE,2021-01-01,90.0,115.05,88.95,101.0,16600.0,12000.0
HDFCAMC-I3060CE,2021-01-01,75.0,101.6,75.0,86.8,2400.0,1200.0
HDFCAMC-I3100CE,2021-01-01,55.0,85.0,55.0,67.55,39000.0,14000.0
HDFCAMC-I3140CE,2021-01-01,88.0,88.0,51.0,55.1,5200.0,2000.0
HDFCAMC-I3200CE,2021-01-01,56.15,56.15,28.0,43.0,55000.0,16200.0
HDFCAMC-I3300CE,2021-01-01,29.0,31.95,25.0,25.5,19600.0,12600.0
HDFCAMC-I2600PE,2021-01-04,10.0,10.0,6.0,6.0,400.0,600.0
HDFCAMC-I2800PE,2021-01-04,26.85,30.0,20.5,23.75,2600.0,3600.0
HDFCAMC-I2860PE,2021-01-04,43.95,44.5,34.0,34.0,2600.0,9600.0
HDFCAMC-I2900PE,2021-01-04,52.0,60.0,46.05,47.0,5400.0,9200.0
HDFCAMC-I2920CE,2021-01-04,150.1,150.1,148.3,148.3,400.0,600.0
HDFCAMC-I2920PE,2021-01-04,58.75,66.5,58.75,66.5,400.0,1400.0
HDFCAMC-I2940CE,2021-01-04,144.8,145.8,144.8,145.8,400.0,1200.0
HDFCAMC-I2940PE,2021-01-04,64.65,64.65,64.65,64.65,200.0,600.0
HDFCAMC-I2960CE,2021-01-04,120.0,124.8,114.0,124.8,600.0,3200.0
HDFCAMC-I2960PE,2021-01-04,70.0,74.4,65.0,65.0,800.0,9600.0
HDFCAMC-I2980CE,2021-01-04,114.4,125.0,100.05,125.0,2600.0,4000.0
HDFCAMC-I2980PE,2021-01-04,75.05,75.05,75.05,75.05,200.0,400.0
HDFCAMC-I3000CE,2021-01-04,121.95,122.0,95.0,113.0,68000.0,40600.0
HDFCAMC-I3000PE,2021-01-04,97.4,100.0,73.95,79.0,7200.0,6600.0
HDFCAMC-I3020CE,2021-01-04,116.35,117.0,73.9,102.3,10200.0,12800.0
HDFCAMC-I3040CE,2021-01-04,100.0,100.0,85.0,96.0,1400.0,600.0
HDFCAMC-I3060CE,2021-01-04,101.5,101.5,72.05,83.15,5000.0,2200.0
HDFCAMC-I3080CE,2021-01-04,80.4,81.6,71.15,77.7,2400.0,1200.0
HDFCAMC-I3100CE,2021-01-04,74.9,76.0,58.0,68.6,24200.0,14600.0
HDFCAMC-I3140CE,2021-01-04,56.85,57.8,46.15,46.15,3200.0,1600.0
HDFCAMC-I3180CE,2021-01-04,50.0,50.0,50.0,50.0,200.0,0.0
HDFCAMC-I3200CE,2021-01-04,48.95,49.0,33.05,39.3,27400.0,19800.0
HDFCAMC-I3300CE,2021-01-04,24.5,27.9,20.0,24.0,11000.0,17200.0
HDFCAMC-I2700PE,2021-01-05,9.0,11.0,5.1,6.3,14600.0,1600.0
HDFCAMC-I2800PE,2021-01-05,24.65,25.5,10.0,10.0,5200.0,4200.0
HDFCAMC-I2860PE,2021-01-05,26.0,28.0,21.0,21.05,7400.0,8600.0
HDFCAMC-I2900PE,2021-01-05,51.55,51.55,20.5,24.0,15600.0,8200.0
HDFCAMC-I2920CE,2021-01-05,170.0,170.0,166.15,166.15,400.0,600.0
HDFCAMC-I2920PE,2021-01-05,44.0,44.0,25.05,25.05,1000.0,1200.0
HDFCAMC-I2940CE,2021-01-05,152.7,170.0,152.7,170.0,600.0,800.0
HDFCAMC-I2940PE,2021-01-05,60.15,60.15,28.3,28.3,600.0,800.0
