Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HDFC-I1760PE,2019-01-01,1.7,1.7,1.7,1.7,500.0,2500.0
HDFC-I1780PE,2019-01-01,9.0,9.0,9.0,9.0,500.0,3000.0
HDFC-I1800CE,2019-01-01,219.0,219.0,216.0,217.0,2500.0,22500.0
HDFC-I1800PE,2019-01-01,4.0,4.0,3.0,3.0,4500.0,16500.0
HDFC-I1840PE,2019-01-01,6.0,6.0,6.0,6.0,500.0,26000.0
HDFC-I1860PE,2019-01-01,11.8,11.8,7.0,7.0,4500.0,43000.0
HDFC-I1880PE,2019-01-01,15.0,15.7,9.5,10.35,11500.0,36500.0
HDFC-I1900CE,2019-01-01,85.8,130.0,85.8,130.0,5000.0,67000.0
HDFC-I1900PE,2019-01-01,20.7,21.05,12.5,13.95,173500.0,90500.0
HDFC-I1920CE,2019-01-01,72.45,72.5,72.45,72.5,2000.0,10500.0
HDFC-I1920PE,2019-01-01,24.9,27.1,16.1,16.35,84000.0,33000.0
HDFC-I1940CE,2019-01-01,60.0,100.4,58.8,100.4,1500.0,32000.0
HDFC-I1940PE,2019-01-01,30.15,34.7,20.15,21.3,143000.0,57000.0
HDFC-I1950PE,2019-01-01,37.25,39.85,23.0,24.0,22500.0,9000.0
HDFC-I1960CE,2019-01-01,54.0,85.2,48.5,83.5,52000.0,29500.0
HDFC-I1960PE,2019-01-01,39.0,43.8,24.9,26.1,218500.0,71500.0
HDFC-I1980CE,2019-01-01,47.6,72.1,39.55,67.8,258000.0,72000.0
HDFC-I1980PE,2019-01-01,45.7,54.55,30.8,32.5,166500.0,91500.0
HDFC-I2000CE,2019-01-01,39.0,60.1,31.9,57.0,536500.0,268000.0
HDFC-I2000PE,2019-01-01,56.0,64.45,38.3,39.25,92500.0,63500.0
HDFC-I2020CE,2019-01-01,31.4,49.95,24.75,47.15,323500.0,76500.0
HDFC-I2020PE,2019-01-01,50.5,51.4,47.95,47.95,3000.0,2500.0
HDFC-I2040CE,2019-01-01,22.85,39.95,18.45,38.0,246000.0,57000.0
HDFC-I2040PE,2019-01-01,58.5,58.5,58.5,58.5,500.0,0.0
HDFC-I2050CE,2019-01-01,20.0,36.0,20.0,35.0,7500.0,4000.0
HDFC-I2060CE,2019-01-01,16.8,31.0,14.4,30.0,103000.0,42500.0
HDFC-I2080CE,2019-01-01,11.8,24.7,11.2,23.8,13500.0,14000.0
HDFC-I2100CE,2019-01-01,9.35,18.05,7.9,17.7,78500.0,83000.0
HDFC-I2100PE,2019-01-01,113.0,113.0,103.0,103.0,2000.0,7500.0
HDFC-I2120CE,2019-01-01,6.9,13.3,6.55,13.3,14000.0,12500.0
HDFC-I2140CE,2019-01-01,4.5,9.95,3.65,9.95,19000.0,21500.0
HDFC-I2150CE,2019-01-01,5.0,5.0,5.0,5.0,500.0,0.0
HDFC-I2160CE,2019-01-01,3.5,7.2,3.5,7.2,3000.0,6000.0
HDFC-I2180CE,2019-01-01,2.25,8.0,2.0,5.0,6500.0,9000.0
HDFC-I2200CE,2019-01-01,2.3,4.5,2.3,3.8,8000.0,9000.0
HDFC-I1640PE,2019-01-02,0.5,0.5,0.5,0.5,500.0,500.0
HDFC-I1760PE,2019-01-02,3.0,3.0,3.0,3.0,1000.0,3000.0
HDFC-I1780PE,2019-01-02,2.0,4.5,2.0,4.5,1500.0,3500.0
HDFC-I1800PE,2019-01-02,4.0,6.0,3.9,5.2,27500.0,21000.0
HDFC-I1840PE,2019-01-02,4.0,10.0,4.0,9.0,5500.0,26000.0
HDFC-I1860CE,2019-01-02,152.0,152.0,131.0,131.0,7000.0,39500.0
HDFC-I1860PE,2019-01-02,9.0,12.3,8.0,10.1,33000.0,46000.0
HDFC-I1880PE,2019-01-02,10.5,15.95,10.5,13.1,14500.0,35000.0
HDFC-I1900CE,2019-01-02,119.7,120.0,102.3,102.3,2000.0,65500.0
HDFC-I1900PE,2019-01-02,13.95,21.45,13.7,16.5,112500.0,91500.0
HDFC-I1920CE,2019-01-02,105.85,105.85,89.65,89.65,1500.0,9500.0
HDFC-I1920PE,2019-01-02,17.8,27.2,16.55,20.6,66000.0,29500.0
HDFC-I1940CE,2019-01-02,79.8,79.8,79.8,79.8,500.0,31500.0
HDFC-I1940PE,2019-01-02,23.9,34.5,22.4,26.0,142500.0,59000.0
HDFC-I1950PE,2019-01-02,26.95,39.0,25.0,29.55,42500.0,9000.0
HDFC-I1960CE,2019-01-02,72.5,80.0,56.2,65.6,20500.0,30000.0
HDFC-I1960PE,2019-01-02,27.9,43.0,27.9,32.95,178000.0,54500.0
HDFC-I1980CE,2019-01-02,62.75,65.5,46.3,53.05,115000.0,62000.0
HDFC-I1980PE,2019-01-02,36.0,52.4,35.0,42.0,260500.0,68500.0
HDFC-I2000CE,2019-01-02,51.55,56.45,38.0,45.0,455000.0,297000.0
HDFC-I2000PE,2019-01-02,42.0,63.75,42.0,50.0,288000.0,44500.0
HDFC-I2020CE,2019-01-02,45.0,49.0,30.9,36.0,436500.0,80500.0
HDFC-I2020PE,2019-01-02,56.0,72.1,53.6,59.9,8500.0,4500.0
HDFC-I2040CE,2019-01-02,31.2,36.1,24.25,26.45,401000.0,81000.0
HDFC-I2040PE,2019-01-02,72.0,76.6,72.0,76.6,1000.0,500.0
HDFC-I2050CE,2019-01-02,34.2,34.2,21.6,24.0,94500.0,27500.0
HDFC-I2060CE,2019-01-02,28.5,28.5,19.05,22.5,123500.0,41000.0
HDFC-I2080CE,2019-01-02,19.7,22.1,15.0,17.4,98500.0,27500.0
HDFC-I2100CE,2019-01-02,16.0,16.85,11.3,13.3,195500.0,96000.0
HDFC-I2100PE,2019-01-02,112.65,128.55,112.65,128.55,1000.0,8000.0
HDFC-I2120CE,2019-01-02,12.85,13.3,8.0,8.6,13500.0,17500.0
HDFC-I2140CE,2019-01-02,7.0,12.0,5.1,5.1,12500.0,23000.0
HDFC-I2150CE,2019-01-02,7.0,8.5,6.85,8.5,8500.0,3000.0
HDFC-I2160CE,2019-01-02,7.2,7.25,4.0,6.5,24000.0,12500.0
HDFC-I2180CE,2019-01-02,4.9,5.0,4.9,5.0,1000.0,9000.0
HDFC-I2200CE,2019-01-02,3.5,3.95,2.1,3.2,38000.0,28500.0
HDFC-I2300CE,2019-01-02,3.9,3.9,3.9,3.9,500.0,1000.0
HDFC-I1660PE,2019-01-03,1.0,1.0,1.0,1.0,500.0,1000.0
HDFC-I1700PE,2019-01-03,2.25,2.25,2.25,2.25,500.0,0.0
HDFC-I1780PE,2019-01-03,5.0,5.5,5.0,5.25,1500.0,4000.0
HDFC-I1800CE,2019-01-03,162.65,162.65,162.65,162.65,500.0,23500.0
HDFC-I1800PE,2019-01-03,5.25,8.2,5.25,7.7,47000.0,42000.0
HDFC-I1840PE,2019-01-03,11.0,13.0,11.0,13.0,5500.0,27000.0
HDFC-I1850PE,2019-01-03,14.5,16.6,14.5,15.0,3000.0,2000.0
HDFC-I1860CE,2019-01-03,125.0,125.0,112.0,112.0,7000.0,32500.0
HDFC-I1860PE,2019-01-03,12.3,17.5,9.8,16.9,12000.0,47000.0
HDFC-I1880PE,2019-01-03,13.2,23.0,13.2,22.85,80000.0,35000.0
HDFC-I1900CE,2019-01-03,96.1,96.1,75.0,75.0,5500.0,65500.0
