Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HDIL.EQ-NSE,2019-01-01,26.4,26.7,25.45,26.5,9069203.0
HDIL.EQ-NSE,2019-01-02,26.1,26.9,25.8,25.85,6126097.0
HDIL.EQ-NSE,2019-01-03,26.0,26.2,25.25,25.55,4560009.0
HDIL.EQ-NSE,2019-01-04,25.55,26.0,25.2,25.5,3492735.0
HDIL.EQ-NSE,2019-01-07,25.8,28.1,25.7,27.3,14924139.0
HDIL.EQ-NSE,2019-01-08,27.35,29.7,27.0,28.75,14161578.0
HDIL.EQ-NSE,2019-01-09,28.95,29.1,28.0,28.2,8884812.0
HDIL.EQ-NSE,2019-01-10,28.4,28.95,27.8,27.95,7658478.0
HDIL.EQ-NSE,2019-01-11,27.85,27.95,26.65,26.95,4859031.0
HDIL.EQ-NSE,2019-01-14,26.8,27.9,26.45,27.6,5202662.0
HDIL.EQ-NSE,2019-01-15,27.85,28.5,27.65,28.0,5022443.0
HDIL.EQ-NSE,2019-01-16,28.2,28.6,28.0,28.2,4405756.0
HDIL.EQ-NSE,2019-01-17,28.25,28.4,27.4,27.55,4205930.0
HDIL.EQ-NSE,2019-01-18,27.65,27.85,26.95,27.05,2979644.0
HDIL.EQ-NSE,2019-01-21,27.25,27.25,26.1,26.2,2908361.0
HDIL.EQ-NSE,2019-01-22,26.2,26.85,25.8,26.1,2984035.0
HDIL.EQ-NSE,2019-01-23,26.2,27.25,26.1,26.95,3620991.0
HDIL.EQ-NSE,2019-01-24,27.2,27.7,26.75,27.6,4289561.0
HDIL.EQ-NSE,2019-01-25,27.8,28.15,27.25,27.55,5003278.0
HDIL.EQ-NSE,2019-01-28,27.55,27.65,26.4,26.7,2991504.0
HDIL.EQ-NSE,2019-01-29,26.6,27.15,26.25,26.5,2396726.0
HDIL.EQ-NSE,2019-01-30,26.65,26.85,25.85,26.05,2513700.0
HDIL.EQ-NSE,2019-01-31,26.2,26.4,25.9,26.2,1968414.0
