Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HEROMOTOCO-I2700PE,2019-01-01,10.0,11.95,10.0,10.0,800.0,5800.0
HEROMOTOCO-I2800PE,2019-01-01,18.0,18.0,12.05,12.05,1000.0,3000.0
HEROMOTOCO-I2850CE,2019-01-01,287.6,287.6,287.6,287.6,200.0,0.0
HEROMOTOCO-I2900PE,2019-01-01,30.0,33.7,22.0,22.0,22600.0,16600.0
HEROMOTOCO-I2950PE,2019-01-01,40.0,45.0,30.0,30.0,800.0,4800.0
HEROMOTOCO-I3000CE,2019-01-01,157.5,183.9,157.5,183.9,600.0,800.0
HEROMOTOCO-I3000PE,2019-01-01,55.05,61.55,39.2,41.15,74800.0,41400.0
HEROMOTOCO-I3050CE,2019-01-01,139.0,150.95,131.2,148.65,1000.0,400.0
HEROMOTOCO-I3050PE,2019-01-01,71.2,81.05,55.25,57.95,31600.0,14800.0
HEROMOTOCO-I3100CE,2019-01-01,105.0,121.0,98.4,115.45,24000.0,7800.0
HEROMOTOCO-I3100PE,2019-01-01,99.95,103.45,73.1,74.0,67400.0,23600.0
HEROMOTOCO-I3150CE,2019-01-01,80.75,94.45,75.85,90.0,63800.0,16400.0
HEROMOTOCO-I3150PE,2019-01-01,121.7,128.45,94.5,95.05,5000.0,11400.0
HEROMOTOCO-I3200CE,2019-01-01,55.95,72.65,55.9,69.7,303400.0,57800.0
HEROMOTOCO-I3200PE,2019-01-01,157.65,158.45,124.15,124.15,1800.0,6000.0
HEROMOTOCO-I3250CE,2019-01-01,45.8,54.4,43.2,53.6,116600.0,13800.0
HEROMOTOCO-I3250PE,2019-01-01,176.7,176.7,176.3,176.3,400.0,1400.0
HEROMOTOCO-I3300CE,2019-01-01,34.85,40.0,31.55,38.5,183800.0,63400.0
HEROMOTOCO-I3300PE,2019-01-01,222.65,222.65,199.45,199.45,400.0,1000.0
HEROMOTOCO-I3350CE,2019-01-01,24.25,27.05,23.0,26.0,5600.0,21800.0
HEROMOTOCO-I3400CE,2019-01-01,19.1,21.25,17.0,21.25,20800.0,18600.0
HEROMOTOCO-I3450CE,2019-01-01,14.0,15.0,13.5,13.5,2800.0,6200.0
HEROMOTOCO-I3500CE,2019-01-01,9.0,11.25,8.95,11.25,30200.0,34800.0
HEROMOTOCO-I3600CE,2019-01-01,5.0,6.0,5.0,6.0,1000.0,5600.0
HEROMOTOCO-I3700CE,2019-01-01,4.6,4.6,4.6,4.6,400.0,600.0
HEROMOTOCO-I2500PE,2019-01-02,2.3,2.3,2.3,2.3,200.0,200.0
HEROMOTOCO-I2700PE,2019-01-02,9.0,12.65,9.0,9.2,20600.0,17800.0
HEROMOTOCO-I2800PE,2019-01-02,11.0,23.45,11.0,18.5,29600.0,16200.0
HEROMOTOCO-I2850PE,2019-01-02,18.0,18.0,18.0,18.0,200.0,0.0
HEROMOTOCO-I2900PE,2019-01-02,26.0,43.0,23.35,38.8,109200.0,34400.0
HEROMOTOCO-I2950PE,2019-01-02,42.0,55.6,36.0,47.6,39800.0,29000.0
HEROMOTOCO-I3000CE,2019-01-02,165.75,166.75,120.95,127.5,3800.0,2200.0
