Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HINDCOPPER.EQ-NSE,2019-01-01,52.5,52.7,51.7,52.0,968348.0
HINDCOPPER.EQ-NSE,2019-01-02,51.7,51.7,50.55,50.6,482294.0
HINDCOPPER.EQ-NSE,2019-01-03,50.6,50.85,49.8,50.3,519024.0
HINDCOPPER.EQ-NSE,2019-01-04,50.1,50.65,49.5,49.95,509247.0
HINDCOPPER.EQ-NSE,2019-01-07,50.75,51.2,50.15,50.2,574299.0
HINDCOPPER.EQ-NSE,2019-01-08,50.05,50.7,49.65,50.15,276892.0
HINDCOPPER.EQ-NSE,2019-01-09,50.45,50.45,49.3,49.5,405349.0
HINDCOPPER.EQ-NSE,2019-01-10,49.5,49.6,49.05,49.2,368795.0
HINDCOPPER.EQ-NSE,2019-01-11,49.85,50.2,49.25,49.4,443829.0
HINDCOPPER.EQ-NSE,2019-01-14,49.45,49.75,48.5,49.5,478751.0
HINDCOPPER.EQ-NSE,2019-01-15,49.7,50.2,49.35,49.45,339414.0
HINDCOPPER.EQ-NSE,2019-01-16,49.6,50.8,49.6,50.2,560455.0
HINDCOPPER.EQ-NSE,2019-01-17,50.3,50.55,49.5,49.65,255741.0
HINDCOPPER.EQ-NSE,2019-01-18,49.95,50.05,48.9,49.05,319664.0
HINDCOPPER.EQ-NSE,2019-01-21,49.5,49.6,48.5,48.9,452971.0
HINDCOPPER.EQ-NSE,2019-01-22,48.35,48.45,47.4,47.95,373594.0
HINDCOPPER.EQ-NSE,2019-01-23,48.35,48.7,47.7,47.75,469310.0
HINDCOPPER.EQ-NSE,2019-01-24,47.9,47.9,47.0,47.3,282060.0
HINDCOPPER.EQ-NSE,2019-01-25,47.3,47.7,45.9,46.35,439911.0
HINDCOPPER.EQ-NSE,2019-01-28,46.1,46.2,45.0,45.45,301395.0
HINDCOPPER.EQ-NSE,2019-01-29,45.25,46.3,45.0,46.2,350948.0
HINDCOPPER.EQ-NSE,2019-01-30,45.8,46.25,45.3,45.95,364472.0
HINDCOPPER.EQ-NSE,2019-01-31,46.5,46.65,45.85,46.35,346506.0
HINDCOPPER.EQ-NSE,2019-02-01,46.5,46.9,45.6,45.9,301998.0
HINDCOPPER.EQ-NSE,2019-02-04,46.5,46.5,44.8,44.9,414045.0
HINDCOPPER.EQ-NSE,2019-02-05,45.05,45.35,44.1,44.15,304156.0
HINDCOPPER.EQ-NSE,2019-02-06,44.5,44.95,43.55,44.9,467028.0
HINDCOPPER.EQ-NSE,2019-02-07,44.55,44.95,44.0,44.4,294302.0
HINDCOPPER.EQ-NSE,2019-02-08,44.0,44.55,43.6,43.8,262223.0
HINDCOPPER.EQ-NSE,2019-02-11,44.0,44.5,43.0,43.7,318256.0
HINDCOPPER.EQ-NSE,2019-02-12,44.8,46.4,44.25,45.45,1761472.0
HINDCOPPER.EQ-NSE,2019-02-13,45.5,45.6,43.8,43.9,478251.0
HINDCOPPER.EQ-NSE,2019-02-14,44.1,45.9,43.35,45.15,550264.0
HINDCOPPER.EQ-NSE,2019-02-15,44.95,44.95,43.25,43.5,434324.0
HINDCOPPER.EQ-NSE,2019-02-18,43.6,43.85,43.0,43.25,259823.0
HINDCOPPER.EQ-NSE,2019-02-19,43.35,45.3,43.35,44.45,506491.0
HINDCOPPER.EQ-NSE,2019-02-20,44.55,45.2,44.3,44.4,387423.0
HINDCOPPER.EQ-NSE,2019-02-21,44.7,45.45,44.25,44.9,364216.0
HINDCOPPER.EQ-NSE,2019-02-22,44.55,45.55,44.55,44.9,447115.0
HINDCOPPER.EQ-NSE,2019-02-25,45.25,46.75,45.15,46.2,584900.0
HINDCOPPER.EQ-NSE,2019-02-26,45.75,45.9,45.0,45.35,498038.0
HINDCOPPER.EQ-NSE,2019-02-27,45.55,46.95,44.55,45.2,729417.0
HINDCOPPER.EQ-NSE,2019-02-28,45.7,46.0,45.2,45.6,315983.0
HINDCOPPER.EQ-NSE,2019-03-01,46.55,47.7,46.25,47.0,1326566.0
HINDCOPPER.EQ-NSE,2019-03-05,47.3,50.7,47.25,49.85,2218302.0
HINDCOPPER.EQ-NSE,2019-03-06,52.0,52.75,50.65,51.25,2081963.0
HINDCOPPER.EQ-NSE,2019-03-07,51.6,51.65,49.8,49.95,704362.0
HINDCOPPER.EQ-NSE,2019-03-08,49.6,50.6,49.05,49.15,620937.0
HINDCOPPER.EQ-NSE,2019-03-11,49.2,50.5,49.2,50.2,710051.0
HINDCOPPER.EQ-NSE,2019-03-12,50.5,51.2,50.05,50.1,774631.0
HINDCOPPER.EQ-NSE,2019-03-13,50.3,50.35,48.9,49.2,594388.0
HINDCOPPER.EQ-NSE,2019-03-14,49.15,49.8,48.65,48.75,398388.0
HINDCOPPER.EQ-NSE,2019-03-15,48.9,49.3,48.2,48.75,423315.0
HINDCOPPER.EQ-NSE,2019-03-18,48.75,49.65,48.55,49.25,639900.0
HINDCOPPER.EQ-NSE,2019-03-19,49.45,51.6,48.75,50.4,1954895.0
HINDCOPPER.EQ-NSE,2019-03-20,50.2,50.8,49.2,49.35,623378.0
HINDCOPPER.EQ-NSE,2019-03-22,49.45,50.2,48.1,48.1,632690.0
HINDCOPPER.EQ-NSE,2019-03-25,48.0,48.6,47.3,47.75,437958.0
HINDCOPPER.EQ-NSE,2019-03-26,48.25,49.4,47.55,47.9,659712.0
HINDCOPPER.EQ-NSE,2019-03-27,48.45,48.65,47.8,48.45,644172.0
HINDCOPPER.EQ-NSE,2019-03-28,48.6,49.1,48.2,48.45,420077.0
HINDCOPPER.EQ-NSE,2019-03-29,48.95,49.7,48.7,48.85,717372.0
HINDCOPPER.EQ-NSE,2019-04-01,49.95,51.5,49.85,50.0,1359356.0
HINDCOPPER.EQ-NSE,2019-04-02,50.2,50.35,49.3,49.75,525794.0
HINDCOPPER.EQ-NSE,2019-04-03,49.75,50.4,48.95,49.7,804525.0
HINDCOPPER.EQ-NSE,2019-04-04,50.0,50.25,48.5,48.6,598862.0
HINDCOPPER.EQ-NSE,2019-04-05,50.2,50.3,49.3,50.0,1501501.0
HINDCOPPER.EQ-NSE,2019-04-08,49.8,51.25,49.3,49.9,1261970.0
HINDCOPPER.EQ-NSE,2019-04-09,50.0,50.5,49.5,49.85,509550.0
HINDCOPPER.EQ-NSE,2019-04-10,49.5,50.75,49.3,49.65,797564.0
HINDCOPPER.EQ-NSE,2019-04-11,49.65,49.9,49.15,49.4,390927.0
HINDCOPPER.EQ-NSE,2019-04-12,49.75,50.0,49.2,49.25,409149.0
HINDCOPPER.EQ-NSE,2019-04-15,49.5,50.95,49.35,50.35,925859.0
HINDCOPPER.EQ-NSE,2019-04-16,50.6,51.0,50.0,50.0,664718.0
HINDCOPPER.EQ-NSE,2019-04-18,50.65,50.7,48.75,48.9,619504.0
HINDCOPPER.EQ-NSE,2019-04-22,48.8,48.85,48.0,48.3,344637.0
HINDCOPPER.EQ-NSE,2019-04-23,48.65,49.35,48.25,48.55,568885.0
HINDCOPPER.EQ-NSE,2019-04-24,49.0,49.2,48.6,48.85,394373.0
HINDCOPPER.EQ-NSE,2019-04-25,48.7,49.15,47.55,47.8,425100.0
HINDCOPPER.EQ-NSE,2019-04-26,48.0,48.1,47.5,47.75,315250.0
HINDCOPPER.EQ-NSE,2019-04-30,47.65,47.75,45.85,46.05,503622.0
HINDCOPPER.EQ-NSE,2019-05-02,45.6,47.35,45.2,46.4,490704.0
HINDCOPPER.EQ-NSE,2019-05-03,46.45,46.6,45.85,45.9,222148.0
HINDCOPPER.EQ-NSE,2019-05-06,45.05,46.0,44.05,45.0,403485.0
HINDCOPPER.EQ-NSE,2019-05-07,45.25,45.3,43.6,43.8,452914.0
HINDCOPPER.EQ-NSE,2019-05-08,43.7,44.2,43.15,43.5,471344.0
HINDCOPPER.EQ-NSE,2019-05-09,43.2,44.15,43.05,43.2,438412.0
HINDCOPPER.EQ-NSE,2019-05-10,43.4,43.7,42.8,42.9,501548.0
HINDCOPPER.EQ-NSE,2019-05-13,43.1,43.2,41.9,42.0,323686.0
HINDCOPPER.EQ-NSE,2019-05-14,42.0,42.0,41.1,41.3,459356.0
HINDCOPPER.EQ-NSE,2019-05-15,41.4,42.3,40.45,40.65,463132.0
HINDCOPPER.EQ-NSE,2019-05-16,40.9,41.1,40.1,40.7,426407.0
HINDCOPPER.EQ-NSE,2019-05-17,40.7,40.9,39.75,40.15,558821.0
HINDCOPPER.EQ-NSE,2019-05-20,41.5,43.15,40.85,41.5,1338901.0
HINDCOPPER.EQ-NSE,2019-05-21,41.5,42.2,40.45,40.5,634295.0
HINDCOPPER.EQ-NSE,2019-05-22,40.65,41.1,40.2,40.55,672946.0
HINDCOPPER.EQ-NSE,2019-05-23,41.5,41.8,39.5,40.2,989451.0
HINDCOPPER.EQ-NSE,2019-05-24,40.4,42.3,40.4,42.15,1138102.0
HINDCOPPER.EQ-NSE,2019-05-27,42.4,44.7,42.1,43.2,1352852.0
HINDCOPPER.EQ-NSE,2019-05-28,43.65,46.2,43.55,45.75,2882819.0
HINDCOPPER.EQ-NSE,2019-05-29,46.35,47.4,45.2,45.8,2423294.0
HINDCOPPER.EQ-NSE,2019-05-30,45.75,46.2,45.05,45.5,687807.0
HINDCOPPER.EQ-NSE,2019-05-31,45.65,45.75,43.9,44.15,816256.0
HINDCOPPER.EQ-NSE,2019-06-03,44.1,44.1,43.25,43.6,502303.0
HINDCOPPER.EQ-NSE,2019-06-04,43.75,45.15,43.4,44.3,959243.0
HINDCOPPER.EQ-NSE,2019-06-06,44.25,44.4,42.9,43.4,365075.0
HINDCOPPER.EQ-NSE,2019-06-07,43.45,43.55,42.4,42.5,330551.0
HINDCOPPER.EQ-NSE,2019-06-10,42.7,43.0,41.25,41.7,546671.0
HINDCOPPER.EQ-NSE,2019-06-11,41.9,42.35,41.35,42.05,557179.0
HINDCOPPER.EQ-NSE,2019-06-12,42.05,42.8,41.6,41.85,508131.0
HINDCOPPER.EQ-NSE,2019-06-13,41.55,41.8,40.25,40.8,558265.0
HINDCOPPER.EQ-NSE,2019-06-14,40.65,41.0,40.2,40.4,452378.0
HINDCOPPER.EQ-NSE,2019-06-17,40.55,40.6,39.75,39.8,394122.0
HINDCOPPER.EQ-NSE,2019-06-18,40.1,40.35,39.65,39.7,405499.0
HINDCOPPER.EQ-NSE,2019-06-19,40.15,40.45,38.1,38.4,763128.0
HINDCOPPER.EQ-NSE,2019-06-20,38.5,39.4,37.75,38.8,607686.0
HINDCOPPER.EQ-NSE,2019-06-21,38.95,39.85,38.8,39.1,450915.0
HINDCOPPER.EQ-NSE,2019-06-24,39.2,39.75,38.65,38.95,347805.0
HINDCOPPER.EQ-NSE,2019-06-25,39.0,39.5,38.2,39.1,779317.0
HINDCOPPER.EQ-NSE,2019-06-26,39.2,40.8,39.05,40.2,1106057.0
HINDCOPPER.EQ-NSE,2019-06-27,40.7,41.0,40.05,40.15,656133.0
HINDCOPPER.EQ-NSE,2019-06-28,40.55,40.65,39.2,39.9,711199.0
HINDCOPPER.EQ-NSE,2019-07-01,40.2,40.9,40.1,40.3,423629.0
HINDCOPPER.EQ-NSE,2019-07-02,40.5,40.5,39.6,40.2,333004.0
HINDCOPPER.EQ-NSE,2019-07-03,40.2,40.7,39.9,40.45,491030.0
HINDCOPPER.EQ-NSE,2019-07-04,40.7,41.0,40.05,40.05,370478.0
HINDCOPPER.EQ-NSE,2019-07-05,40.25,40.55,39.35,39.45,397458.0
HINDCOPPER.EQ-NSE,2019-07-08,39.3,39.4,38.35,38.55,316564.0
HINDCOPPER.EQ-NSE,2019-07-09,38.4,38.65,38.0,38.4,404512.0
HINDCOPPER.EQ-NSE,2019-07-10,38.4,38.4,37.7,37.8,261585.0
HINDCOPPER.EQ-NSE,2019-07-11,38.2,38.45,37.85,38.2,328386.0
HINDCOPPER.EQ-NSE,2019-07-12,38.4,38.4,37.8,38.0,305724.0
HINDCOPPER.EQ-NSE,2019-07-15,38.2,38.4,37.55,37.8,283234.0
HINDCOPPER.EQ-NSE,2019-07-16,37.9,38.0,37.5,37.5,267446.0
HINDCOPPER.EQ-NSE,2019-07-17,37.8,38.1,37.5,37.5,463483.0
HINDCOPPER.EQ-NSE,2019-07-18,37.4,37.5,36.6,36.9,342949.0
HINDCOPPER.EQ-NSE,2019-07-19,36.9,36.9,36.0,36.1,417536.0
HINDCOPPER.EQ-NSE,2019-07-22,36.05,36.1,35.05,35.2,404988.0
HINDCOPPER.EQ-NSE,2019-07-23,35.25,35.4,35.0,35.1,243292.0
HINDCOPPER.EQ-NSE,2019-07-24,35.15,35.2,33.8,33.9,387570.0
HINDCOPPER.EQ-NSE,2019-07-25,34.25,34.45,33.3,33.6,335584.0
HINDCOPPER.EQ-NSE,2019-07-26,33.5,34.05,33.1,33.45,411072.0
HINDCOPPER.EQ-NSE,2019-07-29,33.6,33.65,33.0,33.2,310389.0
HINDCOPPER.EQ-NSE,2019-07-30,33.25,33.4,31.15,31.75,530685.0
HINDCOPPER.EQ-NSE,2019-07-31,31.55,32.9,30.85,32.8,441103.0
HINDCOPPER.EQ-NSE,2019-08-01,32.1,33.6,31.6,32.35,505677.0
HINDCOPPER.EQ-NSE,2019-08-02,31.85,32.1,31.0,31.8,422946.0
HINDCOPPER.EQ-NSE,2019-08-05,31.65,31.65,30.35,30.45,456448.0
HINDCOPPER.EQ-NSE,2019-08-06,30.1,31.45,30.1,31.1,413937.0
HINDCOPPER.EQ-NSE,2019-08-07,31.7,31.85,30.6,31.0,368413.0
HINDCOPPER.EQ-NSE,2019-08-08,31.0,32.95,30.75,32.8,587359.0
HINDCOPPER.EQ-NSE,2019-08-09,33.0,33.35,32.5,33.0,316393.0
HINDCOPPER.EQ-NSE,2019-08-13,32.3,32.4,31.45,31.55,357624.0
HINDCOPPER.EQ-NSE,2019-08-14,32.0,32.0,31.05,31.55,309146.0
HINDCOPPER.EQ-NSE,2019-08-16,31.65,33.25,30.2,32.4,1227566.0
HINDCOPPER.EQ-NSE,2019-08-19,32.7,33.05,32.1,32.3,252742.0
HINDCOPPER.EQ-NSE,2019-08-20,32.35,32.6,30.7,31.25,345377.0
HINDCOPPER.EQ-NSE,2019-08-21,31.55,31.55,30.05,30.45,516525.0
HINDCOPPER.EQ-NSE,2019-08-22,30.05,30.2,28.2,28.85,548209.0
HINDCOPPER.EQ-NSE,2019-08-23,29.0,29.7,27.85,29.4,721351.0
HINDCOPPER.EQ-NSE,2019-08-26,30.1,30.6,29.15,30.3,432974.0
HINDCOPPER.EQ-NSE,2019-08-27,30.5,32.95,30.25,32.05,723569.0
HINDCOPPER.EQ-NSE,2019-08-28,32.35,32.5,30.7,30.8,456861.0
HINDCOPPER.EQ-NSE,2019-08-29,31.2,32.85,30.75,31.85,1560961.0
HINDCOPPER.EQ-NSE,2019-08-30,32.15,32.5,31.25,31.55,590357.0
HINDCOPPER.EQ-NSE,2019-09-03,30.95,32.25,30.6,30.65,427766.0
HINDCOPPER.EQ-NSE,2019-09-04,30.95,31.7,30.5,31.6,296160.0
HINDCOPPER.EQ-NSE,2019-09-05,31.9,34.85,31.6,33.75,1765270.0
HINDCOPPER.EQ-NSE,2019-09-06,33.6,34.35,33.2,33.8,764056.0
HINDCOPPER.EQ-NSE,2019-09-09,33.9,34.7,33.55,34.4,528078.0
HINDCOPPER.EQ-NSE,2019-09-11,34.5,35.6,34.4,35.0,723199.0
HINDCOPPER.EQ-NSE,2019-09-12,35.25,36.4,34.8,35.25,1040868.0
HINDCOPPER.EQ-NSE,2019-09-13,35.55,41.65,35.05,39.75,5756044.0
HINDCOPPER.EQ-NSE,2019-09-16,39.4,40.4,38.05,38.3,1848264.0
HINDCOPPER.EQ-NSE,2019-09-17,37.7,39.8,36.5,37.0,2789863.0
HINDCOPPER.EQ-NSE,2019-09-18,37.5,37.7,36.5,36.65,654134.0
