Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HINDUNILVR-I1600PE,2019-01-01,1.1,1.1,1.1,1.1,600.0,28800.0
HINDUNILVR-I1700CE,2019-01-01,130.5,130.5,118.1,118.1,1200.0,37800.0
HINDUNILVR-I1700PE,2019-01-01,9.7,9.9,7.2,8.0,67800.0,90000.0
HINDUNILVR-I1720PE,2019-01-01,11.55,12.45,11.5,12.0,6000.0,18600.0
HINDUNILVR-I1740PE,2019-01-01,16.05,17.4,14.0,15.8,27000.0,29400.0
HINDUNILVR-I1760PE,2019-01-01,19.95,23.0,19.2,21.05,81600.0,64200.0
HINDUNILVR-I1780CE,2019-01-01,69.8,69.8,69.8,69.8,600.0,4200.0
HINDUNILVR-I1780PE,2019-01-01,26.45,29.8,25.0,27.0,66600.0,51000.0
HINDUNILVR-I1800CE,2019-01-01,55.0,57.0,47.0,49.0,31200.0,48000.0
HINDUNILVR-I1800PE,2019-01-01,31.2,38.25,31.2,36.95,165000.0,117600.0
HINDUNILVR-I1820CE,2019-01-01,46.0,47.2,39.0,39.45,60600.0,57600.0
HINDUNILVR-I1820PE,2019-01-01,43.0,48.0,41.4,46.7,31800.0,38400.0
HINDUNILVR-I1840CE,2019-01-01,36.5,38.15,30.8,31.5,72000.0,86400.0
HINDUNILVR-I1840PE,2019-01-01,54.9,59.55,50.0,57.45,18000.0,11400.0
HINDUNILVR-I1860CE,2019-01-01,29.2,30.25,23.8,24.25,69600.0,63600.0
HINDUNILVR-I1860PE,2019-01-01,65.4,68.0,65.4,68.0,7200.0,6000.0
HINDUNILVR-I1880CE,2019-01-01,24.1,24.1,18.45,18.6,37200.0,40800.0
HINDUNILVR-I1900CE,2019-01-01,18.25,18.25,13.5,14.0,111600.0,118200.0
HINDUNILVR-I1900PE,2019-01-01,91.0,102.1,91.0,96.0,2400.0,4800.0
HINDUNILVR-I1920CE,2019-01-01,13.6,13.6,10.0,10.0,31800.0,42600.0
HINDUNILVR-I1940CE,2019-01-01,8.0,8.85,7.4,7.5,10800.0,25800.0
HINDUNILVR-I2000CE,2019-01-01,3.5,3.5,2.8,3.25,3000.0,34800.0
HINDUNILVR-I2060CE,2019-01-01,1.25,1.25,1.25,1.25,600.0,0.0
HINDUNILVR-I1500PE,2019-01-02,1.1,1.2,1.1,1.2,1200.0,2400.0
HINDUNILVR-I1580PE,2019-01-02,2.1,2.1,2.1,2.1,1200.0,0.0
HINDUNILVR-I1600PE,2019-01-02,2.5,3.0,2.0,2.0,6600.0,27600.0
HINDUNILVR-I1640PE,2019-01-02,5.0,5.0,5.0,5.0,600.0,6000.0
HINDUNILVR-I1660PE,2019-01-02,4.95,8.0,4.95,8.0,12600.0,9600.0
HINDUNILVR-I1700CE,2019-01-02,116.45,116.45,104.15,104.15,1200.0,39000.0
HINDUNILVR-I1700PE,2019-01-02,8.65,14.8,8.25,12.2,97200.0,103800.0
HINDUNILVR-I1720PE,2019-01-02,13.0,19.35,13.0,19.35,7800.0,21000.0
HINDUNILVR-I1740CE,2019-01-02,69.05,69.05,69.05,69.05,600.0,2400.0
HINDUNILVR-I1740PE,2019-01-02,16.95,25.85,15.95,20.95,115200.0,40800.0
HINDUNILVR-I1760CE,2019-01-02,63.85,75.55,56.5,56.5,5400.0,7800.0
HINDUNILVR-I1760PE,2019-01-02,24.0,33.3,21.0,29.05,142200.0,52800.0
HINDUNILVR-I1780CE,2019-01-02,57.8,59.6,44.0,49.25,50400.0,16200.0
HINDUNILVR-I1780PE,2019-01-02,30.3,42.8,27.15,34.55,160800.0,46800.0
HINDUNILVR-I1800CE,2019-01-02,42.2,53.0,34.5,39.65,161400.0,71400.0
HINDUNILVR-I1800PE,2019-01-02,42.0,53.15,35.25,46.0,121800.0,106200.0
HINDUNILVR-I1820CE,2019-01-02,34.7,42.7,27.4,30.9,193200.0,70800.0
HINDUNILVR-I1820PE,2019-01-02,47.55,65.2,45.45,56.65,45600.0,30000.0
HINDUNILVR-I1840CE,2019-01-02,26.7,33.95,21.25,23.3,232800.0,103800.0
HINDUNILVR-I1840PE,2019-01-02,63.0,78.0,62.8,74.9,12000.0,12600.0
HINDUNILVR-I1860CE,2019-01-02,26.9,26.9,16.5,19.35,154800.0,84600.0
HINDUNILVR-I1860PE,2019-01-02,77.95,91.15,77.95,91.15,1800.0,5400.0
HINDUNILVR-I1880CE,2019-01-02,15.5,20.3,12.4,14.05,83400.0,43800.0
HINDUNILVR-I1880PE,2019-01-02,103.0,103.0,103.0,103.0,600.0,1800.0
HINDUNILVR-I1900CE,2019-01-02,11.35,15.05,9.35,10.3,250200.0,140400.0
HINDUNILVR-I1920CE,2019-01-02,9.15,10.5,6.9,7.6,22800.0,40800.0
HINDUNILVR-I1940CE,2019-01-02,7.35,8.0,5.4,5.5,22800.0,28200.0
HINDUNILVR-I1960CE,2019-01-02,5.0,5.5,5.0,5.5,3600.0,6600.0
HINDUNILVR-I1980CE,2019-01-02,7.75,7.75,7.75,7.75,600.0,600.0
HINDUNILVR-I2000CE,2019-01-02,3.0,3.25,2.1,2.25,25200.0,44400.0
HINDUNILVR-I1600PE,2019-01-03,1.75,2.0,1.75,2.0,5400.0,28200.0
HINDUNILVR-I1700CE,2019-01-03,113.8,113.8,113.8,113.8,1200.0,38400.0
HINDUNILVR-I1700PE,2019-01-03,10.7,11.05,8.55,10.4,43200.0,116400.0
HINDUNILVR-I1720PE,2019-01-03,12.85,14.7,12.85,14.3,7200.0,25800.0
HINDUNILVR-I1740PE,2019-01-03,17.7,20.35,16.2,19.5,40800.0,46800.0
HINDUNILVR-I1760CE,2019-01-03,63.9,64.35,63.9,64.35,1200.0,9000.0
HINDUNILVR-I1760PE,2019-01-03,25.65,26.5,21.55,25.75,92400.0,55800.0
HINDUNILVR-I1780CE,2019-01-03,54.0,58.7,50.0,52.05,21000.0,22800.0
HINDUNILVR-I1780PE,2019-01-03,32.0,33.9,28.1,33.5,57000.0,48600.0
HINDUNILVR-I1800CE,2019-01-03,39.85,49.0,39.5,41.0,188400.0,73800.0
HINDUNILVR-I1800PE,2019-01-03,39.95,43.75,36.35,43.25,88800.0,103800.0
HINDUNILVR-I1820CE,2019-01-03,33.2,39.0,30.95,32.0,252600.0,91800.0
HINDUNILVR-I1820PE,2019-01-03,49.45,54.9,46.1,53.2,7800.0,25800.0
HINDUNILVR-I1840CE,2019-01-03,26.0,30.85,24.25,24.9,135600.0,132000.0
HINDUNILVR-I1840PE,2019-01-03,62.15,62.15,60.0,60.0,2400.0,11400.0
HINDUNILVR-I1860CE,2019-01-03,20.9,23.6,18.25,19.25,97800.0,81000.0
HINDUNILVR-I1860PE,2019-01-03,71.85,75.45,71.85,75.4,1800.0,6000.0
HINDUNILVR-I1880CE,2019-01-03,15.8,17.7,13.8,14.3,75000.0,43800.0
HINDUNILVR-I1900CE,2019-01-03,11.0,13.3,10.3,10.4,97800.0,135600.0
HINDUNILVR-I1900PE,2019-01-03,105.0,107.55,105.0,107.55,1200.0,4800.0
HINDUNILVR-I1920CE,2019-01-03,7.5,8.95,7.05,7.05,3600.0,41400.0
HINDUNILVR-I1940CE,2019-01-03,5.0,6.3,5.0,5.5,6000.0,31800.0
HINDUNILVR-I1960CE,2019-01-03,4.9,4.9,4.3,4.3,3600.0,7800.0
HINDUNILVR-I1980CE,2019-01-03,1.15,1.15,1.15,1.15,600.0,1200.0
HINDUNILVR-I2000CE,2019-01-03,2.5,2.5,2.05,2.2,20400.0,45000.0
HINDUNILVR-I2020CE,2019-01-03,2.0,2.0,2.0,2.0,600.0,3000.0
HINDUNILVR-I1600PE,2019-01-04,1.55,1.55,1.55,1.55,600.0,31200.0
