Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HINDZINC.EQ-NSE,2019-01-01,278.5,279.45,276.1,277.95,151181.0
HINDZINC.EQ-NSE,2019-01-02,274.95,277.75,271.7,272.3,334060.0
HINDZINC.EQ-NSE,2019-01-03,272.25,274.7,269.0,269.05,337373.0
HINDZINC.EQ-NSE,2019-01-04,269.55,272.45,268.0,271.65,423895.0
HINDZINC.EQ-NSE,2019-01-07,273.1,276.0,272.05,273.75,471768.0
HINDZINC.EQ-NSE,2019-01-08,274.75,275.85,272.1,273.1,226847.0
HINDZINC.EQ-NSE,2019-01-09,275.25,276.6,273.55,275.3,250788.0
HINDZINC.EQ-NSE,2019-01-10,274.95,277.6,272.85,275.4,448765.0
HINDZINC.EQ-NSE,2019-01-11,275.9,275.95,272.4,272.9,130699.0
HINDZINC.EQ-NSE,2019-01-14,273.0,274.3,270.4,271.0,140807.0
HINDZINC.EQ-NSE,2019-01-15,272.15,273.95,270.2,272.95,414188.0
HINDZINC.EQ-NSE,2019-01-16,273.2,274.2,272.1,272.3,117251.0
HINDZINC.EQ-NSE,2019-01-17,272.8,275.8,270.5,271.2,570450.0
HINDZINC.EQ-NSE,2019-01-18,273.45,275.1,271.3,271.8,387891.0
HINDZINC.EQ-NSE,2019-01-21,272.55,274.9,264.45,267.9,2088419.0
HINDZINC.EQ-NSE,2019-01-22,266.1,266.4,256.35,260.1,2006567.0
HINDZINC.EQ-NSE,2019-01-23,261.25,262.0,258.0,258.0,533506.0
HINDZINC.EQ-NSE,2019-01-24,259.65,264.6,257.15,257.35,358927.0
HINDZINC.EQ-NSE,2019-01-25,258.5,258.55,248.1,248.1,1089170.0
HINDZINC.EQ-NSE,2019-01-28,250.45,252.1,244.0,251.7,404197.0
HINDZINC.EQ-NSE,2019-01-29,250.3,260.4,250.05,260.4,704518.0
HINDZINC.EQ-NSE,2019-01-30,261.0,263.3,259.5,262.4,596434.0
HINDZINC.EQ-NSE,2019-01-31,262.4,263.65,258.3,261.95,1072570.0
HINDZINC.EQ-NSE,2019-02-01,258.0,260.2,242.85,254.7,5086577.0
HINDZINC.EQ-NSE,2019-02-04,253.45,258.55,250.45,256.5,905371.0
HINDZINC.EQ-NSE,2019-02-05,256.8,258.8,253.7,254.0,611659.0
HINDZINC.EQ-NSE,2019-02-06,254.4,259.0,253.25,256.25,604874.0
HINDZINC.EQ-NSE,2019-02-07,255.6,258.7,255.0,256.5,595609.0
HINDZINC.EQ-NSE,2019-02-08,254.75,256.5,248.25,248.6,479768.0
HINDZINC.EQ-NSE,2019-02-11,248.9,252.25,245.75,249.1,707171.0
HINDZINC.EQ-NSE,2019-02-12,250.6,253.5,246.2,249.05,720987.0
HINDZINC.EQ-NSE,2019-02-13,250.85,253.0,248.0,249.0,656058.0
HINDZINC.EQ-NSE,2019-02-14,249.0,250.45,245.2,247.6,474021.0
HINDZINC.EQ-NSE,2019-02-15,248.1,249.6,244.3,247.95,514874.0
HINDZINC.EQ-NSE,2019-02-18,249.05,250.95,243.2,244.2,610467.0
HINDZINC.EQ-NSE,2019-02-19,244.3,250.5,243.2,249.0,545222.0
HINDZINC.EQ-NSE,2019-02-20,252.05,255.15,249.35,253.95,960079.0
HINDZINC.EQ-NSE,2019-02-21,254.95,257.05,253.65,256.3,668555.0
HINDZINC.EQ-NSE,2019-02-22,255.9,261.0,253.05,257.65,813894.0
HINDZINC.EQ-NSE,2019-02-25,259.75,263.3,259.2,262.7,630635.0
HINDZINC.EQ-NSE,2019-02-26,261.3,264.85,257.6,263.4,388572.0
HINDZINC.EQ-NSE,2019-02-27,265.8,269.0,263.0,263.05,629619.0
HINDZINC.EQ-NSE,2019-02-28,264.0,272.4,261.55,269.5,1141136.0
HINDZINC.EQ-NSE,2019-03-01,269.2,271.95,268.6,271.05,333295.0
HINDZINC.EQ-NSE,2019-03-05,270.85,275.1,270.1,271.0,580290.0
HINDZINC.EQ-NSE,2019-03-06,271.65,274.0,266.9,269.0,889924.0
HINDZINC.EQ-NSE,2019-03-07,268.15,271.2,266.5,269.5,539763.0
HINDZINC.EQ-NSE,2019-03-08,269.0,269.5,265.85,267.55,509353.0
HINDZINC.EQ-NSE,2019-03-11,268.55,272.0,268.55,271.85,734117.0
HINDZINC.EQ-NSE,2019-03-12,273.9,277.5,272.55,273.5,1211680.0
HINDZINC.EQ-NSE,2019-03-13,274.7,277.9,274.0,277.25,1220065.0
HINDZINC.EQ-NSE,2019-03-14,277.4,277.95,272.55,273.6,469154.0
HINDZINC.EQ-NSE,2019-03-15,274.2,276.1,270.5,274.05,616821.0
HINDZINC.EQ-NSE,2019-03-18,274.9,278.7,271.4,277.0,634895.0
HINDZINC.EQ-NSE,2019-03-19,277.55,278.0,274.4,276.7,444635.0
HINDZINC.EQ-NSE,2019-03-20,276.2,278.35,274.5,277.0,427694.0
HINDZINC.EQ-NSE,2019-03-22,276.75,281.75,273.15,273.4,917442.0
HINDZINC.EQ-NSE,2019-03-25,272.55,272.55,268.1,271.0,418067.0
HINDZINC.EQ-NSE,2019-03-26,272.0,274.0,269.65,272.5,254073.0
HINDZINC.EQ-NSE,2019-03-27,273.65,276.0,271.0,271.3,432533.0
HINDZINC.EQ-NSE,2019-03-28,271.8,277.75,268.1,275.5,1231064.0
HINDZINC.EQ-NSE,2019-03-29,275.5,278.6,274.65,277.0,425119.0
HINDZINC.EQ-NSE,2019-04-01,279.5,289.8,279.5,283.05,1922831.0
HINDZINC.EQ-NSE,2019-04-02,283.6,284.9,279.65,284.0,872290.0
HINDZINC.EQ-NSE,2019-04-03,284.6,289.6,281.55,282.15,996873.0
HINDZINC.EQ-NSE,2019-04-04,282.0,285.2,281.0,284.2,446880.0
HINDZINC.EQ-NSE,2019-04-05,286.25,290.0,283.5,288.6,942923.0
HINDZINC.EQ-NSE,2019-04-08,289.35,291.65,283.2,284.0,595590.0
