Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
HINDZINC-I250PE,2019-01-01,1.15,1.2,1.15,1.2,6400.0,22400.0
HINDZINC-I260PE,2019-01-01,2.5,2.5,2.3,2.3,6400.0,70400.0
HINDZINC-I265PE,2019-01-01,3.8,3.8,3.5,3.5,9600.0,35200.0
HINDZINC-I270PE,2019-01-01,5.5,5.5,5.0,5.0,6400.0,60800.0
HINDZINC-I275PE,2019-01-01,7.35,7.35,7.35,7.35,3200.0,22400.0
HINDZINC-I280CE,2019-01-01,7.15,7.15,6.25,6.55,64000.0,185600.0
HINDZINC-I285CE,2019-01-01,5.45,5.45,4.6,4.6,16000.0,38400.0
HINDZINC-I290CE,2019-01-01,3.5,3.55,3.4,3.4,12800.0,64000.0
HINDZINC-I295CE,2019-01-01,2.6,2.6,2.6,2.6,3200.0,25600.0
HINDZINC-I300CE,2019-01-01,1.9,1.9,1.75,1.75,6400.0,128000.0
HINDZINC-I310PE,2019-01-01,34.5,34.5,34.5,34.5,3200.0,12800.0
HINDZINC-I250PE,2019-01-02,1.35,1.35,1.35,1.35,12800.0,28800.0
HINDZINC-I260PE,2019-01-02,3.0,3.85,2.9,3.85,108800.0,108800.0
HINDZINC-I265PE,2019-01-02,4.1,5.2,4.1,5.2,6400.0,41600.0
HINDZINC-I270CE,2019-01-02,9.2,9.2,9.0,9.0,6400.0,70400.0
HINDZINC-I270PE,2019-01-02,5.55,7.75,5.55,7.1,86400.0,99200.0
HINDZINC-I275CE,2019-01-02,8.3,8.4,6.65,6.65,70400.0,73600.0
HINDZINC-I275PE,2019-01-02,7.9,10.3,7.9,10.3,147200.0,28800.0
HINDZINC-I280CE,2019-01-02,6.25,6.7,4.9,5.05,176000.0,256000.0
HINDZINC-I280PE,2019-01-02,10.65,12.75,10.65,12.75,9600.0,16000.0
HINDZINC-I285CE,2019-01-02,4.55,4.55,3.55,3.55,12800.0,38400.0
HINDZINC-I290CE,2019-01-02,3.05,3.45,2.65,2.7,64000.0,99200.0
HINDZINC-I295CE,2019-01-02,2.3,2.3,1.85,1.85,9600.0,32000.0
HINDZINC-I300CE,2019-01-02,1.45,1.5,1.35,1.35,9600.0,131200.0
HINDZINC-I250PE,2019-01-03,1.5,1.65,1.5,1.65,28800.0,38400.0
HINDZINC-I260PE,2019-01-03,3.3,4.05,3.3,4.05,32000.0,118400.0
HINDZINC-I265PE,2019-01-03,5.35,5.35,5.2,5.2,6400.0,38400.0
HINDZINC-I270CE,2019-01-03,9.5,9.5,8.0,8.4,32000.0,89600.0
HINDZINC-I270PE,2019-01-03,7.25,8.35,7.25,8.35,22400.0,99200.0
HINDZINC-I275CE,2019-01-03,7.75,7.75,5.45,5.75,35200.0,89600.0
HINDZINC-I275PE,2019-01-03,9.4,10.95,9.4,10.95,12800.0,32000.0
HINDZINC-I280CE,2019-01-03,4.9,5.7,3.9,3.9,105600.0,262400.0
HINDZINC-I280PE,2019-01-03,14.45,14.45,14.45,14.45,3200.0,19200.0
HINDZINC-I285CE,2019-01-03,3.95,3.95,3.05,3.1,32000.0,51200.0
HINDZINC-I295CE,2019-01-03,1.75,1.75,1.7,1.75,25600.0,41600.0
HINDZINC-I300CE,2019-01-03,1.0,1.0,1.0,1.0,22400.0,144000.0
HINDZINC-I240PE,2019-01-04,0.7,0.7,0.65,0.65,6400.0,6400.0
HINDZINC-I250PE,2019-01-04,1.5,1.5,1.5,1.5,6400.0,57600.0
HINDZINC-I255PE,2019-01-04,2.15,2.3,2.05,2.05,12800.0,35200.0
HINDZINC-I260PE,2019-01-04,3.6,3.6,3.0,3.0,16000.0,112000.0
HINDZINC-I265PE,2019-01-04,4.45,4.45,4.45,4.45,3200.0,38400.0
HINDZINC-I270CE,2019-01-04,7.55,10.25,7.2,10.25,57600.0,102400.0
HINDZINC-I270PE,2019-01-04,6.7,8.2,6.65,6.65,19200.0,99200.0
HINDZINC-I275CE,2019-01-04,6.1,6.65,5.1,6.65,28800.0,80000.0
HINDZINC-I275PE,2019-01-04,11.35,11.35,8.8,8.8,6400.0,28800.0
HINDZINC-I280CE,2019-01-04,3.75,4.9,3.7,4.85,54400.0,265600.0
HINDZINC-I285CE,2019-01-04,2.95,2.95,2.55,2.55,12800.0,51200.0
HINDZINC-I290CE,2019-01-04,1.8,2.3,1.8,2.3,9600.0,99200.0
HINDZINC-I295CE,2019-01-04,1.1,1.3,1.1,1.3,6400.0,51200.0
HINDZINC-I300CE,2019-01-04,0.75,1.0,0.75,1.0,16000.0,156800.0
HINDZINC-I240PE,2019-01-07,0.75,0.75,0.75,0.75,3200.0,6400.0
HINDZINC-I260PE,2019-01-07,2.4,2.7,1.95,2.7,16000.0,108800.0
HINDZINC-I270CE,2019-01-07,10.35,10.35,10.35,10.35,3200.0,99200.0
HINDZINC-I270PE,2019-01-07,5.75,5.8,5.65,5.65,9600.0,105600.0
HINDZINC-I275CE,2019-01-07,8.1,8.1,7.95,7.95,6400.0,80000.0
HINDZINC-I275PE,2019-01-07,7.5,7.5,7.05,7.05,6400.0,25600.0
HINDZINC-I280CE,2019-01-07,5.5,6.05,4.8,5.1,28800.0,256000.0
HINDZINC-I285CE,2019-01-07,4.05,4.05,4.05,4.05,6400.0,51200.0
HINDZINC-I290CE,2019-01-07,2.5,2.55,2.5,2.55,16000.0,105600.0
HINDZINC-I300CE,2019-01-07,1.0,1.45,1.0,1.45,19200.0,176000.0
HINDZINC-I255PE,2019-01-08,1.1,1.1,1.1,1.1,3200.0,38400.0
HINDZINC-I260PE,2019-01-08,2.4,2.4,2.15,2.15,6400.0,105600.0
HINDZINC-I265PE,2019-01-08,3.55,4.5,3.55,4.5,12800.0,48000.0
HINDZINC-I270CE,2019-01-08,8.65,9.35,8.35,9.0,12800.0,96000.0
HINDZINC-I270PE,2019-01-08,5.9,6.4,5.9,6.4,12800.0,105600.0
HINDZINC-I275CE,2019-01-08,6.0,6.8,6.0,6.75,41600.0,92800.0
HINDZINC-I275PE,2019-01-08,7.95,7.95,7.8,7.8,6400.0,19200.0
HINDZINC-I280CE,2019-01-08,4.25,5.25,4.05,4.9,102400.0,249600.0
HINDZINC-I285CE,2019-01-08,3.0,3.0,2.8,2.8,22400.0,48000.0
HINDZINC-I290CE,2019-01-08,2.1,2.35,1.8,2.25,73600.0,92800.0
HINDZINC-I295CE,2019-01-08,1.4,1.4,1.25,1.25,12800.0,38400.0
HINDZINC-I300CE,2019-01-08,1.05,1.05,0.85,0.85,22400.0,176000.0
HINDZINC-I255PE,2019-01-09,1.1,1.1,1.1,1.1,3200.0,38400.0
HINDZINC-I260PE,2019-01-09,2.05,2.2,1.75,2.05,48000.0,108800.0
HINDZINC-I265PE,2019-01-09,2.95,3.15,2.9,3.15,16000.0,51200.0
HINDZINC-I270PE,2019-01-09,5.15,5.3,4.55,4.55,22400.0,105600.0
HINDZINC-I275CE,2019-01-09,6.5,6.85,6.5,6.85,6400.0,86400.0
HINDZINC-I275PE,2019-01-09,6.85,6.85,6.85,6.85,3200.0,22400.0
HINDZINC-I280CE,2019-01-09,5.0,5.0,4.1,4.6,64000.0,246400.0
HINDZINC-I285CE,2019-01-09,3.1,3.25,2.85,3.25,35200.0,64000.0
HINDZINC-I290CE,2019-01-09,2.3,2.3,1.8,2.2,51200.0,108800.0
HINDZINC-I295CE,2019-01-09,1.2,1.2,1.1,1.2,12800.0,44800.0
HINDZINC-I300CE,2019-01-09,0.95,0.95,0.8,0.8,6400.0,182400.0
HINDZINC-I260CE,2019-01-10,17.15,17.15,17.15,17.15,3200.0,12800.0
HINDZINC-I260PE,2019-01-10,1.9,1.9,1.7,1.7,12800.0,108800.0
HINDZINC-I270PE,2019-01-10,4.55,4.55,4.25,4.25,9600.0,99200.0
HINDZINC-I275CE,2019-01-10,7.05,7.05,7.05,7.05,3200.0,86400.0
HINDZINC-I275PE,2019-01-10,6.8,6.8,6.8,6.8,3200.0,25600.0
HINDZINC-I280CE,2019-01-10,4.9,5.0,4.45,4.45,32000.0,246400.0
HINDZINC-I280PE,2019-01-10,9.1,9.1,9.1,9.1,3200.0,19200.0
HINDZINC-I285CE,2019-01-10,3.35,3.35,3.35,3.35,6400.0,64000.0
HINDZINC-I290CE,2019-01-10,2.15,2.25,2.0,2.05,44800.0,102400.0
HINDZINC-I295CE,2019-01-10,1.3,1.3,1.3,1.3,6400.0,48000.0
HINDZINC-I300CE,2019-01-10,0.9,1.0,0.8,0.8,19200.0,195200.0
HINDZINC-I250PE,2019-01-11,0.65,0.65,0.65,0.65,3200.0,60800.0
HINDZINC-I255PE,2019-01-11,1.35,1.35,1.35,1.35,3200.0,38400.0
HINDZINC-I260PE,2019-01-11,1.55,2.2,1.55,2.1,54400.0,124800.0
HINDZINC-I265PE,2019-01-11,2.55,3.4,2.55,3.35,51200.0,73600.0
HINDZINC-I270CE,2019-01-11,8.7,8.7,8.2,8.2,6400.0,92800.0
HINDZINC-I270PE,2019-01-11,5.1,5.75,4.6,5.75,118400.0,128000.0
HINDZINC-I275CE,2019-01-11,5.85,6.8,5.65,5.65,105600.0,105600.0
HINDZINC-I275PE,2019-01-11,7.5,8.15,6.3,8.15,12800.0,16000.0
HINDZINC-I280CE,2019-01-11,4.0,4.9,3.5,3.65,188800.0,275200.0
HINDZINC-I280PE,2019-01-11,10.35,10.35,10.35,10.35,3200.0,16000.0
HINDZINC-I285CE,2019-01-11,2.65,3.15,2.4,3.15,19200.0,76800.0
HINDZINC-I290CE,2019-01-11,1.55,2.25,1.55,1.6,57600.0,96000.0
HINDZINC-I295CE,2019-01-11,1.0,1.4,1.0,1.25,48000.0,70400.0
HINDZINC-I300CE,2019-01-11,0.75,0.85,0.7,0.7,19200.0,195200.0
HINDZINC-I255PE,2019-01-14,1.55,1.55,1.55,1.55,3200.0,35200.0
HINDZINC-I260PE,2019-01-14,2.0,2.15,2.0,2.15,19200.0,115200.0
HINDZINC-I265PE,2019-01-14,2.9,3.9,2.9,3.85,28800.0,67200.0
HINDZINC-I275CE,2019-01-14,5.75,5.75,4.95,5.0,28800.0,121600.0
HINDZINC-I275PE,2019-01-14,8.4,8.4,8.4,8.4,6400.0,12800.0
HINDZINC-I280CE,2019-01-14,4.0,4.0,3.2,3.2,57600.0,284800.0
HINDZINC-I285CE,2019-01-14,2.35,2.7,2.35,2.7,35200.0,73600.0
HINDZINC-I290CE,2019-01-14,1.5,1.6,1.35,1.35,25600.0,102400.0
HINDZINC-I295CE,2019-01-14,0.8,0.8,0.8,0.8,3200.0,60800.0
HINDZINC-I250PE,2019-01-15,0.65,0.65,0.55,0.55,6400.0,60800.0
HINDZINC-I260PE,2019-01-15,2.05,2.05,1.85,1.85,41600.0,124800.0
HINDZINC-I265PE,2019-01-15,3.75,4.1,2.8,2.8,64000.0,89600.0
HINDZINC-I270CE,2019-01-15,8.2,8.2,8.2,8.2,3200.0,92800.0
HINDZINC-I270PE,2019-01-15,5.25,5.7,4.45,4.45,67200.0,137600.0
HINDZINC-I275CE,2019-01-15,5.85,5.95,5.85,5.95,9600.0,118400.0
HINDZINC-I275PE,2019-01-15,7.75,7.75,7.75,7.75,3200.0,16000.0
HINDZINC-I280CE,2019-01-15,4.05,4.45,3.45,4.25,96000.0,259200.0
HINDZINC-I285CE,2019-01-15,2.8,2.8,2.4,2.4,16000.0,76800.0
HINDZINC-I290CE,2019-01-15,1.65,1.65,1.4,1.4,25600.0,115200.0
HINDZINC-I295CE,2019-01-15,0.9,0.9,0.9,0.9,3200.0,60800.0
HINDZINC-I300CE,2019-01-15,0.35,0.45,0.35,0.35,25600.0,192000.0
HINDZINC-I260PE,2019-01-16,2.0,2.0,1.8,1.8,12800.0,121600.0
HINDZINC-I265PE,2019-01-16,2.95,3.25,2.9,3.0,41600.0,89600.0
HINDZINC-I270CE,2019-01-16,8.0,8.1,8.0,8.1,6400.0,89600.0
HINDZINC-I270PE,2019-01-16,4.85,5.15,4.7,4.7,19200.0,137600.0
HINDZINC-I275CE,2019-01-16,5.6,5.75,5.35,5.5,48000.0,102400.0
HINDZINC-I275PE,2019-01-16,7.0,7.0,7.0,7.0,16000.0,16000.0
HINDZINC-I280CE,2019-01-16,4.0,4.0,3.45,3.45,57600.0,249600.0
HINDZINC-I290CE,2019-01-16,1.8,1.8,1.35,1.35,19200.0,105600.0
HINDZINC-I300CE,2019-01-16,0.6,0.6,0.45,0.45,12800.0,192000.0
HINDZINC-I250PE,2019-01-17,0.5,0.5,0.5,0.5,3200.0,60800.0
HINDZINC-I255PE,2019-01-17,1.0,1.0,1.0,1.0,3200.0,38400.0
HINDZINC-I260PE,2019-01-17,1.7,1.7,1.7,1.7,3200.0,115200.0
HINDZINC-I265CE,2019-01-17,10.5,10.5,10.5,10.5,3200.0,12800.0
HINDZINC-I265PE,2019-01-17,2.4,3.05,2.2,2.95,64000.0,96000.0
HINDZINC-I270CE,2019-01-17,9.85,9.85,7.4,7.4,25600.0,86400.0
HINDZINC-I270PE,2019-01-17,4.65,4.95,3.8,4.95,115200.0,108800.0
