Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
HOTELEELA.EQ-NSE,2019-01-01,15.4,15.4,14.7,15.25,392142.0
HOTELEELA.EQ-NSE,2019-01-02,15.25,16.0,15.25,15.75,689125.0
HOTELEELA.EQ-NSE,2019-01-03,16.0,16.0,15.4,15.55,168768.0
HOTELEELA.EQ-NSE,2019-01-04,15.4,15.75,15.2,15.35,162918.0
HOTELEELA.EQ-NSE,2019-01-07,15.4,16.05,15.25,15.25,190127.0
HOTELEELA.EQ-NSE,2019-01-08,15.3,15.7,15.2,15.3,161440.0
HOTELEELA.EQ-NSE,2019-01-09,15.25,15.7,14.9,15.35,271223.0
HOTELEELA.EQ-NSE,2019-01-10,15.4,15.4,14.95,15.1,136699.0
HOTELEELA.EQ-NSE,2019-01-11,15.2,15.2,14.9,15.05,107639.0
HOTELEELA.EQ-NSE,2019-01-14,15.0,15.1,14.8,14.95,112757.0
HOTELEELA.EQ-NSE,2019-01-15,14.9,15.0,14.55,14.7,203104.0
HOTELEELA.EQ-NSE,2019-01-16,15.5,15.5,15.3,15.5,268856.0
HOTELEELA.EQ-NSE,2019-01-17,16.15,16.2,15.1,15.3,542630.0
HOTELEELA.EQ-NSE,2019-01-18,15.2,15.4,15.1,15.35,205213.0
HOTELEELA.EQ-NSE,2019-01-21,15.0,15.25,14.9,15.0,105549.0
HOTELEELA.EQ-NSE,2019-01-22,15.05,15.15,14.5,14.9,202312.0
HOTELEELA.EQ-NSE,2019-01-23,14.9,15.1,14.75,14.9,90146.0
HOTELEELA.EQ-NSE,2019-01-24,15.0,15.05,14.85,14.85,78737.0
HOTELEELA.EQ-NSE,2019-01-25,14.9,15.05,14.2,14.8,175844.0
HOTELEELA.EQ-NSE,2019-01-28,14.55,14.85,13.9,14.05,135183.0
HOTELEELA.EQ-NSE,2019-01-29,13.4,14.45,13.4,14.05,87321.0
HOTELEELA.EQ-NSE,2019-01-30,14.0,14.1,13.55,13.85,74259.0
HOTELEELA.EQ-NSE,2019-01-31,13.9,14.1,13.5,13.7,77757.0
