Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ICICIGI.EQ-NSE,2019-01-01,857.05,878.95,855.4,870.8,100411.0
ICICIGI.EQ-NSE,2019-01-02,866.0,884.5,860.0,875.05,170428.0
ICICIGI.EQ-NSE,2019-01-03,875.0,884.0,860.0,867.7,124434.0
ICICIGI.EQ-NSE,2019-01-04,867.75,874.0,850.5,862.75,234389.0
ICICIGI.EQ-NSE,2019-01-07,868.95,886.95,860.0,865.8,116085.0
ICICIGI.EQ-NSE,2019-01-08,872.7,877.9,861.0,863.1,162801.0
ICICIGI.EQ-NSE,2019-01-09,869.5,872.5,856.0,863.5,205929.0
ICICIGI.EQ-NSE,2019-01-10,861.0,893.0,861.0,890.0,635089.0
ICICIGI.EQ-NSE,2019-01-11,890.0,898.0,880.0,881.75,243349.0
ICICIGI.EQ-NSE,2019-01-14,879.0,883.2,857.05,865.0,194849.0
ICICIGI.EQ-NSE,2019-01-15,877.2,877.2,868.0,871.5,151892.0
ICICIGI.EQ-NSE,2019-01-16,865.15,873.0,853.6,860.05,146959.0
ICICIGI.EQ-NSE,2019-01-17,858.0,880.0,857.65,877.1,239847.0
ICICIGI.EQ-NSE,2019-01-18,877.0,879.9,859.3,860.0,279328.0
ICICIGI.EQ-NSE,2019-01-21,862.0,866.35,845.0,847.0,207804.0
ICICIGI.EQ-NSE,2019-01-22,850.95,858.35,842.9,845.0,207335.0
ICICIGI.EQ-NSE,2019-01-23,846.55,858.0,824.15,831.1,88213.0
ICICIGI.EQ-NSE,2019-01-24,844.75,854.75,828.6,851.0,80131.0
ICICIGI.EQ-NSE,2019-01-25,851.0,868.0,848.9,850.0,481113.0
ICICIGI.EQ-NSE,2019-01-28,848.55,849.75,806.95,818.45,209353.0
ICICIGI.EQ-NSE,2019-01-29,824.4,845.0,814.05,837.95,214379.0
ICICIGI.EQ-NSE,2019-01-30,830.0,865.0,826.55,855.1,150041.0
ICICIGI.EQ-NSE,2019-01-31,855.75,902.0,842.0,871.0,279915.0
ICICIGI.EQ-NSE,2019-02-01,874.0,891.0,865.5,880.85,120784.0
ICICIGI.EQ-NSE,2019-02-04,873.05,893.95,864.15,887.95,130949.0
