Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ICICIGI-I1000PE,2020-10-30,2.5,2.5,2.05,2.05,850.0,425.0
ICICIGI-I1100PE,2020-10-30,4.3,5.1,4.15,5.1,4250.0,3825.0
ICICIGI-I1180CE,2020-10-30,64.65,64.65,64.65,64.65,425.0,0.0
ICICIGI-I1240CE,2020-10-30,41.15,45.5,41.15,45.5,1700.0,1275.0
ICICIGI-I1240PE,2020-10-30,55.05,55.05,49.9,49.9,850.0,425.0
ICICIGI-I1280CE,2020-10-30,12.0,27.0,12.0,27.0,850.0,425.0
ICICIGI-I1200PE,2020-11-02,26.2,26.4,26.2,26.4,850.0,0.0
ICICIGI-I1220CE,2020-11-02,47.4,47.4,47.4,47.4,1275.0,0.0
ICICIGI-I1220PE,2020-11-02,33.55,33.55,30.8,30.8,850.0,0.0
ICICIGI-I1240CE,2020-11-02,36.7,36.7,36.7,36.7,425.0,1275.0
ICICIGI-I1260PE,2020-11-02,57.9,57.9,57.9,57.9,425.0,0.0
ICICIGI-I1280CE,2020-11-02,20.95,20.95,20.95,20.95,425.0,0.0
ICICIGI-I1300CE,2020-11-02,13.0,16.35,13.0,16.35,850.0,425.0
ICICIGI-I1320CE,2020-11-02,13.2,13.2,13.2,13.2,1275.0,0.0
ICICIGI-I1400CE,2020-11-02,2.25,2.65,2.25,2.65,850.0,425.0
ICICIGI-I1200PE,2020-11-03,18.5,18.5,18.5,18.5,1275.0,850.0
ICICIGI-I1240CE,2020-11-03,38.95,47.9,38.9,47.9,1275.0,1700.0
ICICIGI-I1300CE,2020-11-03,19.0,22.0,15.95,15.95,5950.0,4250.0
ICICIGI-I1400CE,2020-11-03,2.65,2.65,2.65,2.65,425.0,0.0
ICICIGI-I1180PE,2020-11-04,15.05,15.05,15.0,15.0,850.0,0.0
ICICIGI-I1200PE,2020-11-04,22.85,22.85,22.85,22.85,425.0,2125.0
ICICIGI-I1220PE,2020-11-04,29.2,29.2,29.2,29.2,425.0,850.0
ICICIGI-I1240CE,2020-11-04,36.25,36.25,36.25,36.25,425.0,1700.0
ICICIGI-I1240PE,2020-11-04,36.35,36.35,36.35,36.35,425.0,850.0
ICICIGI-I1300CE,2020-11-04,16.2,16.3,16.0,16.3,1700.0,5100.0
ICICIGI-I1320CE,2020-11-04,21.4,21.4,21.4,21.4,425.0,1275.0
ICICIGI-I1240CE,2020-11-05,33.0,44.9,33.0,35.0,1700.0,1275.0
ICICIGI-I1320CE,2020-11-05,7.2,10.4,7.2,10.4,850.0,1275.0
ICICIGI-I1260PE,2020-11-06,28.8,30.0,28.0,30.0,1700.0,425.0
ICICIGI-I1300CE,2020-11-06,16.5,23.0,16.5,23.0,1275.0,5100.0
ICICIGI-I1400CE,2020-11-06,9.0,9.0,9.0,9.0,425.0,425.0
ICICIGI-I1200PE,2020-11-09,4.05,5.05,4.05,5.05,1700.0,2550.0
ICICIGI-I1300CE,2020-11-09,29.0,32.0,16.0,22.5,14450.0,8925.0
ICICIGI-I1300PE,2020-11-09,38.45,39.35,38.45,39.35,850.0,425.0
ICICIGI-I1340CE,2020-11-09,9.0,9.0,9.0,9.0,425.0,0.0
ICICIGI-I1280CE,2020-11-10,34.3,34.3,34.3,34.3,425.0,425.0
ICICIGI-I1300CE,2020-11-10,24.8,24.8,16.05,20.0,7650.0,6800.0
ICICIGI-I1300PE,2020-11-10,42.0,42.0,42.0,42.0,425.0,850.0
ICICIGI-I1300CE,2020-11-11,18.85,18.85,10.3,10.3,850.0,6800.0
ICICIGI-I1200PE,2020-11-12,5.05,5.05,5.05,5.05,425.0,1700.0
ICICIGI-I1240CE,2020-11-12,46.7,46.7,46.7,46.7,425.0,850.0
ICICIGI-I1240PE,2020-11-12,18.95,18.95,18.95,18.95,425.0,425.0
ICICIGI-I1280CE,2020-11-12,38.1,38.1,31.65,31.65,850.0,850.0
ICICIGI-I1300CE,2020-11-12,15.0,15.5,11.05,14.6,14025.0,17000.0
ICICIGI-I1340CE,2020-11-12,5.15,5.15,5.15,5.15,850.0,425.0
ICICIGI-I1100PE,2020-11-13,2.0,2.0,2.0,2.0,425.0,4250.0
ICICIGI-I1240CE,2020-11-13,53.2,53.2,53.2,53.2,425.0,850.0
ICICIGI-I1280CE,2020-11-13,31.65,45.3,31.65,45.3,2125.0,850.0
ICICIGI-I1300CE,2020-11-13,11.0,38.0,11.0,35.8,159375.0,47600.0
ICICIGI-I1300PE,2020-11-13,30.0,30.0,30.0,30.0,425.0,850.0
ICICIGI-I1320CE,2020-11-13,19.35,36.55,19.35,23.2,5950.0,4675.0
ICICIGI-I1340CE,2020-11-13,11.0,24.0,11.0,18.0,12325.0,5100.0
ICICIGI-I1400CE,2020-11-13,5.0,7.45,5.0,7.0,5525.0,3400.0
ICICIGI-I1100PE,2020-11-17,0.55,0.55,0.55,0.55,425.0,4250.0
ICICIGI-I1200PE,2020-11-17,0.9,0.9,0.9,0.9,425.0,1275.0
ICICIGI-I1240PE,2020-11-17,5.0,5.0,4.0,4.0,1275.0,850.0
ICICIGI-I1260PE,2020-11-17,2.5,2.5,2.5,2.5,425.0,1275.0
ICICIGI-I1300CE,2020-11-17,22.1,52.4,20.0,36.2,134300.0,24650.0
ICICIGI-I1320CE,2020-11-17,18.25,38.85,18.25,30.0,37400.0,5100.0
ICICIGI-I1340CE,2020-11-17,14.95,32.35,10.15,20.3,46750.0,14025.0
ICICIGI-I1360CE,2020-11-17,16.15,18.0,16.15,18.0,2125.0,1275.0
ICICIGI-I1380CE,2020-11-17,6.55,12.9,6.55,12.0,3825.0,2125.0
ICICIGI-I1400CE,2020-11-17,6.95,11.95,4.2,8.05,67150.0,28050.0
ICICIGI-I1240PE,2020-11-18,3.25,3.25,3.25,3.25,425.0,850.0
ICICIGI-I1260PE,2020-11-18,15.0,15.0,15.0,15.0,425.0,1275.0
ICICIGI-I1280PE,2020-11-18,14.75,14.75,14.75,14.75,425.0,0.0
ICICIGI-I1300CE,2020-11-18,41.6,41.6,20.0,32.0,18275.0,24225.0
ICICIGI-I1300PE,2020-11-18,22.1,31.5,19.1,19.1,2975.0,2125.0
ICICIGI-I1320CE,2020-11-18,26.0,27.0,12.75,22.3,13175.0,5525.0
ICICIGI-I1340CE,2020-11-18,18.5,18.5,8.0,14.75,12325.0,14875.0
ICICIGI-I1360CE,2020-11-18,8.6,8.6,5.0,6.65,1700.0,1700.0
ICICIGI-I1380CE,2020-11-18,5.3,5.3,5.3,5.3,850.0,2125.0
ICICIGI-I1400CE,2020-11-18,8.05,8.05,3.95,4.5,34000.0,42500.0
ICICIGI-I1220CE,2020-11-19,119.0,119.0,119.0,119.0,425.0,1275.0
ICICIGI-I1220PE,2020-11-19,0.35,5.9,0.35,5.9,1275.0,1700.0
