Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IDBI.EQ-NSE,2019-01-01,61.4,61.5,61.2,61.45,1114843.0
IDBI.EQ-NSE,2019-01-02,61.35,61.5,61.25,61.35,2944735.0
IDBI.EQ-NSE,2019-01-03,61.35,61.45,61.25,61.35,2076588.0
IDBI.EQ-NSE,2019-01-04,61.35,61.65,61.25,61.4,3404291.0
IDBI.EQ-NSE,2019-01-07,61.6,61.75,61.25,61.25,5799858.0
IDBI.EQ-NSE,2019-01-08,61.35,62.95,61.05,62.8,2367203.0
IDBI.EQ-NSE,2019-01-09,63.05,65.75,63.05,64.8,11321160.0
IDBI.EQ-NSE,2019-01-10,64.4,64.9,62.4,62.65,3607811.0
IDBI.EQ-NSE,2019-01-11,62.9,63.55,61.2,63.1,2767367.0
IDBI.EQ-NSE,2019-01-14,63.1,63.3,62.1,62.7,1940517.0
IDBI.EQ-NSE,2019-01-15,62.85,63.05,61.5,61.7,1759847.0
IDBI.EQ-NSE,2019-01-16,61.8,62.75,61.55,61.75,1324321.0
IDBI.EQ-NSE,2019-01-17,62.0,62.3,60.1,60.9,2817150.0
IDBI.EQ-NSE,2019-01-18,60.9,60.95,57.95,58.2,3005227.0
IDBI.EQ-NSE,2019-01-21,57.85,58.55,56.05,56.4,5257092.0
IDBI.EQ-NSE,2019-01-22,56.8,57.5,56.15,57.0,4165443.0
IDBI.EQ-NSE,2019-01-23,57.3,57.85,56.45,56.5,2458193.0
IDBI.EQ-NSE,2019-01-24,57.3,57.9,54.9,56.0,4168937.0
IDBI.EQ-NSE,2019-01-25,56.1,56.4,54.3,54.9,2835154.0
IDBI.EQ-NSE,2019-01-28,55.0,55.15,52.9,53.6,3124214.0
IDBI.EQ-NSE,2019-01-29,53.45,56.45,53.0,56.3,4049522.0
IDBI.EQ-NSE,2019-01-30,56.3,56.4,53.9,54.3,3162787.0
IDBI.EQ-NSE,2019-01-31,54.6,55.95,53.65,55.35,2335248.0
IDBI.EQ-NSE,2019-02-01,55.6,55.95,52.2,52.4,4635987.0
IDBI.EQ-NSE,2019-02-04,52.45,53.4,48.8,49.75,18965354.0
IDBI.EQ-NSE,2019-02-05,49.85,50.0,46.45,46.6,13970131.0
IDBI.EQ-NSE,2019-02-06,46.8,46.9,43.2,44.2,11606890.0
IDBI.EQ-NSE,2019-02-07,43.6,45.05,43.1,44.05,9485053.0
IDBI.EQ-NSE,2019-02-08,44.0,44.0,43.0,43.1,3245782.0
IDBI.EQ-NSE,2019-02-11,43.1,44.5,41.55,43.65,6350408.0
IDBI.EQ-NSE,2019-02-12,43.4,44.85,42.8,43.4,5042947.0
IDBI.EQ-NSE,2019-02-13,43.55,44.3,42.35,43.1,4301745.0
IDBI.EQ-NSE,2019-02-14,43.45,45.75,42.9,45.5,4488599.0
IDBI.EQ-NSE,2019-02-15,45.3,45.8,44.1,44.7,6373138.0
IDBI.EQ-NSE,2019-02-18,44.35,45.0,41.5,42.05,7822792.0
IDBI.EQ-NSE,2019-02-19,42.1,44.3,42.05,42.8,7901957.0
IDBI.EQ-NSE,2019-02-20,42.9,44.0,42.65,43.7,6932520.0
IDBI.EQ-NSE,2019-02-21,43.95,45.6,42.2,45.0,12361426.0
IDBI.EQ-NSE,2019-02-22,44.75,44.75,42.95,43.0,10854728.0
IDBI.EQ-NSE,2019-02-25,43.4,43.65,42.6,42.9,3273453.0
IDBI.EQ-NSE,2019-02-26,42.4,43.0,41.75,42.15,4874428.0
IDBI.EQ-NSE,2019-02-27,42.55,43.3,41.3,41.75,8927267.0
IDBI.EQ-NSE,2019-02-28,42.05,43.05,41.95,42.95,7469797.0
IDBI.EQ-NSE,2019-03-01,43.1,44.7,43.0,44.5,12270446.0
IDBI.EQ-NSE,2019-03-05,44.45,48.15,44.1,46.0,18024146.0
IDBI.EQ-NSE,2019-03-06,46.5,47.15,45.1,45.5,11002102.0
IDBI.EQ-NSE,2019-03-07,46.0,46.1,43.75,43.85,19069197.0
IDBI.EQ-NSE,2019-03-08,44.1,44.3,43.2,43.2,5056988.0
IDBI.EQ-NSE,2019-03-11,44.4,45.45,44.2,44.85,14155778.0
IDBI.EQ-NSE,2019-03-12,45.8,45.85,44.5,44.65,12009112.0
IDBI.EQ-NSE,2019-03-13,44.7,44.75,43.0,43.1,16028947.0
IDBI.EQ-NSE,2019-03-14,43.1,43.85,42.5,43.0,13367113.0
IDBI.EQ-NSE,2019-03-15,43.7,43.85,42.55,42.8,21146191.0
IDBI.EQ-NSE,2019-03-18,43.3,43.5,42.7,43.3,16380876.0
IDBI.EQ-NSE,2019-03-19,43.55,43.75,43.2,43.25,11357364.0
IDBI.EQ-NSE,2019-03-20,43.4,44.1,42.9,43.0,17260969.0
IDBI.EQ-NSE,2019-03-22,43.3,43.3,42.45,42.55,5460548.0
IDBI.EQ-NSE,2019-03-25,42.15,42.35,41.85,41.9,4185186.0
IDBI.EQ-NSE,2019-03-26,42.15,43.0,41.9,42.3,9631858.0
IDBI.EQ-NSE,2019-03-27,42.75,42.95,42.3,42.3,7169080.0
IDBI.EQ-NSE,2019-03-28,42.35,45.0,42.3,44.8,16109528.0
IDBI.EQ-NSE,2019-03-29,45.1,47.45,44.8,46.3,22453605.0
IDBI.EQ-NSE,2019-04-01,46.9,47.45,45.95,46.05,18207728.0
IDBI.EQ-NSE,2019-04-02,46.35,47.0,45.1,45.8,9563776.0
IDBI.EQ-NSE,2019-04-03,46.0,46.3,44.1,44.25,8593746.0
IDBI.EQ-NSE,2019-04-04,44.45,44.9,43.7,44.6,13912945.0
IDBI.EQ-NSE,2019-04-05,44.7,45.1,43.7,44.85,10057913.0
IDBI.EQ-NSE,2019-04-08,45.5,45.5,43.85,44.2,8694979.0
IDBI.EQ-NSE,2019-04-09,44.15,44.3,43.25,43.9,7996701.0
IDBI.EQ-NSE,2019-04-10,43.85,44.25,43.15,44.0,8456074.0
IDBI.EQ-NSE,2019-04-11,44.3,44.3,43.55,43.75,7621922.0
IDBI.EQ-NSE,2019-04-12,44.0,44.25,43.3,43.9,8311532.0
IDBI.EQ-NSE,2019-04-15,44.0,44.4,43.8,44.0,2452204.0
IDBI.EQ-NSE,2019-04-16,44.15,44.45,43.8,43.9,2480520.0
IDBI.EQ-NSE,2019-04-18,44.05,44.15,43.15,43.3,3092717.0
IDBI.EQ-NSE,2019-04-22,43.25,43.25,42.3,42.7,5514904.0
IDBI.EQ-NSE,2019-04-23,42.9,43.0,42.1,42.5,4759269.0
IDBI.EQ-NSE,2019-04-24,42.6,43.5,42.15,43.3,4857979.0
IDBI.EQ-NSE,2019-04-25,43.15,44.1,43.0,44.0,6656939.0
IDBI.EQ-NSE,2019-04-26,43.95,44.4,42.35,42.7,7689945.0
IDBI.EQ-NSE,2019-04-30,42.75,42.75,39.1,39.35,11588045.0
IDBI.EQ-NSE,2019-05-02,39.2,40.65,39.0,40.0,4663070.0
IDBI.EQ-NSE,2019-05-03,40.1,40.55,39.4,39.7,4681913.0
IDBI.EQ-NSE,2019-05-06,39.45,39.85,38.3,38.4,3989550.0
IDBI.EQ-NSE,2019-05-07,38.75,38.95,37.05,37.2,4266519.0
IDBI.EQ-NSE,2019-05-08,37.25,37.55,36.75,37.05,3957152.0
IDBI.EQ-NSE,2019-05-09,36.8,37.75,36.7,37.45,4148511.0
IDBI.EQ-NSE,2019-05-10,37.55,38.4,36.75,36.85,5220109.0
IDBI.EQ-NSE,2019-05-13,37.0,37.0,34.25,34.35,6228083.0
IDBI.EQ-NSE,2019-05-14,33.9,36.75,33.25,36.65,8978641.0
IDBI.EQ-NSE,2019-05-15,36.35,36.45,34.2,34.3,5724810.0
IDBI.EQ-NSE,2019-05-16,34.55,34.85,33.9,34.45,3205023.0
IDBI.EQ-NSE,2019-05-17,34.55,35.0,33.7,34.5,4097658.0
IDBI.EQ-NSE,2019-05-20,35.25,38.0,35.2,37.8,6926178.0
IDBI.EQ-NSE,2019-05-21,37.9,37.95,35.2,35.45,5987810.0
IDBI.EQ-NSE,2019-05-22,35.55,36.9,34.65,36.55,12522507.0
IDBI.EQ-NSE,2019-05-23,37.4,38.25,35.85,36.4,15011345.0
IDBI.EQ-NSE,2019-05-24,36.65,37.6,36.3,37.4,6757564.0
IDBI.EQ-NSE,2019-05-27,37.5,38.35,37.1,37.7,6283617.0
IDBI.EQ-NSE,2019-05-28,37.8,38.25,37.3,37.8,8082354.0
IDBI.EQ-NSE,2019-05-29,37.85,38.2,36.3,36.9,4120199.0
IDBI.EQ-NSE,2019-05-30,36.75,38.3,36.6,38.05,6203571.0
IDBI.EQ-NSE,2019-05-31,37.35,38.1,36.2,37.8,14086239.0
IDBI.EQ-NSE,2019-06-03,37.6,37.9,36.5,36.95,6478349.0
IDBI.EQ-NSE,2019-06-04,36.7,40.7,36.6,39.75,28826081.0
IDBI.EQ-NSE,2019-06-06,39.45,39.65,36.75,37.15,15387687.0
IDBI.EQ-NSE,2019-06-07,37.5,37.55,36.0,36.75,6704588.0
IDBI.EQ-NSE,2019-06-10,37.3,37.85,36.1,36.55,4942836.0
IDBI.EQ-NSE,2019-06-11,36.7,37.45,36.15,36.65,5474308.0
IDBI.EQ-NSE,2019-06-12,36.45,36.75,36.0,36.4,7117777.0
IDBI.EQ-NSE,2019-06-13,36.2,36.6,35.25,36.15,6927859.0
IDBI.EQ-NSE,2019-06-14,36.1,36.5,35.5,35.55,8844409.0
IDBI.EQ-NSE,2019-06-17,35.75,35.9,34.7,35.7,5157330.0
IDBI.EQ-NSE,2019-06-18,35.2,35.35,34.6,34.65,2461686.0
