Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IDEA.EQ-NSE,2019-01-01,38.0,38.1,37.1,37.75,8787947.0
IDEA.EQ-NSE,2019-01-02,37.95,37.95,36.5,36.55,10591929.0
IDEA.EQ-NSE,2019-01-03,35.75,36.3,34.85,36.05,23614031.0
IDEA.EQ-NSE,2019-01-04,36.2,36.55,35.6,36.3,12741908.0
IDEA.EQ-NSE,2019-01-07,36.65,36.95,36.4,36.7,8191784.0
IDEA.EQ-NSE,2019-01-08,36.4,37.3,36.25,36.9,9671862.0
IDEA.EQ-NSE,2019-01-09,37.1,37.4,36.4,37.0,11310583.0
IDEA.EQ-NSE,2019-01-10,37.0,37.6,36.8,37.0,10150571.0
IDEA.EQ-NSE,2019-01-11,37.05,37.3,36.55,36.85,8280090.0
IDEA.EQ-NSE,2019-01-14,36.8,36.9,35.6,35.8,10519950.0
IDEA.EQ-NSE,2019-01-15,36.0,36.45,35.65,36.35,9598130.0
IDEA.EQ-NSE,2019-01-16,36.35,36.95,36.1,36.35,8848855.0
IDEA.EQ-NSE,2019-01-17,36.05,37.15,36.0,37.0,14892416.0
IDEA.EQ-NSE,2019-01-18,36.85,36.95,34.35,35.1,28842445.0
IDEA.EQ-NSE,2019-01-21,35.2,35.45,32.4,32.6,39595308.0
IDEA.EQ-NSE,2019-01-22,32.75,33.7,32.6,33.55,19351452.0
IDEA.EQ-NSE,2019-01-23,33.6,34.5,33.3,34.3,12677074.0
IDEA.EQ-NSE,2019-01-24,34.4,35.2,33.25,33.9,33842723.0
IDEA.EQ-NSE,2019-01-25,34.0,34.2,32.25,32.5,23342744.0
IDEA.EQ-NSE,2019-01-28,32.8,32.8,28.45,31.25,29459145.0
IDEA.EQ-NSE,2019-01-29,31.05,32.55,30.05,30.95,30807324.0
IDEA.EQ-NSE,2019-01-30,30.95,31.4,30.2,30.4,16450243.0
IDEA.EQ-NSE,2019-01-31,30.75,31.1,29.6,30.15,28694381.0
IDEA.EQ-NSE,2019-02-01,30.4,31.4,30.15,31.0,16942697.0
IDEA.EQ-NSE,2019-02-04,30.9,31.0,29.4,29.95,18175462.0
IDEA.EQ-NSE,2019-02-05,29.65,30.65,29.25,30.35,21937373.0
IDEA.EQ-NSE,2019-02-06,30.35,30.35,28.8,29.95,26285933.0
IDEA.EQ-NSE,2019-02-07,29.65,32.95,29.3,32.55,52717209.0
IDEA.EQ-NSE,2019-02-08,31.95,31.95,29.7,30.5,25002262.0
IDEA.EQ-NSE,2019-02-11,30.65,32.0,29.6,31.0,21927931.0
IDEA.EQ-NSE,2019-02-12,30.95,30.95,29.5,29.6,18854859.0
IDEA.EQ-NSE,2019-02-13,29.75,30.7,29.6,30.35,18025676.0
IDEA.EQ-NSE,2019-02-14,30.3,31.95,29.8,31.95,19240875.0
IDEA.EQ-NSE,2019-02-15,31.0,31.0,29.75,30.0,24552209.0
IDEA.EQ-NSE,2019-02-18,30.4,30.9,29.8,30.65,14800853.0
IDEA.EQ-NSE,2019-02-19,30.4,31.2,29.85,30.3,19826582.0
IDEA.EQ-NSE,2019-02-20,30.4,30.9,29.95,30.85,20059928.0
IDEA.EQ-NSE,2019-02-21,30.55,31.2,30.25,30.95,31346955.0
IDEA.EQ-NSE,2019-02-22,31.05,31.4,30.15,30.35,22811526.0
IDEA.EQ-NSE,2019-02-25,30.3,31.0,30.2,30.3,22322957.0
IDEA.EQ-NSE,2019-02-26,30.15,30.4,29.2,29.75,21447535.0
IDEA.EQ-NSE,2019-02-27,30.15,30.55,29.4,29.5,17266382.0
IDEA.EQ-NSE,2019-02-28,29.7,30.35,29.55,29.7,41080168.0
IDEA.EQ-NSE,2019-03-01,30.3,30.45,29.6,29.8,26864955.0
IDEA.EQ-NSE,2019-03-05,29.95,30.5,29.6,29.65,29509729.0
IDEA.EQ-NSE,2019-03-06,30.05,31.9,29.9,31.25,57407713.0
IDEA.EQ-NSE,2019-03-07,31.55,33.1,31.3,32.1,65479979.0
IDEA.EQ-NSE,2019-03-08,32.0,32.75,31.7,32.55,29557430.0
IDEA.EQ-NSE,2019-03-11,32.75,34.7,32.6,34.55,45657181.0
IDEA.EQ-NSE,2019-03-12,34.55,34.75,33.65,34.35,38595651.0
IDEA.EQ-NSE,2019-03-13,34.45,35.3,33.45,33.8,55290758.0
IDEA.EQ-NSE,2019-03-14,34.0,34.4,33.5,33.75,17266978.0
IDEA.EQ-NSE,2019-03-15,33.9,34.25,33.65,33.95,16285533.0
IDEA.EQ-NSE,2019-03-18,33.95,34.1,32.0,32.3,20614033.0
IDEA.EQ-NSE,2019-03-19,32.35,32.6,31.2,32.2,23367359.0
IDEA.EQ-NSE,2019-03-20,31.9,33.5,29.6,33.3,129738751.0
IDEA.EQ-NSE,2019-03-22,33.25,33.3,31.9,32.05,47938991.0
IDEA.EQ-NSE,2019-03-25,31.9,32.05,30.05,30.15,53225924.0
IDEA.EQ-NSE,2019-03-26,30.3,30.45,29.35,29.5,40169565.0
IDEA.EQ-NSE,2019-03-27,29.2,29.55,28.3,28.5,52343350.0
IDEA.EQ-NSE,2019-03-28,28.7,30.0,28.25,29.0,124905326.0
IDEA.EQ-NSE,2019-03-29,17.95,20.45,17.75,18.0,213470109.0
IDEA.EQ-NSE,2019-04-01,18.15,18.2,17.65,17.8,44146190.0
IDEA.EQ-NSE,2019-04-02,17.9,17.9,16.6,16.7,61518272.0
IDEA.EQ-NSE,2019-04-03,16.45,16.95,15.8,15.9,61644316.0
IDEA.EQ-NSE,2019-04-04,15.85,15.95,14.9,15.15,114900703.0
IDEA.EQ-NSE,2019-04-05,15.05,16.7,15.05,16.3,162825789.0
IDEA.EQ-NSE,2019-04-08,16.6,17.45,16.55,17.35,109087633.0
IDEA.EQ-NSE,2019-04-09,17.5,17.7,16.8,17.05,56774118.0
IDEA.EQ-NSE,2019-04-10,17.05,17.15,16.3,16.3,66953688.0
IDEA.EQ-NSE,2019-04-11,16.45,16.45,15.9,16.3,47646208.0
IDEA.EQ-NSE,2019-04-12,16.25,16.45,15.9,15.95,42385879.0
IDEA.EQ-NSE,2019-04-15,16.05,17.35,15.8,16.95,73332700.0
IDEA.EQ-NSE,2019-04-16,17.05,18.15,16.75,18.0,119783609.0
IDEA.EQ-NSE,2019-04-18,18.1,18.15,16.95,17.45,73061171.0
IDEA.EQ-NSE,2019-04-22,17.35,17.4,16.85,17.3,54974772.0
IDEA.EQ-NSE,2019-04-23,17.15,17.25,16.85,17.05,34149585.0
IDEA.EQ-NSE,2019-04-24,17.15,17.75,17.0,17.2,52407887.0
IDEA.EQ-NSE,2019-04-25,16.7,17.25,16.3,16.9,68627987.0
IDEA.EQ-NSE,2019-04-26,16.7,16.85,16.05,16.05,34891534.0
IDEA.EQ-NSE,2019-04-30,16.15,16.2,15.25,15.35,33584473.0
IDEA.EQ-NSE,2019-05-02,15.3,16.55,15.15,16.2,62545476.0
IDEA.EQ-NSE,2019-05-03,16.2,16.5,15.9,16.2,26548533.0
IDEA.EQ-NSE,2019-05-06,16.95,16.95,16.25,16.4,45295127.0
IDEA.EQ-NSE,2019-05-07,16.35,16.6,15.5,15.65,36641132.0
IDEA.EQ-NSE,2019-05-08,15.35,15.4,13.65,14.35,239888406.0
IDEA.EQ-NSE,2019-05-09,14.15,14.5,13.95,14.25,157631104.0
IDEA.EQ-NSE,2019-05-10,14.25,14.3,13.55,13.9,228938853.0
IDEA.EQ-NSE,2019-05-13,14.05,15.0,14.05,14.55,199707415.0
IDEA.EQ-NSE,2019-05-14,14.4,14.55,13.0,13.95,242781785.0
IDEA.EQ-NSE,2019-05-15,14.05,14.15,12.8,12.8,148693626.0
IDEA.EQ-NSE,2019-05-16,13.0,13.0,12.05,12.25,161629999.0
IDEA.EQ-NSE,2019-05-17,12.45,12.45,11.6,11.9,180745737.0
IDEA.EQ-NSE,2019-05-20,12.25,13.0,11.8,12.6,137326985.0
IDEA.EQ-NSE,2019-05-21,12.6,12.65,11.7,11.85,94128066.0
IDEA.EQ-NSE,2019-05-22,11.9,12.3,11.5,12.25,133308438.0
IDEA.EQ-NSE,2019-05-23,12.3,13.0,12.25,12.85,132518668.0
IDEA.EQ-NSE,2019-05-24,12.85,13.25,12.55,12.75,91247562.0
IDEA.EQ-NSE,2019-05-27,12.65,13.25,12.6,13.05,99354416.0
IDEA.EQ-NSE,2019-05-28,13.05,13.8,13.0,13.65,169666599.0
IDEA.EQ-NSE,2019-05-29,13.7,13.75,13.15,13.2,50464723.0
IDEA.EQ-NSE,2019-05-30,13.2,13.65,12.95,13.65,273415935.0
IDEA.EQ-NSE,2019-05-31,13.65,14.05,13.45,13.85,150843236.0
IDEA.EQ-NSE,2019-06-03,13.95,14.15,13.8,14.05,54781381.0
IDEA.EQ-NSE,2019-06-04,14.1,14.4,13.8,13.85,63772904.0
IDEA.EQ-NSE,2019-06-06,13.9,14.0,13.2,13.45,69316682.0
IDEA.EQ-NSE,2019-06-07,13.5,13.55,13.2,13.4,35044327.0
IDEA.EQ-NSE,2019-06-10,13.25,13.55,12.65,12.8,49613665.0
IDEA.EQ-NSE,2019-06-11,12.95,13.25,12.6,13.15,43189569.0
IDEA.EQ-NSE,2019-06-12,13.15,13.2,12.8,12.85,22651518.0
IDEA.EQ-NSE,2019-06-13,12.8,13.05,12.75,12.8,32366720.0
IDEA.EQ-NSE,2019-06-14,12.9,12.9,12.3,12.4,35769292.0
IDEA.EQ-NSE,2019-06-17,12.4,12.45,12.0,12.0,34259867.0
IDEA.EQ-NSE,2019-06-18,12.0,12.1,11.8,11.9,37051839.0
IDEA.EQ-NSE,2019-06-19,11.9,12.25,11.1,11.25,50369468.0
IDEA.EQ-NSE,2019-06-20,11.35,11.95,11.25,11.9,33099860.0
IDEA.EQ-NSE,2019-06-21,11.95,12.4,11.75,12.15,71777957.0
IDEA.EQ-NSE,2019-06-24,12.15,12.25,11.95,12.0,36826760.0
IDEA.EQ-NSE,2019-06-25,11.95,12.3,11.85,12.1,34829629.0
IDEA.EQ-NSE,2019-06-26,12.1,12.45,12.0,12.35,50120571.0
IDEA.EQ-NSE,2019-06-27,12.35,12.65,12.15,12.3,155857754.0
IDEA.EQ-NSE,2019-06-28,12.3,12.4,12.05,12.05,36523293.0
IDEA.EQ-NSE,2019-07-01,12.1,12.15,11.8,11.95,32938337.0
IDEA.EQ-NSE,2019-07-02,12.1,12.1,11.6,11.65,35962258.0
IDEA.EQ-NSE,2019-07-03,11.7,12.0,11.6,11.95,29598435.0
IDEA.EQ-NSE,2019-07-04,11.95,13.15,11.8,12.3,141923565.0
IDEA.EQ-NSE,2019-07-05,12.35,12.55,11.9,11.95,59458633.0
IDEA.EQ-NSE,2019-07-08,11.95,11.95,11.4,11.45,49769035.0
IDEA.EQ-NSE,2019-07-09,11.4,11.55,11.25,11.35,34481189.0
IDEA.EQ-NSE,2019-07-10,11.4,11.5,11.2,11.2,33073438.0
IDEA.EQ-NSE,2019-07-11,11.3,11.8,11.25,11.6,30708494.0
IDEA.EQ-NSE,2019-07-12,11.6,12.05,11.55,11.75,31299023.0
IDEA.EQ-NSE,2019-07-15,11.75,12.0,11.65,11.75,24748220.0
IDEA.EQ-NSE,2019-07-16,11.85,11.9,11.55,11.75,26924006.0
IDEA.EQ-NSE,2019-07-17,11.75,12.5,11.65,11.9,57145035.0
IDEA.EQ-NSE,2019-07-18,11.95,11.95,11.2,11.3,41498097.0
IDEA.EQ-NSE,2019-07-19,11.4,11.55,10.7,10.9,80537651.0
IDEA.EQ-NSE,2019-07-22,10.9,11.0,10.65,10.8,43535711.0
IDEA.EQ-NSE,2019-07-23,10.9,10.95,10.45,10.5,65322331.0
IDEA.EQ-NSE,2019-07-24,10.45,10.65,9.85,10.0,117358371.0
IDEA.EQ-NSE,2019-07-25,9.9,10.15,9.65,9.7,74502458.0
IDEA.EQ-NSE,2019-07-26,9.7,10.0,9.1,9.3,86134487.0
IDEA.EQ-NSE,2019-07-29,8.75,8.9,6.55,6.8,668378564.0
IDEA.EQ-NSE,2019-07-30,6.85,7.05,6.0,6.95,370886755.0
IDEA.EQ-NSE,2019-07-31,6.85,7.1,6.6,6.8,156968018.0
IDEA.EQ-NSE,2019-08-01,6.95,6.95,6.45,6.7,115300290.0
IDEA.EQ-NSE,2019-08-02,6.65,6.7,6.2,6.3,138790889.0
IDEA.EQ-NSE,2019-08-05,6.25,6.25,5.9,6.0,100934885.0
IDEA.EQ-NSE,2019-08-06,5.9,6.05,5.5,5.6,141458043.0
IDEA.EQ-NSE,2019-08-07,5.55,5.6,5.1,5.3,134391237.0
IDEA.EQ-NSE,2019-08-08,5.3,5.8,5.2,5.7,150899663.0
IDEA.EQ-NSE,2019-08-09,5.7,5.95,5.3,5.4,137167699.0
IDEA.EQ-NSE,2019-08-13,5.45,5.45,4.8,5.05,169406573.0
IDEA.EQ-NSE,2019-08-14,5.05,5.8,5.05,5.7,136946133.0
IDEA.EQ-NSE,2019-08-16,5.6,6.85,5.4,6.45,252619374.0
IDEA.EQ-NSE,2019-08-19,6.45,6.45,5.85,5.95,131175003.0
IDEA.EQ-NSE,2019-08-20,5.95,6.2,5.45,5.75,154138511.0
IDEA.EQ-NSE,2019-08-21,5.75,5.8,5.5,5.55,84032465.0
IDEA.EQ-NSE,2019-08-22,5.55,5.75,5.2,5.3,132380949.0
IDEA.EQ-NSE,2019-08-23,5.25,5.9,5.0,5.85,137939366.0
IDEA.EQ-NSE,2019-08-26,5.85,6.05,5.25,5.6,153632296.0
IDEA.EQ-NSE,2019-08-27,5.65,5.75,5.2,5.35,154289209.0
IDEA.EQ-NSE,2019-08-28,5.35,5.35,4.95,5.0,152982621.0
IDEA.EQ-NSE,2019-08-29,5.0,5.3,4.8,4.85,160962589.0
IDEA.EQ-NSE,2019-08-30,4.9,5.45,4.9,5.4,125888865.0
IDEA.EQ-NSE,2019-09-03,5.35,5.35,5.05,5.15,58093234.0
IDEA.EQ-NSE,2019-09-04,5.15,5.2,4.9,5.05,52785953.0
IDEA.EQ-NSE,2019-09-05,5.05,5.2,4.95,5.1,55940056.0
IDEA.EQ-NSE,2019-09-06,5.15,5.4,5.1,5.2,66423067.0
IDEA.EQ-NSE,2019-09-09,5.15,5.4,5.1,5.35,55870780.0
IDEA.EQ-NSE,2019-09-11,5.35,5.85,5.35,5.75,107800574.0
IDEA.EQ-NSE,2019-09-12,5.8,6.05,5.45,5.55,109811578.0
IDEA.EQ-NSE,2019-09-13,5.55,5.6,5.25,5.4,73044462.0
IDEA.EQ-NSE,2019-09-16,5.25,5.5,5.2,5.25,63288310.0
IDEA.EQ-NSE,2019-09-17,5.25,5.3,5.0,5.05,112671010.0
IDEA.EQ-NSE,2019-09-18,5.05,5.1,4.8,4.85,83669494.0
IDEA.EQ-NSE,2019-09-19,4.9,5.7,4.9,5.45,319143602.0
IDEA.EQ-NSE,2019-09-20,5.55,5.95,5.3,5.85,185748128.0
IDEA.EQ-NSE,2019-09-23,5.95,6.05,5.55,5.6,82501279.0
IDEA.EQ-NSE,2019-09-24,5.55,5.75,5.3,5.6,91059543.0
IDEA.EQ-NSE,2019-09-25,5.55,5.6,5.2,5.3,81618687.0
IDEA.EQ-NSE,2019-09-26,5.45,5.45,5.15,5.25,82772586.0
IDEA.EQ-NSE,2019-09-27,5.25,5.8,5.1,5.75,106812871.0
IDEA.EQ-NSE,2019-09-30,5.65,6.45,4.95,6.4,380728396.0
IDEA.EQ-NSE,2019-10-01,6.25,6.25,5.2,5.45,218914748.0
IDEA.EQ-NSE,2019-10-03,5.4,5.4,5.0,5.1,118992488.0
IDEA.EQ-NSE,2019-10-04,5.2,5.35,5.0,5.05,82723360.0
IDEA.EQ-NSE,2019-10-07,5.1,5.55,5.0,5.1,101463753.0
IDEA.EQ-NSE,2019-10-09,5.15,6.0,5.15,5.85,206294418.0
IDEA.EQ-NSE,2019-10-10,6.5,6.9,5.75,6.1,416157080.0
IDEA.EQ-NSE,2019-10-11,6.0,6.15,5.85,6.0,121858975.0
IDEA.EQ-NSE,2019-10-14,6.05,6.5,5.9,6.35,135589000.0
IDEA.EQ-NSE,2019-10-15,6.35,6.45,6.1,6.2,106246360.0
IDEA.EQ-NSE,2019-10-16,6.15,6.75,6.15,6.5,291457586.0
IDEA.EQ-NSE,2019-10-17,6.4,6.4,5.95,6.35,165245176.0
IDEA.EQ-NSE,2019-10-18,6.35,6.6,6.25,6.35,103162968.0
IDEA.EQ-NSE,2019-10-22,6.4,6.55,6.0,6.1,127584294.0
