Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
IDFCBANK-I30PE,2019-01-01,0.05,0.05,0.05,0.05,12000.0,84000.0
IDFCBANK-I35PE,2019-01-01,0.1,0.1,0.1,0.1,60000.0,540000.0
IDFCBANK-I37PE,2019-01-01,0.15,0.15,0.15,0.15,12000.0,396000.0
IDFCBANK-I38PE,2019-01-01,0.2,0.2,0.2,0.2,12000.0,480000.0
IDFCBANK-I39PE,2019-01-01,0.3,0.3,0.25,0.25,36000.0,396000.0
IDFCBANK-I40PE,2019-01-01,0.4,0.45,0.35,0.4,204000.0,1932000.0
IDFCBANK-I41PE,2019-01-01,0.65,0.65,0.65,0.65,36000.0,588000.0
IDFCBANK-I42CE,2019-01-01,2.4,2.45,2.3,2.45,36000.0,636000.0
IDFCBANK-I42PE,2019-01-01,0.9,1.0,0.9,1.0,240000.0,876000.0
IDFCBANK-I43CE,2019-01-01,1.7,1.9,1.6,1.9,576000.0,1848000.0
IDFCBANK-I43PE,2019-01-01,1.3,1.35,1.3,1.35,60000.0,756000.0
IDFCBANK-I44CE,2019-01-01,1.4,1.4,1.25,1.4,252000.0,960000.0
IDFCBANK-I45CE,2019-01-01,1.05,1.05,0.85,1.0,888000.0,3888000.0
IDFCBANK-I45PE,2019-01-01,2.55,2.55,2.35,2.35,60000.0,252000.0
IDFCBANK-I46CE,2019-01-01,0.7,0.7,0.65,0.7,120000.0,648000.0
IDFCBANK-I47CE,2019-01-01,0.5,0.5,0.45,0.5,204000.0,1284000.0
IDFCBANK-I47PE,2019-01-01,3.85,3.85,3.85,3.85,12000.0,60000.0
IDFCBANK-I48CE,2019-01-01,0.35,0.35,0.3,0.35,84000.0,1056000.0
IDFCBANK-I50CE,2019-01-01,0.25,0.25,0.2,0.2,192000.0,3600000.0
IDFCBANK-I50PE,2019-01-01,6.65,6.65,6.65,6.65,12000.0,1200000.0
IDFCBANK-I52CE,2019-01-01,0.15,0.15,0.15,0.15,12000.0,360000.0
IDFCBANK-I53CE,2019-01-01,0.1,0.1,0.1,0.1,96000.0,876000.0
IDFCBANK-I35CE,2019-01-02,7.75,7.75,7.25,7.25,48000.0,192000.0
IDFCBANK-I35PE,2019-01-02,0.1,0.2,0.1,0.2,48000.0,528000.0
IDFCBANK-I36PE,2019-01-02,0.1,0.1,0.1,0.1,36000.0,288000.0
IDFCBANK-I37PE,2019-01-02,0.15,0.15,0.15,0.15,24000.0,372000.0
IDFCBANK-I38PE,2019-01-02,0.2,0.2,0.2,0.2,12000.0,492000.0
IDFCBANK-I39PE,2019-01-02,0.3,0.35,0.3,0.35,60000.0,384000.0
IDFCBANK-I40CE,2019-01-02,3.7,3.75,2.75,2.95,72000.0,408000.0
IDFCBANK-I40PE,2019-01-02,0.4,0.65,0.4,0.55,888000.0,1764000.0
IDFCBANK-I41CE,2019-01-02,2.3,2.3,2.3,2.3,12000.0,132000.0
IDFCBANK-I41PE,2019-01-02,0.65,0.9,0.65,0.85,84000.0,588000.0
IDFCBANK-I42CE,2019-01-02,2.4,2.4,1.6,1.8,192000.0,636000.0
IDFCBANK-I42PE,2019-01-02,0.9,1.35,0.9,1.25,360000.0,876000.0
IDFCBANK-I43CE,2019-01-02,1.65,1.8,1.1,1.3,888000.0,1944000.0
IDFCBANK-I43PE,2019-01-02,1.2,1.6,1.2,1.6,96000.0,840000.0
IDFCBANK-I44CE,2019-01-02,1.3,1.4,0.85,0.9,828000.0,960000.0
IDFCBANK-I44PE,2019-01-02,2.0,2.05,1.85,2.05,72000.0,108000.0
IDFCBANK-I45CE,2019-01-02,0.95,1.05,0.6,0.7,2580000.0,3540000.0
IDFCBANK-I45PE,2019-01-02,3.05,3.2,2.9,2.9,48000.0,240000.0
IDFCBANK-I46CE,2019-01-02,0.7,0.7,0.4,0.45,444000.0,576000.0
IDFCBANK-I47CE,2019-01-02,0.5,0.55,0.3,0.35,504000.0,1284000.0
IDFCBANK-I48CE,2019-01-02,0.35,0.35,0.25,0.25,360000.0,1032000.0
IDFCBANK-I49CE,2019-01-02,0.2,0.2,0.2,0.2,12000.0,120000.0
IDFCBANK-I50CE,2019-01-02,0.2,0.2,0.15,0.15,984000.0,3576000.0
IDFCBANK-I50PE,2019-01-02,7.5,7.5,7.5,7.5,12000.0,1212000.0
IDFCBANK-I52CE,2019-01-02,0.1,0.1,0.1,0.1,24000.0,348000.0
IDFCBANK-I53CE,2019-01-02,0.1,0.1,0.05,0.1,108000.0,936000.0
IDFCBANK-I35PE,2019-01-03,0.05,0.05,0.05,0.05,12000.0,516000.0
IDFCBANK-I39PE,2019-01-03,0.25,0.35,0.25,0.35,108000.0,372000.0
IDFCBANK-I40CE,2019-01-03,3.1,3.6,3.1,3.6,108000.0,408000.0
IDFCBANK-I40PE,2019-01-03,0.4,0.5,0.35,0.45,708000.0,1656000.0
IDFCBANK-I41CE,2019-01-03,2.6,2.85,2.6,2.85,24000.0,120000.0
IDFCBANK-I41PE,2019-01-03,0.8,0.8,0.7,0.7,36000.0,552000.0
IDFCBANK-I42CE,2019-01-03,1.8,2.1,1.8,1.95,108000.0,684000.0
IDFCBANK-I42PE,2019-01-03,1.15,1.15,1.05,1.05,84000.0,876000.0
IDFCBANK-I43CE,2019-01-03,1.2,1.7,1.1,1.45,1308000.0,2112000.0
IDFCBANK-I43PE,2019-01-03,1.65,1.65,1.65,1.65,12000.0,852000.0
IDFCBANK-I44CE,2019-01-03,0.9,1.2,0.85,1.15,804000.0,1068000.0
IDFCBANK-I44PE,2019-01-03,1.95,1.95,1.95,1.95,12000.0,120000.0
IDFCBANK-I45CE,2019-01-03,0.7,0.95,0.6,0.8,2472000.0,3576000.0
IDFCBANK-I46CE,2019-01-03,0.45,0.65,0.45,0.55,564000.0,636000.0
IDFCBANK-I46PE,2019-01-03,4.0,4.0,4.0,4.0,12000.0,12000.0
IDFCBANK-I47CE,2019-01-03,0.35,0.45,0.35,0.4,156000.0,1224000.0
IDFCBANK-I48CE,2019-01-03,0.2,0.3,0.2,0.3,480000.0,1044000.0
IDFCBANK-I49CE,2019-01-03,0.2,0.2,0.2,0.2,24000.0,132000.0
IDFCBANK-I50CE,2019-01-03,0.15,0.2,0.15,0.2,612000.0,3636000.0
IDFCBANK-I52CE,2019-01-03,0.1,0.1,0.1,0.1,24000.0,360000.0
IDFCBANK-I53CE,2019-01-03,0.05,0.05,0.05,0.05,12000.0,948000.0
IDFCBANK-I35CE,2019-01-04,8.85,8.85,8.85,8.85,24000.0,168000.0
IDFCBANK-I35PE,2019-01-04,0.05,0.05,0.05,0.05,48000.0,540000.0
IDFCBANK-I37PE,2019-01-04,0.15,0.15,0.05,0.05,24000.0,384000.0
IDFCBANK-I38CE,2019-01-04,6.2,6.2,6.2,6.2,12000.0,216000.0
IDFCBANK-I38PE,2019-01-04,0.1,0.2,0.1,0.1,72000.0,492000.0
IDFCBANK-I39CE,2019-01-04,5.0,5.0,5.0,5.0,12000.0,24000.0
IDFCBANK-I39PE,2019-01-04,0.2,0.2,0.15,0.15,144000.0,384000.0
IDFCBANK-I40CE,2019-01-04,4.1,5.25,4.1,5.25,192000.0,384000.0
