Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IDFCFIRSTB.EQ-NSE,2019-01-01,43.45,43.55,43.1,43.35,5335430.0
IDFCFIRSTB.EQ-NSE,2019-01-02,43.2,43.6,42.2,42.7,11016221.0
IDFCFIRSTB.EQ-NSE,2019-01-03,42.65,43.4,42.4,43.1,9247761.0
IDFCFIRSTB.EQ-NSE,2019-01-04,43.1,45.55,42.85,45.3,15435134.0
IDFCFIRSTB.EQ-NSE,2019-01-07,46.1,47.45,45.5,46.0,32140635.0
IDFCFIRSTB.EQ-NSE,2019-01-08,46.2,46.2,45.35,46.1,12739270.0
IDFCFIRSTB.EQ-NSE,2019-01-09,46.15,46.55,45.6,46.1,16260438.0
IDFCFIRSTB.EQ-NSE,2019-01-10,46.0,47.45,45.75,46.75,17717639.0
IDFCFIRSTB.EQ-NSE,2019-01-11,46.75,47.25,46.4,46.6,11911048.0
IDFCFIRSTB.EQ-NSE,2019-01-14,46.95,47.3,46.25,46.65,11286566.0
IDFCFIRSTB.EQ-NSE,2019-01-15,47.1,47.3,46.75,46.95,9602691.0
IDFCFIRSTB.EQ-NSE,2019-01-16,47.35,49.5,46.55,48.35,31259882.0
IDFCFIRSTB.EQ-NSE,2019-01-17,48.75,49.0,47.05,47.25,20112914.0
IDFCFIRSTB.EQ-NSE,2019-01-18,47.5,47.8,46.75,47.15,10388197.0
IDFCFIRSTB.EQ-NSE,2019-01-21,47.45,47.45,46.1,46.35,12668663.0
IDFCFIRSTB.EQ-NSE,2019-01-22,46.25,47.1,45.0,46.85,14759608.0
IDFCFIRSTB.EQ-NSE,2019-01-23,46.9,47.95,46.85,47.3,11817241.0
IDFCFIRSTB.EQ-NSE,2019-01-24,47.25,47.75,46.75,47.1,8271899.0
IDFCFIRSTB.EQ-NSE,2019-01-25,47.4,47.75,46.0,46.8,15308722.0
IDFCFIRSTB.EQ-NSE,2019-01-28,46.65,46.8,45.55,45.7,11497438.0
IDFCFIRSTB.EQ-NSE,2019-01-29,45.4,46.55,45.4,46.5,14643130.0
IDFCFIRSTB.EQ-NSE,2019-01-30,46.4,46.5,44.6,44.85,15364118.0
IDFCFIRSTB.EQ-NSE,2019-01-31,45.05,45.95,43.6,45.05,32984988.0
IDFCFIRSTB.EQ-NSE,2019-02-01,45.3,45.55,44.25,44.85,12071305.0
IDFCFIRSTB.EQ-NSE,2019-02-04,44.7,44.7,42.85,43.3,12822000.0
IDFCFIRSTB.EQ-NSE,2019-02-05,43.35,44.0,42.3,42.8,11081652.0
IDFCFIRSTB.EQ-NSE,2019-02-06,42.1,42.65,40.25,41.85,30773771.0
IDFCFIRSTB.EQ-NSE,2019-02-07,42.25,44.7,41.95,44.5,26143567.0
IDFCFIRSTB.EQ-NSE,2019-02-08,44.3,45.0,43.2,44.0,14925932.0
IDFCFIRSTB.EQ-NSE,2019-02-11,44.25,45.4,43.35,45.1,14023750.0
IDFCFIRSTB.EQ-NSE,2019-02-12,45.25,45.8,44.7,45.2,14952293.0
IDFCFIRSTB.EQ-NSE,2019-02-13,45.2,45.4,43.8,44.0,9493120.0
IDFCFIRSTB.EQ-NSE,2019-02-14,43.65,45.0,43.4,44.7,10034630.0
IDFCFIRSTB.EQ-NSE,2019-02-15,44.85,44.9,43.65,44.3,11321999.0
IDFCFIRSTB.EQ-NSE,2019-02-18,44.2,44.45,42.9,43.0,12934936.0
IDFCFIRSTB.EQ-NSE,2019-02-19,42.9,44.0,42.9,43.45,7081923.0
IDFCFIRSTB.EQ-NSE,2019-02-20,43.75,45.0,43.6,44.85,11630417.0
IDFCFIRSTB.EQ-NSE,2019-02-21,44.9,45.45,44.8,45.1,9855480.0
IDFCFIRSTB.EQ-NSE,2019-02-22,45.2,45.85,45.0,45.6,8984655.0
IDFCFIRSTB.EQ-NSE,2019-02-25,45.8,46.25,45.55,45.8,9762859.0
IDFCFIRSTB.EQ-NSE,2019-02-26,45.3,45.85,44.2,45.6,14090434.0
IDFCFIRSTB.EQ-NSE,2019-02-27,45.9,45.95,44.4,45.15,13077694.0
