Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
IDFCFIRSTB-I30PE,2019-01-16,0.05,0.05,0.05,0.05,24000.0,84000.0
IDFCFIRSTB-I38PE,2019-01-16,0.05,0.05,0.05,0.05,24000.0,456000.0
IDFCFIRSTB-I39PE,2019-01-16,0.05,0.05,0.05,0.05,48000.0,324000.0
IDFCFIRSTB-I40CE,2019-01-16,8.95,9.1,8.95,9.1,24000.0,360000.0
IDFCFIRSTB-I40PE,2019-01-16,0.1,0.1,0.05,0.05,396000.0,1020000.0
IDFCFIRSTB-I41CE,2019-01-16,7.3,7.3,7.3,7.3,12000.0,72000.0
IDFCFIRSTB-I41PE,2019-01-16,0.15,0.15,0.1,0.1,36000.0,516000.0
IDFCFIRSTB-I42CE,2019-01-16,6.3,7.3,6.3,6.3,456000.0,1236000.0
IDFCFIRSTB-I42PE,2019-01-16,0.2,0.2,0.1,0.1,348000.0,576000.0
IDFCFIRSTB-I43CE,2019-01-16,4.15,6.0,4.05,5.55,120000.0,1476000.0
IDFCFIRSTB-I43PE,2019-01-16,0.3,0.3,0.1,0.1,576000.0,1200000.0
IDFCFIRSTB-I44CE,2019-01-16,3.5,5.5,3.5,4.5,228000.0,552000.0
IDFCFIRSTB-I44PE,2019-01-16,0.35,0.4,0.15,0.2,804000.0,1500000.0
IDFCFIRSTB-I45CE,2019-01-16,2.35,4.7,2.35,3.7,3108000.0,3324000.0
IDFCFIRSTB-I45PE,2019-01-16,0.5,0.6,0.25,0.35,4092000.0,2124000.0
IDFCFIRSTB-I46CE,2019-01-16,1.8,3.6,1.75,3.05,1152000.0,1032000.0
IDFCFIRSTB-I46PE,2019-01-16,1.05,1.05,0.3,0.5,2268000.0,1020000.0
IDFCFIRSTB-I47CE,2019-01-16,1.5,3.0,1.25,2.15,5568000.0,2592000.0
IDFCFIRSTB-I47PE,2019-01-16,1.25,1.25,0.4,0.75,2856000.0,912000.0
IDFCFIRSTB-I48CE,2019-01-16,1.0,2.25,0.85,1.55,7728000.0,2100000.0
IDFCFIRSTB-I48PE,2019-01-16,1.7,1.7,0.7,1.15,1452000.0,480000.0
IDFCFIRSTB-I49CE,2019-01-16,0.7,1.7,0.55,1.15,4416000.0,948000.0
IDFCFIRSTB-I49PE,2019-01-16,2.3,2.3,1.05,1.55,516000.0,468000.0
IDFCFIRSTB-I50CE,2019-01-16,0.45,1.2,0.35,0.8,21372000.0,6000000.0
IDFCFIRSTB-I50PE,2019-01-16,2.3,2.3,1.6,2.3,420000.0,1512000.0
IDFCFIRSTB-I51CE,2019-01-16,0.3,0.85,0.3,0.55,2052000.0,804000.0
IDFCFIRSTB-I51PE,2019-01-16,2.15,2.5,2.15,2.5,36000.0,60000.0
IDFCFIRSTB-I52CE,2019-01-16,0.2,0.6,0.2,0.35,3948000.0,1368000.0
IDFCFIRSTB-I52PE,2019-01-16,3.0,3.4,3.0,3.4,24000.0,276000.0
IDFCFIRSTB-I53CE,2019-01-16,0.15,0.4,0.15,0.25,2304000.0,1944000.0
IDFCFIRSTB-I53PE,2019-01-16,4.8,4.8,4.1,4.3,360000.0,2184000.0
IDFCFIRSTB-I54CE,2019-01-16,0.3,0.3,0.2,0.2,96000.0,72000.0
IDFCFIRSTB-I55CE,2019-01-16,0.15,0.2,0.1,0.15,540000.0,360000.0
IDFCFIRSTB-I55PE,2019-01-16,7.0,7.0,6.0,6.0,108000.0,96000.0
IDFCFIRSTB-I37CE,2019-01-17,10.0,10.0,10.0,10.0,12000.0,108000.0
IDFCFIRSTB-I38PE,2019-01-17,0.05,0.05,0.05,0.05,24000.0,456000.0
IDFCFIRSTB-I39PE,2019-01-17,0.05,0.05,0.05,0.05,12000.0,336000.0
IDFCFIRSTB-I40CE,2019-01-17,8.6,8.6,8.6,8.6,12000.0,360000.0
IDFCFIRSTB-I40PE,2019-01-17,0.05,0.1,0.05,0.1,60000.0,1020000.0
IDFCFIRSTB-I41CE,2019-01-17,6.25,6.55,6.25,6.55,24000.0,72000.0
IDFCFIRSTB-I41PE,2019-01-17,0.1,0.1,0.05,0.1,72000.0,468000.0
IDFCFIRSTB-I42CE,2019-01-17,6.55,6.55,5.3,5.3,48000.0,1032000.0
IDFCFIRSTB-I42PE,2019-01-17,0.1,0.15,0.05,0.1,132000.0,576000.0
IDFCFIRSTB-I43CE,2019-01-17,5.2,5.2,5.05,5.05,24000.0,1464000.0
IDFCFIRSTB-I43PE,2019-01-17,0.1,0.15,0.1,0.15,516000.0,996000.0
IDFCFIRSTB-I44CE,2019-01-17,4.9,4.9,3.3,3.75,108000.0,540000.0
IDFCFIRSTB-I44PE,2019-01-17,0.2,0.35,0.2,0.3,948000.0,1392000.0
IDFCFIRSTB-I45CE,2019-01-17,4.15,4.15,2.6,2.75,2016000.0,3120000.0
IDFCFIRSTB-I45PE,2019-01-17,0.25,0.5,0.25,0.5,2184000.0,1632000.0
IDFCFIRSTB-I46CE,2019-01-17,3.4,3.4,1.75,1.95,1368000.0,1452000.0
