Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IFCI.EQ-NSE,2019-01-01,15.05,15.3,14.85,15.1,10816367.0
IFCI.EQ-NSE,2019-01-02,15.0,15.2,14.4,14.55,7324173.0
IFCI.EQ-NSE,2019-01-03,14.65,14.7,14.25,14.3,3908629.0
IFCI.EQ-NSE,2019-01-04,14.4,14.8,14.15,14.8,5406296.0
IFCI.EQ-NSE,2019-01-07,15.05,15.05,14.65,14.8,4653396.0
IFCI.EQ-NSE,2019-01-08,14.75,14.95,14.65,14.85,2688831.0
IFCI.EQ-NSE,2019-01-09,14.85,15.0,14.65,14.75,2979084.0
IFCI.EQ-NSE,2019-01-10,14.7,14.85,14.6,14.65,1631162.0
IFCI.EQ-NSE,2019-01-11,14.65,14.75,14.45,14.5,2249163.0
IFCI.EQ-NSE,2019-01-14,14.55,14.85,14.3,14.65,2861444.0
IFCI.EQ-NSE,2019-01-15,14.65,14.8,14.55,14.7,2092057.0
IFCI.EQ-NSE,2019-01-16,14.7,15.25,14.65,14.95,5908407.0
IFCI.EQ-NSE,2019-01-17,15.05,15.1,14.6,14.85,4196889.0
IFCI.EQ-NSE,2019-01-18,14.95,14.95,14.5,14.6,3086191.0
IFCI.EQ-NSE,2019-01-21,14.65,14.75,14.25,14.35,2585801.0
IFCI.EQ-NSE,2019-01-22,14.35,14.4,14.1,14.2,2117202.0
IFCI.EQ-NSE,2019-01-23,14.15,14.3,13.95,14.1,1686464.0
IFCI.EQ-NSE,2019-01-24,14.05,14.2,13.85,13.85,2639168.0
IFCI.EQ-NSE,2019-01-25,13.95,14.0,13.5,13.7,2243479.0
IFCI.EQ-NSE,2019-01-28,13.7,13.95,13.65,13.9,5012363.0
IFCI.EQ-NSE,2019-01-29,13.8,14.25,13.75,13.85,5191200.0
IFCI.EQ-NSE,2019-01-30,13.9,14.1,13.45,13.55,3439613.0
IFCI.EQ-NSE,2019-01-31,13.6,13.75,13.05,13.5,4187848.0
IFCI.EQ-NSE,2019-02-01,13.6,13.9,13.3,13.55,3411816.0
IFCI.EQ-NSE,2019-02-04,13.5,13.5,12.95,13.0,3021883.0
IFCI.EQ-NSE,2019-02-05,13.05,13.05,12.1,12.55,6004759.0
IFCI.EQ-NSE,2019-02-06,12.5,12.7,12.15,12.55,4717172.0
IFCI.EQ-NSE,2019-02-07,12.6,12.9,12.45,12.75,3111321.0
IFCI.EQ-NSE,2019-02-08,12.65,12.8,12.5,12.7,3088988.0
IFCI.EQ-NSE,2019-02-11,12.65,12.65,12.2,12.4,1971314.0
IFCI.EQ-NSE,2019-02-12,12.25,12.45,12.05,12.35,3522914.0
IFCI.EQ-NSE,2019-02-13,12.4,12.55,11.95,12.05,3409086.0
IFCI.EQ-NSE,2019-02-14,12.15,12.55,11.8,12.45,5002718.0
IFCI.EQ-NSE,2019-02-15,12.45,12.5,12.0,12.15,2002482.0
IFCI.EQ-NSE,2019-02-18,12.1,12.2,11.85,11.9,1928085.0
IFCI.EQ-NSE,2019-02-19,11.95,12.2,11.85,11.95,1816535.0
IFCI.EQ-NSE,2019-02-20,11.95,12.15,11.95,12.05,1588609.0
IFCI.EQ-NSE,2019-02-21,12.1,12.5,12.05,12.45,3053069.0
IFCI.EQ-NSE,2019-02-22,12.4,12.8,12.4,12.75,3542474.0
IFCI.EQ-NSE,2019-02-25,12.7,12.9,12.65,12.7,2070960.0
IFCI.EQ-NSE,2019-02-26,12.15,12.85,12.15,12.45,4413611.0
IFCI.EQ-NSE,2019-02-27,12.45,12.9,12.4,12.45,3081268.0
IFCI.EQ-NSE,2019-02-28,12.5,12.65,12.35,12.55,2020012.0
IFCI.EQ-NSE,2019-03-01,12.55,13.45,12.5,13.35,4873565.0
IFCI.EQ-NSE,2019-03-05,13.4,14.6,13.35,14.0,5848196.0
IFCI.EQ-NSE,2019-03-06,14.2,14.35,13.95,14.0,4334272.0
IFCI.EQ-NSE,2019-03-07,14.05,14.1,13.7,13.85,2900433.0
IFCI.EQ-NSE,2019-03-08,13.85,13.9,13.4,13.5,2349399.0
IFCI.EQ-NSE,2019-03-11,13.45,14.3,13.4,13.95,4356241.0
IFCI.EQ-NSE,2019-03-12,14.0,14.15,13.7,13.75,4769344.0
IFCI.EQ-NSE,2019-03-13,13.9,14.0,13.65,13.85,1792129.0
IFCI.EQ-NSE,2019-03-14,14.1,14.15,13.65,14.0,5451605.0
IFCI.EQ-NSE,2019-03-15,13.9,14.05,13.5,13.7,5671099.0
IFCI.EQ-NSE,2019-03-18,13.75,13.85,13.55,13.6,2992541.0
IFCI.EQ-NSE,2019-03-19,13.65,14.05,13.55,13.9,4385488.0
IFCI.EQ-NSE,2019-03-20,13.95,14.05,13.65,13.7,2636211.0
IFCI.EQ-NSE,2019-03-22,13.75,13.85,13.3,13.35,3612840.0
IFCI.EQ-NSE,2019-03-25,13.25,13.55,13.15,13.2,3430600.0
IFCI.EQ-NSE,2019-03-26,13.3,13.4,13.2,13.35,2885330.0
IFCI.EQ-NSE,2019-03-27,13.35,13.55,13.05,13.1,4494625.0
IFCI.EQ-NSE,2019-03-28,13.2,13.8,13.15,13.75,5879813.0
IFCI.EQ-NSE,2019-03-29,13.65,14.15,13.65,13.85,5901090.0
IFCI.EQ-NSE,2019-04-01,14.0,14.4,13.95,14.0,5277887.0
IFCI.EQ-NSE,2019-04-02,14.1,14.15,13.55,13.7,4198087.0
IFCI.EQ-NSE,2019-04-03,13.75,13.85,13.3,13.3,3587353.0
IFCI.EQ-NSE,2019-04-04,13.4,13.45,12.9,13.1,9238908.0
IFCI.EQ-NSE,2019-04-05,13.15,13.25,12.9,13.1,8159669.0
IFCI.EQ-NSE,2019-04-08,13.2,13.25,12.9,12.9,4632150.0
IFCI.EQ-NSE,2019-04-09,12.95,13.05,12.8,12.95,4494309.0
IFCI.EQ-NSE,2019-04-10,12.9,13.05,12.75,12.85,3515540.0
IFCI.EQ-NSE,2019-04-11,12.8,12.95,12.6,12.7,4329111.0
IFCI.EQ-NSE,2019-04-12,12.65,13.05,12.6,13.0,4172105.0
