Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
IFCI-I13PE,2019-01-01,0.1,0.1,0.1,0.1,490000.0,770000.0
IFCI-I14CE,2019-01-01,1.45,1.45,1.45,1.45,35000.0,420000.0
IFCI-I14PE,2019-01-01,0.35,0.35,0.3,0.35,455000.0,980000.0
IFCI-I15CE,2019-01-01,0.8,1.0,0.8,0.9,1085000.0,3045000.0
IFCI-I15PE,2019-01-01,0.75,0.75,0.65,0.75,420000.0,2205000.0
IFCI-I16CE,2019-01-01,0.5,0.6,0.5,0.5,1120000.0,1715000.0
IFCI-I16PE,2019-01-01,1.5,1.5,1.25,1.35,210000.0,70000.0
IFCI-I17CE,2019-01-01,0.25,0.35,0.25,0.3,1120000.0,1470000.0
IFCI-I18CE,2019-01-01,0.2,0.2,0.2,0.2,420000.0,1225000.0
IFCI-I20CE,2019-01-01,0.1,0.1,0.1,0.1,140000.0,1155000.0
IFCI-I13PE,2019-01-02,0.1,0.2,0.1,0.2,280000.0,875000.0
IFCI-I14CE,2019-01-02,1.3,1.3,1.2,1.25,105000.0,490000.0
IFCI-I14PE,2019-01-02,0.3,0.45,0.3,0.45,630000.0,1190000.0
IFCI-I15CE,2019-01-02,0.9,0.9,0.55,0.65,1610000.0,2940000.0
IFCI-I15PE,2019-01-02,0.65,1.0,0.65,0.95,1680000.0,1750000.0
IFCI-I16CE,2019-01-02,0.55,0.6,0.35,0.35,945000.0,1925000.0
IFCI-I17CE,2019-01-02,0.3,0.3,0.15,0.2,805000.0,1540000.0
IFCI-I18CE,2019-01-02,0.2,0.2,0.15,0.15,210000.0,1260000.0
IFCI-I19CE,2019-01-02,0.1,0.1,0.05,0.05,105000.0,210000.0
IFCI-I20CE,2019-01-02,0.05,0.05,0.05,0.05,245000.0,1295000.0
IFCI-I13PE,2019-01-03,0.2,0.25,0.15,0.15,875000.0,1085000.0
IFCI-I14CE,2019-01-03,1.15,1.2,0.85,0.85,315000.0,560000.0
IFCI-I14PE,2019-01-03,0.45,0.55,0.45,0.55,280000.0,1155000.0
IFCI-I15CE,2019-01-03,0.6,0.65,0.45,0.5,770000.0,2940000.0
IFCI-I15PE,2019-01-03,0.95,1.0,0.95,1.0,140000.0,1820000.0
IFCI-I16CE,2019-01-03,0.35,0.35,0.25,0.25,455000.0,2065000.0
IFCI-I17CE,2019-01-03,0.2,0.2,0.15,0.15,455000.0,1540000.0
IFCI-I18CE,2019-01-03,0.1,0.1,0.1,0.1,245000.0,1330000.0
IFCI-I19CE,2019-01-03,0.05,0.05,0.05,0.05,70000.0,315000.0
IFCI-I12PE,2019-01-04,0.05,0.05,0.05,0.05,35000.0,280000.0
IFCI-I13PE,2019-01-04,0.2,0.2,0.15,0.15,420000.0,1050000.0
IFCI-I14CE,2019-01-04,0.95,1.0,0.9,1.0,210000.0,595000.0
IFCI-I14PE,2019-01-04,0.55,0.55,0.4,0.4,140000.0,1155000.0
IFCI-I15CE,2019-01-04,0.45,0.7,0.4,0.65,1015000.0,2940000.0
IFCI-I15PE,2019-01-04,1.1,1.1,0.75,0.75,560000.0,1750000.0
IFCI-I16CE,2019-01-04,0.25,0.35,0.25,0.35,770000.0,2065000.0
IFCI-I17CE,2019-01-04,0.15,0.2,0.15,0.2,245000.0,1610000.0
IFCI-I18CE,2019-01-04,0.1,0.1,0.1,0.1,245000.0,1575000.0
IFCI-I13PE,2019-01-07,0.15,0.15,0.15,0.15,35000.0,1015000.0
IFCI-I14PE,2019-01-07,0.35,0.35,0.35,0.35,70000.0,1190000.0
IFCI-I15CE,2019-01-07,0.65,0.65,0.55,0.65,455000.0,2870000.0
IFCI-I15PE,2019-01-07,0.75,0.75,0.75,0.75,175000.0,1820000.0
IFCI-I16CE,2019-01-07,0.35,0.35,0.3,0.3,280000.0,2065000.0
IFCI-I17CE,2019-01-07,0.2,0.2,0.15,0.15,245000.0,1575000.0
IFCI-I18CE,2019-01-07,0.1,0.1,0.1,0.1,280000.0,1470000.0
IFCI-I20CE,2019-01-07,0.05,0.05,0.05,0.05,35000.0,1295000.0
IFCI-I12CE,2019-01-08,2.95,3.05,2.95,3.05,140000.0,70000.0
IFCI-I13PE,2019-01-08,0.1,0.1,0.1,0.1,70000.0,1015000.0
IFCI-I14PE,2019-01-08,0.35,0.35,0.3,0.3,105000.0,1190000.0
IFCI-I15CE,2019-01-08,0.6,0.7,0.6,0.7,245000.0,2835000.0
IFCI-I16CE,2019-01-08,0.3,0.35,0.3,0.35,420000.0,2170000.0
IFCI-I16PE,2019-01-08,1.4,1.5,1.4,1.5,140000.0,70000.0
IFCI-I18CE,2019-01-08,0.1,0.1,0.1,0.1,35000.0,1470000.0
IFCI-I13CE,2019-01-09,1.9,1.9,1.9,1.9,35000.0,315000.0
IFCI-I13PE,2019-01-09,0.1,0.1,0.1,0.1,70000.0,1015000.0
IFCI-I14CE,2019-01-09,1.15,1.15,1.15,1.15,35000.0,560000.0
IFCI-I14PE,2019-01-09,0.3,0.35,0.3,0.35,105000.0,1225000.0
