Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
IGL-I240PE,2019-01-01,0.85,1.05,0.7,0.7,44000.0,93500.0
IGL-I250CE,2019-01-01,25.35,25.35,25.35,25.35,2750.0,5500.0
IGL-I250PE,2019-01-01,2.3,2.3,1.9,1.9,126500.0,96250.0
IGL-I255PE,2019-01-01,3.05,3.15,2.9,2.9,30250.0,38500.0
IGL-I260CE,2019-01-01,17.25,19.0,17.0,17.0,8250.0,11000.0
IGL-I260PE,2019-01-01,4.5,4.55,4.0,4.5,101750.0,96250.0
IGL-I265CE,2019-01-01,10.7,15.65,10.7,13.9,63250.0,33000.0
IGL-I265PE,2019-01-01,7.6,7.6,5.4,5.75,112750.0,77000.0
IGL-I270CE,2019-01-01,9.3,12.75,9.3,11.4,473000.0,115500.0
IGL-I270PE,2019-01-01,8.6,8.6,7.3,7.45,173250.0,101750.0
IGL-I275CE,2019-01-01,7.9,10.35,7.9,9.2,404250.0,173250.0
IGL-I275PE,2019-01-01,10.3,10.3,10.3,10.3,2750.0,19250.0
IGL-I280CE,2019-01-01,4.6,8.0,4.6,7.2,1999250.0,423500.0
IGL-I280PE,2019-01-01,14.45,14.45,12.7,13.15,24750.0,16500.0
IGL-I285CE,2019-01-01,4.9,6.05,4.9,5.25,93500.0,38500.0
IGL-I290CE,2019-01-01,3.4,4.75,3.4,4.0,374000.0,121000.0
IGL-I295CE,2019-01-01,2.0,3.45,2.0,2.95,11000.0,24750.0
IGL-I300CE,2019-01-01,1.6,2.75,1.6,2.25,264000.0,156750.0
IGL-I305CE,2019-01-01,1.5,2.0,1.5,1.8,35750.0,30250.0
IGL-I240PE,2019-01-02,0.65,0.75,0.65,0.75,8250.0,93500.0
IGL-I250PE,2019-01-02,1.6,1.75,1.55,1.75,19250.0,93500.0
IGL-I255PE,2019-01-02,2.55,2.6,2.35,2.55,24750.0,35750.0
IGL-I260CE,2019-01-02,19.4,19.4,17.35,17.35,8250.0,8250.0
IGL-I260PE,2019-01-02,3.8,3.85,3.1,3.55,77000.0,96250.0
IGL-I265CE,2019-01-02,14.75,15.25,14.25,14.3,13750.0,33000.0
IGL-I265PE,2019-01-02,5.8,5.8,4.45,5.0,74250.0,88000.0
IGL-I270CE,2019-01-02,11.05,12.65,11.0,11.6,88000.0,79750.0
IGL-I270PE,2019-01-02,7.9,7.9,6.15,7.5,123750.0,82500.0
IGL-I275CE,2019-01-02,9.15,9.9,8.5,9.2,151250.0,123750.0
IGL-I275PE,2019-01-02,10.5,10.5,8.6,8.95,24750.0,35750.0
IGL-I280CE,2019-01-02,7.0,7.75,6.5,7.15,599500.0,409750.0
IGL-I280PE,2019-01-02,13.05,13.05,13.0,13.0,8250.0,8250.0
IGL-I285CE,2019-01-02,5.2,5.8,5.15,5.55,82500.0,41250.0
IGL-I290CE,2019-01-02,4.0,4.4,3.65,3.9,151250.0,151250.0
IGL-I300CE,2019-01-02,2.3,2.35,2.0,2.15,90750.0,162250.0
IGL-I300PE,2019-01-02,27.7,27.7,27.7,27.7,5500.0,27500.0
IGL-I305CE,2019-01-02,1.5,1.5,1.3,1.3,5500.0,27500.0
IGL-I260CE,2019-01-03,17.65,17.65,17.65,17.65,2750.0,13750.0
IGL-I260PE,2019-01-03,3.75,3.8,3.65,3.65,13750.0,96250.0
IGL-I265PE,2019-01-03,5.1,5.75,4.85,5.05,55000.0,101750.0
IGL-I270CE,2019-01-03,12.0,12.4,10.15,10.55,44000.0,77000.0
IGL-I270PE,2019-01-03,7.05,7.9,6.5,7.0,96250.0,63250.0
IGL-I275CE,2019-01-03,8.75,9.6,8.15,8.15,90750.0,112750.0
IGL-I275PE,2019-01-03,9.25,10.15,9.15,9.5,24750.0,41250.0
IGL-I280CE,2019-01-03,7.45,7.5,6.25,6.6,302500.0,409750.0
IGL-I280PE,2019-01-03,12.05,12.05,12.05,12.05,2750.0,8250.0
IGL-I285CE,2019-01-03,5.3,5.5,4.7,4.7,27500.0,38500.0
IGL-I290CE,2019-01-03,4.0,4.15,3.5,3.55,44000.0,132000.0
IGL-I300CE,2019-01-03,1.95,2.1,1.7,1.9,46750.0,167750.0
IGL-I305CE,2019-01-03,1.5,1.5,1.35,1.45,16500.0,27500.0
IGL-I250PE,2019-01-04,1.05,1.05,0.95,0.95,5500.0,79750.0
IGL-I255PE,2019-01-04,1.8,1.8,1.6,1.6,11000.0,44000.0
IGL-I260CE,2019-01-04,20.5,20.5,20.5,20.5,2750.0,11000.0
IGL-I260PE,2019-01-04,2.8,2.8,2.3,2.4,27500.0,101750.0
IGL-I265PE,2019-01-04,5.3,5.3,3.05,3.5,77000.0,74250.0
IGL-I270CE,2019-01-04,11.05,14.0,11.05,13.0,16500.0,74250.0
