Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
INDIACEM-I80PE,2019-01-01,0.55,0.55,0.45,0.45,58500.0,189000.0
INDIACEM-I85PE,2019-01-01,1.05,1.1,0.9,0.9,148500.0,216000.0
INDIACEM-I90CE,2019-01-01,8.0,8.5,8.0,8.5,9000.0,162000.0
INDIACEM-I90PE,2019-01-01,2.25,2.3,1.95,1.95,234000.0,454500.0
INDIACEM-I95CE,2019-01-01,5.5,5.5,4.95,5.5,189000.0,234000.0
INDIACEM-I95PE,2019-01-01,4.0,4.2,3.85,4.0,162000.0,634500.0
INDIACEM-I100CE,2019-01-01,3.4,3.4,2.8,3.35,378000.0,783000.0
INDIACEM-I100PE,2019-01-01,6.9,7.0,6.5,6.6,49500.0,594000.0
INDIACEM-I105CE,2019-01-01,2.0,2.0,1.6,1.95,135000.0,315000.0
INDIACEM-I110CE,2019-01-01,1.1,1.1,0.95,1.05,112500.0,373500.0
INDIACEM-I115CE,2019-01-01,0.5,0.6,0.5,0.6,27000.0,85500.0
INDIACEM-I120CE,2019-01-01,0.25,0.25,0.25,0.25,9000.0,31500.0
INDIACEM-I77.5PE,2019-01-02,0.35,0.35,0.35,0.35,4500.0,0.0
INDIACEM-I80PE,2019-01-02,0.45,0.6,0.4,0.6,76500.0,193500.0
INDIACEM-I82.5PE,2019-01-02,0.65,0.8,0.65,0.8,9000.0,13500.0
INDIACEM-I85PE,2019-01-02,1.0,1.4,0.9,1.4,90000.0,238500.0
INDIACEM-I87.5PE,2019-01-02,1.95,1.95,1.95,1.95,4500.0,153000.0
INDIACEM-I90CE,2019-01-02,8.95,8.95,6.6,6.6,36000.0,171000.0
INDIACEM-I90PE,2019-01-02,2.1,2.95,2.0,2.9,409500.0,513000.0
INDIACEM-I95CE,2019-01-02,5.6,5.85,4.0,4.2,319500.0,297000.0
INDIACEM-I95PE,2019-01-02,3.65,5.25,3.6,5.25,468000.0,684000.0
INDIACEM-I97.5CE,2019-01-02,4.45,4.6,3.25,3.25,18000.0,13500.0
INDIACEM-I97.5PE,2019-01-02,5.0,5.2,5.0,5.2,9000.0,4500.0
INDIACEM-I100CE,2019-01-02,3.1,3.8,2.3,2.4,1849500.0,1017000.0
INDIACEM-I100PE,2019-01-02,6.15,8.4,6.15,8.4,126000.0,612000.0
INDIACEM-I102.5CE,2019-01-02,2.8,2.8,2.8,2.8,9000.0,13500.0
INDIACEM-I105CE,2019-01-02,1.9,2.2,1.25,1.3,990000.0,697500.0
INDIACEM-I110CE,2019-01-02,1.15,1.3,0.75,0.75,243000.0,409500.0
INDIACEM-I112.5CE,2019-01-02,1.0,1.0,1.0,1.0,4500.0,0.0
INDIACEM-I115CE,2019-01-02,0.5,0.5,0.4,0.4,36000.0,81000.0
INDIACEM-I120CE,2019-01-02,0.4,0.4,0.4,0.4,9000.0,31500.0
INDIACEM-I75PE,2019-01-03,0.35,0.35,0.35,0.35,4500.0,4500.0
INDIACEM-I80PE,2019-01-03,0.6,1.0,0.6,1.0,121500.0,193500.0
INDIACEM-I85CE,2019-01-03,8.5,8.5,8.5,8.5,4500.0,22500.0
INDIACEM-I85PE,2019-01-03,1.3,2.25,1.25,2.15,261000.0,270000.0
INDIACEM-I87.5PE,2019-01-03,1.6,2.1,1.6,2.1,9000.0,157500.0
INDIACEM-I90CE,2019-01-03,7.1,7.1,4.9,5.05,360000.0,382500.0
INDIACEM-I90PE,2019-01-03,2.8,4.35,2.5,4.0,549000.0,585000.0
INDIACEM-I92.5CE,2019-01-03,3.7,3.7,3.7,3.7,4500.0,0.0
INDIACEM-I92.5PE,2019-01-03,3.8,4.5,3.8,4.5,13500.0,9000.0
INDIACEM-I95CE,2019-01-03,4.25,4.8,2.85,3.2,1039500.0,603000.0
INDIACEM-I95PE,2019-01-03,4.95,7.1,4.6,7.1,526500.0,828000.0
INDIACEM-I97.5CE,2019-01-03,3.35,3.4,3.35,3.4,9000.0,22500.0
INDIACEM-I100CE,2019-01-03,2.5,2.85,1.7,1.8,1359000.0,1449000.0
INDIACEM-I100PE,2019-01-03,8.6,9.5,8.5,9.5,99000.0,553500.0
INDIACEM-I102.5CE,2019-01-03,2.1,2.1,2.1,2.1,13500.0,18000.0
INDIACEM-I105CE,2019-01-03,1.35,1.65,0.95,0.95,436500.0,702000.0
INDIACEM-I110CE,2019-01-03,0.9,0.9,0.55,0.6,139500.0,441000.0
INDIACEM-I112.5CE,2019-01-03,0.35,0.35,0.35,0.35,4500.0,4500.0
INDIACEM-I115CE,2019-01-03,0.4,0.4,0.3,0.3,67500.0,90000.0
INDIACEM-I80PE,2019-01-04,0.75,0.8,0.65,0.65,40500.0,189000.0
INDIACEM-I82.5PE,2019-01-04,1.2,1.2,1.2,1.2,4500.0,18000.0
INDIACEM-I85CE,2019-01-04,8.1,9.65,8.1,9.25,40500.0,22500.0
INDIACEM-I85PE,2019-01-04,1.7,2.05,1.35,1.4,274500.0,261000.0
INDIACEM-I87.5PE,2019-01-04,2.8,2.8,2.8,2.8,4500.0,153000.0
INDIACEM-I90CE,2019-01-04,6.0,6.2,4.75,6.05,432000.0,477000.0
INDIACEM-I90PE,2019-01-04,3.6,4.05,2.85,2.85,990000.0,805500.0
INDIACEM-I92.5CE,2019-01-04,4.5,4.5,4.45,4.45,18000.0,9000.0
INDIACEM-I92.5PE,2019-01-04,4.5,4.5,4.0,4.0,9000.0,13500.0
INDIACEM-I95CE,2019-01-04,3.35,3.7,2.9,3.65,1143000.0,657000.0
INDIACEM-I95PE,2019-01-04,6.15,6.5,5.05,5.2,274500.0,850500.0
INDIACEM-I97.5CE,2019-01-04,2.95,2.95,2.95,2.95,4500.0,27000.0
INDIACEM-I100CE,2019-01-04,1.8,2.1,1.7,2.1,949500.0,1395000.0
INDIACEM-I100PE,2019-01-04,9.1,9.1,8.65,8.75,58500.0,504000.0
INDIACEM-I102.5CE,2019-01-04,1.35,1.6,1.35,1.6,13500.0,27000.0
INDIACEM-I105CE,2019-01-04,1.15,1.15,0.9,1.1,229500.0,729000.0
INDIACEM-I110CE,2019-01-04,0.65,0.65,0.55,0.6,103500.0,463500.0
INDIACEM-I110PE,2019-01-04,18.35,18.35,18.35,18.35,4500.0,13500.0
INDIACEM-I115CE,2019-01-04,0.3,0.35,0.3,0.35,13500.0,90000.0
INDIACEM-I130CE,2019-01-04,0.1,0.1,0.1,0.1,4500.0,31500.0
INDIACEM-I75PE,2019-01-07,0.3,0.3,0.3,0.3,4500.0,9000.0
INDIACEM-I80PE,2019-01-07,0.55,0.55,0.45,0.5,31500.0,184500.0
INDIACEM-I85CE,2019-01-07,10.35,10.35,8.5,8.5,36000.0,45000.0
INDIACEM-I85PE,2019-01-07,1.15,1.6,0.95,1.6,256500.0,279000.0
INDIACEM-I90CE,2019-01-07,6.75,7.3,5.0,5.0,409500.0,531000.0
INDIACEM-I90PE,2019-01-07,2.85,3.45,2.2,3.4,652500.0,774000.0
INDIACEM-I92.5CE,2019-01-07,4.7,5.4,1.6,1.6,36000.0,13500.0
INDIACEM-I92.5PE,2019-01-07,3.45,4.15,3.45,4.15,22500.0,18000.0
INDIACEM-I95CE,2019-01-07,3.9,4.35,3.0,3.0,1035000.0,774000.0
INDIACEM-I95PE,2019-01-07,4.55,6.25,4.1,6.25,382500.0,922500.0
INDIACEM-I97.5CE,2019-01-07,3.0,3.35,2.25,2.25,112500.0,67500.0
INDIACEM-I100CE,2019-01-07,2.25,2.55,1.7,1.75,904500.0,1485000.0
INDIACEM-I100PE,2019-01-07,8.35,8.35,7.55,7.8,49500.0,472500.0
INDIACEM-I102.5CE,2019-01-07,1.65,1.65,1.55,1.55,9000.0,36000.0
INDIACEM-I105CE,2019-01-07,1.25,1.35,0.9,0.9,274500.0,778500.0
