Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
INDIAMART.EQ-NSE,2019-07-04,590.0,669.0,590.0,650.375,14519534.0
INDIAMART.EQ-NSE,2019-07-05,658.325,673.85,652.5,663.275,2779372.0
INDIAMART.EQ-NSE,2019-07-08,656.0,684.35,649.55,674.55,920514.0
INDIAMART.EQ-NSE,2019-07-09,670.0,676.85,660.85,662.5,349528.0
INDIAMART.EQ-NSE,2019-07-10,663.8,668.55,660.8,663.375,125554.0
INDIAMART.EQ-NSE,2019-07-11,667.5,667.5,661.725,662.25,158436.0
INDIAMART.EQ-NSE,2019-07-12,662.5,670.0,622.5,651.0,390662.0
INDIAMART.EQ-NSE,2019-07-15,640.625,661.5,630.0,632.5,111412.0
INDIAMART.EQ-NSE,2019-07-16,637.525,637.975,625.0,625.5,107870.0
INDIAMART.EQ-NSE,2019-07-17,628.4,647.625,623.175,640.05,202376.0
INDIAMART.EQ-NSE,2019-07-18,637.5,637.5,631.0,632.625,70382.0
INDIAMART.EQ-NSE,2019-07-19,635.975,636.45,612.5,612.5,91300.0
INDIAMART.EQ-NSE,2019-07-22,614.725,614.725,595.0,607.5,56518.0
INDIAMART.EQ-NSE,2019-07-23,607.525,616.475,601.95,602.5,78662.0
INDIAMART.EQ-NSE,2019-07-24,606.0,614.95,605.0,610.0,60326.0
INDIAMART.EQ-NSE,2019-07-25,610.0,630.5,605.5,625.0,79412.0
INDIAMART.EQ-NSE,2019-07-26,622.475,642.3,602.5,603.3,34736.0
INDIAMART.EQ-NSE,2019-07-29,608.5,612.475,600.0,600.0,28730.0
INDIAMART.EQ-NSE,2019-07-30,605.45,620.025,594.0,617.5,71124.0
INDIAMART.EQ-NSE,2019-07-31,612.0,612.0,595.5,598.5,44118.0
INDIAMART.EQ-NSE,2019-08-01,632.5,637.925,600.0,609.0,589874.0
INDIAMART.EQ-NSE,2019-08-02,613.475,621.0,597.025,613.75,373634.0
INDIAMART.EQ-NSE,2019-08-05,612.5,612.525,592.0,592.75,93742.0
INDIAMART.EQ-NSE,2019-08-06,594.0,604.25,592.75,597.5,46346.0
INDIAMART.EQ-NSE,2019-08-07,603.5,603.5,596.0,600.45,201956.0
INDIAMART.EQ-NSE,2019-08-08,600.475,600.975,551.475,581.175,85584.0
INDIAMART.EQ-NSE,2019-08-09,587.5,599.0,577.375,585.0,43736.0
INDIAMART.EQ-NSE,2019-08-13,592.0,593.5,576.025,576.025,75902.0
INDIAMART.EQ-NSE,2019-08-14,587.375,587.375,553.275,567.45,37370.0
INDIAMART.EQ-NSE,2019-08-16,565.0,585.0,557.4,575.0,43912.0
INDIAMART.EQ-NSE,2019-08-19,575.125,590.0,573.975,587.5,54898.0
INDIAMART.EQ-NSE,2019-08-20,591.975,597.475,577.6,580.0,24226.0
