Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
INDIANB-I200PE,2019-01-01,0.8,0.8,0.8,0.8,2000.0,30000.0
INDIANB-I220PE,2019-01-01,2.4,2.5,2.2,2.2,24000.0,32000.0
INDIANB-I230PE,2019-01-01,5.55,5.55,3.65,3.65,18000.0,14000.0
INDIANB-I240CE,2019-01-01,18.3,20.5,16.5,20.5,22000.0,30000.0
INDIANB-I240PE,2019-01-01,7.75,7.9,6.5,6.5,50000.0,42000.0
INDIANB-I250CE,2019-01-01,9.5,14.25,9.0,13.4,248000.0,98000.0
INDIANB-I250PE,2019-01-01,11.2,11.2,11.2,11.2,2000.0,2000.0
INDIANB-I260CE,2019-01-01,6.0,9.6,6.0,9.1,280000.0,58000.0
INDIANB-I260PE,2019-01-01,18.4,18.4,16.0,16.6,8000.0,16000.0
INDIANB-I270CE,2019-01-01,5.0,6.1,5.0,6.0,62000.0,36000.0
INDIANB-I280CE,2019-01-01,2.9,3.75,2.9,3.5,24000.0,14000.0
INDIANB-I290CE,2019-01-01,2.0,2.3,2.0,2.2,12000.0,6000.0
INDIANB-I300CE,2019-01-01,0.9,1.25,0.9,1.25,6000.0,10000.0
INDIANB-I200PE,2019-01-02,0.65,0.75,0.65,0.75,6000.0,32000.0
INDIANB-I210PE,2019-01-02,1.0,1.1,1.0,1.1,4000.0,20000.0
INDIANB-I220PE,2019-01-02,1.9,3.0,1.9,2.6,20000.0,36000.0
INDIANB-I230PE,2019-01-02,3.45,5.75,3.45,4.9,26000.0,24000.0
INDIANB-I240CE,2019-01-02,19.75,19.75,15.0,15.0,10000.0,30000.0
INDIANB-I240PE,2019-01-02,7.45,9.4,7.4,8.35,54000.0,46000.0
INDIANB-I250CE,2019-01-02,13.95,15.8,9.8,10.4,272000.0,92000.0
INDIANB-I250PE,2019-01-02,9.7,14.55,9.7,13.1,338000.0,22000.0
INDIANB-I260CE,2019-01-02,9.45,10.7,6.25,6.9,254000.0,86000.0
INDIANB-I260PE,2019-01-02,16.1,20.75,16.1,19.5,8000.0,16000.0
INDIANB-I270CE,2019-01-02,6.2,7.1,4.0,4.8,144000.0,52000.0
INDIANB-I270PE,2019-01-02,24.55,28.9,24.55,28.9,10000.0,2000.0
INDIANB-I280CE,2019-01-02,4.45,4.45,2.35,2.5,26000.0,26000.0
INDIANB-I290CE,2019-01-02,2.4,2.4,1.4,1.4,10000.0,8000.0
INDIANB-I300CE,2019-01-02,1.45,1.5,1.0,1.0,8000.0,16000.0
INDIANB-I300PE,2019-01-02,47.0,48.0,47.0,48.0,4000.0,16000.0
INDIANB-I230PE,2019-01-03,4.75,5.0,4.75,5.0,6000.0,28000.0
INDIANB-I240PE,2019-01-03,8.5,8.5,7.85,8.35,8000.0,46000.0
INDIANB-I250CE,2019-01-03,10.35,11.5,9.3,9.5,110000.0,96000.0
INDIANB-I250PE,2019-01-03,13.4,13.95,11.95,13.95,20000.0,20000.0
INDIANB-I260CE,2019-01-03,6.8,7.15,5.35,5.95,74000.0,94000.0
INDIANB-I260PE,2019-01-03,19.75,19.75,19.75,19.75,2000.0,14000.0
INDIANB-I270CE,2019-01-03,3.7,4.95,3.7,3.8,44000.0,66000.0
INDIANB-I280CE,2019-01-03,2.0,2.9,2.0,2.1,16000.0,34000.0
INDIANB-I230PE,2019-01-04,4.8,5.0,3.65,3.85,20000.0,32000.0
INDIANB-I240CE,2019-01-04,15.0,18.0,15.0,18.0,14000.0,30000.0
INDIANB-I240PE,2019-01-04,8.05,8.05,5.7,5.8,12000.0,48000.0
INDIANB-I250CE,2019-01-04,10.55,12.7,9.3,12.7,200000.0,114000.0
INDIANB-I250PE,2019-01-04,12.65,12.65,10.65,10.65,16000.0,18000.0
INDIANB-I260CE,2019-01-04,6.05,8.8,6.0,8.35,104000.0,108000.0
INDIANB-I260PE,2019-01-04,16.55,18.3,16.55,18.3,6000.0,14000.0
INDIANB-I270CE,2019-01-04,3.7,5.5,3.7,5.25,70000.0,56000.0
INDIANB-I280CE,2019-01-04,2.4,3.4,2.25,3.4,34000.0,48000.0
INDIANB-I290CE,2019-01-04,1.9,1.9,1.9,1.9,4000.0,10000.0
INDIANB-I220PE,2019-01-07,2.5,2.5,2.5,2.5,2000.0,36000.0
INDIANB-I230CE,2019-01-07,26.3,26.3,24.2,24.2,4000.0,6000.0
