Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
INDUSINDBK-I1420PE,2019-01-01,7.4,7.4,7.4,7.4,300.0,1800.0
INDUSINDBK-I1440PE,2019-01-01,7.5,11.5,7.5,8.0,1200.0,1200.0
INDUSINDBK-I1460PE,2019-01-01,13.2,15.0,12.2,12.8,15900.0,21000.0
INDUSINDBK-I1480PE,2019-01-01,16.0,16.0,16.0,16.0,1200.0,3000.0
INDUSINDBK-I1500PE,2019-01-01,17.6,24.95,15.5,16.45,31800.0,32400.0
INDUSINDBK-I1520PE,2019-01-01,20.5,29.9,17.65,17.65,2100.0,5400.0
INDUSINDBK-I1540CE,2019-01-01,85.05,85.05,85.05,85.05,300.0,1800.0
INDUSINDBK-I1540PE,2019-01-01,27.3,38.6,24.5,27.0,72600.0,24900.0
INDUSINDBK-I1550PE,2019-01-01,36.9,43.7,27.9,27.9,8100.0,4500.0
INDUSINDBK-I1560CE,2019-01-01,70.3,79.0,58.55,75.95,9300.0,9900.0
INDUSINDBK-I1560PE,2019-01-01,31.75,48.75,30.95,32.7,53400.0,84000.0
INDUSINDBK-I1580CE,2019-01-01,63.0,66.75,48.0,65.0,53700.0,17700.0
INDUSINDBK-I1580PE,2019-01-01,41.45,59.4,37.0,38.5,48300.0,24300.0
INDUSINDBK-I1600CE,2019-01-01,51.95,55.05,39.1,53.75,184800.0,83100.0
INDUSINDBK-I1600PE,2019-01-01,51.8,72.9,46.3,48.15,33000.0,21300.0
INDUSINDBK-I1620CE,2019-01-01,42.75,45.0,30.9,45.0,116100.0,31200.0
INDUSINDBK-I1620PE,2019-01-01,68.4,78.45,60.3,60.3,1800.0,9600.0
INDUSINDBK-I1640CE,2019-01-01,34.0,35.8,24.45,34.0,119100.0,83400.0
INDUSINDBK-I1640PE,2019-01-01,71.95,71.95,71.95,71.95,300.0,1200.0
INDUSINDBK-I1650CE,2019-01-01,28.4,30.25,22.3,30.0,10500.0,12600.0
INDUSINDBK-I1660CE,2019-01-01,24.5,28.15,19.5,26.0,69300.0,37800.0
