Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
INFIBEAM.EQ-NSE,2019-01-01,11.9125,12.0125,11.75,11.8375,5853682.0
INFIBEAM.EQ-NSE,2019-01-02,11.9125,11.9125,11.35,11.5875,7787284.0
INFIBEAM.EQ-NSE,2019-01-03,11.575,11.625,11.2875,11.3375,5339558.0
INFIBEAM.EQ-NSE,2019-01-04,11.3375,11.3875,11.0625,11.25,7121701.0
INFIBEAM.EQ-NSE,2019-01-07,11.4,11.425,11.0375,11.1125,5302895.0
INFIBEAM.EQ-NSE,2019-01-08,11.1125,11.475,10.9,11.375,9419659.0
INFIBEAM.EQ-NSE,2019-01-09,11.5,11.5,10.975,11.1875,7822318.0
INFIBEAM.EQ-NSE,2019-01-10,11.2,11.2375,10.8375,10.9125,5310472.0
INFIBEAM.EQ-NSE,2019-01-11,10.975,11.0,10.775,10.8875,4694063.0
INFIBEAM.EQ-NSE,2019-01-14,10.925,10.9375,10.4625,10.6625,4897348.0
INFIBEAM.EQ-NSE,2019-01-15,10.85,12.25,10.7625,11.825,32168641.0
INFIBEAM.EQ-NSE,2019-01-16,11.9,12.025,11.25,11.3375,13083768.0
INFIBEAM.EQ-NSE,2019-01-17,11.3875,11.5625,11.0125,11.2,8431744.0
INFIBEAM.EQ-NSE,2019-01-18,11.25,11.3125,10.9,11.1,5955210.0
INFIBEAM.EQ-NSE,2019-01-21,11.0125,11.375,10.9,10.9875,7425899.0
INFIBEAM.EQ-NSE,2019-01-22,10.9625,11.0,10.725,10.875,5807343.0
INFIBEAM.EQ-NSE,2019-01-23,10.9,11.0625,10.75,10.775,5263672.0
INFIBEAM.EQ-NSE,2019-01-24,10.8125,11.65,10.6875,11.2375,11692619.0
INFIBEAM.EQ-NSE,2019-01-25,11.3125,11.6875,10.55,10.6125,16832993.0
INFIBEAM.EQ-NSE,2019-01-28,10.65,10.825,9.8625,9.975,11308912.0
INFIBEAM.EQ-NSE,2019-01-29,9.85,10.0,9.6375,9.8,8540796.0
INFIBEAM.EQ-NSE,2019-01-30,9.875,10.2375,9.5375,9.6625,9938422.0
INFIBEAM.EQ-NSE,2019-01-31,9.7,9.875,9.2875,9.675,11835762.0
INFIBEAM.EQ-NSE,2019-02-01,9.75,10.05,9.2875,9.425,8741636.0
INFIBEAM.EQ-NSE,2019-02-04,9.525,9.6,9.0,9.0375,8938098.0
INFIBEAM.EQ-NSE,2019-02-05,8.9625,9.0625,8.15,8.2375,12498022.0
INFIBEAM.EQ-NSE,2019-02-06,8.25,9.075,7.9125,8.5625,15620531.0
INFIBEAM.EQ-NSE,2019-02-07,8.5125,9.25,8.325,8.5375,13777248.0
INFIBEAM.EQ-NSE,2019-02-08,8.5375,8.625,8.1875,8.225,6821321.0
INFIBEAM.EQ-NSE,2019-02-11,8.4125,8.5,8.075,8.1375,5225769.0
INFIBEAM.EQ-NSE,2019-02-12,8.075,8.7,8.0125,8.375,13832956.0
INFIBEAM.EQ-NSE,2019-02-13,8.4125,8.75,8.1625,8.3875,11649577.0
INFIBEAM.EQ-NSE,2019-02-14,8.4875,9.0,8.2875,8.95,10234533.0
INFIBEAM.EQ-NSE,2019-02-15,9.775,10.425,9.1625,9.8875,36838942.0
INFIBEAM.EQ-NSE,2019-02-18,10.075,10.1125,9.25,9.2875,10237069.0
INFIBEAM.EQ-NSE,2019-02-19,9.375,9.5,9.15,9.2375,5587472.0
INFIBEAM.EQ-NSE,2019-02-20,9.25,9.5375,9.025,9.425,11316125.0
INFIBEAM.EQ-NSE,2019-02-21,9.45,9.5,9.125,9.1625,8110579.0
INFIBEAM.EQ-NSE,2019-02-22,9.2125,9.25,8.875,8.9875,8883677.0
INFIBEAM.EQ-NSE,2019-02-25,8.975,9.125,8.775,8.9,4919849.0
INFIBEAM.EQ-NSE,2019-02-26,8.7,8.95,8.4375,8.725,6826140.0
INFIBEAM.EQ-NSE,2019-02-27,8.875,9.375,8.8125,9.0625,13375637.0
INFIBEAM.EQ-NSE,2019-02-28,9.0875,9.3625,8.75,9.0,11336592.0
INFIBEAM.EQ-NSE,2019-03-01,9.05,9.2,8.9,9.0375,8870293.0
INFIBEAM.EQ-NSE,2019-03-05,9.1,10.1125,8.975,9.9,26308834.0
INFIBEAM.EQ-NSE,2019-03-06,10.025,11.1,9.8125,10.575,28255731.0
INFIBEAM.EQ-NSE,2019-03-07,10.5875,10.625,10.0625,10.1,8369557.0
INFIBEAM.EQ-NSE,2019-03-08,10.1125,10.1125,9.7625,9.8375,5280926.0
INFIBEAM.EQ-NSE,2019-03-11,9.925,11.325,9.925,11.0375,38324217.0
INFIBEAM.EQ-NSE,2019-03-12,11.2,11.5875,10.875,10.9875,21761758.0
INFIBEAM.EQ-NSE,2019-03-13,11.05,11.0625,10.45,10.8625,16483360.0
INFIBEAM.EQ-NSE,2019-03-14,10.825,11.5,10.825,11.475,17930177.0
INFIBEAM.EQ-NSE,2019-03-15,11.575,11.65,10.7,10.925,14793850.0
INFIBEAM.EQ-NSE,2019-03-18,11.075,11.2125,10.6875,10.8875,5329890.0
INFIBEAM.EQ-NSE,2019-03-19,10.9375,11.075,10.675,10.825,6613771.0
INFIBEAM.EQ-NSE,2019-03-20,10.7875,11.2125,10.6125,10.9625,9245185.0
INFIBEAM.EQ-NSE,2019-03-22,11.275,11.35,10.6375,10.825,9471257.0
INFIBEAM.EQ-NSE,2019-03-25,10.525,10.525,10.1375,10.3625,9673181.0
INFIBEAM.EQ-NSE,2019-03-26,10.5,10.625,10.3,10.525,4863742.0
INFIBEAM.EQ-NSE,2019-03-27,10.6625,10.7,10.325,10.4,6260729.0
INFIBEAM.EQ-NSE,2019-03-28,10.475,10.6625,10.3,10.6125,7288860.0
INFIBEAM.EQ-NSE,2019-03-29,10.625,11.025,10.625,10.7375,5973114.0
INFIBEAM.EQ-NSE,2019-04-01,10.8125,11.0125,10.6625,10.775,4648808.0
INFIBEAM.EQ-NSE,2019-04-02,10.875,10.9125,10.4375,10.5375,3889808.0
INFIBEAM.EQ-NSE,2019-04-03,10.55,10.8125,10.35,10.35,4961641.0
INFIBEAM.EQ-NSE,2019-04-04,10.3875,10.4625,10.1875,10.275,5481276.0
INFIBEAM.EQ-NSE,2019-04-05,10.3125,10.6625,10.25,10.5,5034249.0
INFIBEAM.EQ-NSE,2019-04-08,10.5375,10.6,10.2125,10.3,4613288.0
INFIBEAM.EQ-NSE,2019-04-09,10.325,10.525,10.2125,10.375,3849718.0
INFIBEAM.EQ-NSE,2019-04-10,10.3375,11.475,10.3375,11.3875,20376181.0
INFIBEAM.EQ-NSE,2019-04-11,11.5,11.575,11.0875,11.2625,11404639.0
