Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
INFRATEL.EQ-NSE,2019-01-01,260.0,263.5,257.8,263.0,798717.0
INFRATEL.EQ-NSE,2019-01-02,261.95,266.0,258.7,265.2,1113581.0
INFRATEL.EQ-NSE,2019-01-03,264.65,273.4,263.6,273.0,2885554.0
INFRATEL.EQ-NSE,2019-01-04,272.0,288.5,272.0,286.3,6708352.0
INFRATEL.EQ-NSE,2019-01-07,287.1,295.15,285.1,292.8,5427555.0
INFRATEL.EQ-NSE,2019-01-08,292.45,300.4,290.0,297.15,4642591.0
INFRATEL.EQ-NSE,2019-01-09,299.5,299.5,289.25,291.25,3181051.0
INFRATEL.EQ-NSE,2019-01-10,290.35,290.4,281.6,285.0,3669183.0
INFRATEL.EQ-NSE,2019-01-11,285.55,286.1,276.15,276.9,3835258.0
INFRATEL.EQ-NSE,2019-01-14,277.2,282.8,274.35,280.15,6216498.0
INFRATEL.EQ-NSE,2019-01-15,280.15,283.75,277.65,280.0,2484566.0
INFRATEL.EQ-NSE,2019-01-16,279.6,284.4,274.5,276.85,3603384.0
INFRATEL.EQ-NSE,2019-01-17,277.5,282.35,276.4,280.75,3725698.0
INFRATEL.EQ-NSE,2019-01-18,280.5,283.4,277.0,277.85,3094250.0
INFRATEL.EQ-NSE,2019-01-21,278.25,279.85,270.65,279.6,2420570.0
INFRATEL.EQ-NSE,2019-01-22,278.1,280.7,274.5,277.95,2192989.0
INFRATEL.EQ-NSE,2019-01-23,278.0,281.4,274.8,280.0,4884718.0
INFRATEL.EQ-NSE,2019-01-24,280.75,283.15,261.2,262.45,11083101.0
INFRATEL.EQ-NSE,2019-01-25,264.15,282.45,264.1,280.0,11814760.0
INFRATEL.EQ-NSE,2019-01-28,283.25,293.85,277.05,286.45,8283154.0
INFRATEL.EQ-NSE,2019-01-29,284.85,298.9,283.4,298.0,6397344.0
INFRATEL.EQ-NSE,2019-01-30,296.25,299.6,286.05,289.95,6286680.0
INFRATEL.EQ-NSE,2019-01-31,287.75,296.4,285.0,296.0,4759271.0
INFRATEL.EQ-NSE,2019-02-01,295.95,298.0,290.85,296.2,2254918.0
INFRATEL.EQ-NSE,2019-02-04,293.0,297.8,287.5,296.6,2316874.0
INFRATEL.EQ-NSE,2019-02-05,292.5,294.5,286.45,290.25,3536395.0
INFRATEL.EQ-NSE,2019-02-06,290.05,298.0,288.8,297.9,2705310.0
INFRATEL.EQ-NSE,2019-02-07,293.6,308.5,290.65,304.7,3136158.0
INFRATEL.EQ-NSE,2019-02-08,302.6,335.0,302.6,328.95,11187395.0
INFRATEL.EQ-NSE,2019-02-11,325.85,329.0,320.0,325.0,3072548.0
INFRATEL.EQ-NSE,2019-02-12,323.0,324.4,310.65,312.7,3512431.0
INFRATEL.EQ-NSE,2019-02-13,314.2,315.0,302.8,305.5,2927176.0
INFRATEL.EQ-NSE,2019-02-14,302.3,302.3,293.5,297.6,2907666.0
