Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IOB.EQ-NSE,2019-01-01,14.9,15.15,14.9,15.0,1494007.0
IOB.EQ-NSE,2019-01-02,15.0,15.1,14.85,14.9,559448.0
IOB.EQ-NSE,2019-01-03,14.7,14.75,14.45,14.5,414163.0
IOB.EQ-NSE,2019-01-04,14.65,14.7,14.45,14.6,514581.0
IOB.EQ-NSE,2019-01-07,14.65,14.95,14.6,14.65,318973.0
IOB.EQ-NSE,2019-01-08,14.6,14.85,14.5,14.75,314592.0
IOB.EQ-NSE,2019-01-09,14.9,14.95,14.6,14.7,237653.0
IOB.EQ-NSE,2019-01-10,14.7,14.85,14.6,14.85,229848.0
IOB.EQ-NSE,2019-01-11,14.75,14.85,14.45,14.65,358067.0
IOB.EQ-NSE,2019-01-14,14.7,14.7,14.45,14.5,201555.0
IOB.EQ-NSE,2019-01-15,14.55,14.65,14.4,14.5,303380.0
IOB.EQ-NSE,2019-01-16,14.5,14.65,14.35,14.5,430148.0
IOB.EQ-NSE,2019-01-17,14.6,14.6,14.4,14.5,244676.0
IOB.EQ-NSE,2019-01-18,14.5,14.5,14.2,14.2,238109.0
IOB.EQ-NSE,2019-01-21,14.3,14.55,14.2,14.3,327955.0
IOB.EQ-NSE,2019-01-22,14.3,14.3,13.9,13.95,416709.0
IOB.EQ-NSE,2019-01-23,14.1,14.35,13.9,13.95,353908.0
IOB.EQ-NSE,2019-01-24,14.1,14.1,13.85,13.9,252838.0
IOB.EQ-NSE,2019-01-25,14.0,14.4,13.65,13.85,1602566.0
IOB.EQ-NSE,2019-01-28,14.2,14.25,13.5,13.55,580413.0
IOB.EQ-NSE,2019-01-29,13.5,13.55,13.15,13.45,482364.0
IOB.EQ-NSE,2019-01-30,13.5,13.7,13.35,13.55,406960.0
IOB.EQ-NSE,2019-01-31,13.7,13.75,13.6,13.7,271098.0
IOB.EQ-NSE,2019-02-01,13.8,14.0,13.65,13.75,409062.0
IOB.EQ-NSE,2019-02-04,13.7,13.85,13.1,13.2,370295.0
IOB.EQ-NSE,2019-02-05,13.2,13.35,13.0,13.25,472571.0
IOB.EQ-NSE,2019-02-06,13.05,13.25,12.6,12.85,413090.0
