Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
IPCALAB.EQ-NSE,2019-01-01,397.1,409.5,396.575,408.9,63236.0
IPCALAB.EQ-NSE,2019-01-02,403.9,409.5,399.125,400.475,60244.0
IPCALAB.EQ-NSE,2019-01-03,400.525,407.975,391.05,392.5,60885.0
IPCALAB.EQ-NSE,2019-01-04,393.825,396.275,387.85,394.0,194393.0
IPCALAB.EQ-NSE,2019-01-07,393.55,397.45,388.0,391.5,370098.0
IPCALAB.EQ-NSE,2019-01-08,393.0,397.0,386.25,386.25,201765.0
IPCALAB.EQ-NSE,2019-01-09,389.5,393.675,387.5,387.5,44182.0
IPCALAB.EQ-NSE,2019-01-10,389.95,397.0,387.5,390.0,89276.0
IPCALAB.EQ-NSE,2019-01-11,390.05,396.5,389.025,390.5,107121.0
IPCALAB.EQ-NSE,2019-01-14,391.0,394.875,387.65,391.825,38249.0
IPCALAB.EQ-NSE,2019-01-15,392.5,394.95,388.0,389.525,30996.0
IPCALAB.EQ-NSE,2019-01-16,392.65,394.75,390.05,394.5,38137.0
IPCALAB.EQ-NSE,2019-01-17,394.525,395.0,387.8,392.7,174387.0
IPCALAB.EQ-NSE,2019-01-18,392.825,393.275,381.95,384.5,45416.0
IPCALAB.EQ-NSE,2019-01-21,385.5,392.5,385.5,390.0,45874.0
IPCALAB.EQ-NSE,2019-01-22,388.05,388.7,380.55,387.5,101586.0
IPCALAB.EQ-NSE,2019-01-23,385.775,392.5,385.45,390.05,28979.0
IPCALAB.EQ-NSE,2019-01-24,391.975,395.0,387.575,392.0,87839.0
IPCALAB.EQ-NSE,2019-01-25,390.675,393.8,388.7,390.0,92532.0
IPCALAB.EQ-NSE,2019-01-28,387.5,395.55,387.5,389.225,105908.0
IPCALAB.EQ-NSE,2019-01-29,390.0,391.1,387.55,389.875,56358.0
IPCALAB.EQ-NSE,2019-01-30,388.5,392.4,386.15,388.5,47527.0
IPCALAB.EQ-NSE,2019-01-31,390.325,391.9,380.525,381.5,259539.0
IPCALAB.EQ-NSE,2019-02-01,384.9,389.6,375.775,377.85,54746.0
IPCALAB.EQ-NSE,2019-02-04,379.825,382.2,367.5,371.0,76176.0
IPCALAB.EQ-NSE,2019-02-05,371.575,373.75,358.5,362.5,122508.0
IPCALAB.EQ-NSE,2019-02-06,368.25,379.475,364.975,375.675,917869.0
IPCALAB.EQ-NSE,2019-02-07,374.0,381.4,368.0,369.575,202324.0
IPCALAB.EQ-NSE,2019-02-08,369.55,370.0,365.125,366.025,18905.0
IPCALAB.EQ-NSE,2019-02-11,363.6,374.375,361.05,365.05,191193.0
IPCALAB.EQ-NSE,2019-02-12,366.325,375.75,363.5,371.675,396629.0
IPCALAB.EQ-NSE,2019-02-13,376.5,378.5,370.05,375.5,388968.0
IPCALAB.EQ-NSE,2019-02-14,375.925,381.575,371.225,378.4,630205.0
IPCALAB.EQ-NSE,2019-02-15,378.75,389.925,375.0,387.575,74528.0
IPCALAB.EQ-NSE,2019-02-18,394.0,414.425,388.025,402.0,390715.0
IPCALAB.EQ-NSE,2019-02-19,404.125,407.725,393.2,405.5,161096.0
IPCALAB.EQ-NSE,2019-02-20,404.475,407.5,396.5,397.925,154135.0
IPCALAB.EQ-NSE,2019-02-21,399.675,405.0,396.275,398.95,340081.0
IPCALAB.EQ-NSE,2019-02-22,402.5,403.0,394.5,394.975,160928.0
IPCALAB.EQ-NSE,2019-02-25,397.975,409.9,396.5,397.5,245335.0
IPCALAB.EQ-NSE,2019-02-26,394.975,405.0,392.0,399.75,45696.0
IPCALAB.EQ-NSE,2019-02-27,399.5,406.0,392.0,400.65,164733.0
IPCALAB.EQ-NSE,2019-02-28,402.0,407.3,399.825,405.175,161963.0
IPCALAB.EQ-NSE,2019-03-01,405.65,431.45,405.65,425.4,679504.0
IPCALAB.EQ-NSE,2019-03-05,427.5,444.225,425.775,437.5,411144.0
IPCALAB.EQ-NSE,2019-03-06,439.875,443.85,432.675,435.0,257995.0
IPCALAB.EQ-NSE,2019-03-07,437.6,440.15,430.975,434.375,230310.0
IPCALAB.EQ-NSE,2019-03-08,436.0,458.7,432.0,445.0,485768.0
IPCALAB.EQ-NSE,2019-03-11,443.75,470.9,443.75,464.5,842753.0
IPCALAB.EQ-NSE,2019-03-12,467.5,470.875,459.3,464.05,226649.0
IPCALAB.EQ-NSE,2019-03-13,465.0,465.5,454.575,456.3,142616.0
IPCALAB.EQ-NSE,2019-03-14,458.775,460.4,447.5,448.375,108359.0
IPCALAB.EQ-NSE,2019-03-15,452.775,457.4,437.775,447.5,183505.0
IPCALAB.EQ-NSE,2019-03-18,443.6,449.0,439.375,444.0,93615.0
IPCALAB.EQ-NSE,2019-03-19,447.5,464.725,447.125,459.4,250789.0
IPCALAB.EQ-NSE,2019-03-20,457.55,474.5,456.025,470.0,273194.0
IPCALAB.EQ-NSE,2019-03-22,468.35,468.675,462.5,462.6,79051.0
IPCALAB.EQ-NSE,2019-03-25,462.5,462.5,455.025,459.5,102291.0
IPCALAB.EQ-NSE,2019-03-26,459.25,466.0,457.525,464.5,284145.0
IPCALAB.EQ-NSE,2019-03-27,465.7,467.5,458.5,461.0,137535.0
IPCALAB.EQ-NSE,2019-03-28,462.325,483.75,456.6,483.75,107179.0
IPCALAB.EQ-NSE,2019-03-29,482.5,523.0,480.0,489.0,715122.0
IPCALAB.EQ-NSE,2019-04-01,492.5,500.0,482.75,487.5,97993.0
IPCALAB.EQ-NSE,2019-04-02,488.575,489.85,474.05,474.425,92893.0
IPCALAB.EQ-NSE,2019-04-03,478.825,504.3,475.5,480.0,424251.0
IPCALAB.EQ-NSE,2019-04-04,480.0,487.5,475.55,483.375,89732.0
IPCALAB.EQ-NSE,2019-04-05,485.5,488.275,475.55,476.75,61663.0
IPCALAB.EQ-NSE,2019-04-08,473.1,479.95,456.775,472.5,241327.0
IPCALAB.EQ-NSE,2019-04-09,471.05,471.75,458.675,466.725,235569.0
IPCALAB.EQ-NSE,2019-04-10,468.025,479.625,465.875,472.575,90186.0
IPCALAB.EQ-NSE,2019-04-11,470.4,476.85,469.525,472.0,55470.0
IPCALAB.EQ-NSE,2019-04-12,474.5,476.95,469.925,476.2,53832.0
IPCALAB.EQ-NSE,2019-04-15,476.225,480.0,470.0,471.5,135570.0
IPCALAB.EQ-NSE,2019-04-16,471.6,477.5,463.0,474.0,159361.0
IPCALAB.EQ-NSE,2019-04-18,474.975,492.45,472.75,487.5,250386.0
IPCALAB.EQ-NSE,2019-04-22,483.0,485.0,472.8,482.5,72672.0
IPCALAB.EQ-NSE,2019-04-23,485.0,516.55,482.7,489.475,678197.0
IPCALAB.EQ-NSE,2019-04-24,492.5,494.075,480.0,482.5,115990.0
IPCALAB.EQ-NSE,2019-04-25,488.7,493.8,487.85,489.5,141654.0
IPCALAB.EQ-NSE,2019-04-26,488.275,492.7,480.55,482.875,165965.0
IPCALAB.EQ-NSE,2019-04-30,480.225,480.225,472.0,479.25,255172.0
IPCALAB.EQ-NSE,2019-05-02,478.0,492.0,477.25,490.0,114024.0
IPCALAB.EQ-NSE,2019-05-03,486.5,491.2,483.725,487.5,60118.0
IPCALAB.EQ-NSE,2019-05-06,484.575,484.95,475.025,475.4,57054.0
IPCALAB.EQ-NSE,2019-05-07,482.0,488.5,473.25,480.5,90206.0
IPCALAB.EQ-NSE,2019-05-08,474.275,480.0,470.3,472.075,84490.0
IPCALAB.EQ-NSE,2019-05-09,478.45,490.8,471.5,489.5,66525.0
IPCALAB.EQ-NSE,2019-05-10,485.0,492.475,480.0,487.5,49556.0
IPCALAB.EQ-NSE,2019-05-13,488.775,488.775,457.775,462.5,127545.0
IPCALAB.EQ-NSE,2019-05-14,463.475,469.075,448.5,467.0,225657.0
IPCALAB.EQ-NSE,2019-05-15,460.0,480.0,456.35,457.5,124356.0
IPCALAB.EQ-NSE,2019-05-16,462.05,463.95,451.825,456.5,61894.0
IPCALAB.EQ-NSE,2019-05-17,458.0,474.5,455.25,461.5,73439.0
IPCALAB.EQ-NSE,2019-05-20,466.5,473.0,459.375,464.375,89644.0
IPCALAB.EQ-NSE,2019-05-21,469.775,470.2,457.5,460.025,79999.0
IPCALAB.EQ-NSE,2019-05-22,462.425,466.0,455.775,462.5,300479.0
IPCALAB.EQ-NSE,2019-05-23,468.425,468.425,452.5,457.8,217698.0
IPCALAB.EQ-NSE,2019-05-24,460.0,470.7,459.025,469.5,116945.0
IPCALAB.EQ-NSE,2019-05-27,467.625,472.125,460.05,461.5,75898.0
IPCALAB.EQ-NSE,2019-05-28,464.0,475.0,453.5,466.625,120022.0
IPCALAB.EQ-NSE,2019-05-29,469.95,476.475,460.5,465.0,455405.0
IPCALAB.EQ-NSE,2019-05-30,467.325,474.975,463.7,467.0,87636.0
IPCALAB.EQ-NSE,2019-05-31,469.025,475.475,465.175,467.0,379139.0
IPCALAB.EQ-NSE,2019-06-03,471.2,474.925,460.425,460.45,91225.0
IPCALAB.EQ-NSE,2019-06-04,466.15,469.475,464.95,467.0,96111.0
IPCALAB.EQ-NSE,2019-06-06,466.8,469.575,460.525,461.25,146069.0
IPCALAB.EQ-NSE,2019-06-07,462.0,473.45,462.0,469.5,95736.0
IPCALAB.EQ-NSE,2019-06-10,472.175,472.975,458.5,465.0,131917.0
IPCALAB.EQ-NSE,2019-06-11,464.0,470.0,459.175,462.475,189522.0
IPCALAB.EQ-NSE,2019-06-12,463.4,463.4,458.5,460.0,55519.0
IPCALAB.EQ-NSE,2019-06-13,460.675,481.275,460.675,467.5,241247.0
IPCALAB.EQ-NSE,2019-06-14,468.525,472.0,465.5,467.175,82712.0
IPCALAB.EQ-NSE,2019-06-17,469.45,469.45,447.75,453.45,61761.0
IPCALAB.EQ-NSE,2019-06-18,453.775,458.5,449.25,453.45,89694.0
IPCALAB.EQ-NSE,2019-06-19,456.275,457.5,450.475,450.575,37332.0
IPCALAB.EQ-NSE,2019-06-20,454.625,459.5,446.225,457.5,65066.0
IPCALAB.EQ-NSE,2019-06-21,459.0,476.0,455.0,474.0,185672.0
IPCALAB.EQ-NSE,2019-06-24,468.525,478.5,466.55,471.05,148545.0
IPCALAB.EQ-NSE,2019-06-25,472.35,472.35,464.0,467.175,34977.0
IPCALAB.EQ-NSE,2019-06-26,466.5,468.725,460.625,466.5,56491.0
IPCALAB.EQ-NSE,2019-06-27,467.45,472.0,458.0,462.5,120574.0
IPCALAB.EQ-NSE,2019-06-28,461.525,464.95,457.5,461.0,115141.0
IPCALAB.EQ-NSE,2019-07-01,462.5,470.425,462.5,467.5,65368.0
IPCALAB.EQ-NSE,2019-07-02,468.25,490.5,465.775,489.4,136987.0
IPCALAB.EQ-NSE,2019-07-03,485.8,485.9,478.5,480.0,93643.0
IPCALAB.EQ-NSE,2019-07-04,482.5,483.5,470.5,474.275,115553.0
IPCALAB.EQ-NSE,2019-07-05,474.5,477.425,472.0,476.0,85562.0
IPCALAB.EQ-NSE,2019-07-08,474.0,475.275,459.975,471.425,174131.0
IPCALAB.EQ-NSE,2019-07-09,470.525,480.0,465.5,473.05,136681.0
IPCALAB.EQ-NSE,2019-07-10,478.975,478.975,473.0,474.8,30303.0
IPCALAB.EQ-NSE,2019-07-11,476.275,479.975,468.225,477.5,41045.0
IPCALAB.EQ-NSE,2019-07-12,477.575,482.0,474.25,479.35,39441.0
IPCALAB.EQ-NSE,2019-07-15,480.025,481.975,474.0,477.025,35475.0
IPCALAB.EQ-NSE,2019-07-16,481.8,482.0,475.0,480.0,21832.0
IPCALAB.EQ-NSE,2019-07-17,478.5,479.775,460.75,467.5,93991.0
IPCALAB.EQ-NSE,2019-07-18,472.5,474.95,465.05,468.25,28845.0
IPCALAB.EQ-NSE,2019-07-19,469.0,471.5,458.0,463.5,55491.0
IPCALAB.EQ-NSE,2019-07-22,462.425,467.0,450.025,457.05,307358.0
IPCALAB.EQ-NSE,2019-07-23,452.575,471.0,452.575,470.0,585338.0
IPCALAB.EQ-NSE,2019-07-24,472.15,485.0,464.675,471.95,63885.0
IPCALAB.EQ-NSE,2019-07-25,476.0,476.0,469.65,473.5,35589.0
IPCALAB.EQ-NSE,2019-07-26,474.75,478.85,466.5,477.5,40602.0
IPCALAB.EQ-NSE,2019-07-29,475.875,478.975,467.575,476.0,28071.0
IPCALAB.EQ-NSE,2019-07-30,475.775,487.5,473.625,475.5,197329.0
IPCALAB.EQ-NSE,2019-07-31,480.45,481.95,472.5,477.5,73549.0
IPCALAB.EQ-NSE,2019-08-01,472.9,502.1,472.9,480.0,750073.0
IPCALAB.EQ-NSE,2019-08-02,480.9,490.0,478.0,484.5,122246.0
IPCALAB.EQ-NSE,2019-08-05,485.0,489.975,455.7,465.675,357332.0
IPCALAB.EQ-NSE,2019-08-06,470.475,477.2,469.4,473.9,160653.0
IPCALAB.EQ-NSE,2019-08-07,476.975,476.975,462.6,464.6,45583.0
IPCALAB.EQ-NSE,2019-08-08,469.425,472.5,463.375,470.0,117233.0
IPCALAB.EQ-NSE,2019-08-09,469.0,483.825,469.0,482.5,129005.0
IPCALAB.EQ-NSE,2019-08-13,485.0,485.55,465.0,466.5,348372.0
IPCALAB.EQ-NSE,2019-08-14,470.55,474.5,464.5,470.0,48168.0
IPCALAB.EQ-NSE,2019-08-16,468.5,474.0,465.05,469.875,317971.0
IPCALAB.EQ-NSE,2019-08-19,471.9,477.5,468.5,476.5,230911.0
IPCALAB.EQ-NSE,2019-08-20,477.1,485.0,472.7,484.6,166069.0
IPCALAB.EQ-NSE,2019-08-21,482.5,485.0,466.25,473.0,105522.0
IPCALAB.EQ-NSE,2019-08-22,470.0,482.475,470.0,479.5,137554.0
IPCALAB.EQ-NSE,2019-08-23,477.325,481.5,473.6,479.5,197778.0
IPCALAB.EQ-NSE,2019-08-26,482.5,488.5,475.5,487.5,208076.0
IPCALAB.EQ-NSE,2019-08-27,488.75,499.5,488.75,492.475,237700.0
