Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
JETAIRWAYS-I190PE,2019-01-01,0.7,0.7,0.7,0.7,2200.0,44000.0
JETAIRWAYS-I200PE,2019-01-01,1.6,1.6,1.15,1.5,17600.0,125400.0
JETAIRWAYS-I210PE,2019-01-01,2.5,2.5,1.8,1.8,4400.0,24200.0
JETAIRWAYS-I220PE,2019-01-01,3.2,3.2,3.2,3.2,4400.0,61600.0
JETAIRWAYS-I230CE,2019-01-01,52.5,52.5,52.5,52.5,2200.0,6600.0
JETAIRWAYS-I230PE,2019-01-01,5.05,5.2,4.1,4.1,17600.0,24200.0
JETAIRWAYS-I240CE,2019-01-01,41.05,41.05,41.05,41.05,8800.0,0.0
JETAIRWAYS-I240PE,2019-01-01,7.2,7.85,6.65,6.65,77000.0,81400.0
JETAIRWAYS-I250CE,2019-01-01,35.6,35.6,35.0,35.0,4400.0,24200.0
JETAIRWAYS-I250PE,2019-01-01,10.6,10.8,8.9,8.9,59400.0,74800.0
JETAIRWAYS-I260CE,2019-01-01,31.55,31.65,28.0,29.05,28600.0,35200.0
JETAIRWAYS-I260PE,2019-01-01,15.0,15.0,12.1,12.4,129800.0,57200.0
JETAIRWAYS-I270CE,2019-01-01,24.1,26.2,22.25,23.8,52800.0,114400.0
JETAIRWAYS-I270PE,2019-01-01,18.25,18.45,16.3,17.05,127600.0,66000.0
JETAIRWAYS-I280CE,2019-01-01,20.4,21.85,17.5,19.2,398200.0,103400.0
JETAIRWAYS-I280PE,2019-01-01,24.3,24.55,21.1,22.0,165000.0,88000.0
JETAIRWAYS-I290CE,2019-01-01,15.95,17.25,13.75,15.05,290400.0,94600.0
JETAIRWAYS-I290PE,2019-01-01,30.55,30.55,30.55,30.55,2200.0,4400.0
JETAIRWAYS-I300CE,2019-01-01,13.3,13.85,10.6,11.65,433400.0,281600.0
JETAIRWAYS-I300PE,2019-01-01,34.25,34.25,34.25,34.25,4400.0,2200.0
JETAIRWAYS-I310CE,2019-01-01,10.5,10.55,8.1,8.15,180400.0,138600.0
JETAIRWAYS-I320CE,2019-01-01,7.8,8.15,6.15,6.45,72600.0,85800.0
JETAIRWAYS-I320PE,2019-01-01,52.25,52.25,52.25,52.25,2200.0,2200.0
JETAIRWAYS-I330CE,2019-01-01,6.05,6.1,4.45,4.75,99000.0,110000.0
