Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JINDALSAW.EQ-NSE,2019-01-01,85.0,85.65,84.2,85.2,294230.0
JINDALSAW.EQ-NSE,2019-01-02,84.5,84.85,82.25,83.0,362263.0
JINDALSAW.EQ-NSE,2019-01-03,83.45,83.85,81.55,81.7,228193.0
JINDALSAW.EQ-NSE,2019-01-04,82.1,82.75,81.3,82.15,381761.0
JINDALSAW.EQ-NSE,2019-01-07,83.35,83.75,80.1,80.75,272280.0
JINDALSAW.EQ-NSE,2019-01-08,81.25,82.75,80.55,82.1,250791.0
JINDALSAW.EQ-NSE,2019-01-09,82.6,83.55,80.9,81.4,424718.0
JINDALSAW.EQ-NSE,2019-01-10,81.4,82.25,80.6,80.75,171651.0
JINDALSAW.EQ-NSE,2019-01-11,81.3,81.55,80.3,80.9,247646.0
JINDALSAW.EQ-NSE,2019-01-14,80.8,81.1,79.25,79.6,210407.0
JINDALSAW.EQ-NSE,2019-01-15,80.15,82.1,79.7,81.6,562598.0
JINDALSAW.EQ-NSE,2019-01-16,81.45,82.55,80.25,80.35,422649.0
JINDALSAW.EQ-NSE,2019-01-17,80.6,81.2,78.8,79.45,317446.0
JINDALSAW.EQ-NSE,2019-01-18,80.15,80.2,78.55,79.25,151795.0
JINDALSAW.EQ-NSE,2019-01-21,79.35,79.5,77.5,77.6,190280.0
JINDALSAW.EQ-NSE,2019-01-22,78.1,78.15,75.6,76.85,234775.0
JINDALSAW.EQ-NSE,2019-01-23,77.0,78.55,76.25,77.55,197068.0
JINDALSAW.EQ-NSE,2019-01-24,77.8,77.8,75.25,76.15,180557.0
JINDALSAW.EQ-NSE,2019-01-25,82.1,82.8,77.25,77.7,1726542.0
JINDALSAW.EQ-NSE,2019-01-28,78.2,80.5,75.05,79.95,801250.0
JINDALSAW.EQ-NSE,2019-01-29,79.5,83.85,79.5,82.2,1099617.0
JINDALSAW.EQ-NSE,2019-01-30,82.6,83.15,82.0,82.3,430053.0
JINDALSAW.EQ-NSE,2019-01-31,82.5,90.4,82.35,88.95,3248484.0
JINDALSAW.EQ-NSE,2019-02-01,89.7,89.9,84.15,84.4,1182989.0
JINDALSAW.EQ-NSE,2019-02-04,84.35,85.35,81.35,81.85,382724.0
JINDALSAW.EQ-NSE,2019-02-05,81.7,83.45,80.25,80.75,320675.0
JINDALSAW.EQ-NSE,2019-02-06,81.15,81.5,79.1,79.5,382166.0
JINDALSAW.EQ-NSE,2019-02-07,79.65,82.45,79.3,81.8,338700.0
JINDALSAW.EQ-NSE,2019-02-08,81.0,81.35,79.7,80.0,263915.0
JINDALSAW.EQ-NSE,2019-02-11,79.95,79.95,77.85,77.95,202515.0
JINDALSAW.EQ-NSE,2019-02-12,78.15,79.85,77.3,77.8,535516.0
JINDALSAW.EQ-NSE,2019-02-13,78.4,80.35,76.5,76.65,588727.0
JINDALSAW.EQ-NSE,2019-02-14,76.65,78.2,76.4,77.15,270258.0
JINDALSAW.EQ-NSE,2019-02-15,76.9,77.7,75.5,76.7,262328.0
JINDALSAW.EQ-NSE,2019-02-18,77.1,77.15,74.1,74.5,262966.0
JINDALSAW.EQ-NSE,2019-02-19,75.25,77.65,75.15,75.75,378922.0
