Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JISLJALEQS.EQ-NSE,2019-01-01,70.0,70.1,68.35,69.0,3115658.0
JISLJALEQS.EQ-NSE,2019-01-02,68.95,69.55,67.05,67.8,4213887.0
JISLJALEQS.EQ-NSE,2019-01-03,68.6,68.6,64.55,64.65,7259528.0
JISLJALEQS.EQ-NSE,2019-01-04,65.35,66.65,64.3,66.4,5248402.0
JISLJALEQS.EQ-NSE,2019-01-07,67.0,68.5,66.3,67.0,3725453.0
JISLJALEQS.EQ-NSE,2019-01-08,67.1,67.3,65.95,66.65,4463994.0
JISLJALEQS.EQ-NSE,2019-01-09,67.2,67.5,65.9,66.6,2984280.0
JISLJALEQS.EQ-NSE,2019-01-10,66.8,68.0,66.45,67.5,4121001.0
JISLJALEQS.EQ-NSE,2019-01-11,67.75,68.0,66.5,67.05,3317795.0
JISLJALEQS.EQ-NSE,2019-01-14,66.8,67.0,64.05,64.15,4010011.0
JISLJALEQS.EQ-NSE,2019-01-15,64.6,66.05,64.05,65.85,2969999.0
JISLJALEQS.EQ-NSE,2019-01-16,65.9,66.85,65.55,66.65,3181139.0
JISLJALEQS.EQ-NSE,2019-01-17,66.55,66.85,65.0,65.2,2705653.0
JISLJALEQS.EQ-NSE,2019-01-18,65.8,65.8,64.3,64.75,3106918.0
JISLJALEQS.EQ-NSE,2019-01-21,64.7,64.7,59.5,61.7,12944941.0
JISLJALEQS.EQ-NSE,2019-01-22,62.1,63.0,60.0,61.3,6274307.0
JISLJALEQS.EQ-NSE,2019-01-23,61.55,62.35,60.5,60.8,6532849.0
JISLJALEQS.EQ-NSE,2019-01-24,60.2,61.35,60.15,61.0,6861529.0
JISLJALEQS.EQ-NSE,2019-01-25,60.6,61.3,57.0,59.3,13191957.0
JISLJALEQS.EQ-NSE,2019-01-28,59.3,59.75,57.5,57.95,8470332.0
JISLJALEQS.EQ-NSE,2019-01-29,57.7,58.95,57.5,58.6,7133963.0
JISLJALEQS.EQ-NSE,2019-01-30,58.65,59.25,58.0,58.25,5209286.0
JISLJALEQS.EQ-NSE,2019-01-31,59.0,61.4,58.6,61.25,8068813.0
JISLJALEQS.EQ-NSE,2019-02-01,61.75,62.9,58.05,59.45,18850533.0
JISLJALEQS.EQ-NSE,2019-02-04,58.65,58.85,51.65,54.75,14403246.0
JISLJALEQS.EQ-NSE,2019-02-05,54.55,55.75,52.0,52.45,11294811.0
JISLJALEQS.EQ-NSE,2019-02-06,52.2,55.1,51.25,54.65,9085351.0
JISLJALEQS.EQ-NSE,2019-02-07,54.8,56.9,54.0,55.8,8078822.0
JISLJALEQS.EQ-NSE,2019-02-08,55.7,56.6,54.2,54.8,4809465.0
JISLJALEQS.EQ-NSE,2019-02-11,54.8,54.8,51.75,54.3,5555882.0
JISLJALEQS.EQ-NSE,2019-02-12,54.0,55.0,53.55,54.15,3347803.0
JISLJALEQS.EQ-NSE,2019-02-13,54.4,55.0,48.8,51.25,31519368.0
JISLJALEQS.EQ-NSE,2019-02-14,51.15,57.85,50.5,56.45,18700414.0
JISLJALEQS.EQ-NSE,2019-02-15,55.8,57.7,54.25,55.3,15886428.0
JISLJALEQS.EQ-NSE,2019-02-18,55.6,56.05,53.0,54.1,5899954.0
JISLJALEQS.EQ-NSE,2019-02-19,54.05,55.25,53.75,54.65,3863251.0
JISLJALEQS.EQ-NSE,2019-02-20,54.8,56.8,54.8,56.0,4835374.0
JISLJALEQS.EQ-NSE,2019-02-21,56.0,57.55,55.3,57.0,4769958.0
JISLJALEQS.EQ-NSE,2019-02-22,57.4,58.65,56.5,57.6,4704527.0
JISLJALEQS.EQ-NSE,2019-02-25,57.95,58.1,56.6,56.7,3452428.0
JISLJALEQS.EQ-NSE,2019-02-26,56.45,57.85,55.05,57.25,5482351.0
JISLJALEQS.EQ-NSE,2019-02-27,57.35,58.5,55.8,56.15,5210061.0
JISLJALEQS.EQ-NSE,2019-02-28,56.8,57.65,55.9,57.05,6245539.0
JISLJALEQS.EQ-NSE,2019-03-01,57.1,61.05,57.1,60.8,8095453.0
JISLJALEQS.EQ-NSE,2019-03-05,60.55,62.95,60.35,62.65,5242391.0
JISLJALEQS.EQ-NSE,2019-03-06,62.95,64.3,61.15,62.1,5882323.0
JISLJALEQS.EQ-NSE,2019-03-07,62.25,63.45,60.75,62.8,3652510.0
JISLJALEQS.EQ-NSE,2019-03-08,62.7,62.8,60.45,60.75,3976911.0
JISLJALEQS.EQ-NSE,2019-03-11,60.5,63.4,60.35,62.9,3455088.0
JISLJALEQS.EQ-NSE,2019-03-12,63.35,63.85,61.4,62.7,5967515.0
JISLJALEQS.EQ-NSE,2019-03-13,63.0,63.05,61.5,62.05,2387191.0
JISLJALEQS.EQ-NSE,2019-03-14,62.05,62.45,60.1,62.1,5254298.0
JISLJALEQS.EQ-NSE,2019-03-15,62.0,63.2,61.4,61.9,4335647.0
JISLJALEQS.EQ-NSE,2019-03-18,62.4,62.8,60.5,61.0,3488746.0
JISLJALEQS.EQ-NSE,2019-03-19,61.3,64.6,61.1,63.45,5062500.0
JISLJALEQS.EQ-NSE,2019-03-20,63.6,63.75,60.6,61.2,6036028.0
JISLJALEQS.EQ-NSE,2019-03-22,61.5,62.2,60.35,60.6,4296146.0
JISLJALEQS.EQ-NSE,2019-03-25,60.25,60.3,57.1,57.85,8905026.0
JISLJALEQS.EQ-NSE,2019-03-26,57.8,59.35,57.55,58.25,4320241.0
JISLJALEQS.EQ-NSE,2019-03-27,58.2,58.5,56.7,56.8,5790004.0
JISLJALEQS.EQ-NSE,2019-03-28,56.65,58.9,56.4,58.2,9370674.0
JISLJALEQS.EQ-NSE,2019-03-29,58.55,59.2,58.2,59.05,5814514.0
JISLJALEQS.EQ-NSE,2019-04-01,59.35,61.95,58.7,59.0,7303054.0
JISLJALEQS.EQ-NSE,2019-04-02,59.2,60.25,58.5,59.75,4519471.0
JISLJALEQS.EQ-NSE,2019-04-03,59.75,60.35,57.4,57.5,4743572.0
JISLJALEQS.EQ-NSE,2019-04-04,57.45,58.0,56.8,57.35,4533641.0
JISLJALEQS.EQ-NSE,2019-04-05,57.7,58.15,56.5,57.05,4115762.0
JISLJALEQS.EQ-NSE,2019-04-08,57.2,58.5,55.3,55.65,7115018.0
JISLJALEQS.EQ-NSE,2019-04-09,55.65,56.95,55.05,56.6,3466215.0
JISLJALEQS.EQ-NSE,2019-04-10,56.2,58.15,56.1,56.9,5607348.0
JISLJALEQS.EQ-NSE,2019-04-11,57.0,57.3,55.1,55.85,4491761.0
JISLJALEQS.EQ-NSE,2019-04-12,56.05,58.95,56.05,58.4,8850882.0
JISLJALEQS.EQ-NSE,2019-04-15,58.75,60.8,58.5,60.1,7020830.0
JISLJALEQS.EQ-NSE,2019-04-16,60.15,60.9,59.3,60.0,5469953.0
JISLJALEQS.EQ-NSE,2019-04-18,60.0,60.6,58.4,58.65,4944688.0
JISLJALEQS.EQ-NSE,2019-04-22,58.55,60.3,56.95,59.1,7586446.0
JISLJALEQS.EQ-NSE,2019-04-23,59.6,59.6,57.1,57.7,4501558.0
JISLJALEQS.EQ-NSE,2019-04-24,57.85,59.65,57.25,59.5,6161316.0
JISLJALEQS.EQ-NSE,2019-04-25,59.7,60.2,58.8,59.6,4986916.0
JISLJALEQS.EQ-NSE,2019-04-26,59.6,59.6,57.35,58.15,4475739.0
JISLJALEQS.EQ-NSE,2019-04-30,57.8,58.05,53.6,54.2,8446115.0
JISLJALEQS.EQ-NSE,2019-05-02,55.0,55.35,52.1,53.25,7819339.0
JISLJALEQS.EQ-NSE,2019-05-03,53.1,53.4,51.65,52.2,6080142.0
JISLJALEQS.EQ-NSE,2019-05-06,51.85,53.0,51.2,51.4,4332945.0
JISLJALEQS.EQ-NSE,2019-05-07,51.95,52.3,50.0,50.15,5245410.0
JISLJALEQS.EQ-NSE,2019-05-08,50.7,50.7,49.0,49.1,5800320.0
JISLJALEQS.EQ-NSE,2019-05-09,49.1,49.35,48.2,49.05,4089268.0
JISLJALEQS.EQ-NSE,2019-05-10,49.05,51.0,48.65,50.9,5834223.0
JISLJALEQS.EQ-NSE,2019-05-13,50.35,50.35,46.4,47.7,10174816.0
JISLJALEQS.EQ-NSE,2019-05-14,47.5,49.95,46.4,49.7,6501538.0
JISLJALEQS.EQ-NSE,2019-05-15,49.3,50.85,48.6,48.7,7263763.0
JISLJALEQS.EQ-NSE,2019-05-16,48.2,49.75,48.05,49.2,2956768.0
JISLJALEQS.EQ-NSE,2019-05-17,49.05,50.95,48.15,50.35,5188023.0
JISLJALEQS.EQ-NSE,2019-05-20,51.5,54.65,50.7,54.5,7164787.0
JISLJALEQS.EQ-NSE,2019-05-21,53.9,54.2,51.35,53.05,5368256.0
JISLJALEQS.EQ-NSE,2019-05-22,53.4,53.65,51.8,52.6,4831480.0
JISLJALEQS.EQ-NSE,2019-05-23,53.5,54.85,51.35,51.75,5953987.0
JISLJALEQS.EQ-NSE,2019-05-24,52.2,56.7,51.75,56.0,10699566.0
JISLJALEQS.EQ-NSE,2019-05-27,56.4,56.6,55.05,55.7,4860040.0
JISLJALEQS.EQ-NSE,2019-05-28,56.15,56.35,55.25,55.4,4362146.0
JISLJALEQS.EQ-NSE,2019-05-29,55.55,55.8,53.3,54.5,6870603.0
JISLJALEQS.EQ-NSE,2019-05-30,54.45,54.75,52.7,54.45,6323588.0
JISLJALEQS.EQ-NSE,2019-05-31,52.75,53.3,48.4,49.7,21893770.0
JISLJALEQS.EQ-NSE,2019-06-03,49.9,50.35,48.45,49.85,7311311.0
JISLJALEQS.EQ-NSE,2019-06-04,49.75,50.75,48.7,49.2,7980360.0
JISLJALEQS.EQ-NSE,2019-06-06,48.55,48.95,43.25,45.0,15994438.0
JISLJALEQS.EQ-NSE,2019-06-07,45.1,46.1,42.5,42.55,16957010.0
JISLJALEQS.EQ-NSE,2019-06-10,43.1,43.3,36.8,36.95,39481535.0
JISLJALEQS.EQ-NSE,2019-06-11,37.3,41.45,35.15,40.8,34702069.0
JISLJALEQS.EQ-NSE,2019-06-12,40.55,40.9,37.1,38.25,16760152.0
JISLJALEQS.EQ-NSE,2019-06-13,37.5,39.15,36.8,38.45,23835820.0
JISLJALEQS.EQ-NSE,2019-06-14,38.5,38.65,36.5,36.85,9545207.0
JISLJALEQS.EQ-NSE,2019-06-17,35.7,36.5,32.15,34.8,23061352.0
JISLJALEQS.EQ-NSE,2019-06-18,34.9,35.6,24.3,27.7,54978178.0
JISLJALEQS.EQ-NSE,2019-06-19,25.85,26.6,18.8,18.95,122880108.0
JISLJALEQS.EQ-NSE,2019-06-20,18.25,24.7,16.3,24.25,178460925.0
JISLJALEQS.EQ-NSE,2019-06-21,24.9,26.65,22.9,24.95,80298866.0
