Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
JISLJALEQS-I55PE,2019-01-01,0.2,0.2,0.2,0.2,9000.0,72000.0
JISLJALEQS-I60PE,2019-01-01,0.6,0.6,0.5,0.55,135000.0,414000.0
JISLJALEQS-I62.5PE,2019-01-01,0.9,1.0,0.9,1.0,18000.0,117000.0
JISLJALEQS-I65CE,2019-01-01,6.3,6.3,6.3,6.3,9000.0,216000.0
JISLJALEQS-I65PE,2019-01-01,1.5,1.7,1.5,1.6,72000.0,342000.0
JISLJALEQS-I67.5CE,2019-01-01,4.15,4.15,4.15,4.15,9000.0,99000.0
JISLJALEQS-I67.5PE,2019-01-01,2.35,2.65,2.35,2.65,36000.0,108000.0
JISLJALEQS-I70CE,2019-01-01,3.7,3.7,2.85,3.0,432000.0,1584000.0
JISLJALEQS-I70PE,2019-01-01,3.5,4.0,3.5,3.85,63000.0,360000.0
JISLJALEQS-I72.5CE,2019-01-01,2.35,2.35,2.0,2.1,144000.0,333000.0
JISLJALEQS-I75CE,2019-01-01,1.9,1.9,1.25,1.4,765000.0,1458000.0
JISLJALEQS-I77.5CE,2019-01-01,1.3,1.3,1.3,1.3,9000.0,18000.0
JISLJALEQS-I80CE,2019-01-01,0.85,0.85,0.55,0.7,396000.0,1314000.0
JISLJALEQS-I82.5CE,2019-01-01,0.35,0.35,0.35,0.35,9000.0,9000.0
JISLJALEQS-I85CE,2019-01-01,0.3,0.3,0.3,0.3,9000.0,216000.0
JISLJALEQS-I55PE,2019-01-02,0.2,0.2,0.2,0.2,9000.0,63000.0
JISLJALEQS-I60PE,2019-01-02,0.6,0.8,0.6,0.7,108000.0,459000.0
JISLJALEQS-I62.5PE,2019-01-02,1.1,1.35,1.1,1.3,27000.0,117000.0
JISLJALEQS-I65CE,2019-01-02,6.0,6.0,4.6,4.9,126000.0,297000.0
JISLJALEQS-I65PE,2019-01-02,1.6,2.15,1.5,2.15,243000.0,369000.0
JISLJALEQS-I67.5CE,2019-01-02,4.25,4.25,3.3,3.3,90000.0,135000.0
JISLJALEQS-I67.5PE,2019-01-02,2.8,3.35,2.8,3.35,36000.0,99000.0
JISLJALEQS-I70CE,2019-01-02,2.9,3.35,2.15,2.5,1233000.0,1827000.0
JISLJALEQS-I70PE,2019-01-02,3.5,4.75,3.3,4.45,189000.0,378000.0
JISLJALEQS-I72.5CE,2019-01-02,2.0,2.0,1.4,1.55,117000.0,351000.0
JISLJALEQS-I75CE,2019-01-02,1.2,1.5,0.85,1.0,1989000.0,2133000.0
JISLJALEQS-I77.5CE,2019-01-02,0.8,0.8,0.6,0.65,54000.0,36000.0
JISLJALEQS-I80CE,2019-01-02,0.55,0.7,0.35,0.45,657000.0,1359000.0
JISLJALEQS-I80PE,2019-01-02,11.3,11.3,11.3,11.3,9000.0,63000.0
JISLJALEQS-I82.5CE,2019-01-02,0.2,0.25,0.2,0.25,18000.0,27000.0
JISLJALEQS-I85CE,2019-01-02,0.35,0.35,0.2,0.2,144000.0,261000.0
JISLJALEQS-I90CE,2019-01-02,0.1,0.1,0.1,0.1,9000.0,117000.0
JISLJALEQS-I92.5CE,2019-01-02,0.05,0.05,0.05,0.05,9000.0,18000.0
JISLJALEQS-I52.5PE,2019-01-03,0.2,0.2,0.2,0.2,9000.0,9000.0
JISLJALEQS-I55PE,2019-01-03,0.25,0.45,0.25,0.45,126000.0,171000.0
JISLJALEQS-I60CE,2019-01-03,7.25,7.55,7.25,7.55,45000.0,99000.0
JISLJALEQS-I60PE,2019-01-03,0.8,1.25,0.8,1.2,243000.0,495000.0
JISLJALEQS-I62.5CE,2019-01-03,5.05,5.05,5.05,5.05,54000.0,0.0
JISLJALEQS-I62.5PE,2019-01-03,1.3,2.2,1.3,2.2,81000.0,135000.0
JISLJALEQS-I65CE,2019-01-03,5.45,5.45,3.35,3.6,594000.0,576000.0
JISLJALEQS-I65PE,2019-01-03,2.0,3.35,1.95,3.35,306000.0,522000.0
JISLJALEQS-I67.5CE,2019-01-03,4.0,4.0,2.3,2.3,189000.0,225000.0
JISLJALEQS-I67.5PE,2019-01-03,3.4,4.45,3.4,4.45,72000.0,135000.0
JISLJALEQS-I70CE,2019-01-03,2.7,2.7,1.5,1.5,2610000.0,2385000.0
JISLJALEQS-I70PE,2019-01-03,4.2,6.3,4.2,6.25,117000.0,378000.0
JISLJALEQS-I72.5CE,2019-01-03,1.7,1.7,0.95,0.95,315000.0,387000.0
JISLJALEQS-I75CE,2019-01-03,1.2,1.2,0.6,0.6,2052000.0,2466000.0
JISLJALEQS-I77.5CE,2019-01-03,0.75,0.75,0.55,0.55,72000.0,72000.0
JISLJALEQS-I80CE,2019-01-03,0.5,0.5,0.3,0.3,549000.0,1476000.0
JISLJALEQS-I82.5CE,2019-01-03,0.3,0.4,0.2,0.25,72000.0,45000.0
JISLJALEQS-I85CE,2019-01-03,0.2,0.2,0.15,0.15,63000.0,243000.0
JISLJALEQS-I90CE,2019-01-03,0.1,0.1,0.1,0.1,9000.0,126000.0
JISLJALEQS-I52.5PE,2019-01-04,0.2,0.2,0.2,0.2,9000.0,18000.0
JISLJALEQS-I55PE,2019-01-04,0.6,0.6,0.3,0.3,72000.0,189000.0
JISLJALEQS-I57.5PE,2019-01-04,0.75,0.75,0.45,0.45,18000.0,54000.0
JISLJALEQS-I60CE,2019-01-04,6.3,7.65,6.3,7.25,81000.0,99000.0
JISLJALEQS-I60PE,2019-01-04,1.25,1.5,0.75,0.8,486000.0,657000.0
JISLJALEQS-I62.5CE,2019-01-04,5.4,5.45,5.4,5.45,27000.0,54000.0
JISLJALEQS-I62.5PE,2019-01-04,2.15,2.2,1.35,1.4,144000.0,126000.0
JISLJALEQS-I65CE,2019-01-04,3.5,4.05,3.15,4.05,603000.0,630000.0
JISLJALEQS-I65PE,2019-01-04,2.85,3.25,2.25,2.25,261000.0,504000.0
JISLJALEQS-I67.5CE,2019-01-04,2.35,2.75,2.1,2.75,486000.0,405000.0
JISLJALEQS-I67.5PE,2019-01-04,4.4,4.4,3.3,3.3,54000.0,153000.0
JISLJALEQS-I70CE,2019-01-04,1.65,1.9,1.3,1.85,2205000.0,2619000.0
