Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
JKCEMENT-I2800PE,2021-10-01,40.0,40.0,40.0,40.0,350.0,0.0
JKCEMENT-I2900PE,2021-10-01,53.15,65.0,53.15,60.0,525.0,350.0
JKCEMENT-I3000PE,2021-10-01,140.0,155.0,82.0,82.0,5250.0,3150.0
JKCEMENT-I3100CE,2021-10-01,292.0,292.0,272.0,272.0,350.0,175.0
JKCEMENT-I3100PE,2021-10-01,138.45,138.45,130.0,130.0,525.0,350.0
JKCEMENT-I3150CE,2021-10-01,254.0,263.45,202.45,240.0,1225.0,700.0
JKCEMENT-I3200CE,2021-10-01,209.6,279.0,190.05,217.55,23625.0,7000.0
JKCEMENT-I3250CE,2021-10-01,186.7,186.7,186.7,186.7,350.0,175.0
JKCEMENT-I3300CE,2021-10-01,110.0,180.45,110.0,170.0,2975.0,2100.0
JKCEMENT-I3400CE,2021-10-01,55.75,186.95,55.75,142.0,3675.0,2100.0
JKCEMENT-I3600CE,2021-10-01,35.55,47.95,35.55,47.95,350.0,175.0
JKCEMENT-I3750CE,2021-10-01,23.0,23.0,23.0,23.0,175.0,0.0
JKCEMENT-I2800PE,2021-10-04,25.0,25.0,20.0,20.0,350.0,525.0
JKCEMENT-I2900PE,2021-10-04,44.0,55.0,33.95,33.95,1050.0,1050.0
JKCEMENT-I3000PE,2021-10-04,66.95,78.05,53.0,53.0,4375.0,3850.0
JKCEMENT-I3100CE,2021-10-04,281.1,386.0,278.05,386.0,525.0,700.0
JKCEMENT-I3100PE,2021-10-04,125.0,125.65,72.0,72.0,1750.0,1225.0
JKCEMENT-I3150CE,2021-10-04,255.75,295.0,255.75,295.0,350.0,700.0
JKCEMENT-I3200CE,2021-10-04,216.45,298.95,192.65,298.95,14525.0,4375.0
JKCEMENT-I3200PE,2021-10-04,190.9,190.9,190.9,190.9,175.0,0.0
JKCEMENT-I3250CE,2021-10-04,208.35,239.8,188.8,231.6,2975.0,1225.0
JKCEMENT-I3300CE,2021-10-04,170.0,253.1,158.55,253.1,43925.0,6475.0
JKCEMENT-I3400CE,2021-10-04,135.0,230.0,125.2,225.0,15750.0,5250.0
JKCEMENT-I3500CE,2021-10-04,78.05,140.0,78.05,140.0,1575.0,875.0
JKCEMENT-I3550CE,2021-10-04,92.0,92.0,92.0,92.0,175.0,0.0
JKCEMENT-I3600CE,2021-10-04,74.8,137.0,70.65,137.0,3500.0,1400.0
JKCEMENT-I3700CE,2021-10-04,90.0,90.0,90.0,90.0,175.0,0.0
JKCEMENT-I3750CE,2021-10-04,38.0,80.0,38.0,78.0,1750.0,875.0
JKCEMENT-I2800PE,2021-10-05,20.0,20.0,20.0,20.0,175.0,700.0
JKCEMENT-I2900PE,2021-10-05,31.0,31.0,31.0,31.0,175.0,1225.0
JKCEMENT-I3000PE,2021-10-05,60.0,61.55,55.0,55.5,3325.0,4200.0
JKCEMENT-I3050PE,2021-10-05,62.0,62.0,62.0,62.0,175.0,0.0
JKCEMENT-I3100CE,2021-10-05,360.45,360.45,334.85,334.85,350.0,700.0
JKCEMENT-I3100PE,2021-10-05,81.65,81.65,79.55,79.55,350.0,1050.0
JKCEMENT-I3150CE,2021-10-05,295.0,295.0,295.0,295.0,175.0,700.0
JKCEMENT-I3200CE,2021-10-05,300.0,308.0,247.0,247.0,4200.0,3675.0
JKCEMENT-I3200PE,2021-10-05,122.95,123.0,107.7,107.7,525.0,350.0
JKCEMENT-I3250CE,2021-10-05,266.8,266.8,258.75,258.75,350.0,1225.0
JKCEMENT-I3300CE,2021-10-05,240.05,269.15,205.5,214.3,15750.0,7000.0
JKCEMENT-I3350CE,2021-10-05,189.3,189.3,189.3,189.3,175.0,0.0
JKCEMENT-I3400CE,2021-10-05,205.35,221.75,160.85,166.5,193375.0,22750.0
JKCEMENT-I3400PE,2021-10-05,329.4,329.4,23.35,23.35,700.0,0.0
JKCEMENT-I3450CE,2021-10-05,191.0,191.0,191.0,191.0,175.0,0.0
JKCEMENT-I3500CE,2021-10-05,178.1,178.1,127.4,128.0,21700.0,3850.0
JKCEMENT-I3600CE,2021-10-05,137.0,138.0,96.55,105.5,7700.0,4025.0
JKCEMENT-I3650CE,2021-10-05,91.55,91.55,91.55,91.55,175.0,0.0
JKCEMENT-I3700CE,2021-10-05,100.0,109.0,77.65,77.65,2275.0,1225.0
JKCEMENT-I3750CE,2021-10-05,99.95,99.95,70.0,87.0,1400.0,1225.0
JKCEMENT-I3900CE,2021-10-05,29.55,34.5,29.55,34.5,525.0,350.0
JKCEMENT-I2800PE,2021-10-06,15.6,15.6,15.0,15.0,350.0,875.0
JKCEMENT-I2900PE,2021-10-06,32.7,34.3,32.7,34.3,350.0,1575.0
JKCEMENT-I3000PE,2021-10-06,59.0,59.0,50.0,50.0,2275.0,5075.0
JKCEMENT-I3100CE,2021-10-06,292.55,292.55,292.55,292.55,175.0,875.0
JKCEMENT-I3100PE,2021-10-06,66.35,75.0,57.55,57.55,525.0,1575.0
JKCEMENT-I3200CE,2021-10-06,270.0,347.0,260.0,281.0,3150.0,2275.0
JKCEMENT-I3200PE,2021-10-06,137.75,139.65,86.45,139.25,2450.0,1225.0
JKCEMENT-I3250CE,2021-10-06,241.05,290.0,241.05,290.0,525.0,1050.0
JKCEMENT-I3300CE,2021-10-06,207.45,275.75,190.0,199.05,9275.0,4025.0
JKCEMENT-I3350CE,2021-10-06,185.1,196.3,150.0,150.0,1050.0,350.0
JKCEMENT-I3400CE,2021-10-06,165.95,225.0,142.65,152.2,86625.0,11900.0
JKCEMENT-I3400PE,2021-10-06,200.0,201.0,151.3,151.3,875.0,525.0
JKCEMENT-I3450CE,2021-10-06,191.0,199.8,138.05,138.05,1400.0,350.0
JKCEMENT-I3500CE,2021-10-06,140.0,180.0,115.15,121.0,44450.0,12775.0
JKCEMENT-I3550CE,2021-10-06,150.5,150.5,150.5,150.5,175.0,175.0
JKCEMENT-I3600CE,2021-10-06,98.0,140.0,85.0,104.0,10675.0,4025.0
JKCEMENT-I3650CE,2021-10-06,102.9,102.9,102.9,102.9,175.0,175.0
JKCEMENT-I3700CE,2021-10-06,83.0,105.75,49.9,78.0,2975.0,2625.0
JKCEMENT-I3800CE,2021-10-06,54.0,54.85,50.0,50.0,525.0,350.0
JKCEMENT-I3850CE,2021-10-06,42.75,49.75,42.75,49.5,700.0,175.0
JKCEMENT-I3900CE,2021-10-06,33.5,45.0,33.5,45.0,1575.0,1575.0
JKCEMENT-I2800PE,2021-10-07,13.0,13.0,13.0,13.0,175.0,1225.0
JKCEMENT-I3000PE,2021-10-07,36.65,37.55,36.65,37.55,350.0,4900.0
JKCEMENT-I3100PE,2021-10-07,74.75,74.75,55.0,55.0,700.0,1750.0
JKCEMENT-I3150CE,2021-10-07,325.0,325.0,325.0,325.0,175.0,700.0
JKCEMENT-I3200CE,2021-10-07,300.15,305.8,296.85,305.8,525.0,2275.0
JKCEMENT-I3200PE,2021-10-07,78.05,90.0,75.8,81.1,1050.0,1225.0
JKCEMENT-I3300CE,2021-10-07,220.9,251.15,220.9,243.95,1575.0,3325.0
JKCEMENT-I3300PE,2021-10-07,153.9,158.4,128.75,128.75,875.0,525.0
JKCEMENT-I3350CE,2021-10-07,220.0,220.0,220.0,220.0,175.0,350.0
