Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JPASSOCIAT.EQ-NSE,2019-01-01,7.7,7.8,7.6,7.75,19439208.0
JPASSOCIAT.EQ-NSE,2019-01-02,7.75,7.95,7.3,7.4,44541132.0
JPASSOCIAT.EQ-NSE,2019-01-03,7.45,7.45,7.25,7.3,19814266.0
JPASSOCIAT.EQ-NSE,2019-01-04,7.3,7.65,7.1,7.6,32439282.0
JPASSOCIAT.EQ-NSE,2019-01-07,7.6,7.7,7.5,7.6,18876316.0
JPASSOCIAT.EQ-NSE,2019-01-08,7.6,7.7,7.45,7.65,10557523.0
JPASSOCIAT.EQ-NSE,2019-01-09,7.65,7.7,7.35,7.45,17089305.0
JPASSOCIAT.EQ-NSE,2019-01-10,7.5,7.5,7.35,7.4,4417234.0
JPASSOCIAT.EQ-NSE,2019-01-11,7.4,7.45,7.25,7.3,6351026.0
JPASSOCIAT.EQ-NSE,2019-01-14,7.3,7.35,7.2,7.2,7636063.0
JPASSOCIAT.EQ-NSE,2019-01-15,7.2,7.35,7.2,7.35,7536902.0
JPASSOCIAT.EQ-NSE,2019-01-16,7.25,7.5,7.25,7.35,12072755.0
JPASSOCIAT.EQ-NSE,2019-01-17,7.35,7.4,7.2,7.3,6999389.0
JPASSOCIAT.EQ-NSE,2019-01-18,7.25,7.3,7.1,7.2,6448869.0
JPASSOCIAT.EQ-NSE,2019-01-21,7.1,7.2,7.05,7.15,6678106.0
JPASSOCIAT.EQ-NSE,2019-01-22,7.1,7.15,6.9,7.1,19172770.0
JPASSOCIAT.EQ-NSE,2019-01-23,7.05,7.2,6.85,7.0,18200940.0
JPASSOCIAT.EQ-NSE,2019-01-24,7.0,7.0,6.7,6.75,11214829.0
JPASSOCIAT.EQ-NSE,2019-01-25,6.75,6.9,6.55,6.7,15506638.0
JPASSOCIAT.EQ-NSE,2019-01-28,6.65,6.7,6.45,6.6,20010913.0
JPASSOCIAT.EQ-NSE,2019-01-29,6.55,6.65,6.4,6.5,13383707.0
