Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JPPOWER.EQ-NSE,2019-01-01,2.1,2.15,2.0,2.15,5148247.0
JPPOWER.EQ-NSE,2019-01-02,2.15,2.15,2.05,2.1,2451541.0
JPPOWER.EQ-NSE,2019-01-03,2.05,2.1,2.05,2.1,705833.0
JPPOWER.EQ-NSE,2019-01-04,2.1,2.1,2.05,2.1,934286.0
JPPOWER.EQ-NSE,2019-01-07,2.05,2.1,2.0,2.05,2217890.0
JPPOWER.EQ-NSE,2019-01-08,2.0,2.1,2.0,2.0,1613313.0
JPPOWER.EQ-NSE,2019-01-09,2.05,2.1,2.0,2.05,964479.0
JPPOWER.EQ-NSE,2019-01-10,2.0,2.1,2.0,2.05,1622477.0
JPPOWER.EQ-NSE,2019-01-11,2.0,2.05,2.0,2.0,1893439.0
JPPOWER.EQ-NSE,2019-01-14,2.05,2.05,1.95,1.95,1952799.0
JPPOWER.EQ-NSE,2019-01-15,1.95,2.0,1.95,2.0,752545.0
JPPOWER.EQ-NSE,2019-01-16,1.95,2.0,1.95,1.95,1292815.0
JPPOWER.EQ-NSE,2019-01-17,2.0,2.0,1.95,1.95,980997.0
JPPOWER.EQ-NSE,2019-01-18,2.0,2.0,1.9,1.95,2517836.0
JPPOWER.EQ-NSE,2019-01-21,1.95,1.95,1.9,1.95,841756.0
JPPOWER.EQ-NSE,2019-01-22,1.9,1.95,1.9,1.9,1557355.0
JPPOWER.EQ-NSE,2019-01-23,1.9,1.95,1.85,1.95,2080049.0
JPPOWER.EQ-NSE,2019-01-24,1.95,2.0,1.9,2.0,1793230.0
JPPOWER.EQ-NSE,2019-01-25,1.95,2.0,1.9,2.0,1198161.0
JPPOWER.EQ-NSE,2019-01-28,1.95,1.95,1.9,1.9,1333958.0
JPPOWER.EQ-NSE,2019-01-29,1.85,1.9,1.85,1.85,1378010.0
JPPOWER.EQ-NSE,2019-01-30,1.85,1.85,1.8,1.85,2197371.0
JPPOWER.EQ-NSE,2019-01-31,1.85,1.85,1.75,1.85,2080562.0
JPPOWER.EQ-NSE,2019-02-01,1.85,1.85,1.8,1.85,1955253.0
JPPOWER.EQ-NSE,2019-02-04,1.9,1.9,1.8,1.8,4289644.0
JPPOWER.EQ-NSE,2019-02-05,1.8,1.8,1.75,1.75,1673764.0
JPPOWER.EQ-NSE,2019-02-06,1.7,1.7,1.7,1.7,568393.0
JPPOWER.EQ-NSE,2019-02-07,1.6,1.65,1.55,1.55,4222680.0
JPPOWER.EQ-NSE,2019-02-08,1.55,1.7,1.5,1.7,2743162.0
JPPOWER.EQ-NSE,2019-02-11,1.75,1.85,1.55,1.55,4621793.0
JPPOWER.EQ-NSE,2019-02-12,1.6,1.65,1.55,1.65,2085087.0
JPPOWER.EQ-NSE,2019-02-13,1.6,1.65,1.55,1.6,2247671.0
JPPOWER.EQ-NSE,2019-02-14,1.6,1.6,1.55,1.55,1081109.0
JPPOWER.EQ-NSE,2019-02-15,1.6,1.6,1.55,1.6,913353.0
JPPOWER.EQ-NSE,2019-02-18,1.6,1.6,1.55,1.55,722400.0
JPPOWER.EQ-NSE,2019-02-19,1.6,1.65,1.55,1.55,1482374.0
JPPOWER.EQ-NSE,2019-02-20,1.6,1.65,1.55,1.6,1987487.0
JPPOWER.EQ-NSE,2019-02-21,1.6,1.75,1.6,1.75,5168433.0
JPPOWER.EQ-NSE,2019-02-22,1.85,1.9,1.8,1.9,4222830.0
JPPOWER.EQ-NSE,2019-02-25,2.0,2.0,1.75,1.85,4150471.0
JPPOWER.EQ-NSE,2019-02-26,1.8,1.9,1.7,1.9,3955408.0
JPPOWER.EQ-NSE,2019-02-27,1.9,1.95,1.8,1.8,3486650.0
JPPOWER.EQ-NSE,2019-02-28,1.8,1.9,1.8,1.85,1884348.0
JPPOWER.EQ-NSE,2019-03-01,1.9,1.95,1.8,1.9,3920706.0
JPPOWER.EQ-NSE,2019-03-05,1.95,2.05,1.9,2.05,4551685.0
JPPOWER.EQ-NSE,2019-03-06,2.15,2.25,2.15,2.25,10252107.0
JPPOWER.EQ-NSE,2019-03-07,2.35,2.45,2.3,2.45,19413091.0
JPPOWER.EQ-NSE,2019-03-08,2.4,2.4,2.35,2.35,4584573.0
JPPOWER.EQ-NSE,2019-03-11,2.25,2.25,2.25,2.25,606317.0
JPPOWER.EQ-NSE,2019-03-12,2.15,2.3,2.15,2.15,9236338.0
JPPOWER.EQ-NSE,2019-03-13,2.05,2.25,2.05,2.05,7514114.0
JPPOWER.EQ-NSE,2019-03-14,2.0,2.1,1.95,2.0,4410407.0
JPPOWER.EQ-NSE,2019-03-15,2.05,2.05,1.95,1.95,3165828.0
JPPOWER.EQ-NSE,2019-03-18,1.95,2.0,1.9,1.95,2133236.0
JPPOWER.EQ-NSE,2019-03-19,1.9,1.95,1.9,1.95,3035977.0
JPPOWER.EQ-NSE,2019-03-20,1.95,2.0,1.9,1.9,2380484.0
JPPOWER.EQ-NSE,2019-03-22,1.95,1.95,1.85,1.95,2741941.0
JPPOWER.EQ-NSE,2019-03-25,1.9,1.95,1.9,1.9,1343436.0
JPPOWER.EQ-NSE,2019-03-26,1.9,1.95,1.85,1.9,2007484.0
JPPOWER.EQ-NSE,2019-03-27,1.9,1.95,1.85,1.85,1431410.0
JPPOWER.EQ-NSE,2019-03-28,1.9,1.95,1.85,1.9,1118512.0
JPPOWER.EQ-NSE,2019-03-29,1.9,1.95,1.85,1.9,1688441.0
JPPOWER.EQ-NSE,2019-04-01,1.9,1.9,1.85,1.9,681061.0
JPPOWER.EQ-NSE,2019-04-02,1.9,1.9,1.85,1.9,1549816.0
JPPOWER.EQ-NSE,2019-04-03,1.95,1.95,1.9,1.95,2042938.0
JPPOWER.EQ-NSE,2019-04-04,2.0,2.0,2.0,2.0,439373.0
JPPOWER.EQ-NSE,2019-04-05,2.1,2.2,2.1,2.2,5424554.0
JPPOWER.EQ-NSE,2019-04-08,2.4,2.4,2.1,2.25,7940245.0
JPPOWER.EQ-NSE,2019-04-09,2.2,2.2,2.05,2.05,3268274.0
JPPOWER.EQ-NSE,2019-04-10,2.05,2.1,1.95,2.05,2328285.0
JPPOWER.EQ-NSE,2019-04-11,2.1,2.25,2.0,2.2,3026942.0
JPPOWER.EQ-NSE,2019-04-12,2.15,2.2,2.1,2.15,945318.0
JPPOWER.EQ-NSE,2019-04-15,2.15,2.25,2.15,2.25,3248609.0
JPPOWER.EQ-NSE,2019-04-16,2.25,2.3,2.15,2.25,4065092.0
JPPOWER.EQ-NSE,2019-04-18,2.2,2.4,2.2,2.4,7911663.0
JPPOWER.EQ-NSE,2019-04-22,2.45,2.6,2.4,2.6,4760384.0
JPPOWER.EQ-NSE,2019-04-23,2.85,2.85,2.85,2.85,1623782.0
JPPOWER.EQ-NSE,2019-04-24,2.95,2.95,2.95,2.95,1193306.0
JPPOWER.EQ-NSE,2019-04-25,3.05,3.05,2.85,2.85,17994479.0
JPPOWER.EQ-NSE,2019-04-26,2.85,2.95,2.75,2.95,12408764.0
JPPOWER.EQ-NSE,2019-04-30,3.0,3.05,2.85,2.9,4450940.0
JPPOWER.EQ-NSE,2019-05-02,2.85,2.9,2.75,2.85,3370867.0
JPPOWER.EQ-NSE,2019-05-03,2.8,2.9,2.8,2.9,3114290.0
JPPOWER.EQ-NSE,2019-05-06,2.9,3.0,2.85,3.0,3056339.0
JPPOWER.EQ-NSE,2019-05-07,3.15,3.15,3.1,3.15,3959459.0
JPPOWER.EQ-NSE,2019-05-08,3.3,3.3,3.0,3.0,9693994.0
JPPOWER.EQ-NSE,2019-05-09,2.9,3.15,2.85,3.15,3471044.0
JPPOWER.EQ-NSE,2019-05-10,3.3,3.3,3.3,3.3,1911031.0
JPPOWER.EQ-NSE,2019-05-13,3.3,3.45,3.15,3.15,3749572.0
JPPOWER.EQ-NSE,2019-05-14,3.1,3.1,3.0,3.0,1292677.0
JPPOWER.EQ-NSE,2019-05-15,2.9,2.95,2.85,2.85,4808938.0
JPPOWER.EQ-NSE,2019-05-16,2.85,2.85,2.75,2.75,1817725.0
JPPOWER.EQ-NSE,2019-05-17,2.7,2.85,2.65,2.65,3997348.0
JPPOWER.EQ-NSE,2019-05-20,2.75,2.75,2.7,2.75,2553751.0
JPPOWER.EQ-NSE,2019-05-21,2.85,2.85,2.65,2.85,3879156.0
JPPOWER.EQ-NSE,2019-05-22,2.85,2.95,2.75,2.75,2062187.0
JPPOWER.EQ-NSE,2019-05-23,2.65,2.75,2.65,2.65,10191245.0
JPPOWER.EQ-NSE,2019-05-24,2.7,2.7,2.55,2.55,1126875.0
JPPOWER.EQ-NSE,2019-05-27,2.45,2.5,2.45,2.45,1007413.0
JPPOWER.EQ-NSE,2019-05-28,2.35,2.4,2.35,2.35,1175625.0
JPPOWER.EQ-NSE,2019-05-29,2.25,2.25,2.25,2.25,302988.0
JPPOWER.EQ-NSE,2019-05-30,2.15,2.35,2.15,2.35,1583168.0
JPPOWER.EQ-NSE,2019-05-31,2.45,2.45,2.4,2.45,1891018.0
JPPOWER.EQ-NSE,2019-06-03,2.55,2.55,2.45,2.55,1050341.0
JPPOWER.EQ-NSE,2019-06-04,2.55,2.55,2.4,2.45,2195148.0
JPPOWER.EQ-NSE,2019-06-06,2.45,2.5,2.35,2.35,1571382.0
JPPOWER.EQ-NSE,2019-06-07,2.3,2.35,2.25,2.25,1861958.0
JPPOWER.EQ-NSE,2019-06-10,2.3,2.35,2.3,2.35,1620425.0
JPPOWER.EQ-NSE,2019-06-11,2.45,2.45,2.25,2.25,1363724.0
JPPOWER.EQ-NSE,2019-06-12,2.25,2.25,2.15,2.2,1200450.0
JPPOWER.EQ-NSE,2019-06-13,2.2,2.2,2.05,2.05,1093747.0
JPPOWER.EQ-NSE,2019-06-14,2.05,2.1,2.0,2.05,1262217.0
JPPOWER.EQ-NSE,2019-06-17,2.05,2.1,2.0,2.05,1083446.0
JPPOWER.EQ-NSE,2019-06-18,2.0,2.1,1.95,1.95,1797480.0
JPPOWER.EQ-NSE,2019-06-19,1.9,2.0,1.9,1.9,1294181.0
JPPOWER.EQ-NSE,2019-06-20,1.85,1.95,1.85,1.95,2448554.0
JPPOWER.EQ-NSE,2019-06-21,1.95,2.0,1.95,2.0,811947.0
JPPOWER.EQ-NSE,2019-06-24,2.05,2.1,2.0,2.0,1023495.0
JPPOWER.EQ-NSE,2019-06-25,2.0,2.1,1.95,2.05,586272.0
JPPOWER.EQ-NSE,2019-06-26,2.05,2.1,1.95,2.05,2101789.0
JPPOWER.EQ-NSE,2019-06-27,2.05,2.15,2.05,2.15,1477548.0
JPPOWER.EQ-NSE,2019-06-28,2.1,2.1,2.0,2.0,427868.0
JPPOWER.EQ-NSE,2019-07-01,1.95,2.05,1.95,2.0,1225505.0
JPPOWER.EQ-NSE,2019-07-02,2.0,2.0,1.9,2.0,1490392.0
JPPOWER.EQ-NSE,2019-07-03,1.95,2.0,1.9,2.0,481400.0
JPPOWER.EQ-NSE,2019-07-04,2.05,2.05,1.95,2.0,307151.0
JPPOWER.EQ-NSE,2019-07-05,2.0,2.05,1.95,1.95,515287.0
JPPOWER.EQ-NSE,2019-07-08,1.95,1.95,1.9,1.9,1151624.0
JPPOWER.EQ-NSE,2019-07-09,1.9,1.95,1.85,1.85,625677.0
JPPOWER.EQ-NSE,2019-07-10,1.9,1.9,1.8,1.85,775704.0
JPPOWER.EQ-NSE,2019-07-11,1.85,1.85,1.8,1.85,704440.0
JPPOWER.EQ-NSE,2019-07-12,1.9,1.9,1.85,1.9,383451.0
JPPOWER.EQ-NSE,2019-07-15,1.9,1.95,1.9,1.95,411991.0
JPPOWER.EQ-NSE,2019-07-16,2.0,2.0,2.0,2.0,260588.0
JPPOWER.EQ-NSE,2019-07-17,2.05,2.1,2.0,2.1,1170568.0
JPPOWER.EQ-NSE,2019-07-18,2.2,2.2,2.0,2.0,838195.0
JPPOWER.EQ-NSE,2019-07-19,1.95,1.95,1.9,1.9,1193186.0
JPPOWER.EQ-NSE,2019-07-22,1.9,1.9,1.85,1.85,1305220.0
JPPOWER.EQ-NSE,2019-07-23,1.85,1.9,1.8,1.9,848434.0
JPPOWER.EQ-NSE,2019-07-24,1.9,1.95,1.85,1.9,744361.0
JPPOWER.EQ-NSE,2019-07-25,1.85,1.9,1.85,1.85,776687.0
JPPOWER.EQ-NSE,2019-07-26,1.9,1.9,1.85,1.9,526167.0
JPPOWER.EQ-NSE,2019-07-29,1.95,1.95,1.85,1.95,1748678.0
JPPOWER.EQ-NSE,2019-07-30,1.85,1.9,1.85,1.85,839562.0
JPPOWER.EQ-NSE,2019-07-31,1.8,1.8,1.8,1.8,281922.0
JPPOWER.EQ-NSE,2019-08-01,1.75,1.8,1.75,1.75,353954.0
JPPOWER.EQ-NSE,2019-08-02,1.7,1.8,1.7,1.75,1772900.0
JPPOWER.EQ-NSE,2019-08-05,1.65,1.7,1.65,1.7,390342.0
JPPOWER.EQ-NSE,2019-08-06,1.65,1.7,1.65,1.7,618648.0
JPPOWER.EQ-NSE,2019-08-07,1.75,1.8,1.65,1.7,1178988.0
JPPOWER.EQ-NSE,2019-08-08,1.65,1.7,1.6,1.65,631009.0
JPPOWER.EQ-NSE,2019-08-09,1.65,1.7,1.6,1.65,371465.0
JPPOWER.EQ-NSE,2019-08-13,1.65,1.75,1.65,1.65,683063.0
JPPOWER.EQ-NSE,2019-08-14,1.65,1.75,1.65,1.75,972940.0
JPPOWER.EQ-NSE,2019-08-16,1.7,1.75,1.65,1.65,365845.0
JPPOWER.EQ-NSE,2019-08-19,1.7,1.8,1.65,1.8,730710.0
JPPOWER.EQ-NSE,2019-08-20,1.75,1.8,1.65,1.75,274043.0
JPPOWER.EQ-NSE,2019-08-21,1.65,1.75,1.55,1.7,997522.0
JPPOWER.EQ-NSE,2019-08-22,1.7,1.7,1.55,1.55,1420019.0
JPPOWER.EQ-NSE,2019-08-23,1.6,1.65,1.5,1.65,655870.0
JPPOWER.EQ-NSE,2019-08-26,1.65,1.65,1.55,1.65,507489.0
JPPOWER.EQ-NSE,2019-08-27,1.65,1.65,1.55,1.6,831711.0
JPPOWER.EQ-NSE,2019-08-28,1.55,1.6,1.45,1.45,1455943.0
JPPOWER.EQ-NSE,2019-08-29,1.45,1.55,1.45,1.55,933668.0
JPPOWER.EQ-NSE,2019-08-30,1.55,1.55,1.5,1.5,472713.0
JPPOWER.EQ-NSE,2019-09-03,1.55,1.55,1.4,1.55,528207.0
JPPOWER.EQ-NSE,2019-09-04,1.55,1.55,1.45,1.5,837126.0
JPPOWER.EQ-NSE,2019-09-05,1.55,1.65,1.5,1.65,1167042.0
JPPOWER.EQ-NSE,2019-09-06,1.65,1.75,1.6,1.65,1254937.0
JPPOWER.EQ-NSE,2019-09-09,1.65,1.7,1.55,1.7,1349218.0
JPPOWER.EQ-NSE,2019-09-11,1.65,1.85,1.6,1.85,4463919.0
JPPOWER.EQ-NSE,2019-09-12,1.85,1.85,1.7,1.7,1585651.0
JPPOWER.EQ-NSE,2019-09-13,1.75,1.75,1.7,1.7,553265.0
JPPOWER.EQ-NSE,2019-09-16,1.7,1.85,1.65,1.75,1001256.0
JPPOWER.EQ-NSE,2019-09-17,1.8,1.85,1.7,1.75,926637.0
JPPOWER.EQ-NSE,2019-09-18,1.7,1.85,1.65,1.85,3800693.0
JPPOWER.EQ-NSE,2019-09-19,2.0,2.0,1.8,1.8,4705672.0
JPPOWER.EQ-NSE,2019-09-20,1.85,1.9,1.7,1.7,3110238.0
JPPOWER.EQ-NSE,2019-09-23,1.75,1.85,1.7,1.75,1415099.0
JPPOWER.EQ-NSE,2019-09-24,1.8,1.8,1.7,1.75,716461.0
JPPOWER.EQ-NSE,2019-09-25,1.7,1.8,1.7,1.7,471088.0
JPPOWER.EQ-NSE,2019-09-26,1.7,1.75,1.65,1.65,1000099.0
JPPOWER.EQ-NSE,2019-09-27,1.65,1.7,1.55,1.6,910878.0
JPPOWER.EQ-NSE,2019-09-30,1.6,1.6,1.45,1.5,2715162.0
JPPOWER.EQ-NSE,2019-10-01,1.5,1.6,1.45,1.5,1313455.0
JPPOWER.EQ-NSE,2019-10-03,1.5,1.6,1.45,1.45,581815.0
JPPOWER.EQ-NSE,2019-10-04,1.45,1.65,1.45,1.55,3283827.0
JPPOWER.EQ-NSE,2019-10-07,1.6,1.65,1.5,1.55,839005.0
JPPOWER.EQ-NSE,2019-10-09,1.55,1.55,1.4,1.5,4000049.0
JPPOWER.EQ-NSE,2019-10-10,1.45,1.45,1.35,1.4,1418875.0
JPPOWER.EQ-NSE,2019-10-11,1.4,1.4,1.15,1.2,9044615.0
JPPOWER.EQ-NSE,2019-10-14,1.2,1.25,1.1,1.15,4968855.0
JPPOWER.EQ-NSE,2019-10-15,1.15,1.15,1.0,1.1,3632377.0
JPPOWER.EQ-NSE,2019-10-16,1.05,1.1,1.0,1.05,2982002.0
JPPOWER.EQ-NSE,2019-10-17,1.05,1.15,1.0,1.15,5657975.0
JPPOWER.EQ-NSE,2019-10-18,1.15,1.25,1.1,1.2,2999350.0
JPPOWER.EQ-NSE,2019-10-22,1.2,1.2,1.1,1.15,677815.0
JPPOWER.EQ-NSE,2019-10-23,1.1,1.15,1.05,1.1,2717785.0
JPPOWER.EQ-NSE,2019-10-24,1.1,1.15,1.05,1.15,2055550.0
JPPOWER.EQ-NSE,2019-10-25,1.1,1.1,1.05,1.05,1294874.0
JPPOWER.EQ-NSE,2019-10-29,1.2,1.2,1.1,1.1,1915430.0
JPPOWER.EQ-NSE,2019-10-30,1.15,1.15,1.05,1.15,2063224.0
JPPOWER.EQ-NSE,2019-10-31,1.1,1.2,1.05,1.15,11880390.0
JPPOWER.EQ-NSE,2019-11-01,1.15,1.15,1.1,1.15,2540760.0
JPPOWER.EQ-NSE,2019-11-04,1.15,1.15,1.1,1.1,2628857.0
JPPOWER.EQ-NSE,2019-11-05,1.15,1.15,1.1,1.15,1273178.0
JPPOWER.EQ-NSE,2019-11-06,1.1,1.15,1.1,1.1,1076207.0
JPPOWER.EQ-NSE,2019-11-07,1.1,1.15,1.05,1.15,2987764.0
JPPOWER.EQ-NSE,2019-11-08,1.1,1.2,1.1,1.15,2411190.0
JPPOWER.EQ-NSE,2019-11-11,1.1,1.15,1.1,1.1,1349062.0
JPPOWER.EQ-NSE,2019-11-13,1.1,1.15,1.05,1.1,5150108.0
JPPOWER.EQ-NSE,2019-11-14,1.1,1.15,1.05,1.15,4426564.0
JPPOWER.EQ-NSE,2019-11-15,1.15,1.2,1.1,1.15,1150328.0
JPPOWER.EQ-NSE,2019-11-18,1.1,1.15,1.05,1.1,3235209.0
