Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JSWENERGY.EQ-NSE,2019-01-01,69.4,70.0,68.55,69.9,695296.0
JSWENERGY.EQ-NSE,2019-01-02,70.0,70.75,69.55,70.25,641007.0
JSWENERGY.EQ-NSE,2019-01-03,70.75,70.75,69.4,69.55,365908.0
JSWENERGY.EQ-NSE,2019-01-04,69.5,69.75,67.95,69.2,1381611.0
JSWENERGY.EQ-NSE,2019-01-07,69.25,70.5,69.25,70.15,479631.0
JSWENERGY.EQ-NSE,2019-01-08,70.2,70.5,69.5,70.3,191449.0
JSWENERGY.EQ-NSE,2019-01-09,70.4,70.5,68.85,69.8,438926.0
JSWENERGY.EQ-NSE,2019-01-10,69.9,70.15,69.5,70.0,261386.0
JSWENERGY.EQ-NSE,2019-01-11,69.95,70.45,69.15,70.0,360044.0
JSWENERGY.EQ-NSE,2019-01-14,70.05,70.05,67.9,69.0,591429.0
JSWENERGY.EQ-NSE,2019-01-15,69.0,70.25,68.55,68.7,428600.0
JSWENERGY.EQ-NSE,2019-01-16,68.85,70.25,68.75,69.6,504616.0
JSWENERGY.EQ-NSE,2019-01-17,70.0,70.0,68.35,68.45,424001.0
JSWENERGY.EQ-NSE,2019-01-18,68.9,69.35,66.35,68.2,746616.0
JSWENERGY.EQ-NSE,2019-01-21,68.15,68.45,67.4,67.8,259873.0
JSWENERGY.EQ-NSE,2019-01-22,68.0,69.0,67.3,68.5,253788.0
JSWENERGY.EQ-NSE,2019-01-23,68.8,70.0,68.0,68.8,886234.0
JSWENERGY.EQ-NSE,2019-01-24,69.2,69.25,67.15,67.6,284180.0
JSWENERGY.EQ-NSE,2019-01-25,68.15,68.3,66.3,66.7,403051.0
JSWENERGY.EQ-NSE,2019-01-28,67.3,67.3,64.45,65.35,385224.0
JSWENERGY.EQ-NSE,2019-01-29,64.6,66.0,63.5,64.6,546865.0
JSWENERGY.EQ-NSE,2019-01-30,64.75,70.35,64.3,67.8,2790176.0
JSWENERGY.EQ-NSE,2019-01-31,68.5,68.8,65.8,66.75,1453288.0
JSWENERGY.EQ-NSE,2019-02-01,67.0,68.95,67.0,67.85,751549.0
JSWENERGY.EQ-NSE,2019-02-04,68.0,68.2,66.7,67.7,448819.0
JSWENERGY.EQ-NSE,2019-02-05,68.0,68.15,66.0,66.6,529963.0
JSWENERGY.EQ-NSE,2019-02-06,67.25,67.65,66.4,67.1,472667.0
JSWENERGY.EQ-NSE,2019-02-07,67.0,68.0,66.6,67.0,892235.0
JSWENERGY.EQ-NSE,2019-02-08,67.0,68.0,66.1,66.4,376178.0
JSWENERGY.EQ-NSE,2019-02-11,66.3,67.6,66.15,67.0,526175.0
JSWENERGY.EQ-NSE,2019-02-12,66.4,67.5,66.25,66.5,311280.0
JSWENERGY.EQ-NSE,2019-02-13,66.65,67.4,63.7,65.6,502984.0
JSWENERGY.EQ-NSE,2019-02-14,65.9,66.0,64.7,65.4,262648.0
JSWENERGY.EQ-NSE,2019-02-15,65.25,65.95,64.0,65.3,337949.0
JSWENERGY.EQ-NSE,2019-02-18,65.15,65.8,64.25,64.45,172050.0
JSWENERGY.EQ-NSE,2019-02-19,64.45,67.0,64.45,66.45,592295.0
JSWENERGY.EQ-NSE,2019-02-20,66.5,66.55,65.1,65.65,421286.0
JSWENERGY.EQ-NSE,2019-02-21,65.65,66.35,65.3,65.6,353667.0
JSWENERGY.EQ-NSE,2019-02-22,65.9,66.4,65.4,66.2,376200.0
JSWENERGY.EQ-NSE,2019-02-25,66.0,66.35,65.3,66.25,206355.0
JSWENERGY.EQ-NSE,2019-02-26,65.0,65.7,64.0,64.9,439532.0
JSWENERGY.EQ-NSE,2019-02-27,65.6,66.25,64.2,64.6,400313.0
JSWENERGY.EQ-NSE,2019-02-28,65.4,65.45,64.3,64.65,287127.0
JSWENERGY.EQ-NSE,2019-03-01,64.8,66.35,64.8,65.65,614154.0
JSWENERGY.EQ-NSE,2019-03-05,66.45,69.0,65.9,68.0,2057957.0
JSWENERGY.EQ-NSE,2019-03-06,68.4,70.15,67.25,68.5,1250838.0
JSWENERGY.EQ-NSE,2019-03-07,69.0,72.6,67.8,70.15,4779725.0
JSWENERGY.EQ-NSE,2019-03-08,70.3,70.7,67.8,68.2,1711325.0
JSWENERGY.EQ-NSE,2019-03-11,68.6,69.0,68.1,68.55,781642.0
JSWENERGY.EQ-NSE,2019-03-12,68.75,71.25,68.75,69.8,1917551.0
JSWENERGY.EQ-NSE,2019-03-13,70.3,71.2,67.85,68.55,2000597.0
JSWENERGY.EQ-NSE,2019-03-14,68.6,69.15,66.35,67.0,1586764.0
JSWENERGY.EQ-NSE,2019-03-15,68.3,68.65,66.3,67.3,2212744.0
JSWENERGY.EQ-NSE,2019-03-18,67.6,69.2,67.5,68.8,2488223.0
JSWENERGY.EQ-NSE,2019-03-19,69.25,69.3,67.5,67.85,3005438.0
JSWENERGY.EQ-NSE,2019-03-20,68.0,68.45,66.45,67.0,4132949.0
JSWENERGY.EQ-NSE,2019-03-22,67.3,67.9,65.4,65.6,1636234.0
JSWENERGY.EQ-NSE,2019-03-25,65.2,66.5,63.9,64.45,1889119.0
JSWENERGY.EQ-NSE,2019-03-26,64.5,65.75,64.0,65.6,1921120.0
