Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JUBLFOOD.EQ-NSE,2019-01-01,251.02,251.53000000000003,248.68,250.09,881110.0
JUBLFOOD.EQ-NSE,2019-01-02,248.79,255.24,245.8,247.4,2792614.0
JUBLFOOD.EQ-NSE,2019-01-03,248.01,251.42,247.04,247.8,1516128.0
JUBLFOOD.EQ-NSE,2019-01-04,249.03000000000003,250.08,240.05,241.96,2472212.0
JUBLFOOD.EQ-NSE,2019-01-07,244.41,247.2,241.78000000000003,243.8,1206612.0
JUBLFOOD.EQ-NSE,2019-01-08,245.0,249.6,242.63,249.42,1431192.0
JUBLFOOD.EQ-NSE,2019-01-09,250.0,253.1,245.0,246.6,2223271.0
JUBLFOOD.EQ-NSE,2019-01-10,246.85,248.64,244.75,247.19,851830.0
JUBLFOOD.EQ-NSE,2019-01-11,247.23,250.4,246.12,246.63,1248406.0
JUBLFOOD.EQ-NSE,2019-01-14,246.99,247.2,242.1,243.46,894176.0
JUBLFOOD.EQ-NSE,2019-01-15,244.0,248.6,243.78000000000003,247.0,987881.0
JUBLFOOD.EQ-NSE,2019-01-16,247.76,248.7,241.5,242.95,1554591.0
JUBLFOOD.EQ-NSE,2019-01-17,243.9,245.9,239.6,243.09,1841596.0
JUBLFOOD.EQ-NSE,2019-01-18,244.33,245.58,242.28000000000003,243.6,1252246.0
JUBLFOOD.EQ-NSE,2019-01-21,243.65,244.4,234.4,234.52,1949193.0
JUBLFOOD.EQ-NSE,2019-01-22,234.66,239.6,232.0,232.99,2908952.0
JUBLFOOD.EQ-NSE,2019-01-23,233.75,237.0,233.03000000000003,235.16,1420500.0
JUBLFOOD.EQ-NSE,2019-01-24,235.42,237.58,233.12,236.37,1659010.0
JUBLFOOD.EQ-NSE,2019-01-25,237.07,245.02,237.07,239.6,2817557.0
JUBLFOOD.EQ-NSE,2019-01-28,239.16,242.4,236.65,240.0,1236484.0
JUBLFOOD.EQ-NSE,2019-01-29,238.44,244.32,236.02,242.2,1483094.0
JUBLFOOD.EQ-NSE,2019-01-30,242.82,247.78000000000003,234.76,240.1,6990336.0
JUBLFOOD.EQ-NSE,2019-01-31,246.2,254.01,243.37,252.6,5180828.0
JUBLFOOD.EQ-NSE,2019-02-01,250.0,274.27,250.0,272.4,6085629.0
JUBLFOOD.EQ-NSE,2019-02-04,268.9,280.58000000000004,268.4,279.27,3606634.0
JUBLFOOD.EQ-NSE,2019-02-05,270.99,273.0,241.08,261.0,9400439.0
JUBLFOOD.EQ-NSE,2019-02-06,267.59000000000003,268.92,247.6,258.2,9197007.0
JUBLFOOD.EQ-NSE,2019-02-07,258.94,269.6,255.52,268.5,3757075.0
JUBLFOOD.EQ-NSE,2019-02-08,266.98,272.45,264.28000000000003,268.6,2444011.0
JUBLFOOD.EQ-NSE,2019-02-11,269.0,270.7,260.64,265.05,1509126.0
JUBLFOOD.EQ-NSE,2019-02-12,265.4,265.57,255.02,258.8,1982148.0
JUBLFOOD.EQ-NSE,2019-02-13,260.89,263.54,253.83,255.07,2169623.0
JUBLFOOD.EQ-NSE,2019-02-14,256.12,263.5,256.12,262.34000000000003,1727702.0
JUBLFOOD.EQ-NSE,2019-02-15,262.51,262.52,255.0,260.02,1247195.0
JUBLFOOD.EQ-NSE,2019-02-18,260.05,269.3,260.05,267.45,2135155.0
JUBLFOOD.EQ-NSE,2019-02-19,268.37,273.6,266.75,267.01,2550046.0
JUBLFOOD.EQ-NSE,2019-02-20,268.92,270.12,257.04,257.94,2795505.0
JUBLFOOD.EQ-NSE,2019-02-21,258.64,265.58000000000004,258.64,263.8,2057859.0
JUBLFOOD.EQ-NSE,2019-02-22,261.21,262.65,257.8,258.55,2704829.0
JUBLFOOD.EQ-NSE,2019-02-25,259.22,262.7,252.8,253.98,2544955.0
JUBLFOOD.EQ-NSE,2019-02-26,251.61,255.8,249.15,255.35,2059033.0
JUBLFOOD.EQ-NSE,2019-02-27,257.29,258.7,253.0,254.4,1465765.0
JUBLFOOD.EQ-NSE,2019-02-28,255.92,259.4,252.65,253.25,2236152.0
JUBLFOOD.EQ-NSE,2019-03-01,254.97,256.43,253.5,255.36,1086784.0
JUBLFOOD.EQ-NSE,2019-03-05,255.28000000000003,257.59000000000003,252.25,254.2,1675127.0
JUBLFOOD.EQ-NSE,2019-03-06,255.99,266.8,255.0,266.41,3285026.0
JUBLFOOD.EQ-NSE,2019-03-07,268.2,272.16,263.2,265.6,2292405.0
JUBLFOOD.EQ-NSE,2019-03-08,265.79,269.58000000000004,263.02,269.14,1355978.0
JUBLFOOD.EQ-NSE,2019-03-11,269.3,275.0,268.2,274.37,1560980.0
JUBLFOOD.EQ-NSE,2019-03-12,276.15,276.8,268.66,269.02,1671378.0
JUBLFOOD.EQ-NSE,2019-03-13,270.02,270.76,264.2,265.71,1304129.0
JUBLFOOD.EQ-NSE,2019-03-14,268.42,273.8,262.88,267.8,3537255.0
JUBLFOOD.EQ-NSE,2019-03-15,269.8,271.74,266.42,269.6,1798173.0
JUBLFOOD.EQ-NSE,2019-03-18,270.64,278.7,269.01,278.4,2088958.0
JUBLFOOD.EQ-NSE,2019-03-19,281.0,286.0,278.0,280.41,4370655.0
JUBLFOOD.EQ-NSE,2019-03-20,281.39,284.0,279.0,280.07,1891706.0
JUBLFOOD.EQ-NSE,2019-03-22,281.63,287.6,281.0,287.4,2527307.0
JUBLFOOD.EQ-NSE,2019-03-25,286.47,291.98,285.41,290.84000000000003,2826721.0
JUBLFOOD.EQ-NSE,2019-03-26,292.4,294.0,288.4,292.6,2425629.0
JUBLFOOD.EQ-NSE,2019-03-27,292.87,293.89,288.62,289.2,1101920.0
JUBLFOOD.EQ-NSE,2019-03-28,288.8,293.33000000000004,287.5,291.8,1447484.0
JUBLFOOD.EQ-NSE,2019-03-29,292.0,292.29,286.43,289.23,1200253.0
JUBLFOOD.EQ-NSE,2019-04-01,291.2,297.54,289.68,291.62,1400623.0
JUBLFOOD.EQ-NSE,2019-04-02,291.87,294.94,286.2,288.8,1060702.0
JUBLFOOD.EQ-NSE,2019-04-03,289.68,292.2,283.8,284.92,905905.0
JUBLFOOD.EQ-NSE,2019-04-04,285.0,288.58000000000004,284.02,287.2,988215.0
JUBLFOOD.EQ-NSE,2019-04-05,287.78000000000003,288.85,282.6,283.4,943546.0
JUBLFOOD.EQ-NSE,2019-04-08,284.79,287.5,282.71,286.0,819597.0
JUBLFOOD.EQ-NSE,2019-04-09,285.53000000000003,286.6,281.1,286.0,862998.0
JUBLFOOD.EQ-NSE,2019-04-10,285.63,286.79,281.12,281.8,674277.0
JUBLFOOD.EQ-NSE,2019-04-11,281.98,283.26,274.0,275.68,1422827.0
JUBLFOOD.EQ-NSE,2019-04-12,275.88,276.19,269.65,272.52,1542002.0
JUBLFOOD.EQ-NSE,2019-04-15,273.34000000000003,276.97,273.2,274.2,1110754.0
JUBLFOOD.EQ-NSE,2019-04-16,275.36,278.95,272.42,276.24,1269388.0
JUBLFOOD.EQ-NSE,2019-04-18,277.2,278.31,268.15,268.6,1319401.0
JUBLFOOD.EQ-NSE,2019-04-22,266.8,269.6,264.8,266.0,744988.0
JUBLFOOD.EQ-NSE,2019-04-23,264.58000000000004,269.8,262.24,263.54,957871.0
JUBLFOOD.EQ-NSE,2019-04-24,264.54,266.8,261.44,264.0,966007.0
JUBLFOOD.EQ-NSE,2019-04-25,264.42,270.98,264.2,267.0,1152549.0
JUBLFOOD.EQ-NSE,2019-04-26,267.4,270.98,266.44,268.4,1306154.0
JUBLFOOD.EQ-NSE,2019-04-30,267.96,268.09000000000003,262.01,266.17,895764.0
JUBLFOOD.EQ-NSE,2019-05-02,265.94,272.88,262.25,268.8,1495823.0
JUBLFOOD.EQ-NSE,2019-05-03,269.22,272.59000000000003,264.06,265.6,1035042.0
JUBLFOOD.EQ-NSE,2019-05-06,263.48,265.34000000000003,258.1,260.4,1131721.0
JUBLFOOD.EQ-NSE,2019-05-07,261.1,264.0,255.48,255.6,1307973.0
JUBLFOOD.EQ-NSE,2019-05-08,254.78000000000003,255.31,248.37,253.28000000000003,1037847.0
