Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
JUSTDIAL.EQ-NSE,2019-01-01,502.4,503.95,494.25,501.0,940649.0
JUSTDIAL.EQ-NSE,2019-01-02,499.2,505.3,493.3,494.55,974832.0
JUSTDIAL.EQ-NSE,2019-01-03,496.4,498.4,482.55,484.0,833034.0
JUSTDIAL.EQ-NSE,2019-01-04,486.45,501.5,480.05,496.1,1324546.0
JUSTDIAL.EQ-NSE,2019-01-07,499.0,500.0,484.2,490.0,1041303.0
JUSTDIAL.EQ-NSE,2019-01-08,490.1,500.9,488.0,497.0,1208934.0
JUSTDIAL.EQ-NSE,2019-01-09,497.15,498.4,482.55,488.0,1633688.0
JUSTDIAL.EQ-NSE,2019-01-10,487.75,494.95,487.0,488.3,969017.0
JUSTDIAL.EQ-NSE,2019-01-11,490.0,491.35,475.0,475.0,1511933.0
JUSTDIAL.EQ-NSE,2019-01-14,476.5,483.05,471.0,474.9,1033660.0
JUSTDIAL.EQ-NSE,2019-01-15,476.0,480.9,472.5,477.9,955267.0
JUSTDIAL.EQ-NSE,2019-01-16,478.95,503.5,478.0,494.1,2730811.0
JUSTDIAL.EQ-NSE,2019-01-17,496.6,498.05,474.6,478.0,2163152.0
JUSTDIAL.EQ-NSE,2019-01-18,481.85,483.25,469.4,473.0,1444371.0
JUSTDIAL.EQ-NSE,2019-01-21,475.15,482.75,470.3,474.5,1697797.0
JUSTDIAL.EQ-NSE,2019-01-22,481.45,490.45,465.1,480.75,7718164.0
JUSTDIAL.EQ-NSE,2019-01-23,482.85,488.05,478.4,484.2,1720512.0
JUSTDIAL.EQ-NSE,2019-01-24,483.6,490.55,479.0,485.0,1422106.0
JUSTDIAL.EQ-NSE,2019-01-25,484.2,496.95,473.8,475.8,1619994.0
JUSTDIAL.EQ-NSE,2019-01-28,478.5,479.7,453.85,454.1,1058203.0
JUSTDIAL.EQ-NSE,2019-01-29,456.5,479.75,454.1,476.3,1777872.0
JUSTDIAL.EQ-NSE,2019-01-30,474.9,478.6,460.5,465.9,1513784.0
JUSTDIAL.EQ-NSE,2019-01-31,471.15,478.8,467.05,478.8,1083045.0
JUSTDIAL.EQ-NSE,2019-02-01,477.0,485.5,469.15,475.8,1024036.0
JUSTDIAL.EQ-NSE,2019-02-04,475.0,485.1,468.05,480.1,860966.0
JUSTDIAL.EQ-NSE,2019-02-05,479.25,479.8,459.75,470.5,2000464.0
JUSTDIAL.EQ-NSE,2019-02-06,471.3,484.55,467.6,481.5,1192259.0
JUSTDIAL.EQ-NSE,2019-02-07,480.15,484.4,474.55,480.85,904323.0
JUSTDIAL.EQ-NSE,2019-02-08,479.05,488.3,476.55,483.1,1096952.0
JUSTDIAL.EQ-NSE,2019-02-11,480.95,481.75,462.75,466.35,1110871.0
JUSTDIAL.EQ-NSE,2019-02-12,466.6,488.2,466.35,484.0,1475833.0
JUSTDIAL.EQ-NSE,2019-02-13,481.25,490.0,477.6,488.7,1320429.0
JUSTDIAL.EQ-NSE,2019-02-14,486.35,498.8,480.75,491.3,1436068.0
JUSTDIAL.EQ-NSE,2019-02-15,489.5,490.75,468.0,475.0,1405801.0
JUSTDIAL.EQ-NSE,2019-02-18,476.9,478.0,468.0,471.05,840519.0
JUSTDIAL.EQ-NSE,2019-02-19,471.1,478.0,470.0,471.05,703501.0
JUSTDIAL.EQ-NSE,2019-02-20,472.35,477.4,463.6,476.6,1113899.0
JUSTDIAL.EQ-NSE,2019-02-21,475.0,543.4,473.35,535.0,3624345.0
JUSTDIAL.EQ-NSE,2019-02-22,513.9,514.95,495.25,497.9,3282724.0
JUSTDIAL.EQ-NSE,2019-02-25,499.4,511.4,492.5,496.6,2163400.0
JUSTDIAL.EQ-NSE,2019-02-26,492.3,509.35,492.3,505.3,2123579.0
JUSTDIAL.EQ-NSE,2019-02-27,507.0,512.3,495.1,499.0,1545336.0
JUSTDIAL.EQ-NSE,2019-02-28,500.35,528.15,497.1,516.4,1598356.0
JUSTDIAL.EQ-NSE,2019-03-01,504.3,540.0,504.3,531.9,4177612.0
