Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
KAJARIACER-I460PE,2019-01-01,7.0,7.0,7.0,7.0,5200.0,36400.0
KAJARIACER-I470PE,2019-01-01,8.8,8.8,8.8,8.8,3900.0,0.0
KAJARIACER-I500CE,2019-01-01,21.65,21.65,20.0,20.0,5200.0,26000.0
KAJARIACER-I510CE,2019-01-01,15.5,15.5,15.5,15.5,1300.0,2600.0
KAJARIACER-I440CE,2019-01-02,58.9,58.9,58.9,58.9,1300.0,0.0
KAJARIACER-I460PE,2019-01-02,7.0,7.15,7.0,7.15,3900.0,41600.0
KAJARIACER-I470PE,2019-01-02,9.5,9.5,9.5,9.5,1300.0,3900.0
KAJARIACER-I480PE,2019-01-02,14.0,14.0,14.0,14.0,2600.0,2600.0
KAJARIACER-I500CE,2019-01-02,19.45,19.45,16.15,18.1,9100.0,27300.0
KAJARIACER-I500PE,2019-01-02,24.0,24.0,22.0,22.0,3900.0,5200.0
KAJARIACER-I510CE,2019-01-02,12.3,12.3,12.3,12.3,1300.0,3900.0
KAJARIACER-I550CE,2019-01-02,4.5,4.5,4.5,4.5,1300.0,15600.0
KAJARIACER-I450PE,2019-01-03,5.35,5.35,5.35,5.35,1300.0,0.0
KAJARIACER-I460CE,2019-01-03,42.9,42.9,42.9,42.9,2600.0,1300.0
KAJARIACER-I460PE,2019-01-03,6.0,6.0,4.5,4.5,15600.0,52000.0
KAJARIACER-I470PE,2019-01-03,7.0,7.5,7.0,7.5,6500.0,5200.0
KAJARIACER-I480PE,2019-01-03,14.5,14.5,9.5,11.0,23400.0,18200.0
KAJARIACER-I490CE,2019-01-03,22.1,26.75,22.1,26.75,5200.0,7800.0
KAJARIACER-I490PE,2019-01-03,14.0,17.5,14.0,14.3,14300.0,11700.0
KAJARIACER-I500CE,2019-01-03,23.6,24.2,18.0,22.25,67600.0,35100.0
KAJARIACER-I500PE,2019-01-03,18.4,20.35,18.4,19.5,6500.0,7800.0
KAJARIACER-I510CE,2019-01-03,14.75,19.7,14.75,16.4,45500.0,18200.0
KAJARIACER-I520CE,2019-01-03,13.5,15.0,11.0,13.3,53300.0,29900.0
KAJARIACER-I520PE,2019-01-03,32.3,32.3,32.3,32.3,1300.0,0.0
KAJARIACER-I530CE,2019-01-03,11.0,11.0,8.4,9.9,10400.0,5200.0
KAJARIACER-I550CE,2019-01-03,5.9,6.6,5.5,5.5,9100.0,15600.0
KAJARIACER-I560CE,2019-01-03,4.0,4.0,4.0,4.0,1300.0,3900.0
KAJARIACER-I570CE,2019-01-03,2.75,2.75,2.75,2.75,1300.0,0.0
KAJARIACER-I460PE,2019-01-04,4.6,4.6,4.2,4.2,3900.0,52000.0
KAJARIACER-I480PE,2019-01-04,11.0,11.0,6.45,6.45,2600.0,19500.0
KAJARIACER-I490CE,2019-01-04,26.0,26.0,26.0,26.0,1300.0,7800.0
KAJARIACER-I490PE,2019-01-04,15.15,15.15,11.9,11.9,3900.0,13000.0
KAJARIACER-I500CE,2019-01-04,23.9,24.85,20.45,24.5,28600.0,36400.0
KAJARIACER-I500PE,2019-01-04,17.55,19.0,15.0,15.0,10400.0,10400.0
KAJARIACER-I510CE,2019-01-04,19.0,20.0,17.4,18.5,32500.0,20800.0
KAJARIACER-I520CE,2019-01-04,16.0,16.0,13.0,14.65,27300.0,28600.0
KAJARIACER-I530CE,2019-01-04,11.05,11.3,10.05,11.3,5200.0,7800.0
KAJARIACER-I550CE,2019-01-04,6.95,6.95,6.05,6.05,9100.0,20800.0
KAJARIACER-I550PE,2019-01-04,51.7,51.7,51.7,51.7,1300.0,0.0
KAJARIACER-I560CE,2019-01-04,4.25,4.25,3.7,3.7,2600.0,6500.0
KAJARIACER-I570CE,2019-01-04,3.0,4.0,3.0,4.0,2600.0,1300.0
KAJARIACER-I580CE,2019-01-04,1.6,1.6,1.6,1.6,1300.0,1300.0
KAJARIACER-I450PE,2019-01-07,1.5,1.5,1.5,1.5,1300.0,1300.0
KAJARIACER-I460PE,2019-01-07,2.75,2.75,2.4,2.4,2600.0,53300.0
KAJARIACER-I470PE,2019-01-07,4.35,4.9,4.0,4.0,3900.0,11700.0
KAJARIACER-I480CE,2019-01-07,37.35,37.35,37.35,37.35,1300.0,1300.0
KAJARIACER-I480PE,2019-01-07,6.05,6.05,5.75,5.75,5200.0,20800.0
KAJARIACER-I500CE,2019-01-07,24.75,30.0,24.7,30.0,14300.0,32500.0
KAJARIACER-I500PE,2019-01-07,12.95,12.95,11.0,11.0,2600.0,10400.0
KAJARIACER-I510CE,2019-01-07,20.5,24.85,19.6,23.0,35100.0,22100.0
KAJARIACER-I520CE,2019-01-07,15.0,19.9,15.0,19.1,72800.0,32500.0
KAJARIACER-I520PE,2019-01-07,20.8,20.8,20.8,20.8,3900.0,2600.0
KAJARIACER-I530CE,2019-01-07,14.55,15.1,12.95,15.0,13000.0,9100.0
KAJARIACER-I540CE,2019-01-07,10.0,12.5,10.0,12.5,7800.0,11700.0
KAJARIACER-I550CE,2019-01-07,7.5,8.8,6.6,8.5,26000.0,29900.0
KAJARIACER-I560CE,2019-01-07,6.95,6.95,6.95,6.95,1300.0,7800.0
KAJARIACER-I570CE,2019-01-07,4.0,4.5,4.0,4.5,2600.0,2600.0
KAJARIACER-I580CE,2019-01-07,3.0,3.0,3.0,3.0,1300.0,2600.0
KAJARIACER-I450PE,2019-01-08,2.4,2.4,2.4,2.4,1300.0,1300.0
KAJARIACER-I460PE,2019-01-08,2.85,2.95,2.7,2.8,7800.0,53300.0
KAJARIACER-I470PE,2019-01-08,3.25,4.45,3.2,4.45,3900.0,10400.0
KAJARIACER-I500CE,2019-01-08,26.6,28.8,26.6,28.8,2600.0,32500.0
KAJARIACER-I500PE,2019-01-08,11.1,13.0,11.0,11.0,6500.0,11700.0
KAJARIACER-I510CE,2019-01-08,26.0,26.0,23.0,24.95,6500.0,20800.0
KAJARIACER-I520CE,2019-01-08,16.05,21.0,14.7,18.8,20800.0,33800.0
KAJARIACER-I520PE,2019-01-08,19.7,22.75,19.7,22.5,5200.0,6500.0
KAJARIACER-I530CE,2019-01-08,14.7,16.0,14.7,15.5,7800.0,13000.0
KAJARIACER-I540CE,2019-01-08,9.5,9.5,9.5,9.5,1300.0,11700.0
KAJARIACER-I550CE,2019-01-08,8.45,8.9,6.9,6.9,10400.0,29900.0
KAJARIACER-I560CE,2019-01-08,7.6,7.6,4.75,6.65,3900.0,7800.0
KAJARIACER-I570CE,2019-01-08,3.0,3.0,3.0,3.0,2600.0,3900.0
KAJARIACER-I580CE,2019-01-08,3.0,3.0,3.0,3.0,1300.0,3900.0
KAJARIACER-I460PE,2019-01-09,2.45,2.9,2.4,2.4,9100.0,54600.0
KAJARIACER-I470PE,2019-01-09,3.5,3.55,3.5,3.55,3900.0,13000.0
KAJARIACER-I480PE,2019-01-09,5.75,5.8,5.7,5.8,7800.0,26000.0
KAJARIACER-I500CE,2019-01-09,30.9,31.0,30.9,31.0,9100.0,32500.0
KAJARIACER-I500PE,2019-01-09,9.5,11.05,9.15,10.85,16900.0,18200.0
KAJARIACER-I510CE,2019-01-09,23.6,25.5,22.05,23.95,16900.0,18200.0
KAJARIACER-I520CE,2019-01-09,15.6,21.35,15.6,19.25,98800.0,62400.0
KAJARIACER-I520PE,2019-01-09,19.2,19.2,19.2,19.2,1300.0,7800.0
