Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
KPIT-I210PE,2019-01-01,5.8,5.8,4.65,4.7,11250.0,85500.0
KPIT-I215PE,2019-01-01,5.95,5.95,5.95,5.95,2250.0,6750.0
KPIT-I225CE,2019-01-01,6.4,6.4,6.4,6.4,2250.0,38250.0
KPIT-I230CE,2019-01-01,4.15,4.15,3.7,3.9,6750.0,209250.0
KPIT-I235CE,2019-01-01,2.5,3.0,2.4,2.4,20250.0,24750.0
KPIT-I240CE,2019-01-01,2.45,2.45,1.95,1.95,13500.0,128250.0
KPIT-I205PE,2019-01-02,3.05,3.5,3.05,3.5,6750.0,4500.0
KPIT-I210CE,2019-01-02,12.2,12.2,12.0,12.0,4500.0,4500.0
KPIT-I210PE,2019-01-02,4.5,4.9,4.35,4.65,13500.0,94500.0
KPIT-I215PE,2019-01-02,6.45,6.45,6.45,6.45,2250.0,6750.0
KPIT-I220CE,2019-01-02,7.6,9.0,6.5,6.6,45000.0,94500.0
KPIT-I220PE,2019-01-02,9.1,9.1,9.1,9.1,27000.0,87750.0
KPIT-I225CE,2019-01-02,6.5,6.5,4.55,4.75,15750.0,42750.0
KPIT-I230CE,2019-01-02,3.9,4.75,3.2,3.2,49500.0,213750.0
KPIT-I235CE,2019-01-02,2.95,2.95,2.95,2.95,2250.0,22500.0
KPIT-I240CE,2019-01-02,2.1,2.6,1.5,1.5,11250.0,128250.0
KPIT-I250CE,2019-01-02,0.6,0.6,0.6,0.6,2250.0,45000.0
KPIT-I190PE,2019-01-03,1.5,1.5,1.5,1.5,2250.0,11250.0
KPIT-I200PE,2019-01-03,3.35,4.1,3.35,4.0,24750.0,49500.0
KPIT-I210PE,2019-01-03,5.25,8.05,5.0,8.05,76500.0,135000.0
KPIT-I215CE,2019-01-03,6.85,6.85,6.85,6.85,13500.0,11250.0
KPIT-I215PE,2019-01-03,9.3,9.3,9.3,9.3,2250.0,6750.0
KPIT-I220CE,2019-01-03,7.1,7.15,5.0,5.0,103500.0,146250.0
KPIT-I220PE,2019-01-03,10.75,12.5,10.75,12.2,6750.0,92250.0
KPIT-I225CE,2019-01-03,5.0,5.0,3.75,3.75,27000.0,49500.0
KPIT-I230CE,2019-01-03,3.1,3.1,2.45,2.75,27000.0,209250.0
KPIT-I235CE,2019-01-03,1.95,2.65,1.8,1.8,13500.0,22500.0
KPIT-I240CE,2019-01-03,1.5,1.55,0.95,1.55,36000.0,103500.0
KPIT-I250CE,2019-01-03,0.85,0.9,0.85,0.9,4500.0,40500.0
KPIT-I190PE,2019-01-04,2.3,2.55,2.3,2.55,6750.0,15750.0
KPIT-I200PE,2019-01-04,5.5,5.75,4.25,4.4,103500.0,103500.0
KPIT-I210CE,2019-01-04,8.0,8.85,7.7,8.85,6750.0,6750.0
KPIT-I210PE,2019-01-04,7.1,10.0,7.1,7.7,94500.0,175500.0
KPIT-I215CE,2019-01-04,6.35,6.35,6.35,6.35,2250.0,13500.0
KPIT-I220CE,2019-01-04,4.5,5.3,3.7,4.85,144000.0,173250.0
KPIT-I220PE,2019-01-04,13.5,15.85,13.5,15.85,6750.0,85500.0
KPIT-I225CE,2019-01-04,3.35,3.85,2.65,3.85,22500.0,47250.0
KPIT-I230CE,2019-01-04,3.0,3.0,2.05,2.55,74250.0,202500.0
KPIT-I240CE,2019-01-04,1.35,1.4,1.05,1.25,56250.0,108000.0
KPIT-I200PE,2019-01-07,4.25,5.0,4.2,4.8,29250.0,114750.0
KPIT-I210CE,2019-01-07,9.2,9.2,7.35,7.5,22500.0,20250.0
