Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
LAURUSLABS.EQ-NSE,2019-01-01,75.81,77.08,75.6,76.41,5906.0
LAURUSLABS.EQ-NSE,2019-01-02,76.6,77.15,75.6,75.83,3994.0
LAURUSLABS.EQ-NSE,2019-01-03,76.31,77.01,75.21000000000001,75.8,5429.0
LAURUSLABS.EQ-NSE,2019-01-04,75.6,76.56,74.21000000000001,74.84,106725.0
LAURUSLABS.EQ-NSE,2019-01-07,76.58,76.58,75.22,75.77000000000001,3730.0
LAURUSLABS.EQ-NSE,2019-01-08,76.2,76.2,75.17999999999999,75.6,5501.0
LAURUSLABS.EQ-NSE,2019-01-09,74.8,75.99,74.02000000000001,74.03,20190.0
LAURUSLABS.EQ-NSE,2019-01-10,74.2,75.36,74.02000000000001,74.35,20779.0
LAURUSLABS.EQ-NSE,2019-01-11,74.94,75.2,73.71000000000001,75.0,100916.0
LAURUSLABS.EQ-NSE,2019-01-14,77.16,77.4,75.02000000000001,75.6,29677.0
LAURUSLABS.EQ-NSE,2019-01-15,75.72999999999999,76.2,75.6,76.0,13731.0
LAURUSLABS.EQ-NSE,2019-01-16,76.0,76.0,75.2,75.2,14481.0
LAURUSLABS.EQ-NSE,2019-01-17,75.6,75.8,74.84,75.03999999999999,121274.0
LAURUSLABS.EQ-NSE,2019-01-18,75.6,75.8,74.8,75.0,42931.0
LAURUSLABS.EQ-NSE,2019-01-21,75.38,76.0,75.05,75.8,15438.0
LAURUSLABS.EQ-NSE,2019-01-22,75.42999999999999,76.02000000000001,74.71000000000001,75.07000000000001,12985.0
LAURUSLABS.EQ-NSE,2019-01-23,75.59,75.59,75.0,75.01,3491.0
LAURUSLABS.EQ-NSE,2019-01-24,75.78999999999999,76.0,75.03999999999999,75.6,11200.0
LAURUSLABS.EQ-NSE,2019-01-25,75.53999999999999,75.6,73.41,74.1,107573.0
LAURUSLABS.EQ-NSE,2019-01-28,74.03999999999999,74.59,72.0,72.6,23870.0
LAURUSLABS.EQ-NSE,2019-01-29,73.01,73.6,70.03999999999999,70.6,13790.0
LAURUSLABS.EQ-NSE,2019-01-30,71.38,72.42999999999999,70.94,71.47999999999999,9027.0
LAURUSLABS.EQ-NSE,2019-01-31,72.4,75.0,71.4,74.1,25814.0
LAURUSLABS.EQ-NSE,2019-02-01,72.8,73.25,70.2,70.7,141727.0
LAURUSLABS.EQ-NSE,2019-02-04,74.51,74.51,70.1,70.1,29849.0
LAURUSLABS.EQ-NSE,2019-02-05,71.78999999999999,71.78999999999999,69.8,70.0,8288.0
LAURUSLABS.EQ-NSE,2019-02-06,70.44,70.44,69.0,69.8,8748.0
LAURUSLABS.EQ-NSE,2019-02-07,69.71000000000001,70.15,69.05,69.6,9544.0
LAURUSLABS.EQ-NSE,2019-02-08,69.62,69.97,68.97,69.95,12793.0
LAURUSLABS.EQ-NSE,2019-02-11,69.41,69.41,65.12,67.72,42627.0
LAURUSLABS.EQ-NSE,2019-02-12,68.12,68.39,66.0,67.01,17252.0
LAURUSLABS.EQ-NSE,2019-02-13,67.2,67.3,66.6,67.0,8616.0
LAURUSLABS.EQ-NSE,2019-02-14,66.71000000000001,68.02000000000001,65.14,66.8,26989.0
LAURUSLABS.EQ-NSE,2019-02-15,67.2,67.2,65.22,65.3,28578.0
LAURUSLABS.EQ-NSE,2019-02-18,65.47,66.0,64.27000000000001,65.5,11535.0
LAURUSLABS.EQ-NSE,2019-02-19,65.81,66.62,65.31,66.13,6718.0
LAURUSLABS.EQ-NSE,2019-02-20,66.24,67.0,64.8,65.28999999999999,14016.0
LAURUSLABS.EQ-NSE,2019-02-21,65.96000000000001,67.91,65.8,67.2,9892.0
