Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
LTIM-I4200PE,2022-12-05,5.05,6.85,4.5,5.85,5550.0,46050.0
LTIM-I4300PE,2022-12-05,8.85,10.0,7.3,9.35,750.0,26250.0
LTIM-I4400PE,2022-12-05,12.0,18.0,8.1,15.0,15750.0,42600.0
LTIM-I4500PE,2022-12-05,19.95,26.5,19.5,23.05,22650.0,98400.0
LTIM-I4600CE,2022-12-05,489.15,489.15,458.0,458.0,300.0,5100.0
LTIM-I4600PE,2022-12-05,26.0,39.15,26.0,34.05,47100.0,40200.0
LTIM-I4700CE,2022-12-05,391.95,392.0,391.95,392.0,300.0,9900.0
LTIM-I4700PE,2022-12-05,42.35,57.4,41.0,51.5,65550.0,69300.0
LTIM-I4800CE,2022-12-05,300.85,302.55,293.25,293.25,750.0,13800.0
LTIM-I4800PE,2022-12-05,58.25,86.0,58.25,77.0,64350.0,82050.0
LTIM-I4900CE,2022-12-05,280.0,280.0,225.0,225.0,5100.0,33300.0
LTIM-I4900PE,2022-12-05,85.0,120.0,85.0,112.0,39600.0,52800.0
LTIM-I5000CE,2022-12-05,229.95,230.0,170.0,170.65,82200.0,127200.0
LTIM-I5000PE,2022-12-05,121.0,166.2,121.0,155.0,115650.0,62550.0
LTIM-I5100CE,2022-12-05,157.1,181.0,131.0,133.95,89400.0,97500.0
LTIM-I5100PE,2022-12-05,175.65,218.0,175.65,211.2,9450.0,20700.0
LTIM-I5200CE,2022-12-05,140.0,144.95,95.0,96.6,94050.0,114600.0
LTIM-I5200PE,2022-12-05,238.0,280.25,238.0,280.25,1950.0,10800.0
LTIM-I5300CE,2022-12-05,100.0,100.0,68.0,69.95,61950.0,64500.0
LTIM-I5400CE,2022-12-05,70.15,70.15,48.0,48.6,42150.0,50400.0
LTIM-I5500CE,2022-12-05,55.0,55.0,34.15,35.75,244350.0,265500.0
LTIM-I5600CE,2022-12-05,32.0,32.05,23.5,24.75,22350.0,47850.0
LTIM-I5700CE,2022-12-05,22.15,22.65,17.3,17.9,7650.0,28050.0
LTIM-I5800CE,2022-12-05,16.9,16.9,11.85,12.55,10800.0,38550.0
LTIM-I5900CE,2022-12-05,13.5,13.5,8.5,10.0,28800.0,73800.0
LTIM-I4000PE,2022-12-06,2.1,5.0,2.1,4.65,2550.0,3150.0
LTIM-I4100PE,2022-12-06,7.0,7.0,5.85,5.85,300.0,600.0
LTIM-I4200PE,2022-12-06,6.15,10.55,6.15,9.95,23250.0,51000.0
LTIM-I4300PE,2022-12-06,12.5,17.85,11.7,16.4,30750.0,29850.0
LTIM-I4400CE,2022-12-06,495.0,499.5,494.0,499.35,750.0,900.0
LTIM-I4400PE,2022-12-06,19.55,28.25,17.0,26.2,75150.0,57600.0
LTIM-I4500CE,2022-12-06,405.05,405.05,405.05,405.05,150.0,1200.0
LTIM-I4500PE,2022-12-06,25.05,43.55,25.0,41.2,117600.0,105600.0
LTIM-I4600CE,2022-12-06,394.95,395.2,325.45,325.45,1200.0,5400.0
LTIM-I4600PE,2022-12-06,38.05,65.45,38.05,63.0,68100.0,32400.0
