Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
LT-I1300PE,2019-01-01,2.5,2.95,2.0,2.0,3750.0,52125.0
LT-I1320PE,2019-01-01,3.0,3.0,2.95,2.95,1125.0,19875.0
LT-I1340PE,2019-01-01,4.45,5.05,3.7,3.8,23250.0,72000.0
LT-I1360PE,2019-01-01,6.95,8.0,5.55,5.9,14250.0,74250.0
LT-I1380CE,2019-01-01,70.1,73.5,70.05,73.5,1125.0,8250.0
LT-I1380PE,2019-01-01,10.4,12.45,8.85,9.25,25875.0,51750.0
LT-I1400CE,2019-01-01,58.0,61.9,57.0,61.0,4875.0,74625.0
LT-I1400PE,2019-01-01,14.8,17.95,12.5,13.4,160875.0,93000.0
LT-I1420CE,2019-01-01,47.2,49.15,41.0,47.35,14625.0,36750.0
LT-I1420PE,2019-01-01,20.8,25.3,18.7,19.0,77625.0,57750.0
LT-I1440CE,2019-01-01,37.0,38.45,30.0,38.0,165375.0,138375.0
LT-I1440PE,2019-01-01,28.9,34.75,26.0,26.2,91875.0,69000.0
LT-I1460CE,2019-01-01,26.8,28.2,20.8,28.0,210375.0,247125.0
LT-I1460PE,2019-01-01,40.5,45.75,35.5,35.5,7500.0,28875.0
LT-I1480CE,2019-01-01,19.6,20.0,14.5,19.9,294375.0,106875.0
LT-I1500CE,2019-01-01,13.7,14.0,9.75,13.8,276375.0,210750.0
LT-I1500PE,2019-01-01,69.8,69.8,64.25,64.25,1500.0,116625.0
LT-I1520CE,2019-01-01,9.6,9.6,6.55,8.45,52875.0,85125.0
LT-I1540CE,2019-01-01,5.8,5.95,4.1,5.95,29625.0,66750.0
LT-I1560CE,2019-01-01,3.0,4.0,2.85,4.0,5625.0,28500.0
LT-I1600CE,2019-01-01,2.2,2.2,1.15,1.8,6000.0,17625.0
LT-I1600PE,2019-01-01,152.45,152.45,152.45,152.45,750.0,1875.0
LT-I1300CE,2019-01-02,143.0,145.0,127.0,135.55,10875.0,54000.0
LT-I1300PE,2019-01-02,2.1,3.75,2.1,3.45,5250.0,53250.0
LT-I1320PE,2019-01-02,3.4,5.1,3.05,4.3,27000.0,31125.0
LT-I1340PE,2019-01-02,4.95,7.85,4.45,6.1,111000.0,99750.0
LT-I1360PE,2019-01-02,7.25,11.3,6.5,9.05,57750.0,83625.0
LT-I1380CE,2019-01-02,73.0,73.8,63.05,63.05,1500.0,7125.0
LT-I1380PE,2019-01-02,7.5,16.15,7.5,13.3,183000.0,89250.0
LT-I1400CE,2019-01-02,59.7,59.7,47.0,53.2,125250.0,70500.0
LT-I1400PE,2019-01-02,15.5,22.75,13.85,19.2,330000.0,117000.0
LT-I1420CE,2019-01-02,49.0,49.0,33.15,38.75,21375.0,40875.0
LT-I1420PE,2019-01-02,21.0,31.5,19.5,26.9,129000.0,56250.0
LT-I1440CE,2019-01-02,35.05,39.2,24.1,28.2,450375.0,147375.0
LT-I1440PE,2019-01-02,30.0,42.15,26.85,35.6,174000.0,67875.0
LT-I1460CE,2019-01-02,25.0,27.95,17.0,20.0,535500.0,249000.0
LT-I1460PE,2019-01-02,38.55,55.05,38.55,48.95,33750.0,28875.0
LT-I1480CE,2019-01-02,18.9,20.0,11.8,14.0,625875.0,208875.0
LT-I1480PE,2019-01-02,52.0,62.65,52.0,62.65,750.0,4125.0
LT-I1500CE,2019-01-02,12.95,13.95,8.2,9.8,431250.0,233250.0
LT-I1500PE,2019-01-02,67.65,83.0,65.5,77.0,10125.0,107625.0
LT-I1520CE,2019-01-02,8.5,9.0,5.4,6.55,148875.0,105000.0
LT-I1540CE,2019-01-02,5.8,5.8,3.65,4.4,45000.0,63750.0
LT-I1540PE,2019-01-02,109.0,109.0,109.0,109.0,1500.0,8250.0
LT-I1560CE,2019-01-02,3.8,3.8,2.5,3.1,20250.0,27375.0
LT-I1600CE,2019-01-02,1.15,1.15,1.05,1.05,6750.0,16125.0
LT-I1660CE,2019-01-02,0.55,0.55,0.55,0.55,375.0,4125.0
LT-I1200PE,2019-01-03,2.0,2.0,2.0,2.0,3750.0,10125.0
LT-I1280CE,2019-01-03,140.0,140.0,128.0,128.0,4125.0,2250.0
LT-I1280PE,2019-01-03,3.5,3.95,3.5,3.95,750.0,375.0
LT-I1300CE,2019-01-03,134.0,134.0,114.0,114.0,4875.0,52500.0
LT-I1300PE,2019-01-03,3.45,5.5,3.45,4.9,78750.0,82875.0
LT-I1320PE,2019-01-03,4.7,8.1,3.95,7.25,61125.0,36000.0
LT-I1340PE,2019-01-03,7.25,11.5,5.75,10.2,147750.0,91125.0
LT-I1360CE,2019-01-03,63.15,63.15,57.0,57.0,1125.0,20250.0
LT-I1360PE,2019-01-03,10.65,16.5,8.35,14.65,248625.0,135750.0
LT-I1380CE,2019-01-03,51.75,63.2,45.05,45.05,2250.0,7875.0
LT-I1380PE,2019-01-03,16.0,23.75,12.25,20.85,240375.0,113625.0
LT-I1400CE,2019-01-03,45.1,51.0,32.15,35.6,100500.0,86250.0
LT-I1400PE,2019-01-03,22.15,32.6,17.75,29.0,413250.0,139500.0
LT-I1420CE,2019-01-03,35.0,39.6,23.5,27.0,303000.0,79500.0
LT-I1420PE,2019-01-03,31.0,43.55,25.8,40.3,129000.0,52125.0
LT-I1440CE,2019-01-03,25.5,29.2,16.95,19.0,535125.0,212625.0
