Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
MCLEODRUSS.EQ-NSE,2019-01-01,119.05,119.1,115.25,115.8,167408.0
MCLEODRUSS.EQ-NSE,2019-01-02,115.6,115.95,114.5,114.7,65160.0
MCLEODRUSS.EQ-NSE,2019-01-03,115.1,115.85,113.05,113.15,65738.0
MCLEODRUSS.EQ-NSE,2019-01-04,114.05,114.55,112.65,112.85,122689.0
MCLEODRUSS.EQ-NSE,2019-01-07,113.5,114.05,112.3,112.4,99746.0
MCLEODRUSS.EQ-NSE,2019-01-08,113.0,113.5,111.0,112.0,89507.0
MCLEODRUSS.EQ-NSE,2019-01-09,113.0,114.8,112.5,113.8,98653.0
MCLEODRUSS.EQ-NSE,2019-01-10,113.1,115.4,112.7,112.7,120573.0
MCLEODRUSS.EQ-NSE,2019-01-11,114.2,116.3,113.5,113.6,237009.0
MCLEODRUSS.EQ-NSE,2019-01-14,113.25,113.8,111.55,111.55,75770.0
MCLEODRUSS.EQ-NSE,2019-01-15,112.0,113.0,111.1,111.3,90452.0
MCLEODRUSS.EQ-NSE,2019-01-16,112.0,112.65,110.75,111.0,101715.0
MCLEODRUSS.EQ-NSE,2019-01-17,111.6,112.4,110.3,110.5,105670.0
MCLEODRUSS.EQ-NSE,2019-01-18,111.35,111.4,108.0,108.55,85895.0
MCLEODRUSS.EQ-NSE,2019-01-21,109.0,109.0,106.65,107.65,97396.0
MCLEODRUSS.EQ-NSE,2019-01-22,107.35,108.15,105.9,106.05,51255.0
MCLEODRUSS.EQ-NSE,2019-01-23,106.0,106.3,104.0,104.25,61660.0
MCLEODRUSS.EQ-NSE,2019-01-24,107.95,110.4,106.0,106.1,355849.0
MCLEODRUSS.EQ-NSE,2019-01-25,106.25,106.65,102.0,102.5,61507.0
MCLEODRUSS.EQ-NSE,2019-01-28,103.35,103.35,98.0,98.05,104106.0
MCLEODRUSS.EQ-NSE,2019-01-29,97.5,98.3,95.9,97.55,57537.0
MCLEODRUSS.EQ-NSE,2019-01-30,97.35,97.45,96.5,96.75,44065.0
MCLEODRUSS.EQ-NSE,2019-01-31,97.8,100.5,95.75,96.8,114472.0
MCLEODRUSS.EQ-NSE,2019-02-01,97.9,99.5,93.1,97.8,141875.0
MCLEODRUSS.EQ-NSE,2019-02-04,97.0,97.3,95.1,96.85,81415.0
MCLEODRUSS.EQ-NSE,2019-02-05,95.6,100.5,95.6,99.6,204357.0
MCLEODRUSS.EQ-NSE,2019-02-06,98.1,99.6,97.1,97.75,40124.0
MCLEODRUSS.EQ-NSE,2019-02-07,98.15,98.35,95.95,96.8,47778.0
MCLEODRUSS.EQ-NSE,2019-02-08,96.2,96.8,95.1,95.5,37894.0
MCLEODRUSS.EQ-NSE,2019-02-11,95.35,95.4,90.3,93.0,107945.0
MCLEODRUSS.EQ-NSE,2019-02-12,92.15,93.0,90.0,92.0,95318.0
MCLEODRUSS.EQ-NSE,2019-02-13,91.6,92.6,89.8,90.05,62525.0
MCLEODRUSS.EQ-NSE,2019-02-14,89.05,90.1,87.8,88.15,74146.0
MCLEODRUSS.EQ-NSE,2019-02-15,85.4,86.3,82.35,83.75,207221.0
MCLEODRUSS.EQ-NSE,2019-02-18,84.0,86.3,83.3,85.9,270232.0
MCLEODRUSS.EQ-NSE,2019-02-19,85.7,86.2,84.5,85.25,45750.0
MCLEODRUSS.EQ-NSE,2019-02-20,85.8,86.15,84.75,85.1,55314.0
MCLEODRUSS.EQ-NSE,2019-02-21,86.95,88.05,86.15,86.9,145640.0
MCLEODRUSS.EQ-NSE,2019-02-22,88.0,91.2,87.0,89.7,265497.0
MCLEODRUSS.EQ-NSE,2019-02-25,90.5,90.95,89.45,90.4,69467.0
MCLEODRUSS.EQ-NSE,2019-02-26,89.0,93.35,88.5,90.95,117142.0
MCLEODRUSS.EQ-NSE,2019-02-27,90.8,92.35,89.25,89.5,81840.0
MCLEODRUSS.EQ-NSE,2019-02-28,90.15,90.15,86.5,87.05,59380.0
MCLEODRUSS.EQ-NSE,2019-03-01,87.55,90.0,86.9,88.6,111743.0
MCLEODRUSS.EQ-NSE,2019-03-05,89.3,91.8,88.75,90.8,181824.0
MCLEODRUSS.EQ-NSE,2019-03-06,91.5,94.8,91.2,92.55,252357.0
MCLEODRUSS.EQ-NSE,2019-03-07,92.0,96.6,91.95,93.65,215131.0
MCLEODRUSS.EQ-NSE,2019-03-08,94.0,95.65,92.25,92.5,77337.0
MCLEODRUSS.EQ-NSE,2019-03-11,92.4,94.35,92.0,92.9,138495.0
MCLEODRUSS.EQ-NSE,2019-03-12,93.5,95.1,92.4,93.9,152224.0
MCLEODRUSS.EQ-NSE,2019-03-13,93.5,94.55,92.0,92.1,76006.0
MCLEODRUSS.EQ-NSE,2019-03-14,92.5,96.15,91.55,92.7,182752.0
MCLEODRUSS.EQ-NSE,2019-03-15,93.6,93.9,88.5,88.9,197684.0
MCLEODRUSS.EQ-NSE,2019-03-18,89.5,89.95,87.3,88.15,98966.0
MCLEODRUSS.EQ-NSE,2019-03-19,88.0,89.25,87.3,87.8,92427.0
MCLEODRUSS.EQ-NSE,2019-03-20,88.2,88.5,87.55,88.5,51462.0
MCLEODRUSS.EQ-NSE,2019-03-22,87.7,88.75,87.0,87.3,85123.0
MCLEODRUSS.EQ-NSE,2019-03-25,87.0,87.1,85.4,85.6,68491.0
MCLEODRUSS.EQ-NSE,2019-03-26,86.6,87.55,85.3,87.2,108193.0
MCLEODRUSS.EQ-NSE,2019-03-27,87.1,87.85,85.1,85.85,144360.0
MCLEODRUSS.EQ-NSE,2019-03-28,86.85,86.9,85.6,85.75,79581.0
MCLEODRUSS.EQ-NSE,2019-03-29,85.95,87.0,85.05,86.75,148768.0
MCLEODRUSS.EQ-NSE,2019-04-01,86.95,88.2,85.8,88.0,141898.0
MCLEODRUSS.EQ-NSE,2019-04-02,88.1,89.9,87.55,88.25,154026.0
MCLEODRUSS.EQ-NSE,2019-04-03,88.2,89.8,87.6,88.0,129436.0
MCLEODRUSS.EQ-NSE,2019-04-04,88.25,88.3,85.1,86.5,148012.0
MCLEODRUSS.EQ-NSE,2019-04-05,86.35,86.75,85.1,85.25,106247.0
MCLEODRUSS.EQ-NSE,2019-04-08,85.3,86.0,82.8,83.3,142891.0
MCLEODRUSS.EQ-NSE,2019-04-09,84.0,84.25,82.7,84.0,63460.0
MCLEODRUSS.EQ-NSE,2019-04-10,83.55,85.0,83.0,84.3,65344.0
MCLEODRUSS.EQ-NSE,2019-04-11,84.85,86.45,84.35,84.9,60877.0
MCLEODRUSS.EQ-NSE,2019-04-12,84.85,85.4,83.65,84.0,72098.0
MCLEODRUSS.EQ-NSE,2019-04-15,84.9,87.95,83.35,85.75,131176.0
MCLEODRUSS.EQ-NSE,2019-04-16,86.45,86.55,84.5,84.5,81895.0
MCLEODRUSS.EQ-NSE,2019-04-18,85.2,85.2,83.8,84.1,69168.0
MCLEODRUSS.EQ-NSE,2019-04-22,84.75,85.05,82.5,83.0,74418.0
MCLEODRUSS.EQ-NSE,2019-04-23,84.0,84.6,81.85,81.85,79768.0
MCLEODRUSS.EQ-NSE,2019-04-24,85.3,85.5,81.0,81.2,173875.0
MCLEODRUSS.EQ-NSE,2019-04-25,81.3,81.55,77.1,77.7,193273.0
MCLEODRUSS.EQ-NSE,2019-04-26,77.7,77.95,75.85,75.85,127692.0
MCLEODRUSS.EQ-NSE,2019-04-30,76.0,76.0,61.0,61.0,669656.0
MCLEODRUSS.EQ-NSE,2019-05-02,55.95,55.95,48.8,51.5,4354415.0
MCLEODRUSS.EQ-NSE,2019-05-03,52.4,52.55,46.1,46.1,2331805.0
MCLEODRUSS.EQ-NSE,2019-05-06,46.5,46.5,41.5,41.75,1827173.0
MCLEODRUSS.EQ-NSE,2019-05-07,41.0,43.25,37.7,37.75,3786137.0
