Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
MGL-I860PE,2019-01-01,8.95,8.95,8.0,8.0,1800.0,1800.0
MGL-I880PE,2019-01-01,15.8,19.25,13.7,13.7,6600.0,3600.0
MGL-I900CE,2019-01-01,31.8,34.0,25.65,33.85,43200.0,13200.0
MGL-I900PE,2019-01-01,23.85,27.0,22.1,22.1,7200.0,2400.0
MGL-I910CE,2019-01-01,29.0,29.0,26.0,28.1,3600.0,11400.0
MGL-I920CE,2019-01-01,20.05,25.0,17.2,24.4,55200.0,27000.0
MGL-I920PE,2019-01-01,34.7,34.7,30.55,30.55,3600.0,1800.0
MGL-I930CE,2019-01-01,18.1,19.95,18.1,19.95,1200.0,2400.0
MGL-I940CE,2019-01-01,14.7,16.95,12.0,16.95,9600.0,8400.0
MGL-I950CE,2019-01-01,14.0,14.0,10.0,13.0,4200.0,4800.0
MGL-I960CE,2019-01-01,6.3,11.0,6.3,11.0,3600.0,5400.0
MGL-I960PE,2019-01-01,71.0,73.95,71.0,73.95,1200.0,600.0
MGL-I1020CE,2019-01-01,2.0,2.0,2.0,2.0,600.0,0.0
MGL-I800PE,2019-01-02,1.05,1.05,1.05,1.05,600.0,0.0
MGL-I840PE,2019-01-02,5.8,5.8,5.8,5.8,600.0,1800.0
MGL-I880PE,2019-01-02,12.75,18.3,12.75,18.3,2400.0,5400.0
MGL-I900CE,2019-01-02,32.95,33.0,24.8,27.2,10800.0,12600.0
MGL-I900PE,2019-01-02,23.3,29.0,19.45,29.0,4200.0,3600.0
MGL-I910CE,2019-01-02,26.95,26.95,20.0,20.0,4800.0,13200.0
MGL-I910PE,2019-01-02,31.7,31.7,31.7,31.7,600.0,0.0
MGL-I920CE,2019-01-02,18.2,25.05,15.2,16.1,43200.0,28800.0
MGL-I920PE,2019-01-02,34.3,40.6,29.4,40.3,3600.0,1800.0
MGL-I930CE,2019-01-02,20.0,20.0,18.3,18.3,1800.0,3600.0
MGL-I940CE,2019-01-02,16.75,16.75,10.0,10.75,4200.0,10200.0
MGL-I950CE,2019-01-02,12.4,12.4,7.55,7.55,4800.0,5400.0
MGL-I960CE,2019-01-02,8.0,8.0,6.7,6.7,1200.0,6600.0
MGL-I880PE,2019-01-03,20.5,20.95,20.25,20.95,3600.0,5400.0
MGL-I890PE,2019-01-03,20.85,27.2,19.7,27.2,1800.0,600.0
MGL-I900CE,2019-01-03,26.5,27.0,20.35,21.85,8400.0,12000.0
MGL-I900PE,2019-01-03,26.6,32.85,26.1,32.85,5400.0,3000.0
MGL-I910CE,2019-01-03,20.4,20.4,17.0,17.5,1800.0,13200.0
MGL-I920CE,2019-01-03,18.5,18.5,12.8,12.8,6600.0,27600.0
MGL-I920PE,2019-01-03,40.6,40.6,40.6,40.6,600.0,1200.0
MGL-I930CE,2019-01-03,11.4,11.4,11.4,11.4,600.0,3000.0
MGL-I940CE,2019-01-03,11.9,11.9,9.3,9.4,2400.0,9000.0
MGL-I950CE,2019-01-03,9.0,9.0,9.0,9.0,600.0,4800.0
MGL-I860PE,2019-01-04,13.1,13.1,12.75,12.75,1200.0,1200.0
MGL-I880CE,2019-01-04,29.9,29.9,29.9,29.9,600.0,3000.0
MGL-I880PE,2019-01-04,17.1,17.1,14.1,14.1,1800.0,4800.0
MGL-I900CE,2019-01-04,21.1,27.0,21.1,27.0,1200.0,10800.0
MGL-I900PE,2019-01-04,30.5,30.5,22.3,22.3,1200.0,3600.0
MGL-I910CE,2019-01-04,18.0,22.95,18.0,22.95,2400.0,12600.0
MGL-I910PE,2019-01-04,26.05,26.05,26.05,26.05,600.0,600.0
MGL-I920CE,2019-01-04,13.35,17.0,13.35,17.0,5400.0,26400.0
MGL-I920PE,2019-01-04,43.8,43.8,43.8,43.8,600.0,600.0
MGL-I930CE,2019-01-04,11.4,11.4,11.4,11.4,600.0,3000.0
MGL-I940CE,2019-01-04,8.4,8.75,8.4,8.75,1200.0,9000.0
MGL-I900CE,2019-01-07,23.0,23.0,23.0,23.0,600.0,10800.0
MGL-I910CE,2019-01-07,19.1,19.1,19.1,19.1,1200.0,13800.0
MGL-I980CE,2019-01-07,0.5,0.5,0.5,0.5,600.0,0.0
MGL-I890CE,2019-01-08,30.0,30.0,30.0,30.0,600.0,600.0
MGL-I920CE,2019-01-08,14.0,14.0,14.0,14.0,600.0,26400.0
MGL-I1000CE,2019-01-08,1.0,1.0,1.0,1.0,1800.0,3000.0
MGL-I840PE,2019-01-09,5.0,5.0,5.0,5.0,600.0,1800.0
MGL-I850PE,2019-01-09,5.0,5.0,5.0,5.0,600.0,3000.0
MGL-I900CE,2019-01-09,28.05,28.05,28.05,28.05,600.0,10200.0
MGL-I910CE,2019-01-09,18.95,18.95,18.95,18.95,600.0,13200.0
MGL-I920CE,2019-01-09,17.75,19.0,13.45,13.45,5400.0,28200.0
MGL-I930CE,2019-01-09,8.7,8.7,8.7,8.7,600.0,3000.0
MGL-I940CE,2019-01-09,9.3,9.3,9.3,9.3,600.0,8400.0
MGL-I900CE,2019-01-10,20.0,22.95,20.0,22.95,1200.0,11400.0
MGL-I920CE,2019-01-10,13.0,13.0,12.95,12.95,1200.0,28200.0
MGL-I930CE,2019-01-10,7.0,7.0,7.0,7.0,600.0,2400.0
MGL-I850PE,2019-01-11,5.0,5.0,5.0,5.0,600.0,3600.0
MGL-I890PE,2019-01-11,17.5,17.5,17.5,17.5,600.0,600.0
MGL-I900CE,2019-01-11,18.9,18.9,18.9,18.9,600.0,11400.0
MGL-I900PE,2019-01-11,20.55,20.55,20.55,20.55,1800.0,4200.0
MGL-I910CE,2019-01-11,17.0,17.0,17.0,17.0,600.0,13200.0
MGL-I920CE,2019-01-11,12.95,12.95,12.95,12.95,600.0,27600.0
MGL-I960CE,2019-01-11,3.3,3.3,3.3,3.3,600.0,6000.0
MGL-I860PE,2019-01-14,9.1,9.1,9.1,9.1,600.0,2400.0
MGL-I880PE,2019-01-14,14.9,14.9,14.9,14.9,600.0,4200.0
MGL-I900CE,2019-01-14,16.0,18.9,12.65,12.65,5400.0,12000.0
MGL-I900PE,2019-01-14,25.0,25.0,25.0,25.0,1200.0,3600.0
MGL-I910CE,2019-01-14,11.0,11.0,11.0,11.0,600.0,13200.0
MGL-I920CE,2019-01-14,12.95,12.95,8.25,8.25,1800.0,28200.0
MGL-I960CE,2019-01-14,3.3,3.3,3.3,3.3,600.0,6000.0
MGL-I980CE,2019-01-14,1.0,1.0,1.0,1.0,600.0,600.0
MGL-I1000CE,2019-01-14,0.25,0.25,0.25,0.25,600.0,3000.0
MGL-I880CE,2019-01-15,29.0,29.0,29.0,29.0,600.0,3000.0
MGL-I880PE,2019-01-15,11.0,11.0,11.0,11.0,600.0,4200.0
MGL-I890PE,2019-01-15,12.3,12.3,12.3,12.3,600.0,600.0
MGL-I920CE,2019-01-15,12.0,13.0,12.0,12.95,1800.0,28800.0
MGL-I940CE,2019-01-15,6.4,6.9,6.4,6.9,1200.0,9000.0
MGL-I850PE,2019-01-16,2.0,5.0,2.0,2.5,3600.0,4200.0
MGL-I880CE,2019-01-16,31.1,31.1,31.1,31.1,600.0,2400.0
MGL-I940CE,2019-01-16,5.0,5.0,5.0,5.0,2400.0,10200.0
MGL-I850PE,2019-01-17,1.4,2.55,1.4,2.55,3600.0,5400.0
MGL-I900CE,2019-01-17,19.25,19.25,19.25,19.25,600.0,10800.0
MGL-I910CE,2019-01-17,12.65,12.65,12.65,12.65,600.0,12600.0
MGL-I920CE,2019-01-17,7.0,12.5,7.0,12.5,1200.0,28200.0
MGL-I950CE,2019-01-17,2.05,5.25,2.05,5.25,4800.0,4200.0
MGL-I860PE,2019-01-18,3.05,3.05,2.55,2.55,1800.0,3000.0
MGL-I880PE,2019-01-18,7.85,7.85,7.85,7.85,600.0,3600.0
MGL-I890CE,2019-01-18,31.0,31.0,30.65,30.65,1200.0,1200.0
MGL-I890PE,2019-01-18,9.45,9.45,9.0,9.0,1200.0,0.0
MGL-I900CE,2019-01-18,28.95,29.8,22.5,23.0,6600.0,8400.0
MGL-I900PE,2019-01-18,8.5,10.75,8.5,10.75,1200.0,4200.0
MGL-I910CE,2019-01-18,20.45,24.0,17.7,18.0,6000.0,12600.0
MGL-I920CE,2019-01-18,14.0,20.2,11.5,11.5,59400.0,45000.0
MGL-I920PE,2019-01-18,18.7,24.0,18.7,20.25,1800.0,1200.0
MGL-I930CE,2019-01-18,14.8,14.8,14.8,14.8,6000.0,2400.0
MGL-I940CE,2019-01-18,6.5,8.0,5.9,5.9,3000.0,10800.0
