Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
MOTHERSUMI-I150PE,2019-01-01,2.1,2.25,1.7,1.8,48450.0,133950.0
MOTHERSUMI-I155PE,2019-01-01,3.35,3.45,2.9,2.9,34200.0,94050.0
MOTHERSUMI-I156.65PE,2019-01-01,3.9,4.1,3.9,4.1,5700.0,5700.0
MOTHERSUMI-I160CE,2019-01-01,11.0,11.0,11.0,11.0,2850.0,19950.0
MOTHERSUMI-I160PE,2019-01-01,4.8,5.2,4.35,4.35,25650.0,114000.0
MOTHERSUMI-I165CE,2019-01-01,8.65,8.65,7.55,8.0,34200.0,91200.0
MOTHERSUMI-I165PE,2019-01-01,7.5,7.5,6.5,6.5,22800.0,51300.0
MOTHERSUMI-I166.65CE,2019-01-01,7.3,7.45,7.3,7.45,8550.0,17100.0
MOTHERSUMI-I170CE,2019-01-01,6.8,6.9,5.3,5.5,256500.0,461700.0
MOTHERSUMI-I173.35CE,2019-01-01,4.65,4.65,4.65,4.65,2850.0,8550.0
MOTHERSUMI-I175CE,2019-01-01,4.65,4.65,3.8,3.8,51300.0,122550.0
MOTHERSUMI-I180CE,2019-01-01,3.15,3.25,2.4,2.55,179550.0,307800.0
MOTHERSUMI-I185CE,2019-01-01,1.6,1.75,1.5,1.75,22800.0,373350.0
MOTHERSUMI-I190CE,2019-01-01,1.25,1.4,1.15,1.2,45600.0,79800.0
MOTHERSUMI-I200CE,2019-01-01,0.55,0.65,0.55,0.65,19950.0,273600.0
MOTHERSUMI-I145PE,2019-01-02,1.2,1.3,1.2,1.3,8550.0,34200.0
MOTHERSUMI-I150PE,2019-01-02,1.75,2.35,1.75,2.25,85500.0,182400.0
MOTHERSUMI-I153.35PE,2019-01-02,2.85,2.85,2.85,2.85,8550.0,5700.0
MOTHERSUMI-I155PE,2019-01-02,2.9,3.65,2.85,3.35,119700.0,79800.0
MOTHERSUMI-I160CE,2019-01-02,10.0,10.0,9.1,9.1,5700.0,17100.0
MOTHERSUMI-I160PE,2019-01-02,4.8,5.5,4.7,5.25,111150.0,99750.0
MOTHERSUMI-I163.35PE,2019-01-02,6.45,6.45,6.2,6.4,8550.0,8550.0
MOTHERSUMI-I165CE,2019-01-02,7.5,8.0,6.45,7.0,65550.0,88350.0
MOTHERSUMI-I165PE,2019-01-02,6.75,7.9,6.75,7.3,42750.0,57000.0
MOTHERSUMI-I166.65CE,2019-01-02,6.15,7.05,5.8,5.8,11400.0,19950.0
MOTHERSUMI-I170CE,2019-01-02,5.6,5.95,4.55,4.65,259350.0,458850.0
MOTHERSUMI-I170PE,2019-01-02,9.5,10.95,9.5,10.5,25650.0,31350.0
MOTHERSUMI-I173.35CE,2019-01-02,4.35,4.6,3.8,3.9,19950.0,19950.0
MOTHERSUMI-I175CE,2019-01-02,3.75,4.0,3.0,3.15,96900.0,102600.0
MOTHERSUMI-I176.65CE,2019-01-02,3.5,3.5,2.7,2.75,59850.0,39900.0
MOTHERSUMI-I180CE,2019-01-02,2.55,2.85,1.95,1.95,199500.0,364800.0
MOTHERSUMI-I185CE,2019-01-02,1.4,1.8,1.35,1.35,48450.0,376200.0
MOTHERSUMI-I190CE,2019-01-02,1.05,1.2,0.9,1.0,42750.0,85500.0
MOTHERSUMI-I195CE,2019-01-02,0.7,0.7,0.7,0.7,2850.0,17100.0
MOTHERSUMI-I200CE,2019-01-02,0.65,0.65,0.45,0.45,54150.0,299250.0
MOTHERSUMI-I140PE,2019-01-03,1.35,1.35,0.95,0.95,62700.0,48450.0
MOTHERSUMI-I145PE,2019-01-03,1.25,1.6,1.25,1.6,5700.0,34200.0
MOTHERSUMI-I150PE,2019-01-03,2.1,2.75,2.0,2.65,71250.0,176700.0
MOTHERSUMI-I155PE,2019-01-03,3.7,4.25,2.85,3.85,51300.0,74100.0
MOTHERSUMI-I156.65PE,2019-01-03,4.35,4.35,4.35,4.35,2850.0,2850.0
MOTHERSUMI-I160CE,2019-01-03,10.0,11.5,7.75,7.9,28500.0,37050.0
MOTHERSUMI-I160PE,2019-01-03,4.6,6.5,4.55,6.05,71250.0,125400.0
MOTHERSUMI-I165CE,2019-01-03,6.25,7.75,5.3,5.45,136800.0,136800.0
MOTHERSUMI-I165PE,2019-01-03,7.85,9.0,7.85,9.0,14250.0,51300.0
MOTHERSUMI-I166.65CE,2019-01-03,5.3,5.3,5.3,5.3,2850.0,17100.0
MOTHERSUMI-I170CE,2019-01-03,4.55,5.8,3.55,3.95,228000.0,530100.0
MOTHERSUMI-I170PE,2019-01-03,9.7,12.4,9.7,11.95,17100.0,25650.0
MOTHERSUMI-I173.35CE,2019-01-03,3.7,3.7,3.7,3.7,2850.0,19950.0
MOTHERSUMI-I175CE,2019-01-03,3.15,3.9,2.3,2.45,91200.0,131100.0
MOTHERSUMI-I180CE,2019-01-03,2.1,2.65,1.45,1.6,202350.0,413250.0
MOTHERSUMI-I183.35CE,2019-01-03,1.25,1.25,1.25,1.25,2850.0,0.0
MOTHERSUMI-I185CE,2019-01-03,1.5,1.5,0.9,1.0,48450.0,373350.0
MOTHERSUMI-I190CE,2019-01-03,1.0,1.0,0.9,0.9,11400.0,91200.0
MOTHERSUMI-I200CE,2019-01-03,0.5,0.5,0.35,0.4,42750.0,327750.0
MOTHERSUMI-I140PE,2019-01-04,0.75,1.2,0.75,1.2,25650.0,59850.0
MOTHERSUMI-I145PE,2019-01-04,1.7,1.85,1.7,1.85,5700.0,39900.0
MOTHERSUMI-I150PE,2019-01-04,2.0,3.25,2.0,3.15,142500.0,168150.0
MOTHERSUMI-I155PE,2019-01-04,3.5,5.1,3.5,5.0,88350.0,82650.0
MOTHERSUMI-I156.65PE,2019-01-04,4.7,5.0,4.7,5.0,5700.0,5700.0
MOTHERSUMI-I160CE,2019-01-04,9.85,10.15,6.45,6.6,122550.0,85500.0
MOTHERSUMI-I160PE,2019-01-04,4.7,7.6,4.7,7.6,148200.0,151050.0
MOTHERSUMI-I163.35CE,2019-01-04,7.0,7.0,5.8,5.8,14250.0,14250.0
MOTHERSUMI-I163.35PE,2019-01-04,8.65,8.65,8.65,8.65,2850.0,8550.0
MOTHERSUMI-I165CE,2019-01-04,6.0,7.45,4.4,4.6,310650.0,202350.0
MOTHERSUMI-I165PE,2019-01-04,7.6,9.3,7.6,8.95,17100.0,45600.0
MOTHERSUMI-I166.65CE,2019-01-04,5.7,5.7,4.0,4.2,79800.0,22800.0
MOTHERSUMI-I170CE,2019-01-04,4.3,5.4,3.1,3.15,592800.0,629850.0
MOTHERSUMI-I170PE,2019-01-04,12.55,14.6,12.55,14.6,11400.0,28500.0
MOTHERSUMI-I173.35CE,2019-01-04,2.65,2.8,2.65,2.8,5700.0,17100.0
MOTHERSUMI-I175CE,2019-01-04,2.5,3.5,1.9,2.0,193800.0,196650.0
MOTHERSUMI-I180CE,2019-01-04,2.35,2.35,1.3,1.3,296400.0,441750.0
MOTHERSUMI-I185CE,2019-01-04,1.2,1.2,0.75,0.75,19950.0,379050.0
MOTHERSUMI-I190CE,2019-01-04,0.25,1.05,0.25,0.6,51300.0,91200.0
MOTHERSUMI-I200CE,2019-01-04,0.45,0.45,0.35,0.35,37050.0,342000.0
MOTHERSUMI-I140PE,2019-01-07,1.45,1.45,1.05,1.25,17100.0,68400.0
MOTHERSUMI-I145PE,2019-01-07,1.85,2.35,1.55,2.35,8550.0,45600.0
MOTHERSUMI-I150PE,2019-01-07,2.55,3.95,2.55,3.85,550050.0,296400.0
MOTHERSUMI-I153.35PE,2019-01-07,4.55,4.75,4.5,4.75,17100.0,17100.0
MOTHERSUMI-I155CE,2019-01-07,9.6,9.6,7.55,7.55,28500.0,5700.0
MOTHERSUMI-I155PE,2019-01-07,4.3,6.05,4.3,6.05,156750.0,88350.0
MOTHERSUMI-I156.65PE,2019-01-07,6.05,6.25,5.85,5.85,11400.0,8550.0
MOTHERSUMI-I160CE,2019-01-07,7.0,7.15,5.35,5.35,253650.0,162450.0
MOTHERSUMI-I160PE,2019-01-07,7.0,8.8,7.0,8.6,94050.0,156750.0
MOTHERSUMI-I163.35CE,2019-01-07,5.2,5.4,4.3,4.3,31350.0,25650.0
MOTHERSUMI-I163.35PE,2019-01-07,9.4,9.4,9.4,9.4,2850.0,8550.0
MOTHERSUMI-I165CE,2019-01-07,5.1,5.1,3.8,3.8,265050.0,228000.0
MOTHERSUMI-I165PE,2019-01-07,8.75,11.0,8.75,10.05,14250.0,42750.0
MOTHERSUMI-I166.65CE,2019-01-07,3.65,4.3,3.15,3.15,17100.0,31350.0
MOTHERSUMI-I170CE,2019-01-07,3.4,3.65,2.4,2.5,384750.0,703950.0
MOTHERSUMI-I170PE,2019-01-07,15.25,15.25,13.9,15.25,19950.0,42750.0
MOTHERSUMI-I175CE,2019-01-07,2.2,2.2,1.5,1.5,128250.0,236550.0
MOTHERSUMI-I176.65CE,2019-01-07,1.4,1.4,1.4,1.4,2850.0,39900.0
MOTHERSUMI-I180CE,2019-01-07,1.3,1.4,1.0,1.0,139650.0,430350.0
MOTHERSUMI-I185CE,2019-01-07,0.75,0.8,0.6,0.6,11400.0,376200.0
MOTHERSUMI-I190CE,2019-01-07,0.5,0.5,0.45,0.45,8550.0,88350.0
MOTHERSUMI-I200CE,2019-01-07,0.3,0.3,0.25,0.25,91200.0,322050.0
MOTHERSUMI-I120PE,2019-01-08,0.25,0.25,0.25,0.25,2850.0,8550.0
MOTHERSUMI-I140PE,2019-01-08,1.25,1.45,0.85,0.85,62700.0,91200.0
MOTHERSUMI-I145PE,2019-01-08,2.3,2.3,1.65,1.65,45600.0,51300.0
MOTHERSUMI-I150CE,2019-01-08,10.9,12.0,10.9,12.0,5700.0,11400.0
MOTHERSUMI-I150PE,2019-01-08,4.0,4.15,2.6,2.85,364800.0,299250.0
MOTHERSUMI-I155PE,2019-01-08,5.8,6.5,4.3,4.55,37050.0,96900.0
MOTHERSUMI-I156.65CE,2019-01-08,6.8,6.8,6.8,6.8,5700.0,0.0
MOTHERSUMI-I160CE,2019-01-08,5.25,6.6,5.1,6.0,453150.0,208050.0
MOTHERSUMI-I160PE,2019-01-08,8.95,8.95,6.6,6.6,39900.0,153900.0
MOTHERSUMI-I163.35CE,2019-01-08,3.85,4.95,3.85,4.05,31350.0,39900.0
MOTHERSUMI-I165CE,2019-01-08,3.65,4.5,3.65,4.2,148200.0,225150.0
MOTHERSUMI-I165PE,2019-01-08,9.45,9.45,9.45,9.45,5700.0,42750.0
