Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
MPHASIS-I1600PE,2021-03-01,45.0,45.05,45.0,45.05,650.0,325.0
MPHASIS-I1700CE,2021-03-01,45.0,45.0,45.0,45.0,325.0,0.0
MPHASIS-I1500PE,2021-03-02,24.8,25.0,20.0,20.0,1625.0,1300.0
MPHASIS-I1600PE,2021-03-02,44.95,46.75,37.55,37.55,1625.0,1625.0
MPHASIS-I1660CE,2021-03-02,87.25,109.9,86.75,109.9,3900.0,1300.0
MPHASIS-I1680CE,2021-03-02,79.2,103.3,79.2,103.3,2275.0,650.0
MPHASIS-I1700CE,2021-03-02,54.95,97.0,50.05,94.0,21775.0,8775.0
MPHASIS-I1800CE,2021-03-02,33.35,55.0,33.35,55.0,3900.0,1950.0
MPHASIS-I2000CE,2021-03-02,15.0,15.0,15.0,15.0,325.0,0.0
MPHASIS-I1600PE,2021-03-03,30.0,43.65,29.8,43.65,2925.0,1950.0
MPHASIS-I1660CE,2021-03-03,117.45,119.65,117.45,119.65,650.0,3900.0
MPHASIS-I1680CE,2021-03-03,90.1,90.85,90.1,90.85,1300.0,2275.0
MPHASIS-I1700CE,2021-03-03,103.2,110.0,80.95,85.05,55250.0,12350.0
MPHASIS-I1700PE,2021-03-03,64.95,86.45,62.0,81.4,7150.0,1300.0
MPHASIS-I1740CE,2021-03-03,74.05,78.75,65.2,65.2,2600.0,325.0
MPHASIS-I1760CE,2021-03-03,60.1,60.1,60.1,60.1,325.0,0.0
MPHASIS-I1780CE,2021-03-03,60.35,61.6,54.25,54.25,1625.0,650.0
MPHASIS-I1800CE,2021-03-03,68.7,68.95,41.5,46.75,26000.0,9425.0
MPHASIS-I1600PE,2021-03-04,39.95,40.0,39.95,40.0,975.0,2600.0
MPHASIS-I1660CE,2021-03-04,99.95,99.95,99.95,99.95,325.0,3900.0
MPHASIS-I1700CE,2021-03-04,92.0,94.9,73.0,73.8,11050.0,24700.0
MPHASIS-I1700PE,2021-03-04,79.25,82.5,72.3,82.5,1950.0,2275.0
MPHASIS-I1740CE,2021-03-04,75.35,76.35,61.65,61.65,1300.0,1625.0
MPHASIS-I1760CE,2021-03-04,60.45,60.45,53.4,53.4,975.0,975.0
MPHASIS-I1780CE,2021-03-04,53.5,53.5,53.45,53.45,650.0,975.0
MPHASIS-I1800CE,2021-03-04,43.2,53.5,43.15,46.0,5850.0,9750.0
MPHASIS-I1420PE,2021-03-05,8.5,8.5,8.5,8.5,325.0,0.0
MPHASIS-I1480PE,2021-03-05,19.95,19.95,19.95,19.95,325.0,0.0
MPHASIS-I1500PE,2021-03-05,17.0,24.9,17.0,19.35,3900.0,2925.0
MPHASIS-I1600PE,2021-03-05,52.4,57.85,50.95,57.85,975.0,3250.0
MPHASIS-I1660CE,2021-03-05,75.0,75.0,75.0,75.0,325.0,3900.0
MPHASIS-I1680CE,2021-03-05,77.35,77.4,47.15,47.15,1950.0,2925.0
MPHASIS-I1700CE,2021-03-05,61.75,62.55,49.4,49.4,9100.0,26325.0
MPHASIS-I1700PE,2021-03-05,107.4,107.4,104.75,104.75,650.0,2600.0
MPHASIS-I1760CE,2021-03-05,41.55,41.55,38.6,38.6,650.0,650.0
MPHASIS-I1800CE,2021-03-05,25.0,28.5,24.9,24.9,3250.0,10400.0
MPHASIS-I1420PE,2021-03-08,2.0,2.0,2.0,2.0,975.0,650.0
MPHASIS-I1500PE,2021-03-08,20.25,26.9,17.8,26.9,975.0,3575.0
MPHASIS-I1600CE,2021-03-08,88.0,88.0,87.85,88.0,975.0,0.0
MPHASIS-I1600PE,2021-03-08,50.0,50.0,50.0,50.0,325.0,3250.0
MPHASIS-I1660CE,2021-03-08,63.3,63.3,51.85,51.85,650.0,3900.0
MPHASIS-I1680CE,2021-03-08,64.85,64.85,50.0,50.0,1950.0,3250.0
MPHASIS-I1700CE,2021-03-08,52.15,52.2,35.0,35.0,12350.0,23725.0
