Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
MRPL.EQ-NSE,2019-01-01,75.4,75.95,74.5,74.9,745004.0
MRPL.EQ-NSE,2019-01-02,74.7,75.6,73.1,73.85,916966.0
MRPL.EQ-NSE,2019-01-03,74.25,74.25,71.75,72.0,889539.0
MRPL.EQ-NSE,2019-01-04,72.65,72.85,71.35,72.25,820956.0
MRPL.EQ-NSE,2019-01-07,72.6,73.0,71.55,72.05,490980.0
MRPL.EQ-NSE,2019-01-08,72.1,72.75,71.7,72.0,635272.0
MRPL.EQ-NSE,2019-01-09,72.2,72.45,70.6,71.25,930101.0
MRPL.EQ-NSE,2019-01-10,71.8,71.8,70.05,71.25,1107870.0
MRPL.EQ-NSE,2019-01-11,71.1,71.7,70.4,70.45,695698.0
MRPL.EQ-NSE,2019-01-14,70.75,70.95,68.7,69.3,1001157.0
MRPL.EQ-NSE,2019-01-15,69.5,70.6,69.5,70.45,548536.0
MRPL.EQ-NSE,2019-01-16,70.65,71.45,70.1,70.7,629306.0
MRPL.EQ-NSE,2019-01-17,70.85,71.25,69.6,70.4,677855.0
MRPL.EQ-NSE,2019-01-18,70.6,70.6,69.05,69.2,736999.0
MRPL.EQ-NSE,2019-01-21,69.35,69.85,68.4,68.95,577278.0
MRPL.EQ-NSE,2019-01-22,68.85,69.7,68.75,68.85,819114.0
MRPL.EQ-NSE,2019-01-23,69.2,69.75,68.75,69.0,978135.0
MRPL.EQ-NSE,2019-01-24,69.15,69.85,68.8,69.8,534687.0
MRPL.EQ-NSE,2019-01-25,69.6,70.1,68.05,68.55,613268.0
MRPL.EQ-NSE,2019-01-28,68.85,69.85,67.35,68.5,1357451.0
MRPL.EQ-NSE,2019-01-29,67.7,68.7,67.55,68.0,1214114.0
MRPL.EQ-NSE,2019-01-30,68.4,68.7,66.9,68.65,1359780.0
MRPL.EQ-NSE,2019-01-31,68.2,69.0,66.65,67.85,1805206.0
MRPL.EQ-NSE,2019-02-01,67.95,68.55,66.9,67.2,673411.0
MRPL.EQ-NSE,2019-02-04,67.05,67.35,64.5,64.9,754174.0
MRPL.EQ-NSE,2019-02-05,65.7,65.75,63.3,64.0,997325.0
MRPL.EQ-NSE,2019-02-06,63.95,65.85,62.65,65.7,1353955.0
MRPL.EQ-NSE,2019-02-07,65.5,68.2,64.7,66.9,1074475.0
MRPL.EQ-NSE,2019-02-08,66.5,68.55,64.3,64.35,2028791.0
MRPL.EQ-NSE,2019-02-11,64.65,64.65,63.1,63.7,479107.0
MRPL.EQ-NSE,2019-02-12,63.85,64.8,63.5,63.8,449364.0
MRPL.EQ-NSE,2019-02-13,64.15,64.2,62.8,63.95,824501.0
