Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
MRPL-I60PE,2019-01-01,0.1,0.1,0.1,0.1,49000.0,126000.0
MRPL-I72.5PE,2019-01-01,2.0,2.0,2.0,2.0,7000.0,21000.0
MRPL-I75CE,2019-01-01,3.45,3.45,3.45,3.45,7000.0,63000.0
MRPL-I75PE,2019-01-01,3.3,3.3,3.3,3.3,7000.0,0.0
MRPL-I80CE,2019-01-01,2.05,2.1,1.75,1.8,63000.0,252000.0
MRPL-I82.5CE,2019-01-01,1.75,1.75,1.75,1.75,7000.0,14000.0
MRPL-I90CE,2019-01-01,0.25,0.25,0.25,0.25,14000.0,133000.0
MRPL-I60PE,2019-01-02,0.1,0.1,0.1,0.1,49000.0,42000.0
MRPL-I67.5PE,2019-01-02,1.1,1.1,1.1,1.1,7000.0,42000.0
MRPL-I70PE,2019-01-02,1.45,2.0,1.45,2.0,21000.0,70000.0
MRPL-I77.5PE,2019-01-02,4.3,4.3,4.3,4.3,7000.0,28000.0
MRPL-I80CE,2019-01-02,1.4,1.8,1.1,1.6,91000.0,266000.0
MRPL-I82.5CE,2019-01-02,0.95,0.95,0.95,0.95,7000.0,21000.0
MRPL-I70PE,2019-01-03,1.85,3.0,1.85,3.0,35000.0,91000.0
MRPL-I75CE,2019-01-03,2.35,2.35,2.25,2.25,14000.0,63000.0
MRPL-I80CE,2019-01-03,1.1,1.1,0.8,0.8,105000.0,266000.0
MRPL-I65PE,2019-01-04,0.55,0.75,0.55,0.75,14000.0,7000.0
MRPL-I70PE,2019-01-04,1.8,2.0,1.8,2.0,14000.0,98000.0
MRPL-I75CE,2019-01-04,2.0,2.0,2.0,2.0,7000.0,63000.0
MRPL-I80CE,2019-01-04,0.8,0.85,0.75,0.8,28000.0,287000.0
MRPL-I77.5CE,2019-01-07,1.1,1.45,1.0,1.0,35000.0,28000.0
MRPL-I80CE,2019-01-07,0.7,0.7,0.65,0.65,42000.0,308000.0
MRPL-I67.5PE,2019-01-08,1.1,1.1,1.1,1.1,7000.0,49000.0
MRPL-I70PE,2019-01-08,1.6,1.6,1.6,1.6,7000.0,105000.0
MRPL-I72.5CE,2019-01-08,3.0,3.0,3.0,3.0,42000.0,35000.0
MRPL-I75CE,2019-01-08,1.8,2.25,1.75,1.75,28000.0,63000.0
MRPL-I80CE,2019-01-08,0.65,0.8,0.65,0.7,42000.0,273000.0
MRPL-I60PE,2019-01-09,0.35,0.35,0.35,0.35,28000.0,28000.0
MRPL-I65PE,2019-01-09,0.9,0.9,0.9,0.9,7000.0,0.0
MRPL-I70PE,2019-01-09,2.05,2.05,2.05,2.05,7000.0,112000.0
MRPL-I72.5CE,2019-01-09,2.85,2.85,1.75,1.9,105000.0,84000.0
MRPL-I75CE,2019-01-09,1.75,1.75,1.2,1.2,14000.0,84000.0
MRPL-I80CE,2019-01-09,0.35,0.35,0.35,0.35,21000.0,280000.0
MRPL-I82.5CE,2019-01-09,0.25,0.25,0.25,0.25,7000.0,28000.0
MRPL-I87.5CE,2019-01-09,0.35,0.35,0.1,0.1,21000.0,49000.0
MRPL-I70CE,2019-01-10,2.95,2.95,2.9,2.9,21000.0,0.0
MRPL-I70PE,2019-01-10,2.3,2.35,2.0,2.35,35000.0,126000.0
MRPL-I72.5CE,2019-01-10,1.7,2.0,1.7,1.9,84000.0,63000.0
MRPL-I72.5PE,2019-01-10,3.65,3.65,3.65,3.65,21000.0,28000.0
MRPL-I75CE,2019-01-10,1.0,1.2,1.0,1.2,28000.0,84000.0
MRPL-I75PE,2019-01-10,5.35,5.35,5.35,5.35,14000.0,7000.0
MRPL-I77.5CE,2019-01-10,0.45,0.45,0.45,0.45,7000.0,21000.0
MRPL-I77.5PE,2019-01-10,7.3,7.3,7.3,7.3,7000.0,35000.0
MRPL-I80CE,2019-01-10,0.3,0.35,0.25,0.3,56000.0,308000.0
MRPL-I80PE,2019-01-10,9.45,9.45,9.45,9.45,14000.0,21000.0
MRPL-I70PE,2019-01-11,2.0,2.0,2.0,2.0,7000.0,126000.0
MRPL-I72.5CE,2019-01-11,2.0,2.0,1.65,1.65,21000.0,84000.0
MRPL-I75CE,2019-01-11,1.2,1.2,1.2,1.2,7000.0,84000.0
MRPL-I87.5CE,2019-01-11,0.15,0.15,0.15,0.15,7000.0,49000.0
MRPL-I62.5PE,2019-01-14,0.15,0.45,0.15,0.15,28000.0,7000.0
MRPL-I65PE,2019-01-14,0.55,0.8,0.55,0.8,14000.0,14000.0
MRPL-I70PE,2019-01-14,2.1,2.3,2.1,2.3,14000.0,133000.0
MRPL-I72.5CE,2019-01-14,1.25,1.25,1.25,1.25,14000.0,84000.0
MRPL-I72.5PE,2019-01-14,3.95,3.95,3.95,3.95,7000.0,28000.0
MRPL-I75CE,2019-01-14,0.55,0.55,0.5,0.55,28000.0,70000.0
MRPL-I80CE,2019-01-14,0.3,0.3,0.2,0.2,49000.0,301000.0
MRPL-I80PE,2019-01-14,10.6,10.6,10.6,10.6,7000.0,21000.0
MRPL-I85CE,2019-01-14,0.2,0.25,0.1,0.1,21000.0,168000.0
MRPL-I87.5CE,2019-01-14,0.1,0.1,0.1,0.1,7000.0,49000.0
MRPL-I90CE,2019-01-14,0.05,0.05,0.05,0.05,7000.0,133000.0
MRPL-I72.5CE,2019-01-15,1.5,1.5,1.5,1.5,7000.0,84000.0
MRPL-I75CE,2019-01-15,0.75,0.75,0.55,0.55,21000.0,84000.0
MRPL-I70PE,2019-01-16,1.6,1.6,1.45,1.45,14000.0,147000.0
MRPL-I72.5CE,2019-01-16,1.65,1.65,1.5,1.5,28000.0,91000.0
MRPL-I75CE,2019-01-16,0.95,0.95,0.95,0.95,7000.0,91000.0
MRPL-I80CE,2019-01-16,0.15,0.25,0.15,0.25,21000.0,287000.0
MRPL-I82.5CE,2019-01-16,0.1,0.3,0.1,0.25,273000.0,119000.0
MRPL-I72.5CE,2019-01-17,1.7,1.7,1.7,1.7,7000.0,91000.0
MRPL-I75CE,2019-01-17,0.7,0.7,0.55,0.55,21000.0,91000.0
MRPL-I85CE,2019-01-17,0.05,0.05,0.05,0.05,42000.0,161000.0
MRPL-I55PE,2019-01-18,2.3,2.4,2.3,2.4,105000.0,0.0
MRPL-I72.5CE,2019-01-18,0.95,0.95,0.95,0.95,7000.0,91000.0
MRPL-I75CE,2019-01-18,0.5,0.5,0.5,0.5,7000.0,91000.0
MRPL-I80CE,2019-01-18,0.15,0.15,0.1,0.1,28000.0,266000.0
MRPL-I90CE,2019-01-18,0.05,0.05,0.05,0.05,7000.0,126000.0
MRPL-I55PE,2019-01-21,0.1,0.1,0.05,0.05,210000.0,105000.0
MRPL-I70PE,2019-01-21,2.4,2.4,2.4,2.4,7000.0,154000.0
MRPL-I72.5CE,2019-01-21,0.6,0.9,0.6,0.9,21000.0,105000.0
MRPL-I80CE,2019-01-21,0.1,0.1,0.1,0.1,14000.0,266000.0
MRPL-I65PE,2019-01-22,0.65,0.65,0.4,0.4,28000.0,28000.0
MRPL-I72.5CE,2019-01-22,0.7,0.7,0.55,0.55,28000.0,119000.0
MRPL-I80CE,2019-01-22,0.05,0.05,0.05,0.05,21000.0,266000.0
MRPL-I65PE,2019-01-23,0.25,0.25,0.25,0.25,14000.0,35000.0
MRPL-I72.5CE,2019-01-23,0.4,0.55,0.4,0.4,28000.0,105000.0
MRPL-I80CE,2019-01-23,0.1,0.1,0.05,0.05,14000.0,259000.0
MRPL-I80PE,2019-01-23,10.9,10.9,10.9,10.9,7000.0,28000.0
MRPL-I70PE,2019-01-24,1.45,1.45,1.45,1.45,7000.0,154000.0
MRPL-I72.5CE,2019-01-24,0.4,0.45,0.4,0.45,14000.0,98000.0
MRPL-I75CE,2019-01-24,0.25,0.25,0.1,0.1,21000.0,91000.0
MRPL-I75PE,2019-01-24,5.4,5.4,5.4,5.4,7000.0,21000.0
MRPL-I80CE,2019-01-24,0.05,0.05,0.05,0.05,7000.0,259000.0
MRPL-I65PE,2019-01-25,0.95,0.95,0.95,0.95,7000.0,35000.0
MRPL-I72.5CE,2019-01-25,0.3,0.4,0.3,0.4,14000.0,98000.0
MRPL-I75CE,2019-01-25,0.1,0.1,0.1,0.1,7000.0,84000.0
MRPL-I80CE,2019-01-25,0.1,0.1,0.05,0.05,21000.0,238000.0
MRPL-I80PE,2019-01-25,10.05,10.1,10.05,10.1,14000.0,28000.0
MRPL-I65CE,2019-01-28,4.95,4.95,4.95,4.95,7000.0,0.0
MRPL-I65PE,2019-01-28,1.0,1.0,0.3,0.3,14000.0,35000.0
MRPL-I67.5PE,2019-01-28,0.7,0.7,0.7,0.7,14000.0,49000.0
MRPL-I70CE,2019-01-28,0.65,0.65,0.65,0.65,7000.0,21000.0
MRPL-I70PE,2019-01-28,2.3,2.3,2.3,2.3,7000.0,147000.0
MRPL-I72.5CE,2019-01-28,0.25,0.25,0.15,0.15,21000.0,84000.0
MRPL-I80PE,2019-01-28,11.0,11.0,11.0,11.0,7000.0,21000.0
MRPL-I65PE,2019-01-29,0.3,0.3,0.3,0.3,7000.0,49000.0
MRPL-I70PE,2019-01-29,2.5,2.5,2.5,2.5,7000.0,140000.0
MRPL-I75CE,2019-01-29,0.1,0.1,0.1,0.1,7000.0,77000.0
MRPL-I90CE,2019-01-29,0.05,0.05,0.05,0.05,7000.0,126000.0
MRPL-I65PE,2019-01-30,0.5,0.5,0.5,0.5,7000.0,49000.0
MRPL-I72.5CE,2019-01-30,0.05,0.05,0.05,0.05,7000.0,70000.0
MRPL-I65PE,2019-01-31,0.15,0.15,0.05,0.05,42000.0,21000.0
MRPL-I67.5CE,2019-01-31,0.15,0.4,0.15,0.4,14000.0,7000.0
MRPL-I67.5PE,2019-01-31,0.15,0.55,0.15,0.2,56000.0,28000.0
MRPL-I70CE,2019-01-31,0.5,0.5,0.05,0.05,28000.0,14000.0
MRPL-I70PE,2019-01-31,3.5,3.5,2.05,2.1,105000.0,42000.0
MRPL-I72.5CE,2019-01-31,0.05,0.05,0.05,0.05,21000.0,70000.0
MRPL-I72.5PE,2019-01-31,5.05,5.05,4.5,4.5,14000.0,28000.0
MRPL-I75CE,2019-01-31,0.05,0.05,0.05,0.05,14000.0,77000.0
MRPL-I80CE,2019-01-31,0.05,0.05,0.05,0.05,14000.0,224000.0
MRPL-I80PE,2019-01-31,12.2,12.2,12.2,12.2,7000.0,21000.0
MRPL-I85CE,2019-01-31,0.2,0.2,0.2,0.2,7000.0,119000.0
MRPL-I85PE,2019-01-31,17.45,17.45,17.45,17.45,7000.0,7000.0
MRPL-I90PE,2019-01-31,22.7,22.7,22.7,22.7,7000.0,14000.0
MRPL-I60PE,2019-02-01,0.5,0.5,0.4,0.4,14000.0,14000.0
MRPL-I70CE,2019-02-01,2.25,2.25,2.25,2.25,7000.0,21000.0
MRPL-I72.5CE,2019-02-01,0.8,1.15,0.8,0.95,28000.0,21000.0
MRPL-I72.5PE,2019-02-01,3.65,3.65,3.65,3.65,7000.0,7000.0
MRPL-I75CE,2019-02-01,0.7,0.7,0.7,0.7,7000.0,21000.0
MRPL-I77.5CE,2019-02-01,0.1,0.35,0.1,0.35,112000.0,70000.0
MRPL-I80CE,2019-02-01,0.35,0.35,0.15,0.15,21000.0,21000.0
MRPL-I55PE,2019-02-04,0.4,0.4,0.4,0.4,7000.0,0.0
MRPL-I60PE,2019-02-04,0.75,1.05,0.75,1.0,56000.0,42000.0
MRPL-I62.5PE,2019-02-04,1.2,1.8,0.9,1.8,28000.0,14000.0
MRPL-I65CE,2019-02-04,2.85,2.85,2.85,2.85,7000.0,0.0
MRPL-I65PE,2019-02-04,2.8,2.8,2.8,2.8,7000.0,7000.0
MRPL-I67.5CE,2019-02-04,2.05,2.05,2.05,2.05,7000.0,0.0
MRPL-I70CE,2019-02-04,1.0,1.0,0.9,1.0,35000.0,42000.0
MRPL-I70PE,2019-02-04,4.4,4.4,4.4,4.4,7000.0,98000.0
MRPL-I72.5PE,2019-02-04,6.1,6.1,6.1,6.1,7000.0,14000.0
MRPL-I75CE,2019-02-04,0.3,0.3,0.3,0.3,49000.0,63000.0
MRPL-I80CE,2019-02-04,0.15,0.15,0.15,0.15,7000.0,21000.0
MRPL-I52.5PE,2019-02-05,2.5,2.5,2.5,2.5,112000.0,0.0
MRPL-I55PE,2019-02-05,0.5,0.5,0.5,0.5,7000.0,7000.0
MRPL-I60CE,2019-02-05,5.0,5.0,5.0,5.0,14000.0,0.0
MRPL-I60PE,2019-02-05,1.65,1.65,1.1,1.4,35000.0,63000.0
MRPL-I67.5CE,2019-02-05,1.7,1.7,1.7,1.7,7000.0,7000.0
MRPL-I70CE,2019-02-05,1.0,1.0,0.9,1.0,35000.0,63000.0
MRPL-I72.5CE,2019-02-05,0.5,0.5,0.5,0.5,7000.0,28000.0
MRPL-I75CE,2019-02-05,0.25,0.25,0.25,0.25,42000.0,77000.0
MRPL-I82.5CE,2019-02-05,0.5,0.5,0.5,0.5,7000.0,0.0
MRPL-I52.5PE,2019-02-06,0.1,0.1,0.05,0.05,224000.0,112000.0
MRPL-I55CE,2019-02-06,9.95,9.95,9.95,9.95,14000.0,0.0
MRPL-I55PE,2019-02-06,0.65,0.65,0.35,0.35,28000.0,35000.0
MRPL-I57.5CE,2019-02-06,7.75,7.75,7.75,7.75,14000.0,0.0
MRPL-I60CE,2019-02-06,5.7,5.85,5.7,5.85,28000.0,14000.0
MRPL-I60PE,2019-02-06,1.6,1.6,0.95,1.2,91000.0,70000.0
MRPL-I62.5CE,2019-02-06,3.5,3.5,3.5,3.5,14000.0,0.0
MRPL-I65CE,2019-02-06,2.7,2.7,2.7,2.7,14000.0,7000.0
MRPL-I65PE,2019-02-06,3.05,3.05,3.05,3.05,14000.0,14000.0
MRPL-I67.5CE,2019-02-06,1.5,1.5,1.5,1.5,7000.0,14000.0
MRPL-I67.5PE,2019-02-06,4.35,4.35,4.35,4.35,7000.0,0.0
MRPL-I70CE,2019-02-06,0.8,1.4,0.7,1.4,63000.0,84000.0
MRPL-I70PE,2019-02-06,6.25,6.25,6.25,6.25,7000.0,105000.0
MRPL-I72.5CE,2019-02-06,0.7,0.7,0.7,0.7,14000.0,28000.0
MRPL-I72.5PE,2019-02-06,8.3,8.3,8.3,8.3,14000.0,21000.0
