Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
NAUKRI-I2050PE,2020-02-28,8.0,8.0,8.0,8.0,200.0,0.0
NAUKRI-I2350PE,2020-02-28,64.0,67.0,64.0,67.0,400.0,0.0
NAUKRI-I2400CE,2020-02-28,225.0,225.0,225.0,225.0,200.0,0.0
NAUKRI-I2400PE,2020-02-28,100.0,100.0,93.1,93.1,400.0,200.0
NAUKRI-I2500PE,2020-02-28,100.0,100.0,100.0,100.0,200.0,0.0
NAUKRI-I2550CE,2020-02-28,130.0,175.0,129.55,175.0,1200.0,800.0
NAUKRI-I2550PE,2020-02-28,116.1,116.1,100.0,100.0,600.0,200.0
NAUKRI-I2600CE,2020-02-28,120.0,160.0,120.0,160.0,800.0,400.0
NAUKRI-I2600PE,2020-02-28,121.05,121.05,121.05,121.05,200.0,0.0
NAUKRI-I2700CE,2020-02-28,79.5,89.0,79.5,89.0,400.0,200.0
NAUKRI-I2750CE,2020-02-28,61.05,66.0,61.05,66.0,600.0,400.0
NAUKRI-I3000CE,2020-02-28,20.0,38.5,20.0,38.5,600.0,400.0
NAUKRI-I3050CE,2020-02-28,8.0,8.0,8.0,8.0,200.0,0.0
NAUKRI-I2200PE,2020-03-02,8.0,33.5,8.0,33.5,800.0,200.0
NAUKRI-I2250PE,2020-03-02,35.0,41.85,35.0,41.85,600.0,0.0
NAUKRI-I2350PE,2020-03-02,22.55,70.0,22.55,70.0,1600.0,800.0
NAUKRI-I2400CE,2020-03-02,327.0,327.0,327.0,327.0,200.0,200.0
NAUKRI-I2400PE,2020-03-02,22.0,71.95,22.0,71.95,800.0,200.0
NAUKRI-I2500PE,2020-03-02,80.0,143.95,80.0,103.0,5400.0,3200.0
NAUKRI-I2550CE,2020-03-02,193.4,228.85,193.4,228.0,800.0,1000.0
NAUKRI-I2550PE,2020-03-02,79.05,146.35,66.9,116.1,2800.0,1400.0
NAUKRI-I2600CE,2020-03-02,206.4,225.2,185.65,225.2,2800.0,1800.0
NAUKRI-I2600PE,2020-03-02,97.7,180.0,73.1,135.0,23400.0,10600.0
NAUKRI-I2650CE,2020-03-02,172.5,218.65,153.25,218.65,1600.0,1000.0
NAUKRI-I2650PE,2020-03-02,106.4,187.3,92.35,143.55,6600.0,3200.0
NAUKRI-I2700CE,2020-03-02,163.8,200.0,113.75,182.6,11200.0,4000.0
NAUKRI-I2700PE,2020-03-02,126.0,220.0,120.5,193.35,3400.0,2000.0
NAUKRI-I2750CE,2020-03-02,100.4,161.25,100.4,161.25,5400.0,2000.0
NAUKRI-I2750PE,2020-03-02,153.45,231.05,150.75,231.05,800.0,400.0
NAUKRI-I2800CE,2020-03-02,75.0,146.0,75.0,132.7,4600.0,2000.0
NAUKRI-I2800PE,2020-03-02,181.9,187.6,181.9,187.6,400.0,0.0
NAUKRI-I2850CE,2020-03-02,74.2,74.2,74.2,74.2,200.0,0.0
NAUKRI-I2900CE,2020-03-02,60.85,66.4,60.55,65.95,1000.0,0.0
NAUKRI-I3000CE,2020-03-02,38.5,65.0,35.0,65.0,2800.0,2400.0
NAUKRI-I3050CE,2020-03-02,35.4,42.55,35.4,42.55,400.0,400.0
NAUKRI-I3100CE,2020-03-02,32.1,47.0,29.95,47.0,1800.0,1400.0
NAUKRI-I2250PE,2020-03-03,32.0,32.0,32.0,32.0,200.0,0.0
NAUKRI-I2500PE,2020-03-03,75.05,82.45,45.05,50.0,7400.0,5000.0
NAUKRI-I2550CE,2020-03-03,300.0,318.1,300.0,318.1,400.0,1000.0
NAUKRI-I2550PE,2020-03-03,73.5,85.0,66.05,69.0,1600.0,1200.0
NAUKRI-I2600CE,2020-03-03,287.95,287.95,270.0,270.0,400.0,1800.0
NAUKRI-I2600PE,2020-03-03,91.15,110.0,76.0,76.0,16600.0,11200.0
NAUKRI-I2650CE,2020-03-03,235.7,255.55,213.45,235.75,1200.0,1000.0
NAUKRI-I2650PE,2020-03-03,100.0,118.3,84.5,84.5,3400.0,4200.0
NAUKRI-I2700CE,2020-03-03,181.35,219.6,181.35,219.6,1200.0,4200.0
NAUKRI-I2700PE,2020-03-03,128.2,141.0,106.9,106.9,3600.0,2600.0
NAUKRI-I2750CE,2020-03-03,181.15,190.85,157.95,173.0,2400.0,2800.0
NAUKRI-I2750PE,2020-03-03,154.8,161.9,127.35,137.65,1600.0,800.0
NAUKRI-I2800CE,2020-03-03,140.0,165.45,131.85,152.75,10000.0,4400.0
NAUKRI-I2800PE,2020-03-03,151.6,156.0,148.45,148.45,600.0,400.0
NAUKRI-I2850CE,2020-03-03,120.0,138.0,120.0,138.0,400.0,400.0
NAUKRI-I2900CE,2020-03-03,95.95,118.0,95.95,103.0,4200.0,1800.0
NAUKRI-I3000CE,2020-03-03,59.8,87.8,59.0,75.0,8200.0,5600.0
NAUKRI-I3100CE,2020-03-03,43.25,59.9,43.25,59.9,1600.0,2200.0
NAUKRI-I3150CE,2020-03-03,44.8,44.8,44.8,44.8,200.0,0.0
NAUKRI-I3200CE,2020-03-03,34.55,39.8,30.0,31.0,1800.0,1000.0
NAUKRI-I2250PE,2020-03-04,11.6,21.7,11.6,21.7,1000.0,600.0
NAUKRI-I2500PE,2020-03-04,64.0,86.0,64.0,79.2,13200.0,4600.0
NAUKRI-I2550CE,2020-03-04,211.55,211.55,211.5,211.5,400.0,1000.0
NAUKRI-I2550PE,2020-03-04,95.35,101.0,84.4,93.0,1200.0,1200.0
NAUKRI-I2600CE,2020-03-04,237.45,237.45,220.5,220.5,600.0,1800.0
NAUKRI-I2600PE,2020-03-04,83.5,119.95,83.5,111.5,26400.0,8200.0
NAUKRI-I2650CE,2020-03-04,190.95,190.95,150.0,150.0,600.0,1000.0
NAUKRI-I2650PE,2020-03-04,128.75,134.4,121.3,132.3,3200.0,4800.0
NAUKRI-I2700CE,2020-03-04,183.5,194.95,120.0,120.35,7600.0,5200.0
NAUKRI-I2700PE,2020-03-04,113.05,169.95,113.05,163.2,14600.0,4000.0
NAUKRI-I2750CE,2020-03-04,156.3,161.0,96.35,96.35,4400.0,2600.0
NAUKRI-I2750PE,2020-03-04,160.35,197.25,160.35,184.0,1800.0,1600.0
NAUKRI-I2800CE,2020-03-04,128.75,137.8,80.05,81.0,5400.0,4800.0
NAUKRI-I2800PE,2020-03-04,221.0,221.0,221.0,221.0,200.0,600.0
NAUKRI-I2850CE,2020-03-04,100.5,115.6,54.75,55.0,3000.0,800.0
NAUKRI-I2900CE,2020-03-04,98.0,98.0,52.0,52.0,3400.0,1800.0
NAUKRI-I3000CE,2020-03-04,67.0,67.0,35.0,36.0,7000.0,5800.0
NAUKRI-I3100CE,2020-03-04,40.0,40.0,27.0,27.0,1200.0,2400.0
NAUKRI-I3150CE,2020-03-04,35.0,35.0,35.0,35.0,200.0,200.0
NAUKRI-I3200CE,2020-03-04,29.0,29.0,13.0,13.0,1000.0,1600.0
NAUKRI-I2100PE,2020-03-05,10.55,10.55,10.55,10.55,200.0,0.0
NAUKRI-I2150PE,2020-03-05,16.4,16.4,16.4,16.4,200.0,0.0
NAUKRI-I2250PE,2020-03-05,35.55,51.95,21.0,21.0,2600.0,1400.0
NAUKRI-I2300PE,2020-03-05,33.0,33.0,33.0,33.0,1000.0,400.0
NAUKRI-I2400PE,2020-03-05,71.95,72.0,36.0,36.0,2200.0,1400.0
NAUKRI-I2500PE,2020-03-05,67.7,119.0,60.0,65.0,18000.0,5800.0
NAUKRI-I2550CE,2020-03-05,150.0,150.0,150.0,150.0,800.0,800.0
NAUKRI-I2550PE,2020-03-05,108.85,139.95,77.3,78.7,5400.0,2000.0
NAUKRI-I2600CE,2020-03-05,149.45,210.0,132.0,210.0,2600.0,2200.0
NAUKRI-I2600PE,2020-03-05,100.2,156.05,87.75,98.05,16400.0,9200.0
NAUKRI-I2650CE,2020-03-05,105.9,185.0,96.05,165.0,1800.0,1000.0
NAUKRI-I2650PE,2020-03-05,115.7,177.0,110.7,110.7,4200.0,3600.0
