Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
NAVINFLUOR-I2800CE,2021-02-26,15.1,15.1,15.1,15.1,225.0,0.0
NAVINFLUOR-I2800PE,2021-02-26,185.55,185.55,185.55,185.55,225.0,0.0
NAVINFLUOR-I2400PE,2021-03-01,30.75,30.75,30.75,30.75,225.0,0.0
NAVINFLUOR-I2600CE,2021-03-01,84.0,224.0,84.0,195.0,3375.0,2250.0
NAVINFLUOR-I2600PE,2021-03-01,112.55,122.5,112.55,121.8,675.0,450.0
NAVINFLUOR-I2700CE,2021-03-01,100.0,162.1,98.8,133.0,6750.0,2700.0
NAVINFLUOR-I2700PE,2021-03-01,166.3,177.3,135.8,141.3,900.0,675.0
NAVINFLUOR-I2800CE,2021-03-01,32.0,105.5,32.0,81.75,10800.0,4275.0
NAVINFLUOR-I2850CE,2021-03-01,75.0,75.0,56.2,59.35,2025.0,450.0
NAVINFLUOR-I2900CE,2021-03-01,49.0,79.0,45.0,65.0,2025.0,1350.0
NAVINFLUOR-I3000CE,2021-03-01,40.0,40.0,40.0,40.0,450.0,0.0
NAVINFLUOR-I2400PE,2021-03-02,27.35,27.35,22.0,22.0,900.0,675.0
NAVINFLUOR-I2450PE,2021-03-02,25.0,25.0,25.0,25.0,225.0,0.0
NAVINFLUOR-I2500PE,2021-03-02,49.9,50.5,32.0,41.0,3825.0,1575.0
NAVINFLUOR-I2600CE,2021-03-02,200.0,313.05,200.0,313.0,2700.0,2025.0
NAVINFLUOR-I2600PE,2021-03-02,69.7,80.0,49.4,60.0,5175.0,3600.0
NAVINFLUOR-I2700CE,2021-03-02,145.0,260.0,145.0,225.0,14175.0,3375.0
NAVINFLUOR-I2700PE,2021-03-02,129.15,129.15,76.9,86.0,8775.0,3150.0
NAVINFLUOR-I2800CE,2021-03-02,115.7,210.0,110.0,165.1,128925.0,16875.0
NAVINFLUOR-I2800PE,2021-03-02,180.0,180.0,134.3,140.45,2025.0,450.0
NAVINFLUOR-I2850CE,2021-03-02,95.05,183.25,95.05,132.55,7200.0,2475.0
NAVINFLUOR-I2900CE,2021-03-02,94.0,159.75,94.0,115.05,76725.0,14400.0
NAVINFLUOR-I3000CE,2021-03-02,110.0,120.05,74.0,84.5,53775.0,16650.0
NAVINFLUOR-I3100CE,2021-03-02,75.0,82.05,48.7,59.0,11700.0,8325.0
NAVINFLUOR-I3150CE,2021-03-02,50.0,66.1,40.0,66.1,1575.0,675.0
NAVINFLUOR-I2500PE,2021-03-03,38.0,38.0,38.0,38.0,225.0,1800.0
NAVINFLUOR-I2600CE,2021-03-03,247.0,247.0,247.0,247.0,225.0,1575.0
NAVINFLUOR-I2600PE,2021-03-03,66.2,67.0,54.0,54.0,1800.0,3375.0
NAVINFLUOR-I2700CE,2021-03-03,216.5,216.5,181.4,196.8,2250.0,3150.0
NAVINFLUOR-I2700PE,2021-03-03,102.5,104.15,89.8,89.8,2025.0,3600.0
NAVINFLUOR-I2800CE,2021-03-03,165.55,165.55,131.25,136.0,10350.0,17550.0
