Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
NBCC-I47.5PE,2019-01-01,0.35,0.35,0.35,0.35,88000.0,80000.0
NBCC-I50PE,2019-01-01,0.55,0.6,0.45,0.5,112000.0,424000.0
NBCC-I52.5PE,2019-01-01,1.0,1.1,1.0,1.05,72000.0,208000.0
NBCC-I55CE,2019-01-01,4.05,4.3,3.8,4.3,72000.0,616000.0
NBCC-I55PE,2019-01-01,2.0,2.0,1.7,1.8,192000.0,440000.0
NBCC-I57PE,2019-01-01,3.3,3.3,3.3,3.3,8000.0,0.0
NBCC-I57.5CE,2019-01-01,3.15,3.15,2.7,3.05,248000.0,560000.0
NBCC-I57.5PE,2019-01-01,3.15,3.35,2.95,3.0,112000.0,224000.0
NBCC-I58CE,2019-01-01,2.45,2.7,2.4,2.7,32000.0,72000.0
NBCC-I59CE,2019-01-01,2.1,2.2,2.0,2.0,56000.0,96000.0
NBCC-I60CE,2019-01-01,2.05,2.15,1.75,2.05,1160000.0,2000000.0
NBCC-I60PE,2019-01-01,4.8,4.8,4.8,4.8,8000.0,272000.0
NBCC-I61CE,2019-01-01,1.75,1.75,1.75,1.75,8000.0,24000.0
NBCC-I62CE,2019-01-01,1.3,1.3,1.3,1.3,8000.0,40000.0
NBCC-I62.5CE,2019-01-01,1.5,1.5,1.1,1.25,144000.0,256000.0
NBCC-I63CE,2019-01-01,1.2,1.2,1.2,1.2,8000.0,80000.0
NBCC-I65CE,2019-01-01,1.0,1.0,0.7,0.8,968000.0,2328000.0
NBCC-I70CE,2019-01-01,0.5,0.5,0.35,0.4,1080000.0,2888000.0
NBCC-I72.5CE,2019-01-01,0.2,0.2,0.2,0.2,8000.0,8000.0
NBCC-I75CE,2019-01-01,0.2,0.2,0.15,0.15,168000.0,192000.0
NBCC-I42.5PE,2019-01-02,0.75,0.75,0.1,0.1,280000.0,56000.0
NBCC-I45PE,2019-01-02,0.15,0.15,0.15,0.15,8000.0,16000.0
NBCC-I50CE,2019-01-02,8.6,8.6,8.6,8.6,40000.0,104000.0
NBCC-I50PE,2019-01-02,0.6,0.6,0.35,0.45,152000.0,416000.0
NBCC-I52.5CE,2019-01-02,6.5,6.5,6.5,6.5,40000.0,168000.0
NBCC-I52.5PE,2019-01-02,1.0,1.0,0.75,0.75,136000.0,224000.0
NBCC-I55CE,2019-01-02,5.0,5.1,4.35,4.55,184000.0,592000.0
NBCC-I55PE,2019-01-02,1.6,1.7,1.35,1.7,280000.0,424000.0
NBCC-I56CE,2019-01-02,4.3,4.3,4.3,4.3,8000.0,80000.0
NBCC-I57CE,2019-01-02,3.8,3.8,3.65,3.65,16000.0,16000.0
NBCC-I57.5CE,2019-01-02,3.0,3.55,3.0,3.25,288000.0,464000.0
NBCC-I57.5PE,2019-01-02,2.5,2.75,2.45,2.7,128000.0,208000.0
NBCC-I58CE,2019-01-02,3.15,3.3,2.8,2.8,32000.0,80000.0
NBCC-I59CE,2019-01-02,2.55,2.55,2.4,2.55,24000.0,72000.0
NBCC-I60CE,2019-01-02,2.0,2.55,1.8,2.2,2440000.0,2120000.0
NBCC-I60PE,2019-01-02,3.85,4.1,3.8,4.05,64000.0,272000.0
NBCC-I61CE,2019-01-02,2.15,2.15,2.15,2.15,8000.0,32000.0
NBCC-I62.5CE,2019-01-02,1.6,1.7,1.3,1.4,80000.0,280000.0
NBCC-I63CE,2019-01-02,1.3,1.3,1.25,1.25,16000.0,72000.0
NBCC-I65CE,2019-01-02,0.8,1.05,0.75,0.85,1144000.0,2256000.0
NBCC-I65PE,2019-01-02,7.15,7.75,7.05,7.75,24000.0,56000.0
NBCC-I67.5CE,2019-01-02,0.6,0.6,0.55,0.55,32000.0,24000.0
NBCC-I70CE,2019-01-02,0.4,0.5,0.35,0.4,1384000.0,2840000.0
NBCC-I72.5CE,2019-01-02,0.2,0.2,0.2,0.2,8000.0,16000.0
NBCC-I75CE,2019-01-02,0.2,0.25,0.2,0.2,32000.0,200000.0
