Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
NHPC.EQ-NSE,2019-01-01,26.0,26.05,25.9,26.0,1371523.0
NHPC.EQ-NSE,2019-01-02,25.95,26.0,25.55,25.7,2370588.0
NHPC.EQ-NSE,2019-01-03,25.7,25.9,25.5,25.6,1739052.0
NHPC.EQ-NSE,2019-01-04,25.5,25.7,25.3,25.6,2429685.0
NHPC.EQ-NSE,2019-01-07,25.6,26.0,25.6,26.0,2641368.0
NHPC.EQ-NSE,2019-01-08,26.05,26.05,25.85,26.0,4443818.0
NHPC.EQ-NSE,2019-01-09,25.95,26.3,25.85,25.95,5713182.0
NHPC.EQ-NSE,2019-01-10,25.95,26.0,25.35,25.6,2750661.0
NHPC.EQ-NSE,2019-01-11,25.55,25.6,25.3,25.5,1123941.0
NHPC.EQ-NSE,2019-01-14,25.55,25.6,25.3,25.4,2214443.0
NHPC.EQ-NSE,2019-01-15,25.4,25.8,25.35,25.8,886804.0
NHPC.EQ-NSE,2019-01-16,25.7,26.15,25.45,25.8,3665610.0
NHPC.EQ-NSE,2019-01-17,25.65,26.1,25.3,25.55,1356372.0
NHPC.EQ-NSE,2019-01-18,25.55,25.7,25.1,25.25,1075360.0
NHPC.EQ-NSE,2019-01-21,25.15,25.4,25.1,25.2,3767847.0
NHPC.EQ-NSE,2019-01-22,25.3,25.6,25.25,25.35,4436727.0
NHPC.EQ-NSE,2019-01-23,25.4,25.5,25.05,25.3,4500901.0
NHPC.EQ-NSE,2019-01-24,25.3,25.4,25.2,25.3,1367029.0
NHPC.EQ-NSE,2019-01-25,25.3,25.4,24.9,25.1,2216583.0
NHPC.EQ-NSE,2019-01-28,25.0,25.1,24.5,24.55,1736367.0
NHPC.EQ-NSE,2019-01-29,24.5,24.8,24.15,24.65,2242979.0
NHPC.EQ-NSE,2019-01-30,24.6,24.7,24.05,24.5,2317172.0
NHPC.EQ-NSE,2019-01-31,24.5,25.3,24.25,25.25,4737277.0
NHPC.EQ-NSE,2019-02-01,24.95,25.5,24.75,25.5,4200398.0
