Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ORIENTBANK.EQ-NSE,2019-01-01,96.0,98.3,95.6,98.1,4078775.0
ORIENTBANK.EQ-NSE,2019-01-02,98.0,99.05,94.8,95.2,8336131.0
ORIENTBANK.EQ-NSE,2019-01-03,94.8,96.7,94.35,95.5,4001980.0
ORIENTBANK.EQ-NSE,2019-01-04,96.2,99.35,95.1,99.05,6185409.0
ORIENTBANK.EQ-NSE,2019-01-07,99.8,99.9,96.5,97.8,3125211.0
ORIENTBANK.EQ-NSE,2019-01-08,97.8,101.6,96.95,101.25,4460807.0
ORIENTBANK.EQ-NSE,2019-01-09,101.5,102.15,98.25,99.1,6076976.0
ORIENTBANK.EQ-NSE,2019-01-10,99.0,100.35,98.3,99.05,2775444.0
ORIENTBANK.EQ-NSE,2019-01-11,99.6,99.7,97.1,97.4,3359665.0
ORIENTBANK.EQ-NSE,2019-01-14,97.4,100.7,96.15,98.0,4187957.0
ORIENTBANK.EQ-NSE,2019-01-15,98.55,99.05,97.1,97.6,2334753.0
ORIENTBANK.EQ-NSE,2019-01-16,98.1,99.7,97.3,97.55,3780791.0
ORIENTBANK.EQ-NSE,2019-01-17,98.1,98.7,94.55,96.8,3377428.0
ORIENTBANK.EQ-NSE,2019-01-18,97.5,97.5,95.0,95.4,2211639.0
ORIENTBANK.EQ-NSE,2019-01-21,95.5,96.95,92.65,92.7,3213689.0
ORIENTBANK.EQ-NSE,2019-01-22,92.65,94.6,91.8,93.45,3149119.0
ORIENTBANK.EQ-NSE,2019-01-23,93.1,94.5,91.85,92.15,2723210.0
ORIENTBANK.EQ-NSE,2019-01-24,91.85,94.2,91.85,94.05,2200033.0
ORIENTBANK.EQ-NSE,2019-01-25,93.75,96.0,92.95,93.55,3133429.0
ORIENTBANK.EQ-NSE,2019-01-28,93.1,94.1,91.1,91.3,3372097.0
ORIENTBANK.EQ-NSE,2019-01-29,90.45,97.4,89.9,95.1,14852652.0
ORIENTBANK.EQ-NSE,2019-01-30,95.45,96.85,93.5,94.95,5399393.0
ORIENTBANK.EQ-NSE,2019-01-31,95.2,96.25,93.55,96.25,3787042.0
ORIENTBANK.EQ-NSE,2019-02-01,98.8,99.25,92.0,95.55,8729968.0
ORIENTBANK.EQ-NSE,2019-02-04,94.5,94.9,91.65,94.5,4331832.0
ORIENTBANK.EQ-NSE,2019-02-05,94.2,96.35,90.95,91.9,4765502.0
ORIENTBANK.EQ-NSE,2019-02-06,92.6,92.8,88.6,91.65,4143026.0
ORIENTBANK.EQ-NSE,2019-02-07,91.7,93.6,90.65,91.4,2813540.0
